cohort,compartment,label,ligand,source_label,focused_direction,matching_receptors,eligible_IPF_donors,donors,minimum_required
GSE136831,fibroblasts,Fibroblast,CXCL2,T,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL2,T_Cytotoxic,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL2,T_Regulatory,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL2,VE_Arterial,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL2,VE_Capillary_A,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL2,VE_Capillary_B,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL2,VE_Peribronchial,False,ACKR1;DPP4,2,041I;138I,3
GSE136831,fibroblasts,Fibroblast,CXCL2,VE_Venous,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL2,cDC1,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL2,cDC2,False,ACKR1;DPP4,1,138I,3
GSE136831,fibroblasts,Fibroblast,CXCL2,cMonocyte,False,ACKR1;DPP4,1,138I,3
GSE136831,fibroblasts,Fibroblast,CXCL2,ncMonocyte,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL2,pDC,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF10,ATI,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF10,ATII,True,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF10,Aberrant_Basaloid,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF10,B,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF10,B_Plasma,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF10,Basal,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF10,Ciliated,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF10,Club,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF10,DC_Langerhans,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF10,DC_Mature,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF10,Fibroblast,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF10,Goblet,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF10,ILC_A,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF10,ILC_B,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF10,Ionocyte,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF10,Lymphatic,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF10,Macrophage,True,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF10,Macrophage_Alveolar,True,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF10,Mast,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF10,Mesothelial,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF10,Myofibroblast,False,FGFR1;FGFRL1,2,138I;228I,3
GSE136831,fibroblasts,Fibroblast,FGF10,NK,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF10,PNEC,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF10,Pericyte,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF10,SMC,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF10,T,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF10,T_Cytotoxic,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF10,T_Regulatory,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF10,VE_Arterial,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF10,VE_Capillary_A,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF10,VE_Capillary_B,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF10,VE_Peribronchial,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF10,VE_Venous,False,,0,,3
