"compartment","label","direction","gene"
"AT2","AT2","up","RGS2"
"AT2","AT2","up","RHBDF1"
"AT2","AT2","up","RHPN1"
"AT2","AT2","up","RND3"
"AT2","AT2","up","RNF10"
"AT2","AT2","up","RNF208"
"AT2","AT2","up","ROGDI"
"AT2","AT2","up","RPS27L"
"AT2","AT2","up","RRM2B"
"AT2","AT2","up","RSPH1"
"AT2","AT2","up","S100A10"
"AT2","AT2","up","SAMD1"
"AT2","AT2","up","SAMD4A"
"AT2","AT2","up","SAMHD1"
"AT2","AT2","up","SBNO2"
"AT2","AT2","up","SCEL"
"AT2","AT2","up","SCRN1"
"AT2","AT2","up","SCTR"
"AT2","AT2","up","SCUBE2"
"AT2","AT2","up","SDC3"
"AT2","AT2","up","SDCBP2"
"AT2","AT2","up","SDHAF2"
"AT2","AT2","up","SERPINA1"
"AT2","AT2","up","SERPIND1"
"AT2","AT2","up","SERPINF1"
"AT2","AT2","up","SERTAD4-AS1"
"AT2","AT2","up","SESN3"
"AT2","AT2","up","SFRP5"
"AT2","AT2","up","SGPL1"
"AT2","AT2","up","SH3D19"
"AT2","AT2","up","SH3GLB2"
"AT2","AT2","up","SHB"
"AT2","AT2","up","SHC2"
"AT2","AT2","up","SLC12A4"
"AT2","AT2","up","SLC16A4"
"AT2","AT2","up","SLC19A1"
"AT2","AT2","up","SLC22A23"
"AT2","AT2","up","SLC25A29"
"AT2","AT2","up","SLC25A37"
"AT2","AT2","up","SLC46A3"
"AT2","AT2","up","SLC5A8"
"AT2","AT2","up","SMIM10L2A"
"AT2","AT2","up","SMURF2"
"AT2","AT2","up","SNTN"
"AT2","AT2","up","SORBS1"
"AT2","AT2","up","SORL1"
"AT2","AT2","up","SOX5"
"AT2","AT2","up","SPARC"
"AT2","AT2","up","SPATA18"
"AT2","AT2","up","SPATS2L"
"AT2","AT2","up","SPDEF"
"AT2","AT2","up","SPECC1"
"AT2","AT2","up","SPINK1"
"AT2","AT2","up","SPINK5"
"AT2","AT2","up","SPRED1"
"AT2","AT2","up","SRSF6"
"AT2","AT2","up","ST3GAL1"
"AT2","AT2","up","ST6GAL1"
"AT2","AT2","up","ST8SIA4"
"AT2","AT2","up","STAT2"
"AT2","AT2","up","STEAP3"
"AT2","AT2","up","STK11"
"AT2","AT2","up","STK32A"
"AT2","AT2","up","STK39"
"AT2","AT2","up","STOM"
"AT2","AT2","up","SULT1C2"
"AT2","AT2","up","SYMPK"
"AT2","AT2","up","SYNJ2BP"
"AT2","AT2","up","SYNPO"
"AT2","AT2","up","TAF13"
"AT2","AT2","up","TAP2"
"AT2","AT2","up","TBC1D24"
"AT2","AT2","up","TCEAL2"
"AT2","AT2","up","TCF7L1"
"AT2","AT2","up","TEAD1"
"AT2","AT2","up","TESC"
"AT2","AT2","up","TFPI2"
"AT2","AT2","up","TGFB1"
"AT2","AT2","up","TGM2"
"AT2","AT2","up","THBD"
"AT2","AT2","up","TIMP1"
"AT2","AT2","up","TIMP3"
"AT2","AT2","up","TK2"
"AT2","AT2","up","TMC6"
"AT2","AT2","up","TMED6"
"AT2","AT2","up","TMEM178A"
"AT2","AT2","up","TMEM213"
"AT2","AT2","up","TMEM259"
"AT2","AT2","up","TMEM263"
"AT2","AT2","up","TMTC2"
"AT2","AT2","up","TNC"
"AT2","AT2","up","TNFRSF10C"
"AT2","AT2","up","TNFRSF10D"
"AT2","AT2","up","TNFRSF21"
"AT2","AT2","up","TNFSF13B"
"AT2","AT2","up","TNIP3"
"AT2","AT2","up","TNPO3"
"AT2","AT2","up","TPM1"
"AT2","AT2","up","TPPP"
"AT2","AT2","up","TPPP3"
"AT2","AT2","up","TPRN"
"AT2","AT2","up","TRAM1"
"AT2","AT2","up","TRIM2"
"AT2","AT2","up","TRIM22"
"AT2","AT2","up","TRIM36"
"AT2","AT2","up","TRIM47"
"AT2","AT2","up","TSPAN5"
"AT2","AT2","up","TYMS"
"AT2","AT2","up","UBA7"
"AT2","AT2","up","UBE2Z"
"AT2","AT2","up","UBTD2"
"AT2","AT2","up","UPP1"
"AT2","AT2","up","VEGFB"
"AT2","AT2","up","VEZT"
"AT2","AT2","up","VLDLR"
"AT2","AT2","up","VOPP1"
"AT2","AT2","up","WDR82"
"AT2","AT2","up","WSB2"
"AT2","AT2","up","ZBTB18"
"AT2","AT2","up","ZDHHC11"
"AT2","AT2","up","ZDHHC11B"
"AT2","AT2","up","ZDHHC3"
"AT2","AT2","up","ZDHHC9"
"AT2","AT2","up","ZMAT3"
"AT2","AT2","up","ZNF117"
"AT2","AT2","up","ZNF219"
"AT2","AT2","up","ZNF467"
"AT2","AT2","down","ABHD16A"
"AT2","AT2","down","ACAT1"
"AT2","AT2","down","ACOT2"
"AT2","AT2","down","AGPAT2"
"AT2","AT2","down","ALDH2"
"AT2","AT2","down","ALKBH7"
"AT2","AT2","down","AMN"
"AT2","AT2","down","ANG"
"AT2","AT2","down","ANP32B"
"AT2","AT2","down","APOA1"
"AT2","AT2","down","ARHGAP31"
"AT2","AT2","down","ARHGEF18"
"AT2","AT2","down","ARL6IP6"
"AT2","AT2","down","ASAH1"
"AT2","AT2","down","ASB3"
"AT2","AT2","down","AVPI1"
"AT2","AT2","down","BCAP29"
"AT2","AT2","down","BCKDHA"
"AT2","AT2","down","BCKDHB"
"AT2","AT2","down","BFAR"
"AT2","AT2","down","BLVRB"
"AT2","AT2","down","C11orf1"
"AT2","AT2","down","C19orf54"
"AT2","AT2","down","C19orf81"
"AT2","AT2","down","C1orf210"
"AT2","AT2","down","C8orf82"
"AT2","AT2","down","CA8"
"AT2","AT2","down","CBLB"
"AT2","AT2","down","CCL28"
"AT2","AT2","down","CDCA7L"
"AT2","AT2","down","CEP95"
"AT2","AT2","down","CHCHD6"
"AT2","AT2","down","CHDH"
"AT2","AT2","down","CHPT1"
"AT2","AT2","down","CIART"
"AT2","AT2","down","CLEC11A"
"AT2","AT2","down","CLN3"
"AT2","AT2","down","CMPK2"
"AT2","AT2","down","CMTM8"
"AT2","AT2","down","CNIH4"
"AT2","AT2","down","COX4I1"
"AT2","AT2","down","COX6A1"
"AT2","AT2","down","CREG1"
"AT2","AT2","down","CTSC"
"AT2","AT2","down","CYB5A"
"AT2","AT2","down","CYC1"
"AT2","AT2","down","DBF4"
"AT2","AT2","down","DCTN2"
"AT2","AT2","down","DCXR"
"AT2","AT2","down","DEGS1"
"AT2","AT2","down","DERA"
"AT2","AT2","down","DHPS"
"AT2","AT2","down","DPM2"
"AT2","AT2","down","DSP"
"AT2","AT2","down","DUS3L"
"AT2","AT2","down","EDNRA"
"AT2","AT2","down","EIF4EBP3"
"AT2","AT2","down","EP300-AS1"
"AT2","AT2","down","ESD"
"AT2","AT2","down","FABP5"
"AT2","AT2","down","FADS1"
"AT2","AT2","down","FAM3A"
"AT2","AT2","down","FANCE"
"AT2","AT2","down","FDFT1"
"AT2","AT2","down","FDPS"
"AT2","AT2","down","FGFBP3"
"AT2","AT2","down","FUOM"
"AT2","AT2","down","GNMT"
"AT2","AT2","down","GPM6A"
"AT2","AT2","down","GPR89A"
"AT2","AT2","down","GRINA"
"AT2","AT2","down","GSTA4"
"AT2","AT2","down","HAUS4"
"AT2","AT2","down","HIF3A"
"AT2","AT2","down","HSD17B6"
"AT2","AT2","down","HSD17B8"
"AT2","AT2","down","HTRA2"
"AT2","AT2","down","HYAL2"
"AT2","AT2","down","IL34"
"AT2","AT2","down","IMPDH2"
"AT2","AT2","down","JUNB"
"AT2","AT2","down","KRTCAP3"
"AT2","AT2","down","LINC01003"
"AT2","AT2","down","LPL"
"AT2","AT2","down","LTA4H"
"AT2","AT2","down","MACROD1"
"AT2","AT2","down","MAGEH1"
"AT2","AT2","down","MARVELD3"
"AT2","AT2","down","MCCC1"
"AT2","AT2","down","MFSD13A"
"AT2","AT2","down","MFSD14C"
"AT2","AT2","down","MGST1"
"AT2","AT2","down","MGST3"
"AT2","AT2","down","MIF4GD"
"AT2","AT2","down","MIS18BP1"
"AT2","AT2","down","MPV17L2"
"AT2","AT2","down","MRPL38"
"AT2","AT2","down","MRPS18B"
"AT2","AT2","down","MTG1"
"AT2","AT2","down","NDN"
"AT2","AT2","down","NDUFB9"
"AT2","AT2","down","NDUFV3"
"AT2","AT2","down","NGDN"
"AT2","AT2","down","NHEJ1"
"AT2","AT2","down","NIF3L1"
"AT2","AT2","down","NOA1"
"AT2","AT2","down","NR1D1"
"AT2","AT2","down","NSMCE4A"
"AT2","AT2","down","NT5C"
"AT2","AT2","down","NUDT8"
"AT2","AT2","down","PACSIN3"
"AT2","AT2","down","PCK2"
"AT2","AT2","down","PCYT2"
"AT2","AT2","down","PEPD"
"AT2","AT2","down","PEX16"
"AT2","AT2","down","PGD"
"AT2","AT2","down","PHB2"
"AT2","AT2","down","PHF7"
"AT2","AT2","down","PHYHD1"
"AT2","AT2","down","PLA2G1B"
"AT2","AT2","down","PLAG1"
"AT2","AT2","down","PLLP"
"AT2","AT2","down","POLR1E"
"AT2","AT2","down","POMC"
"AT2","AT2","down","PPM1G"
"AT2","AT2","down","PQBP1"
"AT2","AT2","down","PRPF6"
"AT2","AT2","down","PRTG"
"AT2","AT2","down","PSMB1"
"AT2","AT2","down","PXMP2"
"AT2","AT2","down","RAB20"
"AT2","AT2","down","RABGEF1"
"AT2","AT2","down","RCC1"
"AT2","AT2","down","RILP"
"AT2","AT2","down","RNASE4"
"AT2","AT2","down","RNF149"
"AT2","AT2","down","RNPC3"
"AT2","AT2","down","RPA2"
"AT2","AT2","down","RPIA"
"AT2","AT2","down","RPUSD3"
"AT2","AT2","down","RRP9"
"AT2","AT2","down","SCHIP1"
"AT2","AT2","down","SCIN"
"AT2","AT2","down","SECISBP2L"
"AT2","AT2","down","SELENBP1"
"AT2","AT2","down","SERPING1"
"AT2","AT2","down","SGF29"
"AT2","AT2","down","SLC51B"
"AT2","AT2","down","SLPI"
"AT2","AT2","down","SMIM19"
"AT2","AT2","down","SNRPA"
"AT2","AT2","down","SOD3"
"AT2","AT2","down","SPTLC1"
"AT2","AT2","down","SSBP2"
"AT2","AT2","down","STX10"
"AT2","AT2","down","TAF3"
"AT2","AT2","down","TLCD1"
"AT2","AT2","down","TM7SF2"
"AT2","AT2","down","TMEM238"
"AT2","AT2","down","TMEM97"
"AT2","AT2","down","TOR2A"
"AT2","AT2","down","TPGS1"
"AT2","AT2","down","TRAF3IP2"
"AT2","AT2","down","TSPAN12"
"AT2","AT2","down","TTC32"
"AT2","AT2","down","TUFM"
"AT2","AT2","down","UBTD1"
"AT2","AT2","down","UNC119"
"AT2","AT2","down","VPS51"
"AT2","AT2","down","VSIG10"
"AT2","AT2","down","YEATS4"
"AT2","AT2","down","ZBTB24"
"AT2","AT2","down","ZNF385B"
"AT2","AT2","down","ZNF511"
"AT2","AT2","down","ZNF708"
"fibroblasts","__broad__","up","HSPA1A"
"fibroblasts","__broad__","down","BBC3"
"fibroblasts","__broad__","down","LINC01028"
"macrophages","__broad__","up","A2M"
"macrophages","__broad__","up","ABCB8"
"macrophages","__broad__","up","ABHD2"
"macrophages","__broad__","up","ABL2"
"macrophages","__broad__","up","ACAP1"
"macrophages","__broad__","up","ACSL5"
"macrophages","__broad__","up","ADAM19"
"macrophages","__broad__","up","ADAM8"
"macrophages","__broad__","up","ADGRE2"
"macrophages","__broad__","up","AGR2"
"macrophages","__broad__","up","AK4"
"macrophages","__broad__","up","ALYREF"
"macrophages","__broad__","up","AMPD3"
"macrophages","__broad__","up","ANGPTL4"
"macrophages","__broad__","up","ANKRD22"
"macrophages","__broad__","up","ANKRD29"
"macrophages","__broad__","up","ANP32E"
"macrophages","__broad__","up","AP1S3"
"macrophages","__broad__","up","ARFGAP3"
"macrophages","__broad__","up","ARL4D"
"macrophages","__broad__","up","ARPC4"
"macrophages","__broad__","up","ASAP1"
"macrophages","__broad__","up","ATP13A3"
"macrophages","__broad__","up","ATP1A1"
"macrophages","__broad__","up","ATP2B1"
"macrophages","__broad__","up","ATP2B4"
"macrophages","__broad__","up","ATP6V0D2"
"macrophages","__broad__","up","AURKA"
"macrophages","__broad__","up","B4GALT5"
"macrophages","__broad__","up","BATF"
"macrophages","__broad__","up","BCAT1"
"macrophages","__broad__","up","BCAT2"
"macrophages","__broad__","up","BCL11A"
"macrophages","__broad__","up","C12orf75"
"macrophages","__broad__","up","C15orf48"
"macrophages","__broad__","up","C1orf122"
"macrophages","__broad__","up","C1orf21"
"macrophages","__broad__","up","C1orf54"
"macrophages","__broad__","up","C2orf76"
"macrophages","__broad__","up","C3"
"macrophages","__broad__","up","CA11"
"macrophages","__broad__","up","CALM3"
"macrophages","__broad__","up","CALU"
"macrophages","__broad__","up","CCDC159"
"macrophages","__broad__","up","CCDC167"
"macrophages","__broad__","up","CCDC28B"
"macrophages","__broad__","up","CCL18"
"macrophages","__broad__","up","CCL2"
"macrophages","__broad__","up","CCL22"
"macrophages","__broad__","up","CCL5"
"macrophages","__broad__","up","CCL7"
"macrophages","__broad__","up","CCND1"
"macrophages","__broad__","up","CCND2"
"macrophages","__broad__","up","CCR1"
"macrophages","__broad__","up","CCR5"
"macrophages","__broad__","up","CD109"
"macrophages","__broad__","up","CD1A"
"macrophages","__broad__","up","CD1B"
"macrophages","__broad__","up","CD1C"
"macrophages","__broad__","up","CD1E"
"macrophages","__broad__","up","CD276"
"macrophages","__broad__","up","CD300LB"
"macrophages","__broad__","up","CD4"
"macrophages","__broad__","up","CD44"
"macrophages","__broad__","up","CD48"
"macrophages","__broad__","up","CD84"
"macrophages","__broad__","up","CD86"
"macrophages","__broad__","up","CD93"
"macrophages","__broad__","up","CDA"
"macrophages","__broad__","up","CDH23"
"macrophages","__broad__","up","CDK2AP2"
"macrophages","__broad__","up","CEP70"
"macrophages","__broad__","up","CFL1"
"macrophages","__broad__","up","CHI3L1"
"macrophages","__broad__","up","CHIT1"
"macrophages","__broad__","up","CHST2"
"macrophages","__broad__","up","CKAP4"
"macrophages","__broad__","up","CLCN3"
"macrophages","__broad__","up","CLEC4D"
"macrophages","__broad__","up","CLEC5A"
"macrophages","__broad__","up","CLEC6A"
"macrophages","__broad__","up","COL22A1"
"macrophages","__broad__","up","COL4A2-AS2"
"macrophages","__broad__","up","COL6A1"
"macrophages","__broad__","up","CRABP2"
"macrophages","__broad__","up","CREB3"
"macrophages","__broad__","up","CRIP1"
"macrophages","__broad__","up","CRIP2"
"macrophages","__broad__","up","CSF1"
"macrophages","__broad__","up","CST6"
"macrophages","__broad__","up","CST7"
"macrophages","__broad__","up","CTNNAL1"
"macrophages","__broad__","up","CTSK"
"macrophages","__broad__","up","CXCL17"
"macrophages","__broad__","up","CYTL1"
"macrophages","__broad__","up","DDB1"
"macrophages","__broad__","up","DHRS4L2"
"macrophages","__broad__","up","DKC1"
"macrophages","__broad__","up","DLGAP1-AS1"
"macrophages","__broad__","up","DLGAP3"
"macrophages","__broad__","up","DNAJB11"
"macrophages","__broad__","up","DNAJB5"
"macrophages","__broad__","up","DNAJC10"
"macrophages","__broad__","up","DNPH1"
"macrophages","__broad__","up","DOT1L"
"macrophages","__broad__","up","DPCD"
"macrophages","__broad__","up","DUSP14"
"macrophages","__broad__","up","DUSP6"
"macrophages","__broad__","up","DYSF"
"macrophages","__broad__","up","ECM1"
"macrophages","__broad__","up","EIF3B"
"macrophages","__broad__","up","EMP1"
"macrophages","__broad__","up","EMP3"
"macrophages","__broad__","up","ENC1"
"macrophages","__broad__","up","ENDOD1"
"macrophages","__broad__","up","ENPP2"
"macrophages","__broad__","up","ETV5"
"macrophages","__broad__","up","EZR"
"macrophages","__broad__","up","FADS2"
"macrophages","__broad__","up","FADS3"
"macrophages","__broad__","up","FAIM"
"macrophages","__broad__","up","FAM20A"
"macrophages","__broad__","up","FAM20C"
"macrophages","__broad__","up","FAM210A"
"macrophages","__broad__","up","FAM98A"
"macrophages","__broad__","up","FASN"
"macrophages","__broad__","up","FCER2"
"macrophages","__broad__","up","FCGBP"
"macrophages","__broad__","up","FCMR"
"macrophages","__broad__","up","FCN1"
"macrophages","__broad__","up","FGGY"
"macrophages","__broad__","up","FLT1"
"macrophages","__broad__","up","FN1"
"macrophages","__broad__","up","FNIP2"
"macrophages","__broad__","up","FOCAD"
"macrophages","__broad__","up","FUT8"
"macrophages","__broad__","up","G0S2"
"macrophages","__broad__","up","GALM"
"macrophages","__broad__","up","GANAB"
"macrophages","__broad__","up","GEM"
"macrophages","__broad__","up","GINS2"
"macrophages","__broad__","up","GM2A"
"macrophages","__broad__","up","GMFB"
"macrophages","__broad__","up","GNB4"
"macrophages","__broad__","up","GNG2"
"macrophages","__broad__","up","GNL3"
