config,donor,disease,source,target
all_cells_primary,228I,IPF,Macrophage,Fibroblast
all_cells_primary,228I,IPF,Macrophage,Myofibroblast
all_cells_primary,228I,IPF,Macrophage_Alveolar,Fibroblast
all_cells_primary,228I,IPF,Macrophage_Alveolar,Myofibroblast
all_cells_primary,228I,IPF,Myofibroblast,Macrophage
all_cells_primary,228I,IPF,Myofibroblast,Macrophage_Alveolar
all_cells_primary,296C,control,Macrophage,ATII
all_cells_primary,296C,control,Macrophage_Alveolar,ATII
all_cells_primary,396C,control,Macrophage,ATII
all_cells_primary,396C,control,Macrophage_Alveolar,ATII
all_cells_primary,454C,control,Macrophage,ATII
all_cells_primary,454C,control,Macrophage_Alveolar,ATII
all_cells_primary,1372C,control,ATII,Fibroblast
all_cells_primary,1372C,control,Fibroblast,ATII
all_cells_primary,1372C,control,Fibroblast,Macrophage
all_cells_primary,1372C,control,Fibroblast,Macrophage_Alveolar
all_cells_primary,1372C,control,Macrophage,ATII
all_cells_primary,1372C,control,Macrophage,Fibroblast
all_cells_primary,1372C,control,Macrophage_Alveolar,ATII
all_cells_primary,1372C,control,Macrophage_Alveolar,Fibroblast
cap500_seed1,010I,IPF,Fibroblast,Macrophage
cap500_seed1,010I,IPF,Fibroblast,Macrophage_Alveolar
cap500_seed1,010I,IPF,Macrophage,Fibroblast
cap500_seed1,010I,IPF,Macrophage_Alveolar,Fibroblast
cap500_seed1,021I,IPF,Fibroblast,Macrophage
cap500_seed1,021I,IPF,Fibroblast,Macrophage_Alveolar
cap500_seed1,021I,IPF,Macrophage,Fibroblast
cap500_seed1,021I,IPF,Macrophage,Myofibroblast
cap500_seed1,021I,IPF,Macrophage_Alveolar,Fibroblast
cap500_seed1,021I,IPF,Macrophage_Alveolar,Myofibroblast
cap500_seed1,021I,IPF,Myofibroblast,Macrophage
cap500_seed1,021I,IPF,Myofibroblast,Macrophage_Alveolar
cap500_seed1,022I,IPF,ATII,Fibroblast
cap500_seed1,022I,IPF,ATII,Myofibroblast
cap500_seed1,022I,IPF,Fibroblast,ATII
cap500_seed1,022I,IPF,Fibroblast,Macrophage
cap500_seed1,022I,IPF,Fibroblast,Macrophage_Alveolar
cap500_seed1,022I,IPF,Macrophage,ATII
cap500_seed1,022I,IPF,Macrophage,Fibroblast
cap500_seed1,022I,IPF,Macrophage,Myofibroblast
cap500_seed1,022I,IPF,Macrophage_Alveolar,ATII
cap500_seed1,022I,IPF,Macrophage_Alveolar,Fibroblast
cap500_seed1,022I,IPF,Macrophage_Alveolar,Myofibroblast
cap500_seed1,022I,IPF,Myofibroblast,ATII
cap500_seed1,022I,IPF,Myofibroblast,Macrophage
cap500_seed1,022I,IPF,Myofibroblast,Macrophage_Alveolar
cap500_seed1,034I,IPF,Macrophage,Myofibroblast
cap500_seed1,034I,IPF,Myofibroblast,Macrophage
cap500_seed1,040I,IPF,Fibroblast,Macrophage
cap500_seed1,040I,IPF,Fibroblast,Macrophage_Alveolar
cap500_seed1,040I,IPF,Macrophage,Fibroblast
cap500_seed1,040I,IPF,Macrophage,Myofibroblast
cap500_seed1,040I,IPF,Macrophage_Alveolar,Fibroblast
cap500_seed1,040I,IPF,Macrophage_Alveolar,Myofibroblast
cap500_seed1,040I,IPF,Myofibroblast,Macrophage
cap500_seed1,040I,IPF,Myofibroblast,Macrophage_Alveolar
cap500_seed1,041I,IPF,Fibroblast,Macrophage
cap500_seed1,041I,IPF,Fibroblast,Macrophage_Alveolar
cap500_seed1,041I,IPF,Macrophage,Fibroblast
cap500_seed1,041I,IPF,Macrophage_Alveolar,Fibroblast
cap500_seed1,49I,IPF,Macrophage,Myofibroblast
cap500_seed1,49I,IPF,Macrophage_Alveolar,Myofibroblast
cap500_seed1,49I,IPF,Myofibroblast,Macrophage
cap500_seed1,49I,IPF,Myofibroblast,Macrophage_Alveolar
cap500_seed1,051I,IPF,Fibroblast,Macrophage
cap500_seed1,051I,IPF,Fibroblast,Macrophage_Alveolar
cap500_seed1,051I,IPF,Macrophage,Fibroblast
cap500_seed1,051I,IPF,Macrophage,Myofibroblast
cap500_seed1,051I,IPF,Macrophage_Alveolar,Fibroblast
cap500_seed1,051I,IPF,Macrophage_Alveolar,Myofibroblast
cap500_seed1,051I,IPF,Myofibroblast,Macrophage
cap500_seed1,051I,IPF,Myofibroblast,Macrophage_Alveolar
cap500_seed1,063I,IPF,Macrophage,Myofibroblast
cap500_seed1,063I,IPF,Macrophage_Alveolar,Myofibroblast
cap500_seed1,063I,IPF,Myofibroblast,Macrophage
cap500_seed1,063I,IPF,Myofibroblast,Macrophage_Alveolar
cap500_seed1,098C,control,ATII,Fibroblast
cap500_seed1,098C,control,Fibroblast,ATII
cap500_seed1,098C,control,Fibroblast,Macrophage
cap500_seed1,098C,control,Fibroblast,Macrophage_Alveolar
cap500_seed1,098C,control,Macrophage,ATII
cap500_seed1,098C,control,Macrophage,Fibroblast
cap500_seed1,098C,control,Macrophage_Alveolar,ATII
cap500_seed1,098C,control,Macrophage_Alveolar,Fibroblast
cap500_seed1,133C,control,Macrophage,ATII
cap500_seed1,133C,control,Macrophage_Alveolar,ATII
cap500_seed1,135I,IPF,Fibroblast,Macrophage
cap500_seed1,135I,IPF,Fibroblast,Macrophage_Alveolar
cap500_seed1,135I,IPF,Macrophage,Fibroblast
cap500_seed1,135I,IPF,Macrophage_Alveolar,Fibroblast
cap500_seed1,138I,IPF,Fibroblast,Macrophage
cap500_seed1,138I,IPF,Macrophage,Fibroblast
cap500_seed1,138I,IPF,Macrophage,Myofibroblast
cap500_seed1,138I,IPF,Myofibroblast,Macrophage
cap500_seed1,158I,IPF,Macrophage,ATII
cap500_seed1,158I,IPF,Macrophage_Alveolar,ATII
cap500_seed1,160C,control,Macrophage,ATII
cap500_seed1,160C,control,Macrophage_Alveolar,ATII
cap500_seed1,174I,IPF,Fibroblast,Macrophage
cap500_seed1,174I,IPF,Fibroblast,Macrophage_Alveolar
cap500_seed1,174I,IPF,Macrophage,Fibroblast
cap500_seed1,174I,IPF,Macrophage_Alveolar,Fibroblast
cap500_seed1,192C,control,ATII,Fibroblast
cap500_seed1,192C,control,Fibroblast,ATII
cap500_seed1,192C,control,Fibroblast,Macrophage
cap500_seed1,192C,control,Fibroblast,Macrophage_Alveolar
cap500_seed1,192C,control,Macrophage,ATII
cap500_seed1,192C,control,Macrophage,Fibroblast
cap500_seed1,192C,control,Macrophage_Alveolar,ATII
cap500_seed1,192C,control,Macrophage_Alveolar,Fibroblast
cap500_seed1,222C,control,ATII,Fibroblast
cap500_seed1,222C,control,ATII,Myofibroblast
cap500_seed1,222C,control,Fibroblast,ATII
cap500_seed1,222C,control,Fibroblast,Macrophage
cap500_seed1,222C,control,Fibroblast,Macrophage_Alveolar
cap500_seed1,222C,control,Macrophage,ATII
cap500_seed1,222C,control,Macrophage,Fibroblast
cap500_seed1,222C,control,Macrophage,Myofibroblast
cap500_seed1,222C,control,Macrophage_Alveolar,ATII
cap500_seed1,222C,control,Macrophage_Alveolar,Fibroblast
cap500_seed1,222C,control,Macrophage_Alveolar,Myofibroblast
cap500_seed1,222C,control,Myofibroblast,ATII
cap500_seed1,222C,control,Myofibroblast,Macrophage
cap500_seed1,222C,control,Myofibroblast,Macrophage_Alveolar
cap500_seed1,225I,IPF,ATII,Myofibroblast
cap500_seed1,225I,IPF,Macrophage,ATII
cap500_seed1,225I,IPF,Macrophage,Myofibroblast
cap500_seed1,225I,IPF,Macrophage_Alveolar,ATII
cap500_seed1,225I,IPF,Macrophage_Alveolar,Myofibroblast
cap500_seed1,225I,IPF,Myofibroblast,ATII
cap500_seed1,225I,IPF,Myofibroblast,Macrophage
cap500_seed1,225I,IPF,Myofibroblast,Macrophage_Alveolar
cap500_seed1,226C,control,Macrophage,ATII
cap500_seed1,226C,control,Macrophage_Alveolar,ATII
cap500_seed1,228I,IPF,Fibroblast,Macrophage
cap500_seed1,228I,IPF,Fibroblast,Macrophage_Alveolar
cap500_seed1,228I,IPF,Macrophage,Fibroblast
cap500_seed1,228I,IPF,Macrophage,Myofibroblast
cap500_seed1,228I,IPF,Macrophage_Alveolar,Fibroblast
cap500_seed1,228I,IPF,Macrophage_Alveolar,Myofibroblast
cap500_seed1,228I,IPF,Myofibroblast,Macrophage
cap500_seed1,228I,IPF,Myofibroblast,Macrophage_Alveolar
cap500_seed1,296C,control,Macrophage,ATII
cap500_seed1,296C,control,Macrophage_Alveolar,ATII
cap500_seed1,396C,control,Macrophage,ATII
cap500_seed1,396C,control,Macrophage_Alveolar,ATII
cap500_seed1,454C,control,Macrophage,ATII
cap500_seed1,454C,control,Macrophage_Alveolar,ATII
cap500_seed1,1372C,control,ATII,Fibroblast
cap500_seed1,1372C,control,Fibroblast,ATII
cap500_seed1,1372C,control,Fibroblast,Macrophage
cap500_seed1,1372C,control,Fibroblast,Macrophage_Alveolar
cap500_seed1,1372C,control,Macrophage,ATII
cap500_seed1,1372C,control,Macrophage,Fibroblast
cap500_seed1,1372C,control,Macrophage_Alveolar,ATII
cap500_seed1,1372C,control,Macrophage_Alveolar,Fibroblast
cap500_seed2,010I,IPF,Fibroblast,Macrophage
cap500_seed2,010I,IPF,Fibroblast,Macrophage_Alveolar
cap500_seed2,010I,IPF,Macrophage,Fibroblast
cap500_seed2,010I,IPF,Macrophage_Alveolar,Fibroblast
cap500_seed2,021I,IPF,Fibroblast,Macrophage
cap500_seed2,021I,IPF,Fibroblast,Macrophage_Alveolar
cap500_seed2,021I,IPF,Macrophage,Fibroblast
cap500_seed2,021I,IPF,Macrophage,Myofibroblast
cap500_seed2,021I,IPF,Macrophage_Alveolar,Fibroblast
cap500_seed2,021I,IPF,Macrophage_Alveolar,Myofibroblast
cap500_seed2,021I,IPF,Myofibroblast,Macrophage
cap500_seed2,021I,IPF,Myofibroblast,Macrophage_Alveolar
cap500_seed2,022I,IPF,ATII,Fibroblast
cap500_seed2,022I,IPF,ATII,Myofibroblast
cap500_seed2,022I,IPF,Fibroblast,ATII
cap500_seed2,022I,IPF,Fibroblast,Macrophage
cap500_seed2,022I,IPF,Fibroblast,Macrophage_Alveolar
cap500_seed2,022I,IPF,Macrophage,ATII
cap500_seed2,022I,IPF,Macrophage,Fibroblast
cap500_seed2,022I,IPF,Macrophage,Myofibroblast
cap500_seed2,022I,IPF,Macrophage_Alveolar,ATII
cap500_seed2,022I,IPF,Macrophage_Alveolar,Fibroblast
cap500_seed2,022I,IPF,Macrophage_Alveolar,Myofibroblast
cap500_seed2,022I,IPF,Myofibroblast,ATII
cap500_seed2,022I,IPF,Myofibroblast,Macrophage
cap500_seed2,022I,IPF,Myofibroblast,Macrophage_Alveolar
cap500_seed2,034I,IPF,Macrophage,Myofibroblast
cap500_seed2,034I,IPF,Myofibroblast,Macrophage
cap500_seed2,040I,IPF,Fibroblast,Macrophage
cap500_seed2,040I,IPF,Fibroblast,Macrophage_Alveolar
cap500_seed2,040I,IPF,Macrophage,Fibroblast
cap500_seed2,040I,IPF,Macrophage,Myofibroblast
cap500_seed2,040I,IPF,Macrophage_Alveolar,Fibroblast
cap500_seed2,040I,IPF,Macrophage_Alveolar,Myofibroblast
cap500_seed2,040I,IPF,Myofibroblast,Macrophage
cap500_seed2,040I,IPF,Myofibroblast,Macrophage_Alveolar
cap500_seed2,041I,IPF,Fibroblast,Macrophage
cap500_seed2,041I,IPF,Fibroblast,Macrophage_Alveolar
cap500_seed2,041I,IPF,Macrophage,Fibroblast
cap500_seed2,041I,IPF,Macrophage_Alveolar,Fibroblast
cap500_seed2,49I,IPF,Macrophage,Myofibroblast
cap500_seed2,49I,IPF,Macrophage_Alveolar,Myofibroblast
cap500_seed2,49I,IPF,Myofibroblast,Macrophage
cap500_seed2,49I,IPF,Myofibroblast,Macrophage_Alveolar
cap500_seed2,051I,IPF,Fibroblast,Macrophage
cap500_seed2,051I,IPF,Fibroblast,Macrophage_Alveolar
cap500_seed2,051I,IPF,Macrophage,Fibroblast
cap500_seed2,051I,IPF,Macrophage,Myofibroblast
cap500_seed2,051I,IPF,Macrophage_Alveolar,Fibroblast
cap500_seed2,051I,IPF,Macrophage_Alveolar,Myofibroblast
cap500_seed2,051I,IPF,Myofibroblast,Macrophage
cap500_seed2,051I,IPF,Myofibroblast,Macrophage_Alveolar
cap500_seed2,063I,IPF,Macrophage,Myofibroblast
cap500_seed2,063I,IPF,Macrophage_Alveolar,Myofibroblast
cap500_seed2,063I,IPF,Myofibroblast,Macrophage
cap500_seed2,063I,IPF,Myofibroblast,Macrophage_Alveolar
cap500_seed2,098C,control,ATII,Fibroblast
cap500_seed2,098C,control,Fibroblast,ATII
cap500_seed2,098C,control,Fibroblast,Macrophage
cap500_seed2,098C,control,Fibroblast,Macrophage_Alveolar
cap500_seed2,098C,control,Macrophage,ATII
cap500_seed2,098C,control,Macrophage,Fibroblast
cap500_seed2,098C,control,Macrophage_Alveolar,ATII
cap500_seed2,098C,control,Macrophage_Alveolar,Fibroblast
cap500_seed2,133C,control,Macrophage,ATII
cap500_seed2,133C,control,Macrophage_Alveolar,ATII
cap500_seed2,135I,IPF,Fibroblast,Macrophage
cap500_seed2,135I,IPF,Fibroblast,Macrophage_Alveolar
cap500_seed2,135I,IPF,Macrophage,Fibroblast
cap500_seed2,135I,IPF,Macrophage_Alveolar,Fibroblast
cap500_seed2,138I,IPF,Fibroblast,Macrophage
cap500_seed2,138I,IPF,Macrophage,Fibroblast
cap500_seed2,138I,IPF,Macrophage,Myofibroblast
cap500_seed2,138I,IPF,Myofibroblast,Macrophage
cap500_seed2,158I,IPF,Macrophage,ATII
cap500_seed2,158I,IPF,Macrophage_Alveolar,ATII
cap500_seed2,160C,control,Macrophage,ATII
cap500_seed2,160C,control,Macrophage_Alveolar,ATII
cap500_seed2,174I,IPF,Fibroblast,Macrophage
cap500_seed2,174I,IPF,Fibroblast,Macrophage_Alveolar
cap500_seed2,174I,IPF,Macrophage,Fibroblast
cap500_seed2,174I,IPF,Macrophage_Alveolar,Fibroblast
cap500_seed2,192C,control,ATII,Fibroblast
cap500_seed2,192C,control,Fibroblast,ATII
cap500_seed2,192C,control,Fibroblast,Macrophage
cap500_seed2,192C,control,Fibroblast,Macrophage_Alveolar
cap500_seed2,192C,control,Macrophage,ATII
cap500_seed2,192C,control,Macrophage,Fibroblast
cap500_seed2,192C,control,Macrophage_Alveolar,ATII
cap500_seed2,192C,control,Macrophage_Alveolar,Fibroblast
cap500_seed2,222C,control,ATII,Fibroblast
cap500_seed2,222C,control,ATII,Myofibroblast
cap500_seed2,222C,control,Fibroblast,ATII
cap500_seed2,222C,control,Fibroblast,Macrophage
cap500_seed2,222C,control,Fibroblast,Macrophage_Alveolar
cap500_seed2,222C,control,Macrophage,ATII
cap500_seed2,222C,control,Macrophage,Fibroblast
cap500_seed2,222C,control,Macrophage,Myofibroblast
cap500_seed2,222C,control,Macrophage_Alveolar,ATII
cap500_seed2,222C,control,Macrophage_Alveolar,Fibroblast
cap500_seed2,222C,control,Macrophage_Alveolar,Myofibroblast
cap500_seed2,222C,control,Myofibroblast,ATII
cap500_seed2,222C,control,Myofibroblast,Macrophage
cap500_seed2,222C,control,Myofibroblast,Macrophage_Alveolar
cap500_seed2,225I,IPF,ATII,Myofibroblast
cap500_seed2,225I,IPF,Macrophage,ATII
cap500_seed2,225I,IPF,Macrophage,Myofibroblast
cap500_seed2,225I,IPF,Macrophage_Alveolar,ATII
cap500_seed2,225I,IPF,Macrophage_Alveolar,Myofibroblast
cap500_seed2,225I,IPF,Myofibroblast,ATII
cap500_seed2,225I,IPF,Myofibroblast,Macrophage
cap500_seed2,225I,IPF,Myofibroblast,Macrophage_Alveolar
cap500_seed2,226C,control,Macrophage,ATII
cap500_seed2,226C,control,Macrophage_Alveolar,ATII
cap500_seed2,228I,IPF,Fibroblast,Macrophage
cap500_seed2,228I,IPF,Fibroblast,Macrophage_Alveolar
cap500_seed2,228I,IPF,Macrophage,Fibroblast
cap500_seed2,228I,IPF,Macrophage,Myofibroblast
cap500_seed2,228I,IPF,Macrophage_Alveolar,Fibroblast
cap500_seed2,228I,IPF,Macrophage_Alveolar,Myofibroblast
cap500_seed2,228I,IPF,Myofibroblast,Macrophage
cap500_seed2,228I,IPF,Myofibroblast,Macrophage_Alveolar
cap500_seed2,296C,control,Macrophage,ATII
cap500_seed2,296C,control,Macrophage_Alveolar,ATII
cap500_seed2,396C,control,Macrophage,ATII
cap500_seed2,396C,control,Macrophage_Alveolar,ATII
cap500_seed2,454C,control,Macrophage,ATII
cap500_seed2,454C,control,Macrophage_Alveolar,ATII
cap500_seed2,1372C,control,ATII,Fibroblast
cap500_seed2,1372C,control,Fibroblast,ATII
cap500_seed2,1372C,control,Fibroblast,Macrophage
cap500_seed2,1372C,control,Fibroblast,Macrophage_Alveolar
cap500_seed2,1372C,control,Macrophage,ATII
cap500_seed2,1372C,control,Macrophage,Fibroblast
cap500_seed2,1372C,control,Macrophage_Alveolar,ATII
cap500_seed2,1372C,control,Macrophage_Alveolar,Fibroblast
floor30,010I,IPF,ATII,Fibroblast
floor30,010I,IPF,Fibroblast,ATII
floor30,010I,IPF,Fibroblast,Macrophage
floor30,010I,IPF,Fibroblast,Macrophage_Alveolar
floor30,010I,IPF,Macrophage,ATII
floor30,010I,IPF,Macrophage,Fibroblast
floor30,010I,IPF,Macrophage_Alveolar,ATII
floor30,010I,IPF,Macrophage_Alveolar,Fibroblast
floor30,021I,IPF,Fibroblast,Macrophage
floor30,021I,IPF,Fibroblast,Macrophage_Alveolar
floor30,021I,IPF,Macrophage,Fibroblast
floor30,021I,IPF,Macrophage,Myofibroblast
floor30,021I,IPF,Macrophage_Alveolar,Fibroblast
floor30,021I,IPF,Macrophage_Alveolar,Myofibroblast
floor30,021I,IPF,Myofibroblast,Macrophage
floor30,021I,IPF,Myofibroblast,Macrophage_Alveolar
floor30,022I,IPF,ATII,Fibroblast
floor30,022I,IPF,ATII,Myofibroblast
floor30,022I,IPF,Fibroblast,ATII
floor30,022I,IPF,Fibroblast,Macrophage
floor30,022I,IPF,Fibroblast,Macrophage_Alveolar
floor30,022I,IPF,Macrophage,ATII
floor30,022I,IPF,Macrophage,Fibroblast
floor30,022I,IPF,Macrophage,Myofibroblast
floor30,022I,IPF,Macrophage_Alveolar,ATII
floor30,022I,IPF,Macrophage_Alveolar,Fibroblast
floor30,022I,IPF,Macrophage_Alveolar,Myofibroblast
floor30,022I,IPF,Myofibroblast,ATII
floor30,022I,IPF,Myofibroblast,Macrophage
floor30,022I,IPF,Myofibroblast,Macrophage_Alveolar
floor30,034I,IPF,Fibroblast,Macrophage
floor30,034I,IPF,Macrophage,Fibroblast
floor30,034I,IPF,Macrophage,Myofibroblast
floor30,034I,IPF,Myofibroblast,Macrophage
floor30,040I,IPF,Fibroblast,Macrophage
floor30,040I,IPF,Fibroblast,Macrophage_Alveolar
floor30,040I,IPF,Macrophage,Fibroblast
floor30,040I,IPF,Macrophage,Myofibroblast
floor30,040I,IPF,Macrophage_Alveolar,Fibroblast
floor30,040I,IPF,Macrophage_Alveolar,Myofibroblast
floor30,040I,IPF,Myofibroblast,Macrophage
floor30,040I,IPF,Myofibroblast,Macrophage_Alveolar
floor30,041I,IPF,Fibroblast,Macrophage
floor30,041I,IPF,Fibroblast,Macrophage_Alveolar
floor30,041I,IPF,Macrophage,Fibroblast
floor30,041I,IPF,Macrophage,Myofibroblast
floor30,041I,IPF,Macrophage_Alveolar,Fibroblast
floor30,041I,IPF,Macrophage_Alveolar,Myofibroblast
floor30,041I,IPF,Myofibroblast,Macrophage
floor30,041I,IPF,Myofibroblast,Macrophage_Alveolar
floor30,49I,IPF,Macrophage,Myofibroblast
floor30,49I,IPF,Macrophage_Alveolar,Myofibroblast
floor30,49I,IPF,Myofibroblast,Macrophage
floor30,49I,IPF,Myofibroblast,Macrophage_Alveolar
floor30,051I,IPF,Fibroblast,Macrophage
floor30,051I,IPF,Fibroblast,Macrophage_Alveolar
floor30,051I,IPF,Macrophage,Fibroblast
floor30,051I,IPF,Macrophage,Myofibroblast
floor30,051I,IPF,Macrophage_Alveolar,Fibroblast
floor30,051I,IPF,Macrophage_Alveolar,Myofibroblast
floor30,051I,IPF,Myofibroblast,Macrophage
floor30,051I,IPF,Myofibroblast,Macrophage_Alveolar
floor30,59I,IPF,Macrophage,Myofibroblast
floor30,59I,IPF,Macrophage_Alveolar,Myofibroblast
floor30,59I,IPF,Myofibroblast,Macrophage
floor30,59I,IPF,Myofibroblast,Macrophage_Alveolar
floor30,063I,IPF,Macrophage,Myofibroblast
floor30,063I,IPF,Macrophage_Alveolar,Myofibroblast
floor30,063I,IPF,Myofibroblast,Macrophage
floor30,063I,IPF,Myofibroblast,Macrophage_Alveolar
floor30,098C,control,ATII,Fibroblast
floor30,098C,control,Fibroblast,ATII
floor30,098C,control,Fibroblast,Macrophage
floor30,098C,control,Fibroblast,Macrophage_Alveolar
floor30,098C,control,Macrophage,ATII
