set	gene
HALLMARK_E2F_TARGETS	Pnn
HALLMARK_E2F_TARGETS	Pola2
HALLMARK_E2F_TARGETS	Pold1
HALLMARK_E2F_TARGETS	Pold2
HALLMARK_E2F_TARGETS	Pold3
HALLMARK_E2F_TARGETS	Pole
HALLMARK_E2F_TARGETS	Pole4
HALLMARK_E2F_TARGETS	Pop7
HALLMARK_E2F_TARGETS	Ppm1d
HALLMARK_E2F_TARGETS	Ppp1r8
HALLMARK_E2F_TARGETS	Prdx4
HALLMARK_E2F_TARGETS	Prim2
HALLMARK_E2F_TARGETS	Prkdc
HALLMARK_E2F_TARGETS	Prps1
HALLMARK_E2F_TARGETS	Psip1
HALLMARK_E2F_TARGETS	Psmc3ip
HALLMARK_E2F_TARGETS	Pttg1
HALLMARK_E2F_TARGETS	Racgap1
HALLMARK_E2F_TARGETS	Rad1
HALLMARK_E2F_TARGETS	Rad21
HALLMARK_E2F_TARGETS	Rad50
HALLMARK_E2F_TARGETS	Rad51ap1
HALLMARK_E2F_TARGETS	Rad51c
HALLMARK_E2F_TARGETS	Ran
HALLMARK_E2F_TARGETS	Ranbp1
HALLMARK_E2F_TARGETS	Rbbp7
HALLMARK_E2F_TARGETS	Rfc1
HALLMARK_E2F_TARGETS	Rfc2
HALLMARK_E2F_TARGETS	Rfc3
HALLMARK_E2F_TARGETS	Rnaseh2a
HALLMARK_E2F_TARGETS	Rpa1
HALLMARK_E2F_TARGETS	Rpa2
HALLMARK_E2F_TARGETS	Rpa3
HALLMARK_E2F_TARGETS	Rrm2
HALLMARK_E2F_TARGETS	Shmt1
HALLMARK_E2F_TARGETS	Slbp
HALLMARK_E2F_TARGETS	Smc1a
HALLMARK_E2F_TARGETS	Smc3
HALLMARK_E2F_TARGETS	Smc4
HALLMARK_E2F_TARGETS	Smc6
HALLMARK_E2F_TARGETS	Snrpb
HALLMARK_E2F_TARGETS	Spag5
HALLMARK_E2F_TARGETS	Spc24
HALLMARK_E2F_TARGETS	Spc25
HALLMARK_E2F_TARGETS	Srsf1
HALLMARK_E2F_TARGETS	Srsf2
HALLMARK_E2F_TARGETS	Ssrp1
HALLMARK_E2F_TARGETS	Stag1
HALLMARK_E2F_TARGETS	Stmn1
HALLMARK_E2F_TARGETS	Suv39h1
HALLMARK_E2F_TARGETS	Syncrip
HALLMARK_E2F_TARGETS	Tacc3
HALLMARK_E2F_TARGETS	Tbrg4
HALLMARK_E2F_TARGETS	Tcf19
HALLMARK_E2F_TARGETS	Tfrc
HALLMARK_E2F_TARGETS	Timeless
HALLMARK_E2F_TARGETS	Tipin
HALLMARK_E2F_TARGETS	Tk1
HALLMARK_E2F_TARGETS	Tmpo
HALLMARK_E2F_TARGETS	Top2a
HALLMARK_E2F_TARGETS	Tra2b
HALLMARK_E2F_TARGETS	Trip13
HALLMARK_E2F_TARGETS	Trp53
HALLMARK_E2F_TARGETS	Tubb5
HALLMARK_E2F_TARGETS	Tubg1
HALLMARK_E2F_TARGETS	Ube2s
HALLMARK_E2F_TARGETS	Ube2t
HALLMARK_E2F_TARGETS	Ubr7
HALLMARK_E2F_TARGETS	Ung
HALLMARK_E2F_TARGETS	Usp1
HALLMARK_E2F_TARGETS	Wdr90
HALLMARK_E2F_TARGETS	Wee1
HALLMARK_E2F_TARGETS	Xpo1
HALLMARK_E2F_TARGETS	Xrcc6
HALLMARK_E2F_TARGETS	Zw10
HALLMARK_G2M_CHECKPOINT	Abl1
HALLMARK_G2M_CHECKPOINT	Amd1
HALLMARK_G2M_CHECKPOINT	Arid4a
HALLMARK_G2M_CHECKPOINT	Atf5
HALLMARK_G2M_CHECKPOINT	Atrx
HALLMARK_G2M_CHECKPOINT	Aurka
HALLMARK_G2M_CHECKPOINT	Aurkb
HALLMARK_G2M_CHECKPOINT	Bard1
HALLMARK_G2M_CHECKPOINT	Bcl3
HALLMARK_G2M_CHECKPOINT	Birc5
HALLMARK_G2M_CHECKPOINT	Brca2
HALLMARK_G2M_CHECKPOINT	Bub1
HALLMARK_G2M_CHECKPOINT	Bub3
HALLMARK_G2M_CHECKPOINT	Casp8ap2
HALLMARK_G2M_CHECKPOINT	Cbx1
HALLMARK_G2M_CHECKPOINT	Ccna2
HALLMARK_G2M_CHECKPOINT	Ccnb2
HALLMARK_G2M_CHECKPOINT	Ccnd1
HALLMARK_G2M_CHECKPOINT	Ccnf
HALLMARK_G2M_CHECKPOINT	Ccnt1
HALLMARK_G2M_CHECKPOINT	Cdc20
HALLMARK_G2M_CHECKPOINT	Cdc25a
HALLMARK_G2M_CHECKPOINT	Cdc25b
HALLMARK_G2M_CHECKPOINT	Cdc27
HALLMARK_G2M_CHECKPOINT	Cdc45
HALLMARK_G2M_CHECKPOINT	Cdc6
HALLMARK_G2M_CHECKPOINT	Cdc7
HALLMARK_G2M_CHECKPOINT	Cdk1
HALLMARK_G2M_CHECKPOINT	Cdk4
HALLMARK_G2M_CHECKPOINT	Cdkn1b
HALLMARK_G2M_CHECKPOINT	Cdkn2c
HALLMARK_G2M_CHECKPOINT	Cdkn3
HALLMARK_G2M_CHECKPOINT	Cenpa
HALLMARK_G2M_CHECKPOINT	Cenpe
HALLMARK_G2M_CHECKPOINT	Cenpf
HALLMARK_G2M_CHECKPOINT	Chaf1a
HALLMARK_G2M_CHECKPOINT	Chek1
HALLMARK_G2M_CHECKPOINT	Chmp1a
HALLMARK_G2M_CHECKPOINT	Cks1b
HALLMARK_G2M_CHECKPOINT	Cks2
HALLMARK_G2M_CHECKPOINT	Ctcf
HALLMARK_G2M_CHECKPOINT	Cul1
HALLMARK_G2M_CHECKPOINT	Cul3
HALLMARK_G2M_CHECKPOINT	Cul4a
HALLMARK_G2M_CHECKPOINT	Cul5
HALLMARK_G2M_CHECKPOINT	Dbf4
HALLMARK_G2M_CHECKPOINT	Ddx39a
HALLMARK_G2M_CHECKPOINT	Dkc1
HALLMARK_G2M_CHECKPOINT	Dmd
HALLMARK_G2M_CHECKPOINT	Dr1
HALLMARK_G2M_CHECKPOINT	Dtymk
HALLMARK_G2M_CHECKPOINT	E2f1
HALLMARK_G2M_CHECKPOINT	E2f2
HALLMARK_G2M_CHECKPOINT	E2f3
HALLMARK_G2M_CHECKPOINT	E2f4
HALLMARK_G2M_CHECKPOINT	Efna5
HALLMARK_G2M_CHECKPOINT	Egf
HALLMARK_G2M_CHECKPOINT	Espl1
HALLMARK_G2M_CHECKPOINT	Ewsr1
HALLMARK_G2M_CHECKPOINT	Exo1
HALLMARK_G2M_CHECKPOINT	Ezh2
HALLMARK_G2M_CHECKPOINT	Fancc
HALLMARK_G2M_CHECKPOINT	Fbxo5
HALLMARK_G2M_CHECKPOINT	Foxn3
HALLMARK_G2M_CHECKPOINT	G3bp1
HALLMARK_G2M_CHECKPOINT	Gins2
HALLMARK_G2M_CHECKPOINT	Gspt1
HALLMARK_G2M_CHECKPOINT	H2ax
HALLMARK_G2M_CHECKPOINT	H2az1
HALLMARK_G2M_CHECKPOINT	H2az2
HALLMARK_G2M_CHECKPOINT	H2bc12
HALLMARK_G2M_CHECKPOINT	Hif1a
HALLMARK_G2M_CHECKPOINT	Hira
HALLMARK_G2M_CHECKPOINT	Hmga1b
HALLMARK_G2M_CHECKPOINT	Hmgb3
HALLMARK_G2M_CHECKPOINT	Hmmr
HALLMARK_G2M_CHECKPOINT	Hnrnpd
HALLMARK_G2M_CHECKPOINT	Hnrnpu
HALLMARK_G2M_CHECKPOINT	Hoxc10
HALLMARK_G2M_CHECKPOINT	Hspa8
HALLMARK_G2M_CHECKPOINT	Hus1
HALLMARK_G2M_CHECKPOINT	Ilf3
HALLMARK_G2M_CHECKPOINT	Incenp
HALLMARK_G2M_CHECKPOINT	Jpt1
HALLMARK_G2M_CHECKPOINT	Katna1
HALLMARK_G2M_CHECKPOINT	Kif11
HALLMARK_G2M_CHECKPOINT	Kif15
HALLMARK_G2M_CHECKPOINT	Kif20b
HALLMARK_G2M_CHECKPOINT	Kif22
HALLMARK_G2M_CHECKPOINT	Kif23
HALLMARK_G2M_CHECKPOINT	Kif2c
HALLMARK_G2M_CHECKPOINT	Kif4
HALLMARK_G2M_CHECKPOINT	Kif5b
HALLMARK_G2M_CHECKPOINT	Kmt5a
HALLMARK_G2M_CHECKPOINT	Knl1
HALLMARK_G2M_CHECKPOINT	Kpnb1
HALLMARK_G2M_CHECKPOINT	Lbr
HALLMARK_G2M_CHECKPOINT	Lig3
HALLMARK_G2M_CHECKPOINT	Lmnb1
HALLMARK_G2M_CHECKPOINT	Mad2l1
HALLMARK_G2M_CHECKPOINT	Map3k20
HALLMARK_G2M_CHECKPOINT	Mapk14
HALLMARK_G2M_CHECKPOINT	Marcks
HALLMARK_G2M_CHECKPOINT	Mcm2
HALLMARK_G2M_CHECKPOINT	Mcm3
HALLMARK_G2M_CHECKPOINT	Mcm5
HALLMARK_G2M_CHECKPOINT	Mcm6
HALLMARK_G2M_CHECKPOINT	Meis1
HALLMARK_G2M_CHECKPOINT	Meis2
HALLMARK_G2M_CHECKPOINT	Mki67
HALLMARK_G2M_CHECKPOINT	Mnat1
HALLMARK_G2M_CHECKPOINT	Mtf2
HALLMARK_G2M_CHECKPOINT	Mybl2
HALLMARK_G2M_CHECKPOINT	Myc
HALLMARK_G2M_CHECKPOINT	Nasp
HALLMARK_G2M_CHECKPOINT	Ncl
HALLMARK_G2M_CHECKPOINT	Ndc80
HALLMARK_G2M_CHECKPOINT	Nek2
HALLMARK_G2M_CHECKPOINT	Nolc1
HALLMARK_G2M_CHECKPOINT	Notch2
HALLMARK_G2M_CHECKPOINT	Nsd2
HALLMARK_G2M_CHECKPOINT	Numa1
HALLMARK_G2M_CHECKPOINT	Nup50
HALLMARK_G2M_CHECKPOINT	Nup98
HALLMARK_G2M_CHECKPOINT	Nusap1
HALLMARK_G2M_CHECKPOINT	Odc1
HALLMARK_G2M_CHECKPOINT	Odf2
HALLMARK_G2M_CHECKPOINT	Orc5
HALLMARK_G2M_CHECKPOINT	Orc6
HALLMARK_G2M_CHECKPOINT	Pafah1b1
HALLMARK_G2M_CHECKPOINT	Pbk
HALLMARK_G2M_CHECKPOINT	Pds5b
HALLMARK_G2M_CHECKPOINT	Plk1
HALLMARK_G2M_CHECKPOINT	Plk4
HALLMARK_G2M_CHECKPOINT	Pml
HALLMARK_G2M_CHECKPOINT	Pola2
HALLMARK_G2M_CHECKPOINT	Pole
HALLMARK_G2M_CHECKPOINT	Polq
HALLMARK_G2M_CHECKPOINT	Prc1
HALLMARK_G2M_CHECKPOINT	Prim2
HALLMARK_G2M_CHECKPOINT	Prmt5
HALLMARK_G2M_CHECKPOINT	Prpf4b
HALLMARK_G2M_CHECKPOINT	Pttg1
HALLMARK_G2M_CHECKPOINT	Pura
HALLMARK_G2M_CHECKPOINT	Racgap1
HALLMARK_G2M_CHECKPOINT	Rad21
HALLMARK_G2M_CHECKPOINT	Rad23b
HALLMARK_G2M_CHECKPOINT	Rad54l
HALLMARK_G2M_CHECKPOINT	Rasal2
HALLMARK_G2M_CHECKPOINT	Rbl1
HALLMARK_G2M_CHECKPOINT	Rpa2
HALLMARK_G2M_CHECKPOINT	Rps6ka5
HALLMARK_G2M_CHECKPOINT	Sap30
HALLMARK_G2M_CHECKPOINT	Sfpq
HALLMARK_G2M_CHECKPOINT	Slc12a2
HALLMARK_G2M_CHECKPOINT	Slc38a1
HALLMARK_G2M_CHECKPOINT	Slc7a1
HALLMARK_G2M_CHECKPOINT	Slc7a5
HALLMARK_G2M_CHECKPOINT	Smad3
HALLMARK_G2M_CHECKPOINT	Smarcc1
HALLMARK_G2M_CHECKPOINT	Smc1a
HALLMARK_G2M_CHECKPOINT	Smc2
HALLMARK_G2M_CHECKPOINT	Smc4
HALLMARK_G2M_CHECKPOINT	Snrpd1
HALLMARK_G2M_CHECKPOINT	Sqle
HALLMARK_G2M_CHECKPOINT	Srsf1
HALLMARK_G2M_CHECKPOINT	Srsf10
HALLMARK_G2M_CHECKPOINT	Srsf2
HALLMARK_G2M_CHECKPOINT	Ss18
HALLMARK_G2M_CHECKPOINT	Stag1
HALLMARK_G2M_CHECKPOINT	Stil
HALLMARK_G2M_CHECKPOINT	Stmn1
HALLMARK_G2M_CHECKPOINT	Suv39h1
HALLMARK_G2M_CHECKPOINT	Syncrip
HALLMARK_G2M_CHECKPOINT	Tacc3
HALLMARK_G2M_CHECKPOINT	Tent4a
HALLMARK_G2M_CHECKPOINT	Tfdp1
HALLMARK_G2M_CHECKPOINT	Tgfb1
HALLMARK_G2M_CHECKPOINT	Tle3
HALLMARK_G2M_CHECKPOINT	Tmpo
HALLMARK_G2M_CHECKPOINT	Tnpo2
HALLMARK_G2M_CHECKPOINT	Top1
HALLMARK_G2M_CHECKPOINT	Top2a
HALLMARK_G2M_CHECKPOINT	Tpx2
HALLMARK_G2M_CHECKPOINT	Tra2b
HALLMARK_G2M_CHECKPOINT	Traip
HALLMARK_G2M_CHECKPOINT	Troap
HALLMARK_G2M_CHECKPOINT	Ttk
HALLMARK_G2M_CHECKPOINT	Ube2c
HALLMARK_G2M_CHECKPOINT	Ube2s
HALLMARK_G2M_CHECKPOINT	Uck2
HALLMARK_G2M_CHECKPOINT	Upf1
HALLMARK_G2M_CHECKPOINT	Wrn
HALLMARK_G2M_CHECKPOINT	Xpo1
HALLMARK_G2M_CHECKPOINT	Ythdc1
HALLMARK_GLYCOLYSIS	Abcb6
HALLMARK_GLYCOLYSIS	Adora2b
HALLMARK_GLYCOLYSIS	Agl
HALLMARK_GLYCOLYSIS	Agrn
HALLMARK_GLYCOLYSIS	Ak3
HALLMARK_GLYCOLYSIS	Ak4
HALLMARK_GLYCOLYSIS	Akr1a1
HALLMARK_GLYCOLYSIS	Aldh7a1
HALLMARK_GLYCOLYSIS	Aldh9a1
HALLMARK_GLYCOLYSIS	Aldoa
HALLMARK_GLYCOLYSIS	Aldob
HALLMARK_GLYCOLYSIS	Alg1
HALLMARK_GLYCOLYSIS	Ang
HALLMARK_GLYCOLYSIS	Angptl4
HALLMARK_GLYCOLYSIS	Ankzf1
HALLMARK_GLYCOLYSIS	Arpp19
HALLMARK_GLYCOLYSIS	Artn
HALLMARK_GLYCOLYSIS	Aurka
HALLMARK_GLYCOLYSIS	B3galt6
HALLMARK_GLYCOLYSIS	B3gat1
HALLMARK_GLYCOLYSIS	B3gat3
HALLMARK_GLYCOLYSIS	B3gnt3
HALLMARK_GLYCOLYSIS	B4galt1
HALLMARK_GLYCOLYSIS	B4galt2
HALLMARK_GLYCOLYSIS	B4galt4
HALLMARK_GLYCOLYSIS	B4galt7
HALLMARK_GLYCOLYSIS	Bik
HALLMARK_GLYCOLYSIS	Bpnt1
HALLMARK_GLYCOLYSIS	Cacna1h
HALLMARK_GLYCOLYSIS	Capn5
HALLMARK_GLYCOLYSIS	Casp6
HALLMARK_GLYCOLYSIS	Cd44
HALLMARK_GLYCOLYSIS	Cdk1
HALLMARK_GLYCOLYSIS	Cenpa
HALLMARK_GLYCOLYSIS	Chpf
HALLMARK_GLYCOLYSIS	Chpf2
HALLMARK_GLYCOLYSIS	Chst1
HALLMARK_GLYCOLYSIS	Chst12
HALLMARK_GLYCOLYSIS	Chst2
HALLMARK_GLYCOLYSIS	Chst4
HALLMARK_GLYCOLYSIS	Chst5
HALLMARK_GLYCOLYSIS	Cited2
HALLMARK_GLYCOLYSIS	Cldn3
HALLMARK_GLYCOLYSIS	Cldn9
HALLMARK_GLYCOLYSIS	Cln6
HALLMARK_GLYCOLYSIS	Cog2
HALLMARK_GLYCOLYSIS	Col5a1
HALLMARK_GLYCOLYSIS	Copb2
HALLMARK_GLYCOLYSIS	Cth
HALLMARK_GLYCOLYSIS	Cxcr4
HALLMARK_GLYCOLYSIS	Cyb5a
HALLMARK_GLYCOLYSIS	Dcn
HALLMARK_GLYCOLYSIS	Ddit4
HALLMARK_GLYCOLYSIS	Depdc1a
HALLMARK_GLYCOLYSIS	Dld
HALLMARK_GLYCOLYSIS	Dpysl4
HALLMARK_GLYCOLYSIS	Dsc2
HALLMARK_GLYCOLYSIS	Ecd
HALLMARK_GLYCOLYSIS	Efna3
HALLMARK_GLYCOLYSIS	Egfr
HALLMARK_GLYCOLYSIS	Egln3
HALLMARK_GLYCOLYSIS	Elf3
HALLMARK_GLYCOLYSIS	Eno1b
HALLMARK_GLYCOLYSIS	Eno2
HALLMARK_GLYCOLYSIS	Ero1a
HALLMARK_GLYCOLYSIS	Ext1
HALLMARK_GLYCOLYSIS	Ext2
HALLMARK_GLYCOLYSIS	Fam162a
HALLMARK_GLYCOLYSIS	Fbp2
HALLMARK_GLYCOLYSIS	Fkbp4
HALLMARK_GLYCOLYSIS	Fut8
HALLMARK_GLYCOLYSIS	G6pdx
HALLMARK_GLYCOLYSIS	Gal3st1
HALLMARK_GLYCOLYSIS	Gale
HALLMARK_GLYCOLYSIS	Galk1
HALLMARK_GLYCOLYSIS	Galk2
HALLMARK_GLYCOLYSIS	Gapdhs
HALLMARK_GLYCOLYSIS	Gclc
HALLMARK_GLYCOLYSIS	Gfpt1
HALLMARK_GLYCOLYSIS	Gfus
HALLMARK_GLYCOLYSIS	Glce
HALLMARK_GLYCOLYSIS	Glrx
HALLMARK_GLYCOLYSIS	Gmppa
HALLMARK_GLYCOLYSIS	Gmppb
HALLMARK_GLYCOLYSIS	Gne
HALLMARK_GLYCOLYSIS	Gnpda1
HALLMARK_GLYCOLYSIS	Got1
HALLMARK_GLYCOLYSIS	Got2
HALLMARK_GLYCOLYSIS	Gpc1
HALLMARK_GLYCOLYSIS	Gpc3
HALLMARK_GLYCOLYSIS	Gpc4
HALLMARK_GLYCOLYSIS	Gpr87
HALLMARK_GLYCOLYSIS	Gusb
HALLMARK_GLYCOLYSIS	Gys1
HALLMARK_GLYCOLYSIS	Gys2
HALLMARK_GLYCOLYSIS	Hax1
HALLMARK_GLYCOLYSIS	Hdlbp
HALLMARK_GLYCOLYSIS	Hk2
HALLMARK_GLYCOLYSIS	Hmmr
HALLMARK_GLYCOLYSIS	Homer1
HALLMARK_GLYCOLYSIS	Hs2st1
HALLMARK_GLYCOLYSIS	Hs6st2
HALLMARK_GLYCOLYSIS	Hspa5
HALLMARK_GLYCOLYSIS	Idh1
HALLMARK_GLYCOLYSIS	Idua
HALLMARK_GLYCOLYSIS	Ier3
HALLMARK_GLYCOLYSIS	Igfbp3
HALLMARK_GLYCOLYSIS	Il13ra1
HALLMARK_GLYCOLYSIS	Irs2
HALLMARK_GLYCOLYSIS	Isg20
HALLMARK_GLYCOLYSIS	Kdelr3
HALLMARK_GLYCOLYSIS	Kif20a
HALLMARK_GLYCOLYSIS	Kif2a
HALLMARK_GLYCOLYSIS	Lct
HALLMARK_GLYCOLYSIS	Ldha
HALLMARK_GLYCOLYSIS	Ldhc
HALLMARK_GLYCOLYSIS	Lhpp
HALLMARK_GLYCOLYSIS	Lhx9
HALLMARK_GLYCOLYSIS	Mdh1
HALLMARK_GLYCOLYSIS	Mdh2
HALLMARK_GLYCOLYSIS	Me1
HALLMARK_GLYCOLYSIS	Me2
HALLMARK_GLYCOLYSIS	Med24
HALLMARK_GLYCOLYSIS	Mertk
HALLMARK_GLYCOLYSIS	Met
HALLMARK_GLYCOLYSIS	Mif
HALLMARK_GLYCOLYSIS	Miox
HALLMARK_GLYCOLYSIS	Mpi
HALLMARK_GLYCOLYSIS	Mxi1
HALLMARK_GLYCOLYSIS	Nanp
HALLMARK_GLYCOLYSIS	Nasp
HALLMARK_GLYCOLYSIS	Ndst3
HALLMARK_GLYCOLYSIS	Ndufv3
HALLMARK_GLYCOLYSIS	Nol3
HALLMARK_GLYCOLYSIS	Nsdhl
HALLMARK_GLYCOLYSIS	Nt5e
HALLMARK_GLYCOLYSIS	P4ha1
HALLMARK_GLYCOLYSIS	P4ha2
HALLMARK_GLYCOLYSIS	Pam
HALLMARK_GLYCOLYSIS	Paxip1
HALLMARK_GLYCOLYSIS	Pcx
HALLMARK_GLYCOLYSIS	Pdk3
HALLMARK_GLYCOLYSIS	Pfkfb1
HALLMARK_GLYCOLYSIS	Pfkp
HALLMARK_GLYCOLYSIS	Pgam1
HALLMARK_GLYCOLYSIS	Pgam2
HALLMARK_GLYCOLYSIS	Pgk1
HALLMARK_GLYCOLYSIS	Pgls
HALLMARK_GLYCOLYSIS	Pgm2
HALLMARK_GLYCOLYSIS	Phka2
HALLMARK_GLYCOLYSIS	Pkm
HALLMARK_GLYCOLYSIS	Pkp2
HALLMARK_GLYCOLYSIS	Plod1
HALLMARK_GLYCOLYSIS	Plod2
HALLMARK_GLYCOLYSIS	Pmm2
HALLMARK_GLYCOLYSIS	Polr3k
HALLMARK_GLYCOLYSIS	Ppfia4
HALLMARK_GLYCOLYSIS	Ppia
HALLMARK_GLYCOLYSIS	Ppp2cb
HALLMARK_GLYCOLYSIS	Prps1
HALLMARK_GLYCOLYSIS	Psmc4
HALLMARK_GLYCOLYSIS	Pygb
HALLMARK_GLYCOLYSIS	Pygl
HALLMARK_GLYCOLYSIS	Qsox1
HALLMARK_GLYCOLYSIS	Rars1
HALLMARK_GLYCOLYSIS	Rbck1
HALLMARK_GLYCOLYSIS	Rpe
HALLMARK_GLYCOLYSIS	Rragd
HALLMARK_GLYCOLYSIS	Sap30
HALLMARK_GLYCOLYSIS	Sdc1
HALLMARK_GLYCOLYSIS	Sdc2
HALLMARK_GLYCOLYSIS	Sdc3
HALLMARK_GLYCOLYSIS	Sdhc
HALLMARK_GLYCOLYSIS	Slc16a3
HALLMARK_GLYCOLYSIS	Slc25a10
HALLMARK_GLYCOLYSIS	Slc25a13
HALLMARK_GLYCOLYSIS	Slc35a3
HALLMARK_GLYCOLYSIS	Slc37a4
HALLMARK_GLYCOLYSIS	Sod1
HALLMARK_GLYCOLYSIS	Sox9
HALLMARK_GLYCOLYSIS	Spag4
HALLMARK_GLYCOLYSIS	Srd5a3
HALLMARK_GLYCOLYSIS	Stc1
HALLMARK_GLYCOLYSIS	Stc2
HALLMARK_GLYCOLYSIS	Stmn1
HALLMARK_GLYCOLYSIS	Taldo1
HALLMARK_GLYCOLYSIS	Tff3
HALLMARK_GLYCOLYSIS	Tgfa
