,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Bst2,327.357511,0.94482,0.216252,4.369076,1.2e-05,0.001581
Aplp2,1798.873259,-0.405565,0.092862,-4.367391,1.3e-05,0.001581
Tnfrsf1b,558.072728,0.577889,0.132437,4.363503,1.3e-05,0.001591
Gcnt2,613.638939,-0.518269,0.120665,-4.295113,1.7e-05,0.002147
Nlrc5,19.753587,1.614551,0.377315,4.279049,1.9e-05,0.002283
Hmgn1,330.564191,0.460204,0.107671,4.274178,1.9e-05,0.002308
Lpcat2,59.839038,1.172505,0.276143,4.24601,2.2e-05,0.00259
Pkig,196.987271,0.554446,0.131048,4.23086,2.3e-05,0.002742
Sp100,95.402055,0.854488,0.202279,4.224307,2.4e-05,0.002794
Ftl1-ps1,516.155615,0.871206,0.206728,4.214255,2.5e-05,0.002891
Nfkbid,316.87201,0.541625,0.128859,4.20325,2.6e-05,0.003004
Acer3,83.046399,1.064999,0.254138,4.190634,2.8e-05,0.003115
Scd2,173.957115,0.81103,0.193541,4.190491,2.8e-05,0.003115
Tsc22d3,314.402049,-0.827298,0.198801,-4.161445,3.2e-05,0.003482
Lpin1,913.139971,-0.778811,0.187186,-4.160627,3.2e-05,0.003482
H2-D1,5301.974148,0.629559,0.152007,4.141643,3.4e-05,0.003746
Gm8113,14.304293,-2.144512,0.52016,-4.122789,3.7e-05,0.004027
Cxcl16,63.514364,0.87917,0.213455,4.118761,3.8e-05,0.004059
Cmpk2,7.039918,2.636919,0.642336,4.1052,4e-05,0.004264
Srsf5,669.735939,0.404881,0.09877,4.099214,4.1e-05,0.004335
Basp1,193.831412,0.992013,0.242387,4.092681,4.3e-05,0.004383
Stat1,244.255781,0.837627,0.204679,4.092387,4.3e-05,0.004383
Hacd4,244.481724,0.589063,0.144071,4.088691,4.3e-05,0.004413
Prom1,63.369325,0.918698,0.225418,4.075523,4.6e-05,0.004628
Plekho1,47.543975,1.017737,0.250259,4.066742,4.8e-05,0.004759
Trim47,94.533552,-0.84058,0.206853,-4.063649,4.8e-05,0.004759
E2f2,79.494445,1.057476,0.26028,4.062843,4.8e-05,0.004759
Tgfb2,12.915221,-3.130307,0.771342,-4.058261,4.9e-05,0.004805
Rilpl2,444.861578,0.607182,0.149751,4.054625,5e-05,0.004805
Baz1a,1536.790154,-0.384676,0.094876,-4.054503,5e-05,0.004805
Slc31a1,71.399451,0.778165,0.192042,4.052062,5.1e-05,0.004814
Dusp2,36.059289,1.660226,0.410146,4.047892,5.2e-05,0.00486
Gm12250,10.979724,2.286953,0.565926,4.041081,5.3e-05,0.004961
Hmgcs1,387.362069,0.514121,0.127455,4.033745,5.5e-05,0.005041
Epsti1,60.266275,1.166104,0.289108,4.03346,5.5e-05,0.005041
Adcy4,14.822391,1.66016,0.413454,4.015342,5.9e-05,0.0054
Ahnak,2258.843623,-0.419734,0.104883,-4.001912,6.3e-05,0.00567
Calhm6,19.869493,1.612547,0.404354,3.987962,6.7e-05,0.005966
Hsd17b7,56.823144,0.982283,0.246764,3.98065,6.9e-05,0.006072
Tppp,24.573817,-1.698472,0.426752,-3.979993,6.9e-05,0.006072
Rnaset2b,89.689006,0.907972,0.228291,3.977253,7e-05,0.006095
Pycard,403.912065,0.721284,0.181743,3.968707,7.2e-05,0.006268
Igtp,27.955014,1.249659,0.317104,3.940849,8.1e-05,0.006989
Endod1,59.365112,-0.966604,0.245974,-3.929704,8.5e-05,0.007265
Cfb,88.671626,1.408523,0.358888,3.924691,8.7e-05,0.007362
Hpse,26.032194,1.895928,0.48475,3.911143,9.2e-05,0.007692
Ebi3,10.965822,1.925859,0.492486,3.910484,9.2e-05,0.007692
Milr1,123.914653,0.685021,0.176112,3.8897,0.0001,0.008319
Nudt19,94.939815,0.771523,0.198663,3.883566,0.000103,0.008469
Rbm25,636.464355,-0.357164,0.092165,-3.875257,0.000107,0.0087
Svbp,136.581657,0.534699,0.138121,3.871243,0.000108,0.00875
Cdkn2d,54.801951,0.950272,0.245528,3.870321,0.000109,0.00875
Slc2a1,66.354515,0.810107,0.209445,3.867865,0.00011,0.008776
Dhrs3,781.074868,-0.372046,0.096542,-3.853724,0.000116,0.009221
Ndufa4,1077.717031,-0.60636,0.157402,-3.852298,0.000117,0.009221
Slc25a1,158.503799,0.512543,0.133379,3.842744,0.000122,0.009521
Sp140,131.61553,0.633529,0.165259,3.833563,0.000126,0.009809
Tmem219,177.129674,0.507478,0.132433,3.831964,0.000127,0.009809
Hexb,365.853782,0.59091,0.154272,3.830306,0.000128,0.009809
Aoah,6.199786,2.330449,0.609225,3.825267,0.000131,0.009888
Alas1,712.804167,0.435542,0.113867,3.824997,0.000131,0.009888
Igsf6,130.576517,0.668951,0.17505,3.82148,0.000133,0.009962
Sema6d,48.629985,-0.990765,0.259628,-3.816103,0.000136,0.010114
Septin11,590.321889,-0.430085,0.112752,-3.81443,0.000136,0.010115
Ffar4,192.922938,-0.62178,0.163088,-3.812545,0.000138,0.010126
Cxcr2,33.758498,1.513108,0.397341,3.808082,0.00014,0.010243
Phf11b,13.220849,2.064213,0.543499,3.798009,0.000146,0.010599
I830077J02Rik,83.390865,0.671596,0.177034,3.793596,0.000148,0.010719
Rtraf,466.096368,0.404882,0.107019,3.783259,0.000155,0.011037
Lasp1,319.818064,0.5409,0.142976,3.783154,0.000155,0.011037
Fubp1,290.880916,-0.391263,0.103514,-3.779816,0.000157,0.011115
Chpf,56.099412,-0.798964,0.21176,-3.772969,0.000161,0.011353
Prdx6,188.820194,0.488007,0.129633,3.764541,0.000167,0.011669
Flrt3,6.074247,2.561981,0.683365,3.749065,0.000177,0.012336
Tchh,46.16202,-1.127608,0.300936,-3.747002,0.000179,0.012362
Msmo1,236.683462,0.569252,0.152331,3.736948,0.000186,0.012787
Tbc1d2,78.517816,0.832599,0.222912,3.735107,0.000188,0.012803
Mvk,41.317304,0.894181,0.239798,3.728894,0.000192,0.013043
Ermp1,141.041964,-0.55253,0.148594,-3.718383,0.000201,0.013516
Itgad,8.110403,-2.476499,0.667428,-3.710508,0.000207,0.01386
Cyb5r3,786.202399,-0.404061,0.108955,-3.708499,0.000208,0.013887
Plaat3,187.354665,0.813979,0.219751,3.704089,0.000212,0.014047
Pik3ap1,905.546506,-0.390659,0.105707,-3.695666,0.000219,0.014436
Lyst,211.381088,0.609888,0.165628,3.682267,0.000231,0.0151
Fnip2,143.502105,0.638845,0.173541,3.68124,0.000232,0.0151
Grn,1838.322929,0.403766,0.109786,3.677743,0.000235,0.01522
C3ar1,10.934768,1.989416,0.541912,3.671108,0.000242,0.015531
Cdk6,432.088846,-0.589498,0.16076,-3.666938,0.000245,0.015696
Cep350,222.183941,-0.540338,0.147466,-3.664145,0.000248,0.015778
Rras,115.078483,0.580926,0.158642,3.661856,0.00025,0.015782
Bicd1,13.352388,-2.027792,0.553861,-3.661189,0.000251,0.015782
Erg28,71.678779,0.803696,0.220334,3.647625,0.000265,0.016546
Psmb9,289.774659,0.915767,0.251284,3.644346,0.000268,0.016665
Gbp3,36.600187,1.169966,0.321262,3.641775,0.000271,0.01674
Anxa3,261.042406,0.567678,0.155957,3.639965,0.000273,0.01674
Ptges3,605.359557,-0.34798,0.095627,-3.638944,0.000274,0.01674
Isg15,58.041,2.487216,0.684219,3.635116,0.000278,0.016898
Igsf3,13.782435,1.36904,0.376913,3.632246,0.000281,0.016995
Net1,821.702334,-0.383413,0.105777,-3.624721,0.000289,0.017403
Gm45828,57.2109,-0.841032,0.232116,-3.62332,0.000291,0.017404
Taf1d,266.192328,-0.461932,0.127634,-3.619186,0.000296,0.017532
Gstm1,1166.456276,0.430176,0.118885,3.618427,0.000296,0.017532
Fcgr1,151.539681,0.666681,0.184304,3.617298,0.000298,0.017532
Esd,610.891388,0.698456,0.19316,3.615945,0.000299,0.017532
Nrp2,505.644845,0.522563,0.14458,3.614354,0.000301,0.017548
Fam20c,40.315785,1.290375,0.357154,3.612938,0.000303,0.017553
Ifi203,112.286851,1.026301,0.284693,3.604938,0.000312,0.018009
Plpp2,29.084752,1.034592,0.287154,3.602921,0.000315,0.018057
Rnase6,170.35589,0.596222,0.165848,3.595002,0.000324,0.01852
Gm2a,763.250421,0.356587,0.099315,3.590453,0.00033,0.018751
Ccnd1,15.819229,1.768151,0.493662,3.581701,0.000341,0.019292
Mapkapk2,337.93447,0.473519,0.132362,3.577458,0.000347,0.019509
Lcor,239.46909,-0.491849,0.137579,-3.575035,0.00035,0.019593
Fam13b,119.757653,-0.669587,0.187829,-3.564872,0.000364,0.020266
Trim25,1133.211986,-0.32214,0.090459,-3.561158,0.000369,0.020453
Ttyh3,111.315069,0.581404,0.163673,3.552222,0.000382,0.021057
Cox6a1,916.826171,-0.321634,0.090707,-3.545864,0.000391,0.021466
Clec4d,194.442263,0.763488,0.216066,3.533589,0.00041,0.022378
Fcgr3,946.310553,0.57306,0.162234,3.532295,0.000412,0.022378
Vegfb,74.266879,0.675033,0.191445,3.525995,0.000422,0.022766
Rock2,718.827426,-0.385055,0.10923,-3.525192,0.000423,0.022766
Mndal,142.461923,0.755024,0.214465,3.520501,0.000431,0.023062
Apoe,688.813533,2.517797,0.716141,3.515784,0.000438,0.023364
Hmga1b,9.535871,1.737591,0.49483,3.511491,0.000446,0.0236
Slpi,2585.332139,-0.790231,0.225099,-3.510586,0.000447,0.0236
Bmpr1a,18.451595,1.16561,0.332584,3.504708,0.000457,0.024014
Acadm,294.589691,-0.575102,0.164256,-3.501247,0.000463,0.024215
Oas1g,6.649657,2.546785,0.727652,3.500004,0.000465,0.024215
Pgam1,612.93559,0.338512,0.096759,3.498519,0.000468,0.024237
Hp,11.869309,2.408827,0.688988,3.49618,0.000472,0.024338
H2-Q4,123.037025,0.992388,0.284122,3.492827,0.000478,0.024533
Abcg1,3967.135686,-0.315559,0.090384,-3.491315,0.000481,0.02455
Pdia4,335.223646,-0.367738,0.105363,-3.490197,0.000483,0.02455
Ifi209,26.818943,1.391439,0.398976,3.487523,0.000488,0.024685
Psap,12403.427479,0.392606,0.112692,3.483872,0.000494,0.024911
Acp5,897.854752,0.709551,0.204371,3.471878,0.000517,0.025934
Lst1,117.938771,0.625279,0.180428,3.465534,0.000529,0.026435
Bin3,108.362208,0.564394,0.163384,3.4544,0.000552,0.027429
Rpl37rt,244.944533,0.827763,0.240099,3.447586,0.000566,0.028006
Tifab,119.527459,0.516396,0.149905,3.444832,0.000571,0.028168
Cited4,15.072697,-1.66604,0.485135,-3.434176,0.000594,0.02917
Rac3,41.649062,-0.885368,0.258288,-3.427829,0.000608,0.029731
Cfh,31.285831,1.591752,0.464556,3.426395,0.000612,0.029758
Klk8,34.480726,-1.284085,0.375086,-3.423446,0.000618,0.029953
Aldh2,256.206978,0.874359,0.255922,3.416501,0.000634,0.030455
Gm6169,24.843225,1.141241,0.334054,3.416336,0.000635,0.030455
Rnf130,467.361519,0.340409,0.099669,3.415407,0.000637,0.030455
Gbp7,163.1847,0.457019,0.133898,3.413182,0.000642,0.030574
Plk2,69.108115,1.155411,0.338689,3.411416,0.000646,0.030643
Klhl9,441.805614,-0.511488,0.150074,-3.408233,0.000654,0.030738
Ankrd11,657.800667,-0.370582,0.108751,-3.40761,0.000655,0.030738
Tns3,40.309824,1.156095,0.339413,3.406159,0.000659,0.030738
Ldhb,8.886293,2.112062,0.620103,3.405983,0.000659,0.030738
Cd200r2,9.036346,1.720411,0.505734,3.401809,0.000669,0.031082
C1rl,35.811469,0.945454,0.278119,3.399455,0.000675,0.031221
Tent5c,26.270623,1.144869,0.33717,3.395522,0.000685,0.031501
Rarres1,9.947706,1.751394,0.515911,3.394761,0.000687,0.031501
Samhd1,821.116914,0.352917,0.103995,3.393585,0.00069,0.031507
Klf9,204.061096,-0.79051,0.233095,-3.39136,0.000695,0.031635
Tmcc1,315.494545,-0.477249,0.140848,-3.388389,0.000703,0.031851
Hprt,531.933794,0.391891,0.115742,3.385902,0.000709,0.032011
9430038I01Rik,80.982841,0.681426,0.20147,3.38228,0.000719,0.032306
Pip5k1c,242.744172,0.363242,0.107517,3.378468,0.000729,0.032626
Clec4e,282.040042,0.522479,0.154833,3.374471,0.00074,0.032972
Ezr,937.243792,-0.462112,0.136995,-3.373191,0.000743,0.032994
Glul,956.54217,-0.421513,0.125088,-3.369729,0.000752,0.033279
Arhgef12,159.775722,-0.467971,0.139032,-3.365927,0.000763,0.033608
Gid4,67.786094,-0.718222,0.21348,-3.364351,0.000767,0.033668
Cebpa,449.282769,-0.367125,0.109231,-3.361003,0.000777,0.033769
Idi1,222.504787,0.587608,0.174865,3.360353,0.000778,0.033769
Pid1,111.919906,0.762694,0.226972,3.360297,0.000779,0.033769
Banp,204.410114,-0.881317,0.262476,-3.357709,0.000786,0.033955
Mgst2,59.566099,1.224921,0.364958,3.35633,0.00079,0.033994
Heca,146.815604,-0.480956,0.143386,-3.354267,0.000796,0.034117
Rgs3,16.698106,1.501467,0.449235,3.342277,0.000831,0.035447
Tle3,166.9601,-0.521513,0.156117,-3.340529,0.000836,0.035447
Syp,11.965196,-1.911042,0.572083,-3.340496,0.000836,0.035447
Tpbgl,30.512349,-1.195046,0.357971,-3.338392,0.000843,0.035582
Anapc15,59.373471,0.678506,0.203326,3.33703,0.000847,0.035588
Atp13a3,928.146985,-0.476927,0.142953,-3.336257,0.000849,0.035588
Rnft1,171.154076,-0.47893,0.143701,-3.332824,0.00086,0.035895
Dnajc15,120.205009,0.657381,0.197325,3.331458,0.000864,0.035938
C1ra,69.129945,0.717601,0.215765,3.325847,0.000882,0.036533
Ear2,5339.287139,-0.703087,0.211593,-3.322827,0.000891,0.036795
Slc25a36,211.850041,-0.425772,0.128394,-3.316142,0.000913,0.037548
Cyth3,386.748446,-0.4294,0.129549,-3.314578,0.000918,0.03762
Clec4a3,643.224341,-0.570259,0.17219,-3.311795,0.000927,0.037858
Glipr1,231.567587,0.502497,0.15179,3.31048,0.000931,0.037898
Cd37,79.942528,0.564292,0.171385,3.292534,0.000993,0.040129
Ctsd,18462.165465,0.428696,0.130208,3.292402,0.000993,0.040129
Cd1d1,114.048799,0.587965,0.178847,3.287522,0.001011,0.040538
Cidec,553.041132,-0.610305,0.185645,-3.287481,0.001011,0.040538
Marcks,79.083955,1.100531,0.334862,3.286517,0.001014,0.040538
Gm49339,20.966993,1.419105,0.43268,3.2798,0.001039,0.041367
Anxa2,4431.069081,-0.246951,0.075367,-3.276662,0.00105,0.041682
Tomm20,734.131942,0.329338,0.100646,3.272232,0.001067,0.042185
D630039A03Rik,23.526289,-1.383336,0.422984,-3.270422,0.001074,0.042185
Slamf7,24.437571,1.789086,0.547129,3.269952,0.001076,0.042185
Myo1f,399.451472,0.391799,0.119842,3.269289,0.001078,0.042185
Ifit1,11.918748,2.30481,0.705305,3.26782,0.001084,0.042257
Irgm1,51.012464,1.086103,0.333858,3.253191,0.001141,0.044218
Ifi204,131.827364,0.781994,0.240469,3.251958,0.001146,0.044218
Hilpda,501.579531,0.539181,0.165843,3.251154,0.001149,0.044218
Herc6,49.008709,0.733138,0.22551,3.25102,0.00115,0.044218
Dhx58,35.074766,1.033531,0.318895,3.240972,0.001191,0.045549
Gm37084,86.438433,0.681894,0.21042,3.240633,0.001193,0.045549
Itpripl2,1012.81955,-0.444049,0.137083,-3.239265,0.001198,0.045612
Pgm2l1,101.494757,-0.574406,0.177818,-3.230313,0.001237,0.046905
Ciao2a,607.840634,0.520503,0.161209,3.228743,0.001243,0.046984
Exoc3l4,26.757057,1.145702,0.354937,3.2279,0.001247,0.046984
Anxa1,1204.217508,0.353785,0.109916,3.218683,0.001288,0.048158
Parp14,104.75775,0.567948,0.17647,3.218377,0.001289,0.048158
Afap1,304.069359,-0.412425,0.128164,-3.217948,0.001291,0.048158
Gnai3,387.255924,-0.341226,0.10617,-3.213966,0.001309,0.048669
Hal,19.157397,-6.839808,2.130455,-3.210492,0.001325,0.048942
Adarb1,265.267745,-0.488353,0.152113,-3.210459,0.001325,0.048942
Rps2-ps10,151.986993,0.835755,0.260516,3.208081,0.001336,0.049009
Slc39a12,18.330363,-1.200112,0.374158,-3.207501,0.001339,0.049009
Nectin1,18.201362,-1.555928,0.485132,-3.207229,0.00134,0.049009
Ly86,93.072801,0.613601,0.191439,3.205198,0.00135,0.049196
Dnajb9,454.145019,-0.390129,0.121804,-3.202936,0.00136,0.049423
Kynu,118.971558,0.662866,0.207061,3.201304,0.001368,0.049467
Dync1li1,164.957975,-0.466066,0.145609,-3.200814,0.00137,0.049467
