accession,library,panel,gene,detected_in_fraction_of_cells,gene_absent_from_reference
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,monocyte/IM (Fig. 1h),Itgam,0.01,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,monocyte/IM (Fig. 1h),Ly6c2,0.0049,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,monocyte/IM (Fig. 1h),Ccr2,0.0074,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,monocyte/IM (Fig. 1h),Cx3cr1,0.0861,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,monocyte/IM (Fig. 1h),Mmp19,0.1218,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,Tnc-TLR4 axis (ED Fig. 4d),Tnc,0.1998,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,Tnc-TLR4 axis (ED Fig. 4d),Tlr4,0.1337,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,EGF axis (ED Fig. 5f-h),Areg,0.0624,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,EGF axis (ED Fig. 5f-h),Ereg,0.0724,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,EGF axis (ED Fig. 5f-h),Hbegf,0.078,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,EGF axis (ED Fig. 5f-h),Tgfa,0.0308,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,EGF axis (ED Fig. 5f-h),Egfr,0.3217,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,fibroblast-to-epithelium (ED Fig. 5i-j),Wnt5a,0.195,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,fibroblast-to-epithelium (ED Fig. 5i-j),Igf1,0.3943,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,fibroblast-to-epithelium (ED Fig. 5i-j),Spp1,0.2281,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,mutant epithelial states (Fig. 4l),Sftpc,0.1046,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,mutant epithelial states (Fig. 4l),Etv5,0.0726,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,mutant epithelial states (Fig. 4l),Lamp3,0.0163,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,mutant epithelial states (Fig. 4l),Cd177,0.0093,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,mutant epithelial states (Fig. 4l),Cldn4,0.0252,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,mutant epithelial states (Fig. 4l),Itga2,0.0476,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,mutant epithelial states (Fig. 4l),Ndrg1,0.1618,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,mutant epithelial states (Fig. 4l),Sox9,0.0694,False
