accession,library,panel,gene,detected_in_fraction_of_cells,gene_absent_from_reference
GSE310335,GSE310335_SIGAE,human organoid states (Fig. 5h),NKX2-1,0.809,False
GSE310335,GSE310335_SIGAE,human organoid states (Fig. 5h),SCGB1A1,0.0094,False
GSE310335,GSE310335_SIGAE,human organoid states (Fig. 5h),SCGB3A2,0.9499,False
GSE310335,GSE310335_SIGAE,human organoid states (Fig. 5h),SCGB3A1,0.9981,False
GSE310335,GSE310335_SIGAE,human organoid states (Fig. 5h),SFTPB,0.9851,False
GSE310335,GSE310335_SIGAE,human organoid states (Fig. 5h),KRT18,0.9532,False
GSE310335,GSE310335_SIGAE,human organoid states (Fig. 5h),LAMP3,0.6645,False
GSE310335,GSE310335_SIGAE,human organoid states (Fig. 5h),LPCAT1,0.9275,False
GSE310335,GSE310335_SIGAE,human organoid states (Fig. 5h),KRAS,0.5145,False
GSE310335,GSE310335_SIGAE,human organoid states (Fig. 5h),KRT8,0.946,False
GSE310335,GSE310335_SIGAE,human organoid states (Fig. 5h),ITGA2,0.0502,False
GSE310335,GSE310335_SIGAE,human organoid states (Fig. 5h),ITGB4,0.1342,False
GSE310335,GSE310335_SIGAE,human organoid states (Fig. 5h),HMGA2,0.0121,False
GSE310335,GSE310335_SIGAE,human organoid states (Fig. 5h),SOX9,0.0708,False
GSE310335,GSE310335_SIGAE,human organoid states (Fig. 5h),CDKN2A,0.4462,False
GSE310335,GSE310335_SIGAE,human organoid states (Fig. 5h),CDKN2B,0.4023,False
GSE310335,GSE310335_SIGAE,human organoid states (Fig. 5h),AREG,0.0876,False
GSE310335,GSE310335_SIGAE,human organoid states (Fig. 5h),HBEGF,0.1477,False
GSE310335,GSE310335_SIGAE,human organoid states (Fig. 5h),TIMP1,0.3834,False
GSE310335,GSE310335_SIGAE,human organoid states (Fig. 5h),TGFB1,0.1887,False
GSE310335,GSE310335_SIGAE,human organoid states (Fig. 5h),NFKB2,0.0997,False
GSE310335,GSE310335_SIGAE,human organoid states (Fig. 5h),MKI67,0.0315,False
GSE310335,GSE310335_SIGAE,compartment,EPCAM,0.8805,False
GSE310335,GSE310335_SIGAE,compartment,PTPRC,0.0003,False
GSE310335,GSE310335_SIGAE,compartment,COL1A1,0.0312,False
GSE310335,GSE310335_SIGAE,compartment,PECAM1,0.0281,False
GSE310335,GSE310335_SIGAF,human organoid states (Fig. 5h),SFTPC,0.9817,False
GSE310335,GSE310335_SIGAF,human organoid states (Fig. 5h),NAPSA,0.9167,False
GSE310335,GSE310335_SIGAF,human organoid states (Fig. 5h),NKX2-1,0.9068,False
GSE310335,GSE310335_SIGAF,human organoid states (Fig. 5h),SCGB1A1,0.0078,False
GSE310335,GSE310335_SIGAF,human organoid states (Fig. 5h),SCGB3A2,0.7585,False
GSE310335,GSE310335_SIGAF,human organoid states (Fig. 5h),SCGB3A1,0.9876,False
GSE310335,GSE310335_SIGAF,human organoid states (Fig. 5h),SFTPB,0.9817,False
GSE310335,GSE310335_SIGAF,human organoid states (Fig. 5h),KRT18,0.9431,False
GSE310335,GSE310335_SIGAF,human organoid states (Fig. 5h),LAMP3,0.6706,False
GSE310335,GSE310335_SIGAF,human organoid states (Fig. 5h),LPCAT1,0.8232,False
GSE310335,GSE310335_SIGAF,human organoid states (Fig. 5h),KRAS,0.8664,False
GSE310335,GSE310335_SIGAF,human organoid states (Fig. 5h),KRT8,0.9438,False
GSE310335,GSE310335_SIGAF,human organoid states (Fig. 5h),ITGA2,0.2287,False
GSE310335,GSE310335_SIGAF,human organoid states (Fig. 5h),ITGB4,0.2968,False
GSE310335,GSE310335_SIGAF,human organoid states (Fig. 5h),HMGA2,0.0553,False
GSE310335,GSE310335_SIGAF,human organoid states (Fig. 5h),SOX9,0.1843,False
GSE310335,GSE310335_SIGAF,human organoid states (Fig. 5h),CDKN2A,0.7253,False
GSE310335,GSE310335_SIGAF,human organoid states (Fig. 5h),CDKN2B,0.7154,False
GSE310335,GSE310335_SIGAF,human organoid states (Fig. 5h),AREG,0.4447,False
GSE310335,GSE310335_SIGAF,human organoid states (Fig. 5h),HBEGF,0.3667,False
GSE310335,GSE310335_SIGAF,human organoid states (Fig. 5h),TIMP1,0.8487,False
GSE310335,GSE310335_SIGAF,human organoid states (Fig. 5h),TGFB1,0.5025,False
GSE310335,GSE310335_SIGAF,human organoid states (Fig. 5h),NFKB2,0.202,False
GSE310335,GSE310335_SIGAF,human organoid states (Fig. 5h),MKI67,0.0252,False
GSE310335,GSE310335_SIGAF,compartment,EPCAM,0.9229,False
GSE310335,GSE310335_SIGAF,compartment,PTPRC,0.0,False
GSE310335,GSE310335_SIGAF,compartment,COL1A1,0.0786,False
GSE310335,GSE310335_SIGAF,compartment,PECAM1,0.0376,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,alveolar fibroblast (Fig. 1d),Pdgfra,0.0019,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,alveolar fibroblast (Fig. 1d),Col13a1,0.0004,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,alveolar fibroblast (Fig. 1d),Tcf21,0.0037,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,alveolar fibroblast (Fig. 1d),Npnt,0.2091,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,alveolar fibroblast (Fig. 1d),Scube2,0.0002,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,adventitial fibroblast (Fig. 1d),Col14a1,0.0032,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,adventitial fibroblast (Fig. 1d),Pi16,0.0024,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,adventitial fibroblast (Fig. 1d),Dcn,0.0022,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,reprogrammed/fibrotic fibroblast (Fig. 1d),Tnc,0.0007,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,reprogrammed/fibrotic fibroblast (Fig. 1d),Fst,0.0019,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,reprogrammed/fibrotic fibroblast (Fig. 1d),Runx1,0.2324,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,reprogrammed/fibrotic fibroblast (Fig. 1d),Runx2,0.0045,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,reprogrammed/fibrotic fibroblast (Fig. 1d),Acta2,0.0032,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,reprogrammed/fibrotic fibroblast (Fig. 1d),Pdgfrb,0.0052,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,inflammatory fibroblast (ED Fig. 4l-m),Lcn2,0.8122,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,inflammatory fibroblast (ED Fig. 4l-m),Saa3,0.0045,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,inflammatory fibroblast (ED Fig. 4l-m),Sfrp1,0.0011,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,inflammatory fibroblast (ED Fig. 4l-m),Cxcl12,0.0086,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,alveolar macrophage (Fig. 1h),Itgax,0.0078,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,alveolar macrophage (Fig. 1h),Siglec5,,True
GSE247505,GSM7890829_Expt1_ConfettiRFP,alveolar macrophage (Fig. 1h),Siglecf,0.0028,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,alveolar macrophage (Fig. 1h),Pparg,0.0101,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,alveolar macrophage (Fig. 1h),Mertk,0.0078,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,alveolar macrophage (Fig. 1h),Car4,0.0127,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,reprogrammed AM (Fig. 1h),Msr1,0.0011,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,reprogrammed AM (Fig. 1h),Cdh1,0.3474,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,reprogrammed AM (Fig. 1h),Ch25h,0.0009,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,reprogrammed AM (Fig. 1h),Ear6,0.0,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,reprogrammed AM (Fig. 1h),Fstl1,0.0047,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,reprogrammed AM (Fig. 1h),Cxcl2,0.0268,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,monocyte/IM (Fig. 1h),Itgam,0.002,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,monocyte/IM (Fig. 1h),Ly6c2,0.071,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,monocyte/IM (Fig. 1h),Ccr2,0.0047,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,monocyte/IM (Fig. 1h),Cx3cr1,0.0017,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,monocyte/IM (Fig. 1h),Mmp19,0.0043,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,Tnc-TLR4 axis (ED Fig. 4d),Tnc,0.0007,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,Tnc-TLR4 axis (ED Fig. 4d),Tlr4,0.0403,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,EGF axis (ED Fig. 5f-h),Areg,0.1705,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,EGF axis (ED Fig. 5f-h),Ereg,0.0013,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,EGF axis (ED Fig. 5f-h),Hbegf,0.1042,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,EGF axis (ED Fig. 5f-h),Tgfa,0.0293,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,EGF axis (ED Fig. 5f-h),Egfr,0.0173,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,fibroblast-to-epithelium (ED Fig. 5i-j),Wnt5a,0.0013,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,fibroblast-to-epithelium (ED Fig. 5i-j),Igf1,0.0041,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,fibroblast-to-epithelium (ED Fig. 5i-j),Spp1,0.0076,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,mutant epithelial states (Fig. 4l),Sftpc,0.998,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,mutant epithelial states (Fig. 4l),Etv5,0.6107,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,mutant epithelial states (Fig. 4l),Lamp3,0.8656,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,mutant epithelial states (Fig. 4l),Cd177,0.0007,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,mutant epithelial states (Fig. 4l),Cldn4,0.0028,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,mutant epithelial states (Fig. 4l),Itga2,0.0013,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,mutant epithelial states (Fig. 4l),Ndrg1,0.0129,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,mutant epithelial states (Fig. 4l),Sox9,0.0011,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,mutant epithelial states (Fig. 4l),Mki67,0.0248,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,mutant epithelial states (Fig. 4l),Ager,0.7911,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,mutant epithelial states (Fig. 4l),Hopx,0.0732,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,compartment,Epcam,0.5011,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,compartment,Ptprc,0.0248,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,compartment,Col1a1,0.0032,False
GSE247505,GSM7890829_Expt1_ConfettiRFP,compartment,Pecam1,0.0132,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,alveolar fibroblast (Fig. 1d),Pdgfra,0.0029,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,alveolar fibroblast (Fig. 1d),Col13a1,0.0013,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,alveolar fibroblast (Fig. 1d),Tcf21,0.0056,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,alveolar fibroblast (Fig. 1d),Npnt,0.2004,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,alveolar fibroblast (Fig. 1d),Scube2,0.0005,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,adventitial fibroblast (Fig. 1d),Col14a1,0.0016,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,adventitial fibroblast (Fig. 1d),Pi16,0.0014,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,adventitial fibroblast (Fig. 1d),Dcn,0.0023,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,reprogrammed/fibrotic fibroblast (Fig. 1d),Tnc,0.0006,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,reprogrammed/fibrotic fibroblast (Fig. 1d),Fst,0.0013,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,reprogrammed/fibrotic fibroblast (Fig. 1d),Runx1,0.1898,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,reprogrammed/fibrotic fibroblast (Fig. 1d),Runx2,0.0039,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,reprogrammed/fibrotic fibroblast (Fig. 1d),Acta2,0.0048,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,reprogrammed/fibrotic fibroblast (Fig. 1d),Pdgfrb,0.0042,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,inflammatory fibroblast (ED Fig. 4l-m),Lcn2,0.8009,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,inflammatory fibroblast (ED Fig. 4l-m),Saa3,0.0026,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,inflammatory fibroblast (ED Fig. 4l-m),Sfrp1,0.0011,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,inflammatory fibroblast (ED Fig. 4l-m),Cxcl12,0.0143,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,alveolar macrophage (Fig. 1h),Itgax,0.0074,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,alveolar macrophage (Fig. 1h),Siglec5,,True
GSE247505,GSM7890830_Expt1_ConfettiYFP,alveolar macrophage (Fig. 1h),Siglecf,0.0035,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,alveolar macrophage (Fig. 1h),Pparg,0.0074,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,alveolar macrophage (Fig. 1h),Mertk,0.0056,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,alveolar macrophage (Fig. 1h),Car4,0.0143,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,reprogrammed AM (Fig. 1h),Msr1,0.0003,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,reprogrammed AM (Fig. 1h),Cdh1,0.3251,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,reprogrammed AM (Fig. 1h),Ch25h,0.0018,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,reprogrammed AM (Fig. 1h),Ear6,0.0002,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,reprogrammed AM (Fig. 1h),Fstl1,0.0063,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,reprogrammed AM (Fig. 1h),Cxcl2,0.0245,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,monocyte/IM (Fig. 1h),Itgam,0.0018,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,monocyte/IM (Fig. 1h),Ly6c2,0.0668,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,monocyte/IM (Fig. 1h),Ccr2,0.0027,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,monocyte/IM (Fig. 1h),Cx3cr1,0.0024,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,monocyte/IM (Fig. 1h),Mmp19,0.0018,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,Tnc-TLR4 axis (ED Fig. 4d),Tnc,0.0006,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,Tnc-TLR4 axis (ED Fig. 4d),Tlr4,0.0312,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,EGF axis (ED Fig. 5f-h),Areg,0.1362,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,EGF axis (ED Fig. 5f-h),Ereg,0.0018,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,EGF axis (ED Fig. 5f-h),Hbegf,0.0861,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,EGF axis (ED Fig. 5f-h),Tgfa,0.0311,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,EGF axis (ED Fig. 5f-h),Egfr,0.0179,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,fibroblast-to-epithelium (ED Fig. 5i-j),Wnt5a,0.0039,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,fibroblast-to-epithelium (ED Fig. 5i-j),Igf1,0.0047,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,fibroblast-to-epithelium (ED Fig. 5i-j),Spp1,0.0111,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,mutant epithelial states (Fig. 4l),Sftpc,0.9973,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,mutant epithelial states (Fig. 4l),Etv5,0.628,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,mutant epithelial states (Fig. 4l),Lamp3,0.8463,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,mutant epithelial states (Fig. 4l),Cd177,0.001,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,mutant epithelial states (Fig. 4l),Cldn4,0.0048,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,mutant epithelial states (Fig. 4l),Itga2,0.0018,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,mutant epithelial states (Fig. 4l),Ndrg1,0.013,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,mutant epithelial states (Fig. 4l),Sox9,0.0019,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,mutant epithelial states (Fig. 4l),Mki67,0.034,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,mutant epithelial states (Fig. 4l),Ager,0.7428,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,mutant epithelial states (Fig. 4l),Hopx,0.0731,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,compartment,Epcam,0.3781,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,compartment,Ptprc,0.024,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,compartment,Col1a1,0.0079,False
GSE247505,GSM7890830_Expt1_ConfettiYFP,compartment,Pecam1,0.0209,False
GSE247505,GSM7890831_Expt1_4dRFPr1,alveolar fibroblast (Fig. 1d),Pdgfra,0.0019,False
GSE247505,GSM7890831_Expt1_4dRFPr1,alveolar fibroblast (Fig. 1d),Col13a1,0.0006,False
GSE247505,GSM7890831_Expt1_4dRFPr1,alveolar fibroblast (Fig. 1d),Tcf21,0.0029,False
GSE247505,GSM7890831_Expt1_4dRFPr1,alveolar fibroblast (Fig. 1d),Npnt,0.2704,False
GSE247505,GSM7890831_Expt1_4dRFPr1,alveolar fibroblast (Fig. 1d),Scube2,0.001,False
GSE247505,GSM7890831_Expt1_4dRFPr1,adventitial fibroblast (Fig. 1d),Col14a1,0.0015,False
GSE247505,GSM7890831_Expt1_4dRFPr1,adventitial fibroblast (Fig. 1d),Pi16,0.0027,False
GSE247505,GSM7890831_Expt1_4dRFPr1,adventitial fibroblast (Fig. 1d),Dcn,0.001,False
GSE247505,GSM7890831_Expt1_4dRFPr1,reprogrammed/fibrotic fibroblast (Fig. 1d),Tnc,0.0064,False
GSE247505,GSM7890831_Expt1_4dRFPr1,reprogrammed/fibrotic fibroblast (Fig. 1d),Fst,0.0004,False
GSE247505,GSM7890831_Expt1_4dRFPr1,reprogrammed/fibrotic fibroblast (Fig. 1d),Runx1,0.2191,False
GSE247505,GSM7890831_Expt1_4dRFPr1,reprogrammed/fibrotic fibroblast (Fig. 1d),Runx2,0.0058,False
GSE247505,GSM7890831_Expt1_4dRFPr1,reprogrammed/fibrotic fibroblast (Fig. 1d),Acta2,0.0008,False
GSE247505,GSM7890831_Expt1_4dRFPr1,reprogrammed/fibrotic fibroblast (Fig. 1d),Pdgfrb,0.0037,False
GSE247505,GSM7890831_Expt1_4dRFPr1,inflammatory fibroblast (ED Fig. 4l-m),Lcn2,0.8605,False
GSE247505,GSM7890831_Expt1_4dRFPr1,inflammatory fibroblast (ED Fig. 4l-m),Saa3,0.0031,False
GSE247505,GSM7890831_Expt1_4dRFPr1,inflammatory fibroblast (ED Fig. 4l-m),Sfrp1,0.0012,False
GSE247505,GSM7890831_Expt1_4dRFPr1,inflammatory fibroblast (ED Fig. 4l-m),Cxcl12,0.0085,False
GSE247505,GSM7890831_Expt1_4dRFPr1,alveolar macrophage (Fig. 1h),Itgax,0.0035,False
GSE247505,GSM7890831_Expt1_4dRFPr1,alveolar macrophage (Fig. 1h),Siglec5,,True
GSE247505,GSM7890831_Expt1_4dRFPr1,alveolar macrophage (Fig. 1h),Siglecf,0.0015,False
GSE247505,GSM7890831_Expt1_4dRFPr1,alveolar macrophage (Fig. 1h),Pparg,0.0089,False
GSE247505,GSM7890831_Expt1_4dRFPr1,alveolar macrophage (Fig. 1h),Mertk,0.005,False
GSE247505,GSM7890831_Expt1_4dRFPr1,alveolar macrophage (Fig. 1h),Car4,0.0071,False
GSE247505,GSM7890831_Expt1_4dRFPr1,reprogrammed AM (Fig. 1h),Msr1,0.0008,False
GSE247505,GSM7890831_Expt1_4dRFPr1,reprogrammed AM (Fig. 1h),Cdh1,0.3689,False
GSE247505,GSM7890831_Expt1_4dRFPr1,reprogrammed AM (Fig. 1h),Ch25h,0.0017,False
GSE247505,GSM7890831_Expt1_4dRFPr1,reprogrammed AM (Fig. 1h),Ear6,0.0,False
GSE247505,GSM7890831_Expt1_4dRFPr1,reprogrammed AM (Fig. 1h),Fstl1,0.0046,False
GSE247505,GSM7890831_Expt1_4dRFPr1,reprogrammed AM (Fig. 1h),Cxcl2,0.0757,False
GSE247505,GSM7890831_Expt1_4dRFPr1,monocyte/IM (Fig. 1h),Itgam,0.0017,False
GSE247505,GSM7890831_Expt1_4dRFPr1,monocyte/IM (Fig. 1h),Ly6c2,0.0883,False
GSE247505,GSM7890831_Expt1_4dRFPr1,monocyte/IM (Fig. 1h),Ccr2,0.0042,False
GSE247505,GSM7890831_Expt1_4dRFPr1,monocyte/IM (Fig. 1h),Cx3cr1,0.0017,False
GSE247505,GSM7890831_Expt1_4dRFPr1,monocyte/IM (Fig. 1h),Mmp19,0.0025,False
GSE247505,GSM7890831_Expt1_4dRFPr1,Tnc-TLR4 axis (ED Fig. 4d),Tnc,0.0064,False
GSE247505,GSM7890831_Expt1_4dRFPr1,Tnc-TLR4 axis (ED Fig. 4d),Tlr4,0.0449,False
GSE247505,GSM7890831_Expt1_4dRFPr1,EGF axis (ED Fig. 5f-h),Areg,0.2812,False
GSE247505,GSM7890831_Expt1_4dRFPr1,EGF axis (ED Fig. 5f-h),Ereg,0.0195,False
GSE247505,GSM7890831_Expt1_4dRFPr1,EGF axis (ED Fig. 5f-h),Hbegf,0.1867,False
GSE247505,GSM7890831_Expt1_4dRFPr1,EGF axis (ED Fig. 5f-h),Tgfa,0.0468,False
GSE247505,GSM7890831_Expt1_4dRFPr1,EGF axis (ED Fig. 5f-h),Egfr,0.0148,False
GSE247505,GSM7890831_Expt1_4dRFPr1,fibroblast-to-epithelium (ED Fig. 5i-j),Wnt5a,0.0017,False
GSE247505,GSM7890831_Expt1_4dRFPr1,fibroblast-to-epithelium (ED Fig. 5i-j),Igf1,0.0023,False
GSE247505,GSM7890831_Expt1_4dRFPr1,fibroblast-to-epithelium (ED Fig. 5i-j),Spp1,0.0081,False
GSE247505,GSM7890831_Expt1_4dRFPr1,mutant epithelial states (Fig. 4l),Sftpc,0.9961,False
GSE247505,GSM7890831_Expt1_4dRFPr1,mutant epithelial states (Fig. 4l),Etv5,0.641,False
GSE247505,GSM7890831_Expt1_4dRFPr1,mutant epithelial states (Fig. 4l),Lamp3,0.8769,False
GSE247505,GSM7890831_Expt1_4dRFPr1,mutant epithelial states (Fig. 4l),Cd177,0.0033,False
GSE247505,GSM7890831_Expt1_4dRFPr1,mutant epithelial states (Fig. 4l),Cldn4,0.0326,False
GSE247505,GSM7890831_Expt1_4dRFPr1,mutant epithelial states (Fig. 4l),Itga2,0.011,False
GSE247505,GSM7890831_Expt1_4dRFPr1,mutant epithelial states (Fig. 4l),Ndrg1,0.0179,False
GSE247505,GSM7890831_Expt1_4dRFPr1,mutant epithelial states (Fig. 4l),Sox9,0.0027,False
GSE247505,GSM7890831_Expt1_4dRFPr1,mutant epithelial states (Fig. 4l),Mki67,0.0478,False
GSE247505,GSM7890831_Expt1_4dRFPr1,mutant epithelial states (Fig. 4l),Ager,0.8395,False
GSE247505,GSM7890831_Expt1_4dRFPr1,mutant epithelial states (Fig. 4l),Hopx,0.0894,False
GSE247505,GSM7890831_Expt1_4dRFPr1,compartment,Epcam,0.6015,False
GSE247505,GSM7890831_Expt1_4dRFPr1,compartment,Ptprc,0.0191,False
GSE247505,GSM7890831_Expt1_4dRFPr1,compartment,Col1a1,0.0046,False
GSE247505,GSM7890831_Expt1_4dRFPr1,compartment,Pecam1,0.0141,False
GSE247505,GSM7890832_Expt1_4dRFPr2,alveolar fibroblast (Fig. 1d),Pdgfra,0.0005,False
GSE247505,GSM7890832_Expt1_4dRFPr2,alveolar fibroblast (Fig. 1d),Col13a1,0.0,False
GSE247505,GSM7890832_Expt1_4dRFPr2,alveolar fibroblast (Fig. 1d),Tcf21,0.0005,False
GSE247505,GSM7890832_Expt1_4dRFPr2,alveolar fibroblast (Fig. 1d),Npnt,0.1208,False
GSE247505,GSM7890832_Expt1_4dRFPr2,alveolar fibroblast (Fig. 1d),Scube2,0.0,False
GSE247505,GSM7890832_Expt1_4dRFPr2,adventitial fibroblast (Fig. 1d),Col14a1,0.0019,False
GSE247505,GSM7890832_Expt1_4dRFPr2,adventitial fibroblast (Fig. 1d),Pi16,0.0051,False
GSE247505,GSM7890832_Expt1_4dRFPr2,adventitial fibroblast (Fig. 1d),Dcn,0.0009,False
GSE247505,GSM7890832_Expt1_4dRFPr2,reprogrammed/fibrotic fibroblast (Fig. 1d),Tnc,0.0042,False
GSE247505,GSM7890832_Expt1_4dRFPr2,reprogrammed/fibrotic fibroblast (Fig. 1d),Fst,0.0019,False
GSE247505,GSM7890832_Expt1_4dRFPr2,reprogrammed/fibrotic fibroblast (Fig. 1d),Runx1,0.2962,False
GSE247505,GSM7890832_Expt1_4dRFPr2,reprogrammed/fibrotic fibroblast (Fig. 1d),Runx2,0.0163,False
GSE247505,GSM7890832_Expt1_4dRFPr2,reprogrammed/fibrotic fibroblast (Fig. 1d),Acta2,0.0023,False
GSE247505,GSM7890832_Expt1_4dRFPr2,reprogrammed/fibrotic fibroblast (Fig. 1d),Pdgfrb,0.0005,False
GSE247505,GSM7890832_Expt1_4dRFPr2,inflammatory fibroblast (ED Fig. 4l-m),Lcn2,0.5126,False
GSE247505,GSM7890832_Expt1_4dRFPr2,inflammatory fibroblast (ED Fig. 4l-m),Saa3,0.0065,False
GSE247505,GSM7890832_Expt1_4dRFPr2,inflammatory fibroblast (ED Fig. 4l-m),Sfrp1,0.0005,False
GSE247505,GSM7890832_Expt1_4dRFPr2,inflammatory fibroblast (ED Fig. 4l-m),Cxcl12,0.0028,False
GSE247505,GSM7890832_Expt1_4dRFPr2,alveolar macrophage (Fig. 1h),Itgax,0.0728,False
GSE247505,GSM7890832_Expt1_4dRFPr2,alveolar macrophage (Fig. 1h),Siglec5,,True
GSE247505,GSM7890832_Expt1_4dRFPr2,alveolar macrophage (Fig. 1h),Siglecf,0.0075,False
