accession,library,gsm,role,barcodes,genes_in_reference,non_gene_features,species_probe_mouse,species_probe_human,species_call,species_expected,species_agrees,median_total_counts,median_genes,median_pct_mt,median_pct_ribo,median_pct_hb,cells_under_500_counts,cells_over_10pct_mt,nnz,non_gene_feature_detail
GSE247505,GSM7890834_Expt1_4dYFPr2,GSM7890834,"England 2025: RFP+ lineage-labelled mutant epithelium, the CellChat partner",3480,31053,none,0.4206,0.0,mouse,mouse,True,5932,1705,2.12,13.46,0.0,0,30,5821661,
GSE247505,GSM7890835_Expt1_2wRFPr1,GSM7890835,"England 2025: RFP+ lineage-labelled mutant epithelium, the CellChat partner",4859,31053,none,0.4843,0.0,mouse,mouse,True,14451,3212,2.44,15.49,0.0,0,266,15346013,
GSE247505,GSM7890836_Expt1_2wRFPr2,GSM7890836,"England 2025: RFP+ lineage-labelled mutant epithelium, the CellChat partner",4429,31053,none,0.4555,0.0,mouse,mouse,True,11484,2793,2.04,18.18,0.0,0,304,11212990,
GSE247505,GSM7890837_Expt1_2wYFPr1,GSM7890837,"England 2025: RFP+ lineage-labelled mutant epithelium, the CellChat partner",5687,31053,none,0.4067,0.0,mouse,mouse,True,5027,1639,2.72,11.35,0.0,0,377,8983505,
GSE247505,GSM7890838_Expt1_2wYFPr2,GSM7890838,"England 2025: RFP+ lineage-labelled mutant epithelium, the CellChat partner",2439,31053,none,0.3718,0.0,mouse,mouse,True,5642,1642,1.99,14.17,0.0,0,78,3708464,
GSE247505,GSM7890839_Expt2_ConfettiRFPr1,GSM7890839,"England 2025: RFP+ lineage-labelled mutant epithelium, the CellChat partner",1987,31053,none,0.3724,0.0,mouse,mouse,True,4537,1597,4.06,14.2,0.0,0,244,3088158,
GSE247505,GSM7890840_Expt2_ConfettiRFPr2,GSM7890840,"England 2025: RFP+ lineage-labelled mutant epithelium, the CellChat partner",2780,31053,none,0.3333,0.0,mouse,mouse,True,2890,1136,3.29,15.87,0.0,0,174,3039966,
GSE247505,GSM7890841_Expt2_2wRFP_hetr1,GSM7890841,"England 2025: RFP+ lineage-labelled mutant epithelium, the CellChat partner",983,31053,none,0.4382,0.0,mouse,mouse,True,8347,2327,3.07,14.83,0.0,0,78,2208095,
GSE247505,GSM7890842_Expt2_2wRFP_hetr2,GSM7890842,"England 2025: RFP+ lineage-labelled mutant epithelium, the CellChat partner",973,31053,none,0.4292,0.0,mouse,mouse,True,8417,2330,2.75,17.88,0.0,0,108,2073487,
GSE247505,GSM7890843_Expt2_2wRFP_homr1,GSM7890843,"England 2025: RFP+ lineage-labelled mutant epithelium, the CellChat partner",1015,31053,none,0.4468,0.0,mouse,mouse,True,7200,2176,2.98,14.54,0.0,0,92,2110222,
GSE247505,GSM7890844_Expt2_2wRFP_homr2,GSM7890844,"England 2025: RFP+ lineage-labelled mutant epithelium, the CellChat partner",784,31053,none,0.4196,0.0,mouse,mouse,True,7037,1981,3.69,15.95,0.0,0,112,1488580,
GSE247505,GSM7890845_Expt2_12wRFP_hetr1,GSM7890845,"England 2025: RFP+ lineage-labelled mutant epithelium, the CellChat partner",2648,31053,none,0.36,0.0,mouse,mouse,True,2693,1238,3.11,15.55,0.0,0,101,3618309,
GSE247505,GSM7890846_Expt2_12wRFP_hetr2,GSM7890846,"England 2025: RFP+ lineage-labelled mutant epithelium, the CellChat partner",2146,31053,none,0.3473,0.0,mouse,mouse,True,4455,1581,1.78,19.17,0.0,0,57,3244918,
GSE247505,GSM7890847_Expt2_12wRFP_homr1,GSM7890847,"England 2025: RFP+ lineage-labelled mutant epithelium, the CellChat partner",2255,31053,none,0.3882,0.0,mouse,mouse,True,4613,1727,3.11,14.31,0.0,0,88,3524552,
GSE247505,GSM7890848_Expt2_12wRFP_homr2,GSM7890848,"England 2025: RFP+ lineage-labelled mutant epithelium, the CellChat partner",1998,31053,none,0.3757,0.0,mouse,mouse,True,4523,1485,2.94,16.82,0.0,0,107,2748112,
