gsm,treatment,label,gene,cells,detection_fraction,mean_normalized_10000
GSM9057712,Control IgG,NK_cell,Fgf10,158,0.006329113924050633,0.024028526666858896
GSM9057712,Control IgG,NK_cell,Fgf7,158,0.0,0.0
GSM9057712,Control IgG,NK_cell,Gsdmd,158,0.15822784810126592,0.548260639151506
GSM9057712,Control IgG,NK_cell,Hbegf,158,0.006329113924050633,0.017605323849932217
GSM9057712,Control IgG,NK_cell,Il1a,158,0.0,0.0
GSM9057712,Control IgG,NK_cell,Il1b,158,0.02531645569620253,1.5967336676271888
GSM9057712,Control IgG,NK_cell,Il1r1,158,0.0,0.0
GSM9057712,Control IgG,NK_cell,Il1r2,158,0.012658227848101266,0.19465551736727765
GSM9057712,Control IgG,NK_cell,Il1rap,158,0.06329113924050633,0.2191210324536079
GSM9057712,Control IgG,NK_cell,Il1rn,158,0.006329113924050633,0.011385346148678959
GSM9057712,Control IgG,NK_cell,Nlrp3,158,0.0,0.0
GSM9057712,Control IgG,NK_cell,Pycard,158,0.44936708860759444,2.472102772514403
GSM9057712,Control IgG,NK_cell,Sigirr,158,0.08860759493670889,0.3608763648532805
GSM9057712,Control IgG,NK_cell,Tgfb1,158,0.3797468354430377,1.926480881362822
GSM9057712,Control IgG,NK_cell,Vegfa,158,0.056962025316455694,0.25829746575773066
GSM9057712,Control IgG,T_cell,Areg,562,0.062277580071174406,1.0753278380010995
GSM9057712,Control IgG,T_cell,Casp1,562,0.06049822064056942,0.2575288336858103
GSM9057712,Control IgG,T_cell,Ccl2,562,0.0,0.0
GSM9057712,Control IgG,T_cell,Cxcl12,562,0.0,0.0
GSM9057712,Control IgG,T_cell,Fgf10,562,0.0,0.0
GSM9057712,Control IgG,T_cell,Fgf7,562,0.0017793594306049821,0.006664267530355738
GSM9057712,Control IgG,T_cell,Gsdmd,562,0.12099644128113864,0.3802159963939572
GSM9057712,Control IgG,T_cell,Hbegf,562,0.0035587188612099642,0.01200271682324819
GSM9057712,Control IgG,T_cell,Il1a,562,0.0,0.0
GSM9057712,Control IgG,T_cell,Il1b,562,0.02313167259786477,0.13803394843593897
GSM9057712,Control IgG,T_cell,Il1r1,562,0.016014234875444837,0.05363934795063256
GSM9057712,Control IgG,T_cell,Il1r2,562,0.014234875444839855,0.139272481632497
GSM9057712,Control IgG,T_cell,Il1rap,562,0.035587188612099654,0.12038262703033879
GSM9057712,Control IgG,T_cell,Il1rn,562,0.0,0.0
GSM9057712,Control IgG,T_cell,Nlrp3,562,0.0035587188612099642,0.012204421948527978
GSM9057712,Control IgG,T_cell,Pycard,562,0.28113879003558656,1.215015508216717
GSM9057712,Control IgG,T_cell,Sigirr,562,0.08896797153024906,0.3160596064090324
GSM9057712,Control IgG,T_cell,Tgfb1,562,0.3540925266903906,1.7429335086240838
GSM9057712,Control IgG,T_cell,Vegfa,562,0.012455516014234874,0.040006367899665926
GSM9057712,Control IgG,basophil_mast_candidate,Areg,12,0.0,0.0
GSM9057712,Control IgG,basophil_mast_candidate,Casp1,12,0.25,0.6815576692662204
GSM9057712,Control IgG,basophil_mast_candidate,Ccl2,12,0.0,0.0
GSM9057712,Control IgG,basophil_mast_candidate,Cxcl12,12,0.0,0.0
GSM9057712,Control IgG,basophil_mast_candidate,Fgf10,12,0.0,0.0
GSM9057712,Control IgG,basophil_mast_candidate,Fgf7,12,0.0,0.0
GSM9057712,Control IgG,basophil_mast_candidate,Gsdmd,12,0.49999999999999994,1.5380879256293332
GSM9057712,Control IgG,basophil_mast_candidate,Hbegf,12,0.08333333333333333,0.28153153153153154
GSM9057712,Control IgG,basophil_mast_candidate,Il1a,12,0.0,0.0
GSM9057712,Control IgG,basophil_mast_candidate,Il1b,12,0.25,8.522775671845086
GSM9057712,Control IgG,basophil_mast_candidate,Il1r1,12,0.0,0.0
GSM9057712,Control IgG,basophil_mast_candidate,Il1r2,12,0.0,0.0
GSM9057712,Control IgG,basophil_mast_candidate,Il1rap,12,0.25,0.5305944827014001
GSM9057712,Control IgG,basophil_mast_candidate,Il1rn,12,0.0,0.0
GSM9057712,Control IgG,basophil_mast_candidate,Nlrp3,12,0.75,7.956070651531043
GSM9057712,Control IgG,basophil_mast_candidate,Pycard,12,0.0,0.0
GSM9057712,Control IgG,basophil_mast_candidate,Sigirr,12,0.08333333333333333,0.21433470507544583
GSM9057712,Control IgG,basophil_mast_candidate,Tgfb1,12,0.75,4.130512414297193
GSM9057712,Control IgG,basophil_mast_candidate,Vegfa,12,0.0,0.0
GSM9057712,Control IgG,capillary_endothelial,Areg,37,0.0,0.0
GSM9057712,Control IgG,capillary_endothelial,Casp1,37,0.0,0.0
GSM9057712,Control IgG,capillary_endothelial,Ccl2,37,0.0,0.0
GSM9057712,Control IgG,capillary_endothelial,Cxcl12,37,0.05405405405405406,0.13711529880939388
GSM9057712,Control IgG,capillary_endothelial,Fgf10,37,0.0,0.0
GSM9057712,Control IgG,capillary_endothelial,Fgf7,37,0.0,0.0
GSM9057712,Control IgG,capillary_endothelial,Gsdmd,37,0.10810810810810811,0.21077967879225282
GSM9057712,Control IgG,capillary_endothelial,Hbegf,37,0.0,0.0
GSM9057712,Control IgG,capillary_endothelial,Il1a,37,0.2702702702702703,1.0168493798088902
GSM9057712,Control IgG,capillary_endothelial,Il1b,37,0.05405405405405406,0.4158633459410374
GSM9057712,Control IgG,capillary_endothelial,Il1r1,37,0.02702702702702703,0.05161769867652221
GSM9057712,Control IgG,capillary_endothelial,Il1r2,37,0.0,0.0
GSM9057712,Control IgG,capillary_endothelial,Il1rap,37,0.10810810810810811,0.4293851198703619
GSM9057712,Control IgG,capillary_endothelial,Il1rn,37,0.0,0.0
GSM9057712,Control IgG,capillary_endothelial,Nlrp3,37,0.0,0.0
GSM9057712,Control IgG,capillary_endothelial,Pycard,37,0.02702702702702703,0.12341108231519192
GSM9057712,Control IgG,capillary_endothelial,Sigirr,37,0.16216216216216217,0.7456064458772513
GSM9057712,Control IgG,capillary_endothelial,Tgfb1,37,0.5135135135135136,3.1329737701397384
GSM9057712,Control IgG,capillary_endothelial,Vegfa,37,0.02702702702702703,0.6450364445591176
GSM9057712,Control IgG,cardiac_muscle,Areg,1,0.0,0.0
GSM9057712,Control IgG,cardiac_muscle,Casp1,1,0.0,0.0
GSM9057712,Control IgG,cardiac_muscle,Ccl2,1,0.0,0.0
GSM9057712,Control IgG,cardiac_muscle,Cxcl12,1,0.0,0.0
GSM9057712,Control IgG,cardiac_muscle,Fgf10,1,0.0,0.0
GSM9057712,Control IgG,cardiac_muscle,Fgf7,1,0.0,0.0
GSM9057712,Control IgG,cardiac_muscle,Gsdmd,1,0.0,0.0
GSM9057712,Control IgG,cardiac_muscle,Hbegf,1,0.0,0.0
GSM9057712,Control IgG,cardiac_muscle,Il1a,1,0.0,0.0
GSM9057712,Control IgG,cardiac_muscle,Il1b,1,0.0,0.0
GSM9057712,Control IgG,cardiac_muscle,Il1r1,1,0.0,0.0
GSM9057712,Control IgG,cardiac_muscle,Il1r2,1,0.0,0.0
GSM9057712,Control IgG,cardiac_muscle,Il1rap,1,0.0,0.0
GSM9057712,Control IgG,cardiac_muscle,Il1rn,1,0.0,0.0
GSM9057712,Control IgG,cardiac_muscle,Nlrp3,1,0.0,0.0
GSM9057712,Control IgG,cardiac_muscle,Pycard,1,0.0,0.0
GSM9057712,Control IgG,cardiac_muscle,Sigirr,1,0.0,0.0
GSM9057712,Control IgG,cardiac_muscle,Tgfb1,1,0.0,0.0
GSM9057712,Control IgG,cardiac_muscle,Vegfa,1,0.0,0.0
GSM9057712,Control IgG,cytotoxic_T_cell,Areg,140,0.0,0.0
GSM9057712,Control IgG,cytotoxic_T_cell,Casp1,140,0.15714285714285717,0.7303419585789201
GSM9057712,Control IgG,cytotoxic_T_cell,Ccl2,140,0.0,0.0
GSM9057712,Control IgG,cytotoxic_T_cell,Cxcl12,140,0.007142857142857143,0.014946342629958448
GSM9057712,Control IgG,cytotoxic_T_cell,Fgf10,140,0.0,0.0
GSM9057712,Control IgG,cytotoxic_T_cell,Fgf7,140,0.0,0.0
GSM9057712,Control IgG,cytotoxic_T_cell,Gsdmd,140,0.09285714285714287,0.2303333548954849
GSM9057712,Control IgG,cytotoxic_T_cell,Hbegf,140,0.0,0.0
GSM9057712,Control IgG,cytotoxic_T_cell,Il1a,140,0.0,0.0
GSM9057712,Control IgG,cytotoxic_T_cell,Il1b,140,0.02857142857142857,0.13237166386685015
GSM9057712,Control IgG,cytotoxic_T_cell,Il1r1,140,0.0,0.0
GSM9057712,Control IgG,cytotoxic_T_cell,Il1r2,140,0.0,0.0
GSM9057712,Control IgG,cytotoxic_T_cell,Il1rap,140,0.014285714285714285,0.08095806627823839
GSM9057712,Control IgG,cytotoxic_T_cell,Il1rn,140,0.0,0.0
GSM9057712,Control IgG,cytotoxic_T_cell,Nlrp3,140,0.0,0.0
GSM9057712,Control IgG,cytotoxic_T_cell,Pycard,140,0.2571428571428572,1.1888828566403171
GSM9057712,Control IgG,cytotoxic_T_cell,Sigirr,140,0.11428571428571431,0.44344526097426606
GSM9057712,Control IgG,cytotoxic_T_cell,Tgfb1,140,0.4357142857142851,1.9272185008562333
GSM9057712,Control IgG,cytotoxic_T_cell,Vegfa,140,0.007142857142857143,0.026097395479931104
GSM9057712,Control IgG,fibroblast_Gsn,Areg,93,0.0,0.0
GSM9057712,Control IgG,fibroblast_Gsn,Casp1,93,0.043010752688172046,0.13648807956631753
GSM9057712,Control IgG,fibroblast_Gsn,Ccl2,93,0.0,0.0
GSM9057712,Control IgG,fibroblast_Gsn,Cxcl12,93,0.4086021505376342,2.141223264605345
GSM9057712,Control IgG,fibroblast_Gsn,Fgf10,93,0.18279569892473116,0.4356484028393916
GSM9057712,Control IgG,fibroblast_Gsn,Fgf7,93,0.4731182795698922,2.177605793663265
GSM9057712,Control IgG,fibroblast_Gsn,Gsdmd,93,0.12903225806451615,0.2782479180726029
GSM9057712,Control IgG,fibroblast_Gsn,Hbegf,93,0.0,0.0
GSM9057712,Control IgG,fibroblast_Gsn,Il1a,93,0.0,0.0
GSM9057712,Control IgG,fibroblast_Gsn,Il1b,93,0.0,0.0
GSM9057712,Control IgG,fibroblast_Gsn,Il1r1,93,0.3010752688172042,0.8843174036598929
GSM9057712,Control IgG,fibroblast_Gsn,Il1r2,93,0.0,0.0
GSM9057712,Control IgG,fibroblast_Gsn,Il1rap,93,0.09677419354838712,0.2648021744281449
GSM9057712,Control IgG,fibroblast_Gsn,Il1rn,93,0.0,0.0
GSM9057712,Control IgG,fibroblast_Gsn,Nlrp3,93,0.0,0.0
GSM9057712,Control IgG,fibroblast_Gsn,Pycard,93,0.043010752688172046,0.09763891452418394
GSM9057712,Control IgG,fibroblast_Gsn,Sigirr,93,0.0,0.0
GSM9057712,Control IgG,fibroblast_Gsn,Tgfb1,93,0.13978494623655915,0.34940296739719245
GSM9057712,Control IgG,fibroblast_Gsn,Vegfa,93,0.3763440860215052,2.319869619661336
GSM9057712,Control IgG,fibroblast_Itga8,Areg,146,0.00684931506849315,0.028373301857883806
GSM9057712,Control IgG,fibroblast_Itga8,Casp1,146,0.0136986301369863,0.04177304323370409
GSM9057712,Control IgG,fibroblast_Itga8,Ccl2,146,0.02054794520547945,0.08980521621305879
GSM9057712,Control IgG,fibroblast_Itga8,Cxcl12,146,0.1232876712328767,0.6935829375808952
GSM9057712,Control IgG,fibroblast_Itga8,Fgf10,146,0.15753424657534246,0.5870551760239896
GSM9057712,Control IgG,fibroblast_Itga8,Fgf7,146,0.3493150684931511,2.595895461215173
GSM9057712,Control IgG,fibroblast_Itga8,Gsdmd,146,0.04794520547945205,0.21529007734228833
GSM9057712,Control IgG,fibroblast_Itga8,Hbegf,146,0.0,0.0
GSM9057712,Control IgG,fibroblast_Itga8,Il1a,146,0.0,0.0
GSM9057712,Control IgG,fibroblast_Itga8,Il1b,146,0.02054794520547945,0.1626775772892703
GSM9057712,Control IgG,fibroblast_Itga8,Il1r1,146,0.26027397260273977,1.5924958996991148
GSM9057712,Control IgG,fibroblast_Itga8,Il1r2,146,0.0,0.0
GSM9057712,Control IgG,fibroblast_Itga8,Il1rap,146,0.1095890410958904,0.6359182883797274
GSM9057712,Control IgG,fibroblast_Itga8,Il1rn,146,0.0,0.0
GSM9057712,Control IgG,fibroblast_Itga8,Nlrp3,146,0.0,0.0
GSM9057712,Control IgG,fibroblast_Itga8,Pycard,146,0.0,0.0
GSM9057712,Control IgG,fibroblast_Itga8,Sigirr,146,0.0,0.0
GSM9057712,Control IgG,fibroblast_Itga8,Tgfb1,146,0.14383561643835616,0.849263303119869
GSM9057712,Control IgG,fibroblast_Itga8,Vegfa,146,0.5547945205479464,6.201797074617952
GSM9057712,Control IgG,fibroblast_Pi16,Areg,179,0.00558659217877095,0.0025037387078254607
GSM9057712,Control IgG,fibroblast_Pi16,Casp1,179,0.0335195530726257,0.05822499642674544
GSM9057712,Control IgG,fibroblast_Pi16,Ccl2,179,0.08938547486033517,0.8950621518716441
GSM9057712,Control IgG,fibroblast_Pi16,Cxcl12,179,0.603351955307263,3.4719214144364243
GSM9057712,Control IgG,fibroblast_Pi16,Fgf10,179,0.1564245810055865,0.3358866661726023
GSM9057712,Control IgG,fibroblast_Pi16,Fgf7,179,0.45251396648044656,1.167980960264583
GSM9057712,Control IgG,fibroblast_Pi16,Gsdmd,179,0.24022346368715067,0.3575189051487732
GSM9057712,Control IgG,fibroblast_Pi16,Hbegf,179,0.01675977653631285,0.01699264027758793
GSM9057712,Control IgG,fibroblast_Pi16,Il1a,179,0.00558659217877095,0.00824589251479107
GSM9057712,Control IgG,fibroblast_Pi16,Il1b,179,0.02793296089385475,0.3058272913280413
GSM9057712,Control IgG,fibroblast_Pi16,Il1r1,179,0.34636871508379863,0.8817858011577611
GSM9057712,Control IgG,fibroblast_Pi16,Il1r2,179,0.08938547486033517,0.1834840629469832
GSM9057712,Control IgG,fibroblast_Pi16,Il1rap,179,0.10055865921787706,0.14871851037572784
GSM9057712,Control IgG,fibroblast_Pi16,Il1rn,179,0.0,0.0
GSM9057712,Control IgG,fibroblast_Pi16,Nlrp3,179,0.00558659217877095,0.0078254547958691
GSM9057712,Control IgG,fibroblast_Pi16,Pycard,179,0.1284916201117318,0.19283441533700305
GSM9057712,Control IgG,fibroblast_Pi16,Sigirr,179,0.0,0.0
GSM9057712,Control IgG,fibroblast_Pi16,Tgfb1,179,0.17877094972067029,0.3516462261818148
GSM9057712,Control IgG,fibroblast_Pi16,Vegfa,179,0.2513966480446926,0.6163130339662064
GSM9057712,Control IgG,inflammatory_CSF1R_CSF3R_myeloid,Areg,95,0.05263157894736842,0.08194965856691672
GSM9057712,Control IgG,inflammatory_CSF1R_CSF3R_myeloid,Casp1,95,0.3263157894736841,0.652194437744732
GSM9057712,Control IgG,inflammatory_CSF1R_CSF3R_myeloid,Ccl2,95,0.12631578947368424,0.6726504005979386
GSM9057712,Control IgG,inflammatory_CSF1R_CSF3R_myeloid,Cxcl12,95,0.010526315789473684,0.024087679152113694
GSM9057712,Control IgG,inflammatory_CSF1R_CSF3R_myeloid,Fgf10,95,0.0,0.0
GSM9057712,Control IgG,inflammatory_CSF1R_CSF3R_myeloid,Fgf7,95,0.0,0.0
GSM9057712,Control IgG,inflammatory_CSF1R_CSF3R_myeloid,Gsdmd,95,0.4631578947368417,0.9610734390464394
GSM9057712,Control IgG,inflammatory_CSF1R_CSF3R_myeloid,Hbegf,95,0.0,0.0
GSM9057712,Control IgG,inflammatory_CSF1R_CSF3R_myeloid,Il1a,95,0.031578947368421054,0.031386301327450634
GSM9057712,Control IgG,inflammatory_CSF1R_CSF3R_myeloid,Il1b,95,1.000000000000001,79.71786331187498
GSM9057712,Control IgG,inflammatory_CSF1R_CSF3R_myeloid,Il1r1,95,0.0,0.0
GSM9057712,Control IgG,inflammatory_CSF1R_CSF3R_myeloid,Il1r2,95,0.557894736842105,1.9957879466213586
GSM9057712,Control IgG,inflammatory_CSF1R_CSF3R_myeloid,Il1rap,95,0.12631578947368424,0.28412162818621955
GSM9057712,Control IgG,inflammatory_CSF1R_CSF3R_myeloid,Il1rn,95,0.4421052631578944,1.3962075465115098
GSM9057712,Control IgG,inflammatory_CSF1R_CSF3R_myeloid,Nlrp3,95,0.6947368421052633,2.656495370435373
GSM9057712,Control IgG,inflammatory_CSF1R_CSF3R_myeloid,Pycard,95,0.5052631578947364,1.2157717882470627
GSM9057712,Control IgG,inflammatory_CSF1R_CSF3R_myeloid,Sigirr,95,0.031578947368421054,0.04251351905041027
GSM9057712,Control IgG,inflammatory_CSF1R_CSF3R_myeloid,Tgfb1,95,0.8526315789473691,5.779868115312792
GSM9057712,Control IgG,inflammatory_CSF1R_CSF3R_myeloid,Vegfa,95,0.3052631578947368,0.6387537551780273
GSM9057712,Control IgG,inflammatory_granulocyte_candidate,Areg,10,0.1,2.599090318388564
GSM9057712,Control IgG,inflammatory_granulocyte_candidate,Casp1,10,0.1,0.08802042073761113
GSM9057712,Control IgG,inflammatory_granulocyte_candidate,Ccl2,10,0.0,0.0
GSM9057712,Control IgG,inflammatory_granulocyte_candidate,Cxcl12,10,0.0,0.0
GSM9057712,Control IgG,inflammatory_granulocyte_candidate,Fgf10,10,0.0,0.0
GSM9057712,Control IgG,inflammatory_granulocyte_candidate,Fgf7,10,0.0,0.0
GSM9057712,Control IgG,inflammatory_granulocyte_candidate,Gsdmd,10,0.1,0.3523608174770966
GSM9057712,Control IgG,inflammatory_granulocyte_candidate,Hbegf,10,0.0,0.0
GSM9057712,Control IgG,inflammatory_granulocyte_candidate,Il1a,10,0.1,11.940298507462687
GSM9057712,Control IgG,inflammatory_granulocyte_candidate,Il1b,10,0.9999999999999999,97.98692618164641
GSM9057712,Control IgG,inflammatory_granulocyte_candidate,Il1r1,10,0.0,0.0
GSM9057712,Control IgG,inflammatory_granulocyte_candidate,Il1r2,10,0.4,5.67887951240734
GSM9057712,Control IgG,inflammatory_granulocyte_candidate,Il1rap,10,0.0,0.0
GSM9057712,Control IgG,inflammatory_granulocyte_candidate,Il1rn,10,0.1,4.477611940298508
GSM9057712,Control IgG,inflammatory_granulocyte_candidate,Nlrp3,10,0.5,5.520353429852699
GSM9057712,Control IgG,inflammatory_granulocyte_candidate,Pycard,10,0.2,0.417401184900984
GSM9057712,Control IgG,inflammatory_granulocyte_candidate,Sigirr,10,0.0,0.0
GSM9057712,Control IgG,inflammatory_granulocyte_candidate,Tgfb1,10,0.30000000000000004,2.5883771220389242
GSM9057712,Control IgG,inflammatory_granulocyte_candidate,Vegfa,10,0.1,0.3248862897985705
GSM9057712,Control IgG,macrophage_candidate,Areg,1,0.0,0.0
GSM9057712,Control IgG,macrophage_candidate,Casp1,1,1.0,2.281151981750784
GSM9057712,Control IgG,macrophage_candidate,Ccl2,1,1.0,2.281151981750784
GSM9057712,Control IgG,macrophage_candidate,Cxcl12,1,0.0,0.0
GSM9057712,Control IgG,macrophage_candidate,Fgf10,1,0.0,0.0
GSM9057712,Control IgG,macrophage_candidate,Fgf7,1,0.0,0.0
GSM9057712,Control IgG,macrophage_candidate,Gsdmd,1,0.0,0.0
GSM9057712,Control IgG,macrophage_candidate,Hbegf,1,0.0,0.0
GSM9057712,Control IgG,macrophage_candidate,Il1a,1,0.0,0.0
GSM9057712,Control IgG,macrophage_candidate,Il1b,1,1.0,36.498431708012546
GSM9057712,Control IgG,macrophage_candidate,Il1r1,1,0.0,0.0
GSM9057712,Control IgG,macrophage_candidate,Il1r2,1,1.0,2.8514399771884804
GSM9057712,Control IgG,macrophage_candidate,Il1rap,1,0.0,0.0
GSM9057712,Control IgG,macrophage_candidate,Il1rn,1,1.0,0.570287995437696
GSM9057712,Control IgG,macrophage_candidate,Nlrp3,1,1.0,1.140575990875392
GSM9057712,Control IgG,macrophage_candidate,Pycard,1,1.0,4.562303963501568
GSM9057712,Control IgG,macrophage_candidate,Sigirr,1,0.0,0.0
GSM9057712,Control IgG,macrophage_candidate,Tgfb1,1,1.0,3.4217279726261762
GSM9057712,Control IgG,macrophage_candidate,Vegfa,1,1.0,1.140575990875392
GSM9057712,Control IgG,mesothelial_stromal_ambiguous,Areg,10,0.0,0.0
GSM9057712,Control IgG,mesothelial_stromal_ambiguous,Casp1,10,0.2,0.4570181258588958
GSM9057712,Control IgG,mesothelial_stromal_ambiguous,Ccl2,10,0.2,1.1376217605568086
GSM9057712,Control IgG,mesothelial_stromal_ambiguous,Cxcl12,10,0.0,0.0
GSM9057712,Control IgG,mesothelial_stromal_ambiguous,Fgf10,10,0.0,0.0
GSM9057712,Control IgG,mesothelial_stromal_ambiguous,Fgf7,10,0.0,0.0
GSM9057712,Control IgG,mesothelial_stromal_ambiguous,Gsdmd,10,0.6,1.2694282622019277
