unit_id,gsm,treatment,compartment,label,cells
u92,GSM9057716,Control IgG,other,cytotoxic_T_cell,132
u93,GSM9057716,Control IgG,fibroblast,fibroblast_Gsn,289
u94,GSM9057716,Control IgG,fibroblast,fibroblast_Itga8,187
u95,GSM9057716,Control IgG,fibroblast,fibroblast_Pi16,475
u96,GSM9057716,Control IgG,myeloid,inflammatory_CSF1R_CSF3R_myeloid,62
u97,GSM9057716,Control IgG,other,inflammatory_granulocyte_candidate,8
u98,GSM9057716,Control IgG,other,mesothelial_stromal_ambiguous,39
u99,GSM9057716,Control IgG,alveolar,mixed_AT2_AT1_alveolar,62
u100,GSM9057716,Control IgG,unassigned,mixed_fibroblast_myeloid,3
u101,GSM9057716,Control IgG,unassigned,mixed_lineage,21
u102,GSM9057716,Control IgG,unassigned,mixed_myeloid_B,9
u103,GSM9057716,Control IgG,other,mural_pericyte,24
u104,GSM9057716,Control IgG,airway,neuroendocrine_candidate,70
u105,GSM9057716,Control IgG,other,neutrophil,347
u106,GSM9057716,Control IgG,other,pDC_candidate,30
u107,GSM9057716,Control IgG,other,plasma_cell,109
u108,GSM9057716,Control IgG,airway,secretory_airway,23
u109,GSM9057716,Control IgG,other,smooth_muscle,220
u110,GSM9057716,Control IgG,endothelial,vascular_endothelial,85
u111,GSM9057717,anti-IL-1β,other,APC_ambiguous,97
u112,GSM9057717,anti-IL-1β,alveolar,AT1_like,29
u113,GSM9057717,anti-IL-1β,other,B_cell,411
u114,GSM9057717,anti-IL-1β,myeloid,CSF1R_myeloid,260
u115,GSM9057717,anti-IL-1β,other,NK_cell,312
u116,GSM9057717,anti-IL-1β,other,T_cell,563
u117,GSM9057717,anti-IL-1β,other,basophil_mast_candidate,16
u118,GSM9057717,anti-IL-1β,endothelial,capillary_endothelial,44
u119,GSM9057717,anti-IL-1β,other,cardiac_muscle,1
u120,GSM9057717,anti-IL-1β,other,cytotoxic_T_cell,90
u121,GSM9057717,anti-IL-1β,fibroblast,fibroblast_Gsn,104
u122,GSM9057717,anti-IL-1β,fibroblast,fibroblast_Itga8,95
u123,GSM9057717,anti-IL-1β,fibroblast,fibroblast_Pi16,218
u124,GSM9057717,anti-IL-1β,myeloid,inflammatory_CSF1R_CSF3R_myeloid,44
u125,GSM9057717,anti-IL-1β,other,inflammatory_granulocyte_candidate,5
u126,GSM9057717,anti-IL-1β,myeloid,macrophage_candidate,3
u127,GSM9057717,anti-IL-1β,other,mesothelial_stromal_ambiguous,11
u128,GSM9057717,anti-IL-1β,alveolar,mixed_AT2_AT1_alveolar,45
u129,GSM9057717,anti-IL-1β,unassigned,mixed_myeloid_B,8
u130,GSM9057717,anti-IL-1β,other,mural_pericyte,38
u131,GSM9057717,anti-IL-1β,airway,neuroendocrine_candidate,15
u132,GSM9057717,anti-IL-1β,other,neutrophil,275
u133,GSM9057717,anti-IL-1β,other,pDC_candidate,45
u134,GSM9057717,anti-IL-1β,other,plasma_cell,9
u135,GSM9057717,anti-IL-1β,airway,secretory_airway,10
u136,GSM9057717,anti-IL-1β,other,smooth_muscle,91
u137,GSM9057717,anti-IL-1β,endothelial,vascular_endothelial,74
u138,GSM9057720,Control IgG,other,APC_ambiguous,250
u139,GSM9057720,Control IgG,alveolar,AT1_like,245
u140,GSM9057720,Control IgG,other,B_cell,224
u141,GSM9057720,Control IgG,myeloid,CSF1R_myeloid,303
u142,GSM9057720,Control IgG,other,NK_cell,85
u143,GSM9057720,Control IgG,other,T_cell,708
u144,GSM9057720,Control IgG,other,basophil_mast_candidate,11
u145,GSM9057720,Control IgG,endothelial,capillary_endothelial,164
u146,GSM9057720,Control IgG,other,cardiac_muscle,6
u147,GSM9057720,Control IgG,other,cytotoxic_T_cell,71
u148,GSM9057720,Control IgG,fibroblast,fibroblast_Gsn,230
u149,GSM9057720,Control IgG,fibroblast,fibroblast_Itga8,234
u150,GSM9057720,Control IgG,fibroblast,fibroblast_Pi16,254
u151,GSM9057720,Control IgG,myeloid,inflammatory_CSF1R_CSF3R_myeloid,95
u152,GSM9057720,Control IgG,other,inflammatory_granulocyte_candidate,25
u153,GSM9057720,Control IgG,myeloid,macrophage_candidate,11
u154,GSM9057720,Control IgG,other,mesothelial_stromal_ambiguous,21
u155,GSM9057720,Control IgG,alveolar,mixed_AT2_AT1_alveolar,108
u156,GSM9057720,Control IgG,unassigned,mixed_airway_cytotoxic,11
u157,GSM9057720,Control IgG,unassigned,mixed_fibroblast_myeloid,11
u158,GSM9057720,Control IgG,unassigned,mixed_lineage,17
u159,GSM9057720,Control IgG,unassigned,mixed_myeloid_B,2
