source_label	group	driver	chase_days	state	numerator	denominator	fraction
BL1121_B0304	12wk_3d	Slc4a11	3	Ribosome	0	57	0.0
BL1124_B0305	12wk_3d	Slc4a11	3	HPCS	51	67	0.7611940298507462
BL1124_B0305	12wk_3d	Slc4a11	3	AT1-like	4	67	0.05970149253731343
BL1124_B0305	12wk_3d	Slc4a11	3	AT2-like	6	67	0.08955223880597014
BL1124_B0305	12wk_3d	Slc4a11	3	Lung endoderm-like	3	67	0.04477611940298507
BL1124_B0305	12wk_3d	Slc4a11	3	Hybrid lung/gastric-like	0	67	0.0
BL1124_B0305	12wk_3d	Slc4a11	3	Highly proliferative	2	67	0.029850746268656716
BL1124_B0305	12wk_3d	Slc4a11	3	EMT	0	67	0.0
BL1124_B0305	12wk_3d	Slc4a11	3	Ribosome	1	67	0.014925373134328358
BL1233_B0306	12wk_3d	Slc4a11	3	HPCS	27	58	0.46551724137931033
BL1233_B0306	12wk_3d	Slc4a11	3	AT1-like	2	58	0.034482758620689655
BL1233_B0306	12wk_3d	Slc4a11	3	AT2-like	18	58	0.3103448275862069
BL1233_B0306	12wk_3d	Slc4a11	3	Lung endoderm-like	5	58	0.08620689655172414
BL1233_B0306	12wk_3d	Slc4a11	3	Hybrid lung/gastric-like	1	58	0.017241379310344827
BL1233_B0306	12wk_3d	Slc4a11	3	Highly proliferative	5	58	0.08620689655172414
BL1233_B0306	12wk_3d	Slc4a11	3	EMT	0	58	0.0
BL1233_B0306	12wk_3d	Slc4a11	3	Ribosome	0	58	0.0
BL1237_B0302	12wk_3d	Slc4a11	3	HPCS	187	239	0.7824267782426778
BL1237_B0302	12wk_3d	Slc4a11	3	AT1-like	13	239	0.05439330543933055
BL1237_B0302	12wk_3d	Slc4a11	3	AT2-like	23	239	0.09623430962343096
BL1237_B0302	12wk_3d	Slc4a11	3	Lung endoderm-like	3	239	0.012552301255230125
BL1237_B0302	12wk_3d	Slc4a11	3	Hybrid lung/gastric-like	3	239	0.012552301255230125
BL1237_B0302	12wk_3d	Slc4a11	3	Highly proliferative	4	239	0.016736401673640166
BL1237_B0302	12wk_3d	Slc4a11	3	EMT	0	239	0.0
BL1237_B0302	12wk_3d	Slc4a11	3	Ribosome	6	239	0.02510460251046025
BL1606_B0303	12wk_3d	Slc4a11	3	HPCS	202	354	0.5706214689265536
BL1606_B0303	12wk_3d	Slc4a11	3	AT1-like	31	354	0.08757062146892655
BL1606_B0303	12wk_3d	Slc4a11	3	AT2-like	72	354	0.2033898305084746
BL1606_B0303	12wk_3d	Slc4a11	3	Lung endoderm-like	14	354	0.03954802259887006
BL1606_B0303	12wk_3d	Slc4a11	3	Hybrid lung/gastric-like	14	354	0.03954802259887006
BL1606_B0303	12wk_3d	Slc4a11	3	Highly proliferative	19	354	0.05367231638418079
BL1606_B0303	12wk_3d	Slc4a11	3	EMT	2	354	0.005649717514124294
BL1606_B0303	12wk_3d	Slc4a11	3	Ribosome	0	354	0.0
BL1646_B0301	12wk_3d	Slc4a11	3	HPCS	77	102	0.7549019607843137
BL1646_B0301	12wk_3d	Slc4a11	3	AT1-like	2	102	0.0196078431372549
BL1646_B0301	12wk_3d	Slc4a11	3	AT2-like	14	102	0.13725490196078433
BL1646_B0301	12wk_3d	Slc4a11	3	Lung endoderm-like	2	102	0.0196078431372549
BL1646_B0301	12wk_3d	Slc4a11	3	Hybrid lung/gastric-like	4	102	0.0392156862745098
BL1646_B0301	12wk_3d	Slc4a11	3	Highly proliferative	1	102	0.00980392156862745
BL1646_B0301	12wk_3d	Slc4a11	3	EMT	2	102	0.0196078431372549
BL1646_B0301	12wk_3d	Slc4a11	3	Ribosome	0	102	0.0
BD1621_B0302_GFP+	14wk	Slc4a11	14	HPCS	59	119	0.4957983193277311
BD1621_B0302_GFP+	14wk	Slc4a11	14	AT1-like	13	119	0.1092436974789916
BD1621_B0302_GFP+	14wk	Slc4a11	14	AT2-like	13	119	0.1092436974789916
BD1621_B0302_GFP+	14wk	Slc4a11	14	Lung endoderm-like	27	119	0.226890756302521
BD1621_B0302_GFP+	14wk	Slc4a11	14	Hybrid lung/gastric-like	2	119	0.01680672268907563
BD1621_B0302_GFP+	14wk	Slc4a11	14	Highly proliferative	0	119	0.0
BD1621_B0302_GFP+	14wk	Slc4a11	14	EMT	5	119	0.04201680672268908
BD1621_B0302_GFP+	14wk	Slc4a11	14	Ribosome	0	119	0.0
BF1303_B0301_GFP+	14wk	Slc4a11	14	HPCS	223	811	0.2749691738594328
BF1303_B0301_GFP+	14wk	Slc4a11	14	AT1-like	50	811	0.06165228113440197
BF1303_B0301_GFP+	14wk	Slc4a11	14	AT2-like	221	811	0.2725030826140567
BF1303_B0301_GFP+	14wk	Slc4a11	14	Lung endoderm-like	184	811	0.22688039457459927
BF1303_B0301_GFP+	14wk	Slc4a11	14	Hybrid lung/gastric-like	95	811	0.11713933415536375
BF1303_B0301_GFP+	14wk	Slc4a11	14	Highly proliferative	34	811	0.04192355117139334
BF1303_B0301_GFP+	14wk	Slc4a11	14	EMT	4	811	0.004932182490752158
BF1303_B0301_GFP+	14wk	Slc4a11	14	Ribosome	0	811	0.0
BH1066_GFP+	14wk	Slc4a11	14	HPCS	33	61	0.5409836065573771
BH1066_GFP+	14wk	Slc4a11	14	AT1-like	13	61	0.21311475409836064
BH1066_GFP+	14wk	Slc4a11	14	AT2-like	11	61	0.18032786885245902
BH1066_GFP+	14wk	Slc4a11	14	Lung endoderm-like	2	61	0.03278688524590164
BH1066_GFP+	14wk	Slc4a11	14	Hybrid lung/gastric-like	0	61	0.0
BH1066_GFP+	14wk	Slc4a11	14	Highly proliferative	2	61	0.03278688524590164
BH1066_GFP+	14wk	Slc4a11	14	EMT	0	61	0.0
BH1066_GFP+	14wk	Slc4a11	14	Ribosome	0	61	0.0
BQ1151_B0308	Hopx_12wk3d	Hopx	3	HPCS	36	648	0.05555555555555555
BQ1151_B0308	Hopx_12wk3d	Hopx	3	AT1-like	341	648	0.5262345679012346
BQ1151_B0308	Hopx_12wk3d	Hopx	3	AT2-like	152	648	0.2345679012345679
BQ1151_B0308	Hopx_12wk3d	Hopx	3	Lung endoderm-like	97	648	0.14969135802469136
BQ1151_B0308	Hopx_12wk3d	Hopx	3	Hybrid lung/gastric-like	17	648	0.026234567901234566
BQ1151_B0308	Hopx_12wk3d	Hopx	3	Highly proliferative	3	648	0.004629629629629629
BQ1151_B0308	Hopx_12wk3d	Hopx	3	EMT	2	648	0.0030864197530864196
BQ1151_B0308	Hopx_12wk3d	Hopx	3	Ribosome	0	648	0.0
BQ1152_B0309	Hopx_12wk3d	Hopx	3	HPCS	23	578	0.039792387543252594
BQ1152_B0309	Hopx_12wk3d	Hopx	3	AT1-like	241	578	0.41695501730103807
BQ1152_B0309	Hopx_12wk3d	Hopx	3	AT2-like	144	578	0.2491349480968858
BQ1152_B0309	Hopx_12wk3d	Hopx	3	Lung endoderm-like	92	578	0.15916955017301038
BQ1152_B0309	Hopx_12wk3d	Hopx	3	Hybrid lung/gastric-like	73	578	0.12629757785467127
BQ1152_B0309	Hopx_12wk3d	Hopx	3	Highly proliferative	4	578	0.006920415224913495
BQ1152_B0309	Hopx_12wk3d	Hopx	3	EMT	1	578	0.0017301038062283738
BQ1152_B0309	Hopx_12wk3d	Hopx	3	Ribosome	0	578	0.0
BP1479_B0309	Hopx_12wk14d	Hopx	14	HPCS	24	361	0.0664819944598338
BP1479_B0309	Hopx_12wk14d	Hopx	14	AT1-like	223	361	0.6177285318559557
BP1479_B0309	Hopx_12wk14d	Hopx	14	AT2-like	79	361	0.2188365650969529
BP1479_B0309	Hopx_12wk14d	Hopx	14	Lung endoderm-like	12	361	0.0332409972299169
BP1479_B0309	Hopx_12wk14d	Hopx	14	Hybrid lung/gastric-like	12	361	0.0332409972299169
BP1479_B0309	Hopx_12wk14d	Hopx	14	Highly proliferative	11	361	0.030470914127423823
BP1479_B0309	Hopx_12wk14d	Hopx	14	EMT	0	361	0.0
BP1479_B0309	Hopx_12wk14d	Hopx	14	Ribosome	0	361	0.0
BQ1920_B0308	Hopx_12wk14d	Hopx	14	HPCS	11	550	0.02
BQ1920_B0308	Hopx_12wk14d	Hopx	14	AT1-like	376	550	0.6836363636363636
BQ1920_B0308	Hopx_12wk14d	Hopx	14	AT2-like	133	550	0.24181818181818182
BQ1920_B0308	Hopx_12wk14d	Hopx	14	Lung endoderm-like	19	550	0.034545454545454546
BQ1920_B0308	Hopx_12wk14d	Hopx	14	Hybrid lung/gastric-like	8	550	0.014545454545454545
BQ1920_B0308	Hopx_12wk14d	Hopx	14	Highly proliferative	1	550	0.0018181818181818182
BQ1920_B0308	Hopx_12wk14d	Hopx	14	EMT	0	550	0.0
BQ1920_B0308	Hopx_12wk14d	Hopx	14	Ribosome	2	550	0.0036363636363636364
