sample_id,author_celltype,n_cells,gsm,orig_ident,experimental_group,condition,sacrifice_day,tamoxifen_start_day,sex
EEM-scRNA-162,AT2,150,GSM8181592,scRNA-162_H1N1_02to6dpi,H1N1_tam02_sac06,H1N1_infected,6.0,2.0,m
EEM-scRNA-162,Alveolar_transitional,11,GSM8181592,scRNA-162_H1N1_02to6dpi,H1N1_tam02_sac06,H1N1_infected,6.0,2.0,m
EEM-scRNA-162,Ciliated,28,GSM8181592,scRNA-162_H1N1_02to6dpi,H1N1_tam02_sac06,H1N1_infected,6.0,2.0,m
EEM-scRNA-166,AT1,145,GSM8181593,scRNA-166_homeostasis_D3,H1N1_homeostasis_d03,homeostasis,0.0,-3.0,f
EEM-scRNA-166,AT1_AT2,18,GSM8181593,scRNA-166_homeostasis_D3,H1N1_homeostasis_d03,homeostasis,0.0,-3.0,f
EEM-scRNA-166,AT2,39,GSM8181593,scRNA-166_homeostasis_D3,H1N1_homeostasis_d03,homeostasis,0.0,-3.0,f
EEM-scRNA-166,Alveolar_transitional,2,GSM8181593,scRNA-166_homeostasis_D3,H1N1_homeostasis_d03,homeostasis,0.0,-3.0,f
EEM-scRNA-166,Ciliated,37,GSM8181593,scRNA-166_homeostasis_D3,H1N1_homeostasis_d03,homeostasis,0.0,-3.0,f
EEM-scRNA-167,AT1,104,GSM8181594,scRNA-167_H1N1_07to11dpi,H1N1_tam07_sac11,H1N1_infected,11.0,7.0,m
EEM-scRNA-167,AT1_AT2,8,GSM8181594,scRNA-167_H1N1_07to11dpi,H1N1_tam07_sac11,H1N1_infected,11.0,7.0,m
EEM-scRNA-167,AT2,149,GSM8181594,scRNA-167_H1N1_07to11dpi,H1N1_tam07_sac11,H1N1_infected,11.0,7.0,m
EEM-scRNA-167,Alveolar_transitional,127,GSM8181594,scRNA-167_H1N1_07to11dpi,H1N1_tam07_sac11,H1N1_infected,11.0,7.0,m
EEM-scRNA-167,Ciliated,44,GSM8181594,scRNA-167_H1N1_07to11dpi,H1N1_tam07_sac11,H1N1_infected,11.0,7.0,m
EEM-scRNA-167,Krt5,1,GSM8181594,scRNA-167_H1N1_07to11dpi,H1N1_tam07_sac11,H1N1_infected,11.0,7.0,m
EEM-scRNA-167,Secretory,5,GSM8181594,scRNA-167_H1N1_07to11dpi,H1N1_tam07_sac11,H1N1_infected,11.0,7.0,m
EEM-scRNA-170,AT1,99,GSM8181595,scRNA-170_H1N1_15to19dpi,H1N1_tam14_sac19,H1N1_infected,19.0,14.0,f
EEM-scRNA-170,AT1_AT2,21,GSM8181595,scRNA-170_H1N1_15to19dpi,H1N1_tam14_sac19,H1N1_infected,19.0,14.0,f
EEM-scRNA-170,AT2,111,GSM8181595,scRNA-170_H1N1_15to19dpi,H1N1_tam14_sac19,H1N1_infected,19.0,14.0,f
EEM-scRNA-170,Alveolar_transitional,10,GSM8181595,scRNA-170_H1N1_15to19dpi,H1N1_tam14_sac19,H1N1_infected,19.0,14.0,f
EEM-scRNA-170,Ciliated,71,GSM8181595,scRNA-170_H1N1_15to19dpi,H1N1_tam14_sac19,H1N1_infected,19.0,14.0,f
EEM-scRNA-170,Krt5,7,GSM8181595,scRNA-170_H1N1_15to19dpi,H1N1_tam14_sac19,H1N1_infected,19.0,14.0,f
EEM-scRNA-170,Secretory,3,GSM8181595,scRNA-170_H1N1_15to19dpi,H1N1_tam14_sac19,H1N1_infected,19.0,14.0,f
EEM-scRNA-172,AT1,96,GSM8181596,scRNA-172_H1N1_21to25dpi,H1N1_tam21_sac25,H1N1_infected,25.0,21.0,f
EEM-scRNA-172,AT1_AT2,40,GSM8181596,scRNA-172_H1N1_21to25dpi,H1N1_tam21_sac25,H1N1_infected,25.0,21.0,f
EEM-scRNA-172,AT2,223,GSM8181596,scRNA-172_H1N1_21to25dpi,H1N1_tam21_sac25,H1N1_infected,25.0,21.0,f
EEM-scRNA-172,Alveolar_transitional,8,GSM8181596,scRNA-172_H1N1_21to25dpi,H1N1_tam21_sac25,H1N1_infected,25.0,21.0,f
EEM-scRNA-172,Ciliated,64,GSM8181596,scRNA-172_H1N1_21to25dpi,H1N1_tam21_sac25,H1N1_infected,25.0,21.0,f
EEM-scRNA-172,Krt5,17,GSM8181596,scRNA-172_H1N1_21to25dpi,H1N1_tam21_sac25,H1N1_infected,25.0,21.0,f
EEM-scRNA-172,Secretory,5,GSM8181596,scRNA-172_H1N1_21to25dpi,H1N1_tam21_sac25,H1N1_infected,25.0,21.0,f
EEM-scRNA-179,AT1,66,GSM8181597,scRNA-179_H1N1_02to42dpi,H1N1_tam02_sac42,H1N1_infected,42.0,2.0,m
EEM-scRNA-179,AT1_AT2,4,GSM8181597,scRNA-179_H1N1_02to42dpi,H1N1_tam02_sac42,H1N1_infected,42.0,2.0,m
EEM-scRNA-179,AT2,79,GSM8181597,scRNA-179_H1N1_02to42dpi,H1N1_tam02_sac42,H1N1_infected,42.0,2.0,m
EEM-scRNA-179,Ciliated,24,GSM8181597,scRNA-179_H1N1_02to42dpi,H1N1_tam02_sac42,H1N1_infected,42.0,2.0,m
EEM-scRNA-179,Krt5,53,GSM8181597,scRNA-179_H1N1_02to42dpi,H1N1_tam02_sac42,H1N1_infected,42.0,2.0,m
EEM-scRNA-180,AT1,43,GSM8181598,scRNA-180_H1N1_07to42dpi,H1N1_tam07_sac42,H1N1_infected,42.0,7.0,f
EEM-scRNA-180,AT1_AT2,2,GSM8181598,scRNA-180_H1N1_07to42dpi,H1N1_tam07_sac42,H1N1_infected,42.0,7.0,f
EEM-scRNA-180,AT2,51,GSM8181598,scRNA-180_H1N1_07to42dpi,H1N1_tam07_sac42,H1N1_infected,42.0,7.0,f
EEM-scRNA-180,Alveolar_transitional,1,GSM8181598,scRNA-180_H1N1_07to42dpi,H1N1_tam07_sac42,H1N1_infected,42.0,7.0,f
EEM-scRNA-180,Ciliated,7,GSM8181598,scRNA-180_H1N1_07to42dpi,H1N1_tam07_sac42,H1N1_infected,42.0,7.0,f
EEM-scRNA-180,Krt5,9,GSM8181598,scRNA-180_H1N1_07to42dpi,H1N1_tam07_sac42,H1N1_infected,42.0,7.0,f
EEM-scRNA-180,Secretory,3,GSM8181598,scRNA-180_H1N1_07to42dpi,H1N1_tam07_sac42,H1N1_infected,42.0,7.0,f
EEM-scRNA-181,AT1,53,GSM8181599,scRNA-181_H1N1_15to42dpi,H1N1_tam14_sac42,H1N1_infected,42.0,14.0,f
EEM-scRNA-181,AT1_AT2,20,GSM8181599,scRNA-181_H1N1_15to42dpi,H1N1_tam14_sac42,H1N1_infected,42.0,14.0,f
EEM-scRNA-181,AT2,88,GSM8181599,scRNA-181_H1N1_15to42dpi,H1N1_tam14_sac42,H1N1_infected,42.0,14.0,f
EEM-scRNA-181,Alveolar_transitional,3,GSM8181599,scRNA-181_H1N1_15to42dpi,H1N1_tam14_sac42,H1N1_infected,42.0,14.0,f
EEM-scRNA-181,Ciliated,37,GSM8181599,scRNA-181_H1N1_15to42dpi,H1N1_tam14_sac42,H1N1_infected,42.0,14.0,f
EEM-scRNA-181,Krt5,21,GSM8181599,scRNA-181_H1N1_15to42dpi,H1N1_tam14_sac42,H1N1_infected,42.0,14.0,f
EEM-scRNA-181,Secretory,1,GSM8181599,scRNA-181_H1N1_15to42dpi,H1N1_tam14_sac42,H1N1_infected,42.0,14.0,f
EEM-scRNA-182,AT1,91,GSM8181600,scRNA-182_H1N1_21to42dpi,H1N1_tam21_sac42,H1N1_infected,42.0,21.0,m
