ligand,receptor,family,resource,biological_role
VEGFA,ITGB3,exploratory,consensus,resource_RNA_compatibility_only
VEGFA,ITGB1,exploratory,consensus,resource_RNA_compatibility_only
VEGFA,ITGAV,exploratory,consensus,resource_RNA_compatibility_only
VEGFA,RET,exploratory,consensus,resource_RNA_compatibility_only
VEGFA,EPHB2,exploratory,consensus,resource_RNA_compatibility_only
VEGFA,GPC1,exploratory,consensus,resource_RNA_compatibility_only
VEGFA,SIRPA,exploratory,consensus,resource_RNA_compatibility_only
VEGFA,TYRO3,exploratory,consensus,resource_RNA_compatibility_only
VEGFA,ITGA9,exploratory,consensus,resource_RNA_compatibility_only
CXCL2,CXCR1,exploratory,consensus,resource_RNA_compatibility_only
CXCL2,CXCR2,exploratory,consensus,resource_RNA_compatibility_only
CXCL2,XCR1,exploratory,consensus,resource_RNA_compatibility_only
CXCL2,MTNR1A,exploratory,consensus,resource_RNA_compatibility_only
CXCL2,GRM7,exploratory,consensus,resource_RNA_compatibility_only
CXCL2,ACKR1,exploratory,consensus,resource_RNA_compatibility_only
FGF7,NRP1,exploratory,consensus,resource_RNA_compatibility_only
FGF7,FGFR1,exploratory,consensus,resource_RNA_compatibility_only
FGF7,FGFR2,exploratory,consensus,resource_RNA_compatibility_only
FGF7,FGFR4,exploratory,consensus,resource_RNA_compatibility_only
FGF7,FGFR3,exploratory,consensus,resource_RNA_compatibility_only
CXCL12,CD4,exploratory,consensus,resource_RNA_compatibility_only
CXCL12,ITGB3,exploratory,consensus,resource_RNA_compatibility_only
CXCL12,ITGB1,exploratory,consensus,resource_RNA_compatibility_only
CXCL12,ITGAV,exploratory,consensus,resource_RNA_compatibility_only
CXCL12,ITGA5,exploratory,consensus,resource_RNA_compatibility_only
CXCL12,ITGA4,exploratory,consensus,resource_RNA_compatibility_only
CXCL12,ACKR3,exploratory,consensus,resource_RNA_compatibility_only
CXCL12,AVPR1A,exploratory,consensus,resource_RNA_compatibility_only
CXCL12,MTNR1A,exploratory,consensus,resource_RNA_compatibility_only
CXCL12,CXCR3,exploratory,consensus,resource_RNA_compatibility_only
CXCL12,CCR4,exploratory,consensus,resource_RNA_compatibility_only
CXCL12,CXCR4,exploratory,consensus,resource_RNA_compatibility_only
CXCL12,GRM7,exploratory,consensus,resource_RNA_compatibility_only
HBEGF,EGFR_ERBB2,core,consensus,resource_RNA_compatibility_only
HBEGF,ERBB2_ERBB4,core,consensus,resource_RNA_compatibility_only
HBEGF,CD44,core,consensus,resource_RNA_compatibility_only
HBEGF,PRLR,core,consensus,resource_RNA_compatibility_only
CCL2,ACKR2,exploratory,consensus,resource_RNA_compatibility_only
CXCL2,DPP4,exploratory,consensus,resource_RNA_compatibility_only
CXCL12,DPP4,exploratory,consensus,resource_RNA_compatibility_only
TGFB1,ENG,core,consensus,resource_RNA_compatibility_only
HBEGF,CD9,core,consensus,resource_RNA_compatibility_only
HBEGF,CD82,core,consensus,resource_RNA_compatibility_only
TGFB1,CAV1,core,consensus,resource_RNA_compatibility_only
CXCL12,SDC4,exploratory,consensus,resource_RNA_compatibility_only
VEGFA,GRIN2B,exploratory,consensus,resource_RNA_compatibility_only
VEGFA,CD44,exploratory,consensus,resource_RNA_compatibility_only
TGFB1,LPP,core,consensus,resource_RNA_compatibility_only
IL1B,IL1R2,core,cellchatdb,inhibitory_or_decoy_context_not_activation
AREG,EGFR,core,cellchatdb,resource_RNA_compatibility_only
HBEGF,EGFR,core,cellchatdb,resource_RNA_compatibility_only
FGF7,FGFR2,exploratory,cellchatdb,resource_RNA_compatibility_only
FGF10,FGFR2,exploratory,cellchatdb,resource_RNA_compatibility_only
HBEGF,ERBB4,core,cellchatdb,resource_RNA_compatibility_only
CXCL12,ACKR3,exploratory,cellchatdb,resource_RNA_compatibility_only
CCL2,CCR2,exploratory,cellchatdb,resource_RNA_compatibility_only
CXCL1,CXCR2,exploratory,cellchatdb,resource_RNA_compatibility_only
CXCL2,CXCR2,exploratory,cellchatdb,resource_RNA_compatibility_only
CXCL12,CXCR4,exploratory,cellchatdb,resource_RNA_compatibility_only
VEGFA,FLT1,exploratory,cellchatdb,resource_RNA_compatibility_only
VEGFA,KDR,exploratory,cellchatdb,resource_RNA_compatibility_only
CCL2,ACKR1,exploratory,cellchatdb,resource_RNA_compatibility_only
CCL2,ACKR2,exploratory,cellchatdb,resource_RNA_compatibility_only
CXCL1,ACKR1,exploratory,cellchatdb,resource_RNA_compatibility_only
CXCL2,ACKR1,exploratory,cellchatdb,resource_RNA_compatibility_only
IL1A,IL1R1_IL1RAP,core,cellchatdb,canonical_signaling_complex_RNA_compatibility_only
IL1B,IL1R1_IL1RAP,core,cellchatdb,canonical_signaling_complex_RNA_compatibility_only
TGFB1,TGFBR1_TGFBR2,core,cellchatdb,resource_RNA_compatibility_only
VEGFA,FLT1_KDR,exploratory,cellchatdb,resource_RNA_compatibility_only
IL1A,IL1R2,core,cellchatdb,inhibitory_or_decoy_context_not_activation
FGF10,FGFR1,exploratory,cellchatdb,resource_RNA_compatibility_only
FGF7,FGFR1,exploratory,cellchatdb,resource_RNA_compatibility_only
CXCL2,CXCR1,exploratory,cellchatdb,resource_RNA_compatibility_only
CXCL1,CXCR1,exploratory,cellchatdb,resource_RNA_compatibility_only
TGFB1,ACVR1B_TGFBR2,core,cellchatdb,resource_RNA_compatibility_only
TGFB1,ACVR1C_TGFBR2,core,cellchatdb,resource_RNA_compatibility_only
TGFB1,ACVR1_TGFBR1_TGFBR2,core,cellchatdb,resource_RNA_compatibility_only
AREG,EGFR_ERBB2,core,cellchatdb,resource_RNA_compatibility_only
HBEGF,EGFR_ERBB2,core,cellchatdb,resource_RNA_compatibility_only
HBEGF,ERBB2_ERBB4,core,cellchatdb,resource_RNA_compatibility_only
