"cohort","comp","label","cell_floor","donor","disease","cells","library_size","TMM_factor"
"GSE135893","fibroblasts","Myofibroblasts",50,"TILD006","IPF",117,464447,0.701431628183054
"GSE135893","fibroblasts","Myofibroblasts",50,"TILD015","IPF",94,833916,1.24755087352213
"GSE135893","fibroblasts","Myofibroblasts",50,"TILD028","IPF",104,505101,1.11334162502579
"GSE135893","fibroblasts","Myofibroblasts",50,"VUHD66","control",56,453591,0.875503548601672
"GSE135893","fibroblasts","Myofibroblasts",50,"VUILD59","IPF",324,1446858,0.988769602579795
"GSE135893","fibroblasts","Myofibroblasts",30,"TILD001","IPF",53,388558,1.16966802582966
"GSE135893","fibroblasts","Myofibroblasts",30,"TILD006","IPF",117,464447,0.691947327090932
"GSE135893","fibroblasts","Myofibroblasts",30,"TILD010","IPF",47,228510,1.02908835431537
"GSE135893","fibroblasts","Myofibroblasts",30,"TILD015","IPF",94,833916,1.23068230410379
"GSE135893","fibroblasts","Myofibroblasts",30,"TILD028","IPF",104,505101,1.09828774555147
"GSE135893","fibroblasts","Myofibroblasts",30,"VUHD65","control",36,275940,0.861873516252626
"GSE135893","fibroblasts","Myofibroblasts",30,"VUHD66","control",56,453591,0.863665560509135
"GSE135893","fibroblasts","Myofibroblasts",30,"VUHD67","control",30,142968,1.22342585029835
"GSE135893","fibroblasts","Myofibroblasts",30,"VUILD59","IPF",324,1446858,0.975400104763027
"GSE135893","fibroblasts","Myofibroblasts",100,"TILD006","IPF",117,464447,0.764567286778513
"GSE135893","fibroblasts","Myofibroblasts",100,"TILD028","IPF",104,505101,1.21355318366311
"GSE135893","fibroblasts","Myofibroblasts",100,"VUILD59","IPF",324,1446858,1.07776846939701
"GSE135893","fibroblasts","PLIN2+ Fibroblasts",50,"TILD001","IPF",830,6380753,0.969798169592276
"GSE135893","fibroblasts","PLIN2+ Fibroblasts",50,"VUILD59","IPF",250,1537104,1.03114238751391
"GSE135893","fibroblasts","PLIN2+ Fibroblasts",30,"TILD001","IPF",830,6380753,0.931706131382138
"GSE135893","fibroblasts","PLIN2+ Fibroblasts",30,"VUILD53","IPF",39,165044,1.08343986953287
"GSE135893","fibroblasts","PLIN2+ Fibroblasts",30,"VUILD59","IPF",250,1537104,0.990640851774998
"GSE135893","fibroblasts","PLIN2+ Fibroblasts",100,"TILD001","IPF",830,6380753,0.969798169592276
"GSE135893","fibroblasts","PLIN2+ Fibroblasts",100,"VUILD59","IPF",250,1537104,1.03114238751391
"GSE135893","macrophages","__broad__",50,"THD0001","control",295,3189015,1.19881848859287
"GSE135893","macrophages","__broad__",50,"THD0002","control",755,6389034,1.06805769574698
"GSE135893","macrophages","__broad__",50,"THD0005","control",969,6688397,1.31488438923566
"GSE135893","macrophages","__broad__",50,"TILD001","IPF",435,3096555,1.1986808056394
"GSE135893","macrophages","__broad__",50,"TILD006","IPF",2200,14100148,0.64384595555379
"GSE135893","macrophages","__broad__",50,"TILD010","IPF",774,5317148,1.04010100495733
"GSE135893","macrophages","__broad__",50,"TILD015","IPF",2440,26556422,1.24905196709148
"GSE135893","macrophages","__broad__",50,"TILD028","IPF",1824,14822269,1.12640675495812
"GSE135893","macrophages","__broad__",50,"VUHD071","control",1934,7421823,0.859596562124668
"GSE135893","macrophages","__broad__",50,"VUHD65","control",830,15171513,0.94869836190046
"GSE135893","macrophages","__broad__",50,"VUHD66","control",180,2626307,0.917771482991168
"GSE135893","macrophages","__broad__",50,"VUHD67","control",2082,26065162,0.942701049955567
"GSE135893","macrophages","__broad__",50,"VUHD68","control",4590,55712710,0.833195140851802
"GSE135893","macrophages","__broad__",50,"VUHD70","control",549,7396106,0.960643738623802
"GSE135893","macrophages","__broad__",50,"VUILD53","IPF",389,2606010,0.963190061503875
"GSE135893","macrophages","__broad__",50,"VUILD59","IPF",5869,71993642,0.824671844450388
"GSE135893","macrophages","__broad__",50,"VUILD60","IPF",1062,10265321,0.978516711356692
"GSE135893","macrophages","__broad__",50,"VUILD61","IPF",993,11005113,0.997955478053804
"GSE135893","macrophages","__broad__",50,"VUILD63","IPF",346,4378278,1.10168990183634
"GSE135893","macrophages","__broad__",50,"VUILD64","IPF",141,956663,1.06488115134836
"GSE135893","macrophages","__broad__",50,"VUILD65","IPF",847,6464473,1.02342012826484
"GSE135893","macrophages","__broad__",30,"THD0001","control",295,3189015,1.19881848859287
"GSE135893","macrophages","__broad__",30,"THD0002","control",755,6389034,1.06805769574698
"GSE135893","macrophages","__broad__",30,"THD0005","control",969,6688397,1.31488438923566
"GSE135893","macrophages","__broad__",30,"TILD001","IPF",435,3096555,1.1986808056394
"GSE135893","macrophages","__broad__",30,"TILD006","IPF",2200,14100148,0.64384595555379
"GSE135893","macrophages","__broad__",30,"TILD010","IPF",774,5317148,1.04010100495733
"GSE135893","macrophages","__broad__",30,"TILD015","IPF",2440,26556422,1.24905196709148
"GSE135893","macrophages","__broad__",30,"TILD028","IPF",1824,14822269,1.12640675495812
"GSE135893","macrophages","__broad__",30,"VUHD071","control",1934,7421823,0.859596562124668
"GSE135893","macrophages","__broad__",30,"VUHD65","control",830,15171513,0.94869836190046
