cohort,view,resource,family,ligand,receptor,source,source_label,target,target_label,primary_effect,eligible_configurations,sensitivity_min,sensitivity_max,all_available_same_sign
GSE136831,broad,consensus,core,IL1B,ADRB2,macrophages,__broad__,fibroblasts,__broad__,-0.1765958423211659,9,-0.2303694429950011,0.2003537116929288,False
GSE136831,broad,consensus,core,IL1B,IL1R1_IL1RAP,macrophages,__broad__,AT2,__broad__,-1.426095665801296,6,-1.5901985370978773,-1.2643256685992146,True
GSE136831,broad,consensus,core,IL1B,IL1R1_IL1RAP,macrophages,__broad__,fibroblasts,__broad__,0.0049600945714836,9,-0.0020903660584385,0.0285881398334026,False
GSE136831,broad,consensus,core,IL1B,IL1R2_IL1RAP,macrophages,__broad__,AT2,__broad__,-1.39718998459063,6,-1.6196000710920715,-1.1821127044530453,True
GSE136831,broad,consensus,core,IL1B,IL1R2_IL1RAP,macrophages,__broad__,fibroblasts,__broad__,-0.7311059126792161,9,-0.790430795611667,-0.4685273709229545,True
GSE136831,broad,consensus,core,IL1B,SIGIRR,macrophages,__broad__,AT2,__broad__,-0.5961881843728563,6,-0.6012589533722954,-0.586863771634734,True
GSE136831,broad,consensus,core,IL1B,SIGIRR,macrophages,__broad__,fibroblasts,__broad__,-0.6102175858202266,9,-0.6307713522546221,-0.6030291911527312,True
GSE136831,broad,consensus,core,TGFB1,ACVR1B_TGFBR2,macrophages,__broad__,fibroblasts,__broad__,-0.0788733949000253,9,-0.0953828743958267,-0.0788486797593055,True
GSE136831,broad,consensus,core,TGFB1,ACVR1C_TGFBR2,macrophages,__broad__,fibroblasts,__broad__,0.5796898316552852,9,0.4127461192220707,0.901318663784788,True
GSE136831,broad,consensus,core,TGFB1,ACVR1_TGFBR1_TGFBR2,macrophages,__broad__,fibroblasts,__broad__,0.3062628591356287,9,0.2971806132915811,0.4306373791821141,True
GSE136831,broad,consensus,core,TGFB1,ACVR1_TGFBR2,macrophages,__broad__,fibroblasts,__broad__,0.3472159266654415,9,0.3375388712083342,0.4852216715132558,True
GSE136831,broad,consensus,core,TGFB1,ACVRL1,macrophages,__broad__,fibroblasts,__broad__,-0.2879812578837066,9,-0.3725235679014957,-0.2827668887564964,True
GSE136831,broad,consensus,core,TGFB1,CAV1,macrophages,__broad__,fibroblasts,__broad__,0.2985962249407272,9,0.2951634415097386,0.4586152323089534,True
GSE136831,broad,consensus,core,TGFB1,CXCR4,macrophages,__broad__,fibroblasts,__broad__,0.2159445302566265,9,0.1817882958951431,0.3543428303558515,True
GSE136831,broad,consensus,core,TGFB1,EGFR,macrophages,__broad__,fibroblasts,__broad__,-0.3086388397723167,9,-0.4079525736300686,-0.3076815101736363,True
