library	unit	target	fibroblast_total_counts	epithelial_count_fraction	activation_score	hallmark_tgf_beta_score	eligible
3-2_D05_CSNK2A1	3-2	CSNK2A1	436469	0.79	10.4962	5.6238	yes
3-2_D06_ANK3	3-2	ANK3	222096	0.8971	9.8348	5.2287	yes
3-2_D07_TIGIT	3-2	TIGIT	529523	0.8339	9.3111	5.8299	yes
3-2_D08_ELOVL1	3-2	ELOVL1	228644	0.8828	9.5743	5.6401	yes
3-2_D09_MAP2K3	3-2	MAP2K3	610592	0.789	10.3363	5.5473	yes
3-2_D10_MAP4K3	3-2	MAP4K3	248483	0.8308	9.3941	5.3182	yes
3-2_D11_ELF5	3-2	ELF5	701390	0.7897	8.565	5.5674	yes
3-2_E02_TLR2	3-2	TLR2	344011	0.9035	9.7637	5.7236	yes
3-2_E03_TIGIT	3-2	TIGIT	113520	0.9152	9.6797	5.8768	yes
3-2_E04_CTSH	3-2	CTSH	1478858	0.7811	9.8914	5.8055	yes
3-2_E05_CSNK2A1	3-2	CSNK2A1	294706	0.8904	9.8227	5.8607	yes
3-2_E06_MYO5C	3-2	MYO5C	1303213	0.7758	9.8569	5.7225	yes
3-2_E07_GNAI1	3-2	GNAI1	189688	0.8844	9.3876	5.804	yes
3-2_E08_ANTXR1	3-2	ANTXR1	97636	0.8921	9.3182	5.2377	no
3-2_E09_MAP2K4	3-2	MAP2K4	48491	0.9185	7.5329	4.6099	no
3-2_E10_MAP4K4	3-2	MAP4K4	361624	0.8454	9.1954	5.3529	yes
3-2_E11_CCN2	3-2	CCN2	476971	0.8808	10.0227	5.8911	yes
3-2_F02_TIGIT	3-2	TIGIT	874233	0.7905	9.6201	5.8591	yes
3-2_F03_ERBB4	3-2	ERBB4	376011	0.8742	10.2494	5.7065	yes
3-2_F04_SLC39A8	3-2	SLC39A8	709913	0.7704	9.852	5.7837	yes
3-2_F05_VANGL1	3-2	VANGL1	197157	0.859	9.9359	5.6821	yes
3-2_F06_TINAG	3-2	TINAG	333711	0.8781	9.8959	5.837	yes
3-2_F07_AREG	3-2	AREG	993663	0.7855	10.0003	5.7618	yes
3-2_F08_TSPAN11	3-2	TSPAN11	531168	0.809	9.2713	5.4354	yes
3-2_F09_MAP3K1	3-2	MAP3K1	33356	0.8699	9.0815	3.425	no
3-2_F10_MAPK1	3-2	MAPK1	51264	0.7987	9.2499	4.2925	no
3-2_F11_BMP2	3-2	BMP2	887094	0.811	9.5104	5.6354	yes
3-2_G02_ERBB3	3-2	ERBB3	843540	0.6489	9.0055	5.7906	yes
3-2_G03_SOCS2	3-2	SOCS2	630535	0.7818	9.1887	5.5593	yes
3-2_G04_SOAT1	3-2	SOAT1	1581504	0.7654	9.7172	5.7509	yes
3-2_G05_VANGL2	3-2	VANGL2	1414571	0.7968	9.4282	5.7862	yes
3-2_G06_IRF4	3-2	IRF4	550210	0.8339	9.9064	5.8176	yes
3-2_G07_ATP6V0E	3-2	ATP6V0E	132832	0.841	10.1645	5.3905	yes
3-2_G08_MAP2K1	3-2	MAP2K1	116063	0.8491	9.0818	4.4423	yes
3-2_G09_MAP3K2	3-2	MAP3K2	19261	0.8746	9.0379	3.339	no
3-2_G10_TDTOMATO	3-2	TDTOMATO	14219	0.7504	9.1369	3.2101	no
3-2_G11_TIGIT	3-2	TIGIT	1646992	0.7475	9.5309	5.8135	yes
3-3_B02_KIDINS220	3-3	KIDINS220	21586	0.3811	8.1049	4.3983	no
3-3_B03_CD81	3-3	CD81	29143	0.7006	9.5668	4.8414	no
3-3_B04_TIGIT	3-3	TIGIT	325890	0.7145	9.5785	5.8356	yes
3-3_B05_TDTOMATO	3-3	TDTOMATO	10231	0.696	9.313	3.9352	no
3-3_B06_TGIF1	3-3	TGIF1	120448	0.5982	8.5377	5.5103	yes
3-3_B07_CELSR1	3-3	CELSR1	246053	0.7155	9.3252	5.7569	yes
3-3_B08_PI4K2B	3-3	PI4K2B	19256	0.6518	8.6458	4.7129	no
3-3_B09_MAP2K2	3-3	MAP2K2	19332	0.6666	9.4946	4.9416	no
3-3_B10_MAP3K5	3-3	MAP3K5	371222	0.6735	9.5038	5.6611	yes
3-3_B11_MAPK3	3-3	MAPK3	3678	0.6786	7.8229	2.7861	no
3-3_C02_ITGB6	3-3	ITGB6	4865	0.6988	4.2553	2.2222	no
3-3_C03_EGFR	3-3	EGFR	191302	0.6735	9.8545	5.7656	yes
3-3_C04_DRAM1	3-3	DRAM1	276461	0.5442	9.2568	5.8521	yes
3-3_C05_CSNK1A1	3-3	CSNK1A1	303928	0.326	8.6088	5.6627	yes
3-3_C06_ADK	3-3	ADK	120382	0.6822	9.5907	5.3405	yes
3-3_C07_GNAI2	3-3	GNAI2	24515	0.6932	9.6201	4.6917	no
3-3_C08_OCIAD2	3-3	OCIAD2	1	0.8	0.0	0.0	no
3-3_C09_TIGIT	3-3	TIGIT	692172	0.6841	9.8016	5.8267	yes
3-3_C10_MAP3K7	3-3	MAP3K7	303674	0.713	9.1263	5.8076	yes
3-3_C11_CISH	3-3	CISH	86782	0.6603	8.8398	5.3881	no
3-3_D02_SLC22A3	3-3	SLC22A3	35766	0.6925	10.0202	4.7424	no
3-3_D03_ERBB2	3-3	ERBB2	68491	0.557	8.1147	5.5314	no
3-3_D04_EGFL6	3-3	EGFL6	283051	0.7012	9.6294	5.7747	yes
3-3_D05_CSNK2A1	3-3	CSNK2A1	49722	0.6317	9.6251	5.4618	no
3-3_D06_ANK3	3-3	ANK3	163853	0.6297	10.1022	5.7306	yes
3-3_D07_TIGIT	3-3	TIGIT	260319	0.7082	9.3511	5.8284	yes
3-3_D08_ELOVL1	3-3	ELOVL1	378838	0.7102	8.482	5.6651	yes
3-3_D09_MAP2K3	3-3	MAP2K3	74183	0.6646	10.0114	5.3206	no
3-3_D10_MAP4K3	3-3	MAP4K3	65766	0.6975	9.6837	5.0742	no
3-3_D11_ELF5	3-3	ELF5	76830	0.6777	8.6783	5.414	no
3-3_E02_TLR2	3-3	TLR2	137870	0.7012	9.232	5.2937	yes
3-3_E03_TIGIT	3-3	TIGIT	129225	0.7022	9.8905	5.7807	yes
3-3_E04_CTSH	3-3	CTSH	334835	0.724	9.2147	5.8106	yes
3-3_E05_CSNK2A1	3-3	CSNK2A1	23005	0.6401	9.471	4.5791	no
3-3_E06_MYO5C	3-3	MYO5C	35630	0.6929	10.0967	5.1102	no
3-3_E07_GNAI1	3-3	GNAI1	339997	0.7008	9.9179	5.8331	yes
3-3_E08_ANTXR1	3-3	ANTXR1	368084	0.6974	9.4099	5.9062	yes
3-3_E09_MAP2K4	3-3	MAP2K4	68265	0.7377	9.3967	5.4862	no
3-3_E10_MAP4K4	3-3	MAP4K4	53802	0.7283	9.1531	5.4281	no
3-3_E11_CCN2	3-3	CCN2	72613	0.6757	9.4567	5.8721	no
3-3_F02_TIGIT	3-3	TIGIT	34871	0.6854	8.9499	5.0839	no
3-3_F03_ERBB4	3-3	ERBB4	321068	0.6864	9.9154	5.7574	yes
3-3_F04_SLC39A8	3-3	SLC39A8	277491	0.7608	10.1983	5.8933	yes
3-3_F05_VANGL1	3-3	VANGL1	96848	0.6706	9.9833	5.49	no
3-3_F06_TINAG	3-3	TINAG	127306	0.6674	9.6909	5.6686	yes
3-3_F07_AREG	3-3	AREG	202922	0.7092	9.5436	5.5798	yes
3-3_F08_TSPAN11	3-3	TSPAN11	69201	0.7051	9.39	5.6231	no
3-3_F09_MAP3K1	3-3	MAP3K1	47484	0.7159	9.7768	5.3293	no
3-3_F10_MAPK1	3-3	MAPK1	166555	0.6438	9.9523	5.9012	yes
