cluster,AT0,AT1,AT2,AT2 proliferating,Adventitial fibroblasts,Alveolar Mph CCL3+,Alveolar Mph MT-positive,Alveolar Mph proliferating,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club (nasal),Club (non-nasal),DC1,DC2,Deuterosomal,EC aerocyte capillary,EC arterial,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet (bronchial),Goblet (nasal),Goblet (subsegmental),Hematopoietic stem cells,Hillock-like,Interstitial Mph perivascular,Ionocyte,Lymphatic EC differentiating,Lymphatic EC mature,Lymphatic EC proliferating,Mast cells,Mesothelium,Migratory DCs,Monocyte-derived Mph,Multiciliated (nasal),Multiciliated (non-nasal),Myofibroblasts,NK cells,Neuroendocrine,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,Plasmacytoid DCs,SM activated stress response,SMG duct,SMG mucous,SMG serous (bronchial),SMG serous (nasal),Smooth muscle,Smooth muscle FAM83D+,Subpleural fibroblasts,Suprabasal,T cells proliferating,Tuft,pre-TB secretory
18,1.6832,-0.3957,0.2399,-0.0359,-0.0503,-0.0229,-0.1306,-0.003,0.2277,-0.0324,-0.0321,0.2355,-0.0559,-0.1008,-0.2038,0.033,2.0596,-0.0092,0.0349,-0.0079,-0.0483,0.0692,-0.7281,-0.2079,-0.0253,0.0969,0.1136,0.8407,0.0195,0.0186,-0.1009,-0.0162,-0.029,-0.1006,-0.0172,-0.0391,0.3973,0.0298,0.0064,0.0185,0.4411,0.1675,-0.3981,0.0001,-0.1475,-0.072,-0.0186,-0.0028,0.0035,0.966,1.1237,0.2418,0.0003,-0.006,-0.1213,0.0943,-0.067,0.1389,-0.0175,0.0025,1.2689
19,-0.4255,-0.378,-0.1893,0.0167,-0.0308,0.174,-0.3961,0.0166,-0.4209,0.1354,-0.0171,-0.1832,0.0045,-0.0696,1.0993,-0.0294,-0.0524,-0.0028,0.0337,-0.0315,-0.0316,-0.0384,-0.6826,-0.2038,-0.0442,-0.0317,-0.0146,-0.2673,-0.0284,-0.0012,0.1645,-0.0071,-0.0153,-0.0051,-0.0107,-0.0094,-0.0886,-0.0185,0.0054,-0.0001,-0.3379,-0.2751,-0.0086,-0.0,0.7907,-0.04,-0.0067,-0.0009,-0.0018,-0.0037,-0.4657,0.0028,-0.0006,-0.004,-0.1079,-0.0055,-0.0148,-0.0523,0.0065,-0.0003,-0.3328
2,-0.2553,1.0204,0.1841,-0.0325,-0.0187,0.1312,0.8756,-0.0176,-0.3558,-0.0734,-0.023,-0.1665,-0.0465,-0.0805,-0.1414,0.1892,0.1365,-0.0038,-0.0328,-0.0198,-0.0418,-0.0193,2.1319,-0.1804,-0.0503,-0.0282,-0.0148,0.2399,-0.0261,-0.0132,-0.0857,-0.0138,-0.0069,0.1586,-0.019,-0.0305,-0.0744,-0.0215,-0.0115,-0.0003,-0.4524,-0.224,-0.4896,-0.0002,-0.0975,-0.0418,-0.0037,-0.0015,0.0086,-0.709,-0.4994,-0.0069,-0.0013,-0.0053,0.1563,-0.0288,-0.0065,-0.0596,-0.0135,-0.0004,0.307
20,-0.288,-0.2083,-0.1445,-0.0191,-0.0216,-0.0694,-0.3218,-0.0144,-0.2587,-0.0396,1.7894,-0.1233,-0.036,-0.0396,-0.1068,-0.0283,0.0228,0.0193,-0.0197,-0.0249,-0.0228,-0.0274,-0.4917,-0.1115,-0.0295,-0.0221,-0.0064,-0.1439,-0.0146,-0.0237,-0.0096,-0.0038,-0.0011,-0.0416,-0.011,-0.0049,-0.0716,-0.0129,-0.0064,-0.0069,-0.1446,-0.2277,-0.1859,-0.0003,0.0209,-0.0338,-0.008,0.0396,-0.0189,-0.0829,-0.4839,-0.0019,-0.0008,-0.0028,-0.0654,-0.0117,0.1303,-0.0366,-0.0157,-0.0003,-0.3987
21,0.3727,-0.1898,-0.0652,0.6634,-0.0427,-0.0763,-0.2031,0.7723,-0.0828,-0.0638,-0.0452,-0.0629,-0.0489,0.0442,-0.2149,0.0105,0.3822,-0.0071,-0.0453,0.0936,-0.0533,-0.0451,-0.5669,-0.1245,-0.0112,0.0196,-0.0203,-0.0019,-0.0022,0.002,-0.0947,-0.0106,-0.031,-0.0603,1.1696,-0.0553,0.0089,-0.0054,-0.0127,-0.0019,-0.3139,-0.1356,0.4827,-0.0003,-0.0781,-0.0518,-0.0044,0.0162,-0.0096,-0.2564,0.032,0.0096,-0.001,-0.0003,-0.1092,0.1085,-0.0471,0.0344,0.9408,-0.0002,0.2066
22,-0.4767,-0.1547,-0.1822,-0.0305,-0.0262,-0.0479,-0.4035,-0.0225,-0.2598,-0.0686,-0.0365,-0.1514,-0.0341,-0.0543,-0.1328,0.0171,-0.1247,0.0947,0.014,-0.0336,-0.0339,-0.0431,-0.5561,-0.1497,-0.0309,-0.0496,-0.0108,-0.2076,-0.0479,0.0186,-0.0567,-0.0257,-0.0145,-0.0639,-0.0382,1.4827,-0.0744,-0.0171,-0.0121,-0.0126,-0.2122,-0.1447,-0.2231,-0.0002,-0.0578,-0.0447,-0.0094,-0.0022,-0.0151,0.4077,-0.4623,-0.0126,0.0008,-0.0068,-0.0901,-0.0151,0.0229,-0.044,-0.0203,-0.0004,-0.4993
23,-0.3026,0.5717,-0.2678,-0.0229,-0.0443,0.2001,-0.3028,-0.0107,-0.2522,0.5298,-0.0451,-0.201,-0.0515,-0.0835,-0.1512,-0.0491,0.0153,-0.0054,-0.0424,-0.0184,-0.0599,-0.0576,-0.5632,0.8627,0.1432,-0.0246,-0.0205,-0.1997,-0.0456,-0.009,-0.0777,0.2841,1.118,2.9187,-0.0317,-0.0356,-0.0857,-0.0194,-0.011,-0.0073,-0.3302,-0.3278,-0.3659,0.0004,-0.0512,-0.0619,-0.0101,0.0033,-0.0065,-0.7786,-0.5209,-0.0053,-0.0026,-0.0086,-0.0482,-0.0104,0.1893,-0.0657,-0.0314,-0.0019,-0.3825
24,0.0024,-0.4589,-0.2346,-0.0567,-0.0743,-0.1917,0.0613,-0.0504,0.1723,-0.0865,-0.0461,-0.0739,-0.0115,-0.1543,-0.2895,-0.0702,-0.0107,-0.0081,0.0802,-0.0533,-0.0569,-0.0787,-0.6816,-0.2877,-0.0947,0.0007,0.0289,-0.2322,-0.0147,-0.0085,-0.1611,-0.0236,-0.0402,-0.1663,-0.0339,-0.0552,-0.1301,-0.0248,-0.0172,0.0496,2.228,-0.0183,-0.4179,0.0004,-0.1987,-0.1088,-0.028,-0.0011,0.0516,0.8901,0.5823,-0.0241,0.0041,-0.0081,-0.1543,-0.0265,-0.2616,-0.0989,-0.0428,-0.0012,-0.4257
25,0.1544,-0.2373,-0.093,-0.0141,-0.0313,-0.0549,0.1029,-0.0113,0.0029,-0.0091,-0.0105,-0.0235,-0.0063,-0.0444,-0.0885,-0.0202,0.2749,-0.003,0.0941,-0.024,-0.0163,-0.0314,-0.3785,-0.1113,-0.0332,-0.0078,0.1158,-0.043,-0.0158,-0.0052,-0.0549,-0.007,-0.0104,-0.0431,-0.0122,-0.02,-0.0494,-0.0082,-0.0058,0.0081,2.6504,-0.117,-0.157,-0.0002,-0.0575,-0.0395,-0.0035,-0.001,0.0064,0.2609,0.3573,-0.0081,0.0007,-0.0029,-0.0546,-0.0063,-0.073,-0.0368,-0.0061,-0.0004,-0.2273
26,1.6692,1.2365,-0.1335,-0.0276,-0.031,-0.1111,-0.1767,-0.0174,0.5048,-0.0523,-0.0226,-0.067,-0.0739,-0.0921,-0.1331,-0.0374,0.1686,-0.0046,-0.0547,-0.0466,-0.0244,-0.0386,-0.4717,-0.1382,-0.0423,-0.0114,-0.0049,-0.121,-0.0183,-0.0113,-0.0531,-0.0103,-0.0315,-0.0404,-0.0237,-0.0369,0.2665,-0.0248,-0.0214,-0.0016,-0.2489,0.0446,-0.3196,-0.0002,-0.1317,-0.0664,-0.0119,-0.0036,-0.0085,-0.3547,0.8203,-0.0067,-0.0018,0.0614,-0.0079,-0.0197,-0.1023,-0.0572,-0.0385,-0.0001,1.9098
27,-0.6634,0.236,0.1104,-0.0267,-0.0354,-0.0161,-0.2735,-0.0153,-0.3184,-0.0741,-0.0349,-0.2194,-0.0679,-0.0877,-0.2148,0.0949,-0.1812,-0.0074,-0.0492,-0.0199,-0.0451,0.0921,-0.1329,1.0715,0.6661,-0.0025,-0.0251,0.3314,-0.0098,-0.0148,-0.1013,-0.0245,0.0832,0.0389,-0.0317,-0.0416,-0.1047,-0.03,-0.0009,-0.0066,-0.4519,-0.3393,-0.481,-0.0001,-0.1404,0.1697,-0.0135,-0.0019,-0.0145,-0.2329,-0.6467,-0.0104,-0.0014,-0.0056,0.3447,-0.0238,0.0586,-0.0718,-0.0271,-0.0004,0.0549
28,-0.2341,0.4723,0.4623,-0.0309,-0.0167,-0.0418,0.366,-0.021,-0.1318,0.0823,-0.0341,-0.1258,-0.0047,-0.0517,-0.134,-0.0396,0.0841,-0.0051,-0.035,0.0091,-0.005,0.0105,-0.1974,0.1395,0.0246,0.006,-0.0165,-0.05,-0.0257,-0.0104,-0.0443,-0.0037,-0.0046,0.1354,-0.0325,-0.0343,-0.077,0.0448,-0.0162,-0.009,-0.2183,0.1684,-0.1424,-0.0003,-0.0428,0.0059,0.2212,0.0011,-0.0055,-0.3579,-0.4189,-0.0063,-0.0006,-0.0053,1.0096,0.1286,-0.0411,-0.0377,-0.03,-0.0002,-0.3075
29,0.4025,-0.421,-0.027,0.0028,-0.0626,-0.0772,-0.1783,0.0057,0.357,-0.0916,-0.0526,-0.0973,-0.0646,-0.081,-0.2247,-0.0442,0.3426,0.0592,0.1336,-0.0564,-0.0441,-0.0446,-0.613,0.2971,-0.0439,-0.0477,-0.0337,0.1225,0.0203,-0.0203,-0.0932,0.189,0.1689,-0.1138,-0.0526,-0.0194,0.0761,-0.0298,-0.0126,-0.0206,0.106,0.0588,-0.2511,0.103,-0.1151,-0.0305,-0.0329,-0.0032,0.0498,0.6474,0.0581,-0.0161,0.1831,-0.0125,-0.1478,-0.0241,0.0261,-0.0805,0.002,-0.0012,0.0081
3,-0.1262,0.7018,-0.0053,-0.029,-0.022,0.045,1.0611,-0.0187,-0.3417,-0.0732,-0.0266,-0.1593,-0.0423,-0.0837,-0.1311,0.2976,0.1737,-0.0034,-0.0348,-0.0105,-0.0378,1.9854,0.6314,-0.1457,-0.0463,-0.0321,0.0404,0.2891,0.2425,-0.0114,-0.0831,-0.0109,0.0077,-0.0323,-0.0266,-0.0233,-0.0765,-0.0203,-0.0204,0.0827,-0.3843,-0.2488,-0.4119,-0.0002,-0.1284,-0.0539,-0.0111,-0.0034,0.0082,-0.2195,-0.4791,-0.0099,-0.0017,-0.0091,0.2024,-0.0159,-0.0515,-0.057,-0.0157,-0.0007,0.3468
30,2.5256,-0.4375,0.1776,-0.0554,-0.0677,-0.0997,0.0146,-0.0455,0.202,-0.0835,-0.0409,0.1332,-0.0169,-0.1386,-0.271,-0.0704,0.7867,-0.0084,0.0403,-0.0415,-0.0502,-0.0641,-0.7834,-0.2575,-0.0784,-0.0027,-0.0015,0.0924,-0.0112,-0.0031,-0.1216,-0.0235,-0.0376,-0.1309,-0.0329,-0.0525,0.1927,0.0181,-0.0162,0.0312,1.6235,0.0786,-0.454,-0.0003,-0.1972,-0.0973,-0.0269,-0.0015,0.0316,1.3843,0.6755,0.0045,0.0007,0.001,-0.1481,-0.0163,-0.1837,-0.0938,-0.0403,0.0001,1.414
4,-0.1755,-0.0713,-0.1638,-0.0141,-0.0267,-0.0377,-0.3172,-0.0112,-0.362,-0.0474,0.0057,-0.1273,0.0285,0.8966,-0.1178,-0.0292,0.0945,-0.0,-0.0226,-0.0152,-0.0213,-0.0171,0.1446,-0.1298,-0.0346,-0.023,-0.0141,-0.1557,-0.025,-0.0089,-0.0496,-0.0063,-0.015,-0.0429,-0.0138,-0.019,-0.0615,-0.0174,-0.0059,-0.0075,-0.1643,-0.1829,0.1675,0.0001,-0.0705,-0.0318,-0.0078,-0.0013,0.009,0.0234,-0.5075,-0.0082,-0.0013,-0.0029,-0.0595,0.0041,0.0146,-0.0384,-0.0206,0.0016,-0.3693
5,-0.152,0.4784,0.2874,-0.0031,0.075,-0.0509,0.4045,0.0066,0.4266,-0.008,-0.0249,-0.1765,-0.0118,-0.0644,-0.1213,-0.0452,0.1191,-0.005,-0.0338,0.0362,-0.0291,-0.0122,-0.1343,0.6158,0.0095,0.0683,-0.0151,-0.0502,-0.01,-0.0042,-0.0413,0.0753,0.005,0.0028,-0.0203,-0.0288,-0.0809,0.0252,-0.0139,-0.0055,-0.2541,-0.1964,-0.0839,-0.0002,-0.0705,0.0587,-0.0037,-0.0007,-0.0056,-0.258,-0.2304,-0.0047,-0.0011,-0.0026,-0.0907,-0.0165,0.1595,-0.0463,-0.0079,0.0012,-0.1914
6,-0.5834,0.5371,0.0913,-0.0359,0.4346,-0.0838,0.3454,-0.0225,0.129,-0.0174,-0.049,-0.2537,-0.0561,-0.1165,-0.2109,-0.0694,-0.1739,-0.0089,-0.0594,0.0745,-0.0214,-0.0063,-0.3037,0.6952,0.0128,0.1428,-0.0293,-0.1173,0.0567,-0.0149,0.0495,0.1115,-0.0163,-0.0881,-0.048,-0.0504,-0.1268,-0.0196,-0.0244,-0.0119,-0.381,-0.2457,0.0313,-0.0001,-0.1708,0.6462,0.1185,-0.0005,-0.0066,0.2385,-0.4891,-0.0102,0.0005,-0.0052,-0.1324,-0.0312,0.1374,-0.0842,-0.0438,-0.0005,-0.4725
7,-0.1185,-0.2081,-0.1955,-0.0216,-0.0268,-0.0691,-0.3626,-0.0117,-0.3843,-0.0543,-0.0163,-0.1653,-0.0165,0.2153,-0.148,-0.0298,0.1298,-0.0013,-0.0283,-0.0181,-0.0315,-0.0217,-0.4556,-0.1699,-0.04,-0.0315,-0.0164,-0.2168,-0.0237,-0.0085,-0.0633,-0.0082,-0.018,-0.0515,-0.0126,-0.0221,-0.0793,-0.0195,-0.0084,-0.0082,-0.1735,-0.2626,1.9133,-0.0002,0.0094,-0.0388,-0.0087,-0.0013,0.0075,-0.23,-0.5456,-0.0097,0.0001,-0.0051,-0.0854,-0.0068,0.0071,-0.0412,-0.0178,-0.0003,-0.3622
8,-0.173,-0.0562,-0.1463,-0.0139,-0.0244,0.0569,-0.308,-0.0063,-0.321,-0.041,-0.0074,-0.1135,0.208,0.0677,-0.1033,-0.0274,0.1019,0.0028,-0.0181,-0.0167,-0.0256,-0.0215,0.3587,-0.1169,-0.0353,-0.0188,-0.0114,-0.1315,-0.0202,-0.0111,-0.0436,-0.0068,-0.0144,-0.0333,-0.0083,-0.019,-0.0568,-0.0117,-0.0043,-0.0073,-0.1464,-0.2088,-0.1083,-0.0003,-0.0659,-0.0317,-0.0076,0.0003,-0.0067,0.0526,-0.4677,-0.0071,-0.0008,-0.0026,-0.0586,0.0172,0.0183,-0.0357,-0.0164,0.0014,-0.3685
9,0.3031,0.6157,0.0943,-0.002,-0.0114,0.0604,0.6751,0.0092,-0.1865,-0.0078,-0.0085,-0.0585,-0.0187,-0.0344,-0.0304,0.104,0.4779,-0.0017,-0.0127,-0.009,-0.0137,0.0066,1.3744,0.0303,0.0464,-0.0044,-0.0042,0.2301,-0.0013,-0.0046,-0.0276,-0.004,0.0032,0.0673,-0.0025,-0.0122,-0.0283,-0.0032,0.0026,0.0019,-0.1712,-0.1344,-0.2445,-0.0001,-0.0381,-0.01,-0.0002,-0.0007,0.0043,-0.4712,-0.2617,-0.0031,-0.0003,-0.0025,0.1119,-0.0075,0.0452,-0.0169,0.0121,-0.0003,0.3253
