cluster,n_cells,blind_proposal,hlca_compartment,compartment_fraction,hlca_type_flat,flat_mode_fraction,flat_confidence,flat_runner_up,flat_runner_up_fraction,verdict_flat_vs_blind,hlca_group_hier,hlca_type_hier,hier_mode_fraction,hier_confidence,verdict_hier_vs_blind,top3_mean_own_marker_score,cells_per_donor
21,281,Proliferating,Immune,0.427,NK cells,0.299,mixed,AT0,0.196,partial (blind label is compartment-free),Lymphoid,NK cells,0.288,mixed,partial (blind label is compartment-free),T cells proliferating=0.941; Alveolar Mph proliferating=0.772; NK cells=0.483,DD046Q=160; DD047Q=36; DD073R=85
22,513,B_cell,Immune,0.717,Mast cells,0.684,confident,EC aerocyte capillary,0.068,partial (same compartment),Myeloid,Mast cells,0.688,confident,partial (same compartment),Mast cells=1.483; DC1=0.095; DC2=0.014,DD046Q=138; DD047Q=31; DD073R=344
23,205,Lymphatic_EC,Endothelial,0.946,Lymphatic EC mature,0.829,confident,Lymphatic EC differentiating,0.088,agree,Lymphatic EC,Lymphatic EC mature,0.829,confident,agree,Lymphatic EC mature=2.919; Lymphatic EC differentiating=1.118; EC venous pulmonary=0.863,DD046Q=80; DD047Q=51; DD073R=74
24,2266,Ciliated,Epithelial,0.997,Multiciliated (non-nasal),0.973,confident,AT0,0.014,agree,Airway epithelium,Multiciliated (non-nasal),0.798,confident,agree,Multiciliated (non-nasal)=2.228; SMG duct=0.582; Multiciliated (nasal)=0.050,DD046Q=86; DD047Q=1980; DD073R=200
25,481,Ciliated,Epithelial,0.761,Multiciliated (non-nasal),0.665,confident,EC aerocyte capillary,0.106,agree,Airway epithelium,Multiciliated (non-nasal),0.497,mixed,agree,Multiciliated (non-nasal)=2.650; SMG duct=0.357; Club (non-nasal)=0.275,DD046Q=47; DD047Q=246; DD073R=188
26,663,AT1,Epithelial,0.813,pre-TB secretory,0.46,mixed,AT0,0.164,partial (same compartment),Alveolar epithelium,AT1,0.703,confident,agree,pre-TB secretory=1.910; AT0=1.669; AT1=1.236,DD046Q=179; DD047Q=332; DD073R=152
27,1234,Endothelial,Endothelial,0.991,EC venous pulmonary,0.511,confident,EC venous systemic,0.319,agree,Blood vessels,EC venous pulmonary,0.498,mixed,agree,EC venous pulmonary=1.071; EC venous systemic=0.666; EC arterial=0.092,DD046Q=148; DD047Q=101; DD073R=985
28,742,SMC_pericyte,Stroma,0.846,Smooth muscle,0.563,confident,Pericytes,0.115,agree,Smooth muscle,Smooth muscle,0.585,confident,agree,Smooth muscle=1.010; Pericytes=0.221; Myofibroblasts=0.168,DD046Q=142; DD047Q=55; DD073R=545
29,31,Neuroendocrine,Epithelial,0.903,AT0,0.226,mixed,Goblet (subsegmental),0.161,partial (same compartment),Submucosal Gland,Ionocyte,0.258,mixed,partial (same compartment),AT0=0.402; Club (non-nasal)=0.343; Ionocyte=0.189,DD046Q=11; DD047Q=18; DD073R=2
30,222,Ciliated,Epithelial,0.986,AT0,0.887,confident,Multiciliated (non-nasal),0.045,partial (same compartment),Alveolar epithelium,AT2,0.455,mixed,partial (same compartment),AT0=2.526; Multiciliated (non-nasal)=1.624; pre-TB secretory=1.414,DD047Q=219; DD073R=3
