gene	tss	gsm	mean_CPM	covered_fraction
HOPX	60144363	GSM8833583	0.11578178256750107	1.0
KRT8	52869656	GSM8833583	10.016639282613992	1.0
NKX2-1	30708839	GSM8833583	4.733320173472166	1.0
PDPN	13027416	GSM8833583	0.011977424472570419	1.0
SFTPB	85670254	GSM8833583	0.023954848945140838	1.0
SFTPC	22435742	GSM8833583	0.023954848945140838	1.0
TP53	7579367	GSM8833583	0.0	1.0
TP63	192606306	GSM8833583	0.011977424472570419	1.0
ATF3	211863906	GSM8833584	0.0641687024384737	1.0
CAV1	117841395	GSM8833584	0.5640092700719833	1.0
CDKN1A	36499358	GSM8833584	4.671615015164018	1.0
HOPX	60144363	GSM8833584	0.38460709796845916	1.0
KRT8	52869656	GSM8833584	8.102409747973084	1.0
NKX2-1	30708839	GSM8833584	16.802066640138626	1.0
PDPN	13027416	GSM8833584	0.015940856605768203	1.0
SFTPB	85670254	GSM8833584	1.473177985727787	1.0
SFTPC	22435742	GSM8833584	0.02931496511399746	1.0
TP53	7579367	GSM8833584	0.02364110089838505	1.0
TP63	192606306	GSM8833584	0.02364110089838505	1.0
ATF3	211863906	GSM8833585	0.038613300770521164	1.0
CAV1	117841395	GSM8833585	2.888274937570095	1.0
CDKN1A	36499358	GSM8833585	5.220373942911625	1.0
HOPX	60144363	GSM8833585	0.11752484634518623	1.0
KRT8	52869656	GSM8833585	7.6857281975448135	1.0
NKX2-1	30708839	GSM8833585	15.431695528507232	1.0
PDPN	13027416	GSM8833585	0.20612501382827758	1.0
SFTPB	85670254	GSM8833585	0.5891693024337292	1.0
SFTPC	22435742	GSM8833585	0.04226401284337044	1.0
TP53	7579367	GSM8833585	0.04563390091061592	1.0
TP63	192606306	GSM8833585	0.0	1.0
ATF3	211863906	GSM8833586	0.011953404016792775	1.0
CAV1	117841395	GSM8833586	0.5304438828211278	1.0
CDKN1A	36499358	GSM8833586	0.12286909376271068	1.0
HOPX	60144363	GSM8833586	0.8000014821961522	1.0
KRT8	52869656	GSM8833586	0.03949363143183291	1.0
NKX2-1	30708839	GSM8833586	0.14481003168039025	1.0
PDPN	13027416	GSM8833586	0.07326513265818357	1.0
SFTPB	85670254	GSM8833586	0.07789895536005496	1.0
SFTPC	22435742	GSM8833586	0.43114788994938136	1.0
TP53	7579367	GSM8833586	0.0030717312823981048	1.0
TP63	192606306	GSM8833586	0.00021063300222158433	1.0
ATF3	211863906	GSM8796446	0.03417773749679327	1.0
CAV1	117841395	GSM8796446	0.18312664315104485	1.0
