gsm,gene,assayed
GSM9237904,BHLHE41,True
GSM9237904,BIK,True
GSM9237904,BIN2,True
GSM9237904,BIRC2,True
GSM9237904,BIRC3,True
GSM9237904,BIRC5,True
GSM9237904,BLCAP,True
GSM9237904,BLK,True
GSM9237904,BMP1,True
GSM9237904,BMP10,True
GSM9237904,BMP2,True
GSM9237904,BMP4,True
GSM9237904,BMP7,True
GSM9237904,BMPR1A,True
GSM9237904,BMPR2,True
GSM9237904,BMX,True
GSM9237904,BNIP3L,True
GSM9237904,BPGM,True
GSM9237904,BPIFA1,True
GSM9237904,BPIFA2,True
GSM9237904,BPIFB1,True
GSM9237904,BPIFB2,True
GSM9237904,BPNT1,True
GSM9237904,BRCA1,True
GSM9237904,BRCA2,True
GSM9237904,BRMS1L,True
GSM9237904,BRS3,True
GSM9237904,BSG,True
GSM9237904,BSND,True
GSM9237904,BST2,True
GSM9237904,BTG1,True
GSM9237904,BTG2,True
GSM9237904,BTG3,True
GSM9237904,BTLA,True
GSM9237904,BTNL8,True
GSM9237904,BTNL9,False
GSM9237904,BUB1,True
GSM9237904,BUB1B,True
GSM9237904,BUB3,True
GSM9237904,C10orf10,False
GSM9237904,C10orf107,False
GSM9237904,C11orf16,True
GSM9237904,C11orf70,False
GSM9237904,C11orf88,True
GSM9237904,C11orf96,True
GSM9237904,C11orf97,True
GSM9237904,C12orf75,True
GSM9237904,C15orf48,True
GSM9237904,C16orf54,True
GSM9237904,C16orf89,True
GSM9237904,C19orf33,True
GSM9237904,C1QA,True
GSM9237904,C1QB,True
GSM9237904,C1QC,True
GSM9237904,C1R,True
GSM9237904,C1S,True
GSM9237904,C1orf162,True
GSM9237904,C1orf186,False
GSM9237904,C1orf194,True
GSM9237904,C1orf228,False
GSM9237904,C1orf54,True
GSM9237904,C1orf56,True
GSM9237904,C1orf87,True
GSM9237904,C20orf85,True
GSM9237904,C21orf58,True
GSM9237904,C22orf15,True
GSM9237904,C2CD4B,True
GSM9237904,C2orf40,False
GSM9237904,C3,True
GSM9237904,C3AR1,True
GSM9237904,C4BPA,True
GSM9237904,C4orf22,False
GSM9237904,C4orf48,True
GSM9237904,C5AR1,True
GSM9237904,C5AR2,True
GSM9237904,C5orf49,True
GSM9237904,C6orf118,True
GSM9237904,C6orf58,True
GSM9237904,C7,True
GSM9237904,C8orf4,False
GSM9237904,C9orf116,True
GSM9237904,C9orf135,True
GSM9237904,C9orf24,True
GSM9237904,C9orf9,False
GSM9237904,CA1,True
GSM9237904,CA12,True
GSM9237904,CA2,True
GSM9237904,CA3,True
GSM9237904,CA4,True
GSM9237904,CA6,True
GSM9237904,CACNA1H,True
GSM9237904,CACNA2D4,True
GSM9237904,CADM1,True
GSM9237904,CADPS,True
GSM9237904,CALB2,True
GSM9237904,CALCA,True
GSM9237904,CALCRL,True
GSM9237904,CALD1,True
GSM9237904,CALML3,True
GSM9237904,CALY,True
GSM9237904,CAMK2N1,True
GSM9237904,CAMK4,True
GSM9237904,CAMP,True
GSM9237904,CAPN1,True
GSM9237904,CAPN10,False
GSM9237904,CAPN11,True
GSM9237904,CAPN12,True
GSM9237904,CAPN13,True
GSM9237904,CAPN14,True
GSM9237904,CAPN15,True
GSM9237904,CAPN2,True
GSM9237904,CAPN3,True
GSM9237904,CAPN5,True
GSM9237904,CAPN6,True
GSM9237904,CAPN7,True
GSM9237904,CAPN8,True
GSM9237904,CAPN9,True
GSM9237904,CAPNS1,True
GSM9237904,CAPNS2,True
GSM9237904,CAPS,True
GSM9237904,CAPSL,True
GSM9237904,CARMN,False
GSM9237904,CASC1,True
GSM9237904,CASK,True
GSM9237904,CASKIN2,True
GSM9237904,CASP1,False
GSM9237904,CASP3,True
GSM9237904,CASP4,True
GSM9237904,CASP6,True
GSM9237904,CASP7,True
GSM9237904,CASP8,True
GSM9237904,CASP8AP2,True
GSM9237904,CASS4,True
GSM9237904,CAST,True
GSM9237904,CATSPER1,False
GSM9237904,CATSPERD,True
GSM9237904,CAV1,True
GSM9237904,CAV2,True
GSM9237904,CAVIN1,True
GSM9237904,CAVIN3,True
GSM9237904,CBL,True
GSM9237904,CBR3,True
GSM9237904,CBX1,False
GSM9237904,CBX5,True
GSM9237904,CCDC113,True
GSM9237904,CCDC114,True
GSM9237904,CCDC146,True
GSM9237904,CCDC153,True
GSM9237904,CCDC17,True
GSM9237904,CCDC170,True
GSM9237904,CCDC173,True
GSM9237904,CCDC190,True
GSM9237904,CCDC30,True
GSM9237904,CCDC39,True
GSM9237904,CCDC65,True
GSM9237904,CCDC74A,False
GSM9237904,CCDC78,True
GSM9237904,CCDC80,True
GSM9237904,CCL1,True
GSM9237904,CCL11,True
GSM9237904,CCL13,True
GSM9237904,CCL14,True
GSM9237904,CCL15,True
GSM9237904,CCL17,True
GSM9237904,CCL18,True
GSM9237904,CCL19,True
GSM9237904,CCL2,True
GSM9237904,CCL20,True
GSM9237904,CCL21,True
GSM9237904,CCL22,True
GSM9237904,CCL23,True
GSM9237904,CCL24,True
GSM9237904,CCL3,True
GSM9237904,CCL3L3,False
GSM9237904,CCL4,True
GSM9237904,CCL4L2,True
GSM9237904,CCL5,True
GSM9237904,CCL7,True
GSM9237904,CCL8,True
GSM9237904,CCN1,True
GSM9237904,CCN2,True
GSM9237904,CCN5,True
GSM9237904,CCNA2,True
GSM9237904,CCNB2,True
GSM9237904,CCND1,True
GSM9237904,CCND2,True
GSM9237904,CCND3,True
GSM9237904,CCNE1,True
GSM9237904,CCNF,True
GSM9237904,CCNG1,True
GSM9237904,CCNG2,True
GSM9237904,CCNK,True
GSM9237904,CCNL1,True
GSM9237904,CCNO,True
GSM9237904,CCNT1,True
GSM9237904,CCP110,True
GSM9237904,CCR1,True
GSM9237904,CCR10,True
GSM9237904,CCR2,True
GSM9237904,CCR3,True
GSM9237904,CCR4,True
GSM9237904,CCR5,True
GSM9237904,CCR6,True
GSM9237904,CCR7,True
GSM9237904,CCRL2,True
GSM9237904,CD14,True
GSM9237904,CD151,True
GSM9237904,CD160,True
GSM9237904,CD163,True
GSM9237904,CD164L2,True
GSM9237904,CD177,True
GSM9237904,CD1A,True
GSM9237904,CD1C,True
GSM9237904,CD1E,True
GSM9237904,CD2,True
GSM9237904,CD200,True
GSM9237904,CD207,True
GSM9237904,CD22,True
GSM9237904,CD226,True
GSM9237904,CD24,True
GSM9237904,CD244,True
GSM9237904,CD247,True
GSM9237904,CD248,True
GSM9237904,CD27,True
GSM9237904,CD274,True
GSM9237904,CD28,True
GSM9237904,CD300A,True
GSM9237904,CD300E,True
GSM9237904,CD300LG,True
GSM9237904,CD34,True
GSM9237904,CD36,True
GSM9237904,CD37,True
GSM9237904,CD38,True
GSM9237904,CD3D,True
GSM9237904,CD3E,True
GSM9237904,CD3G,True
GSM9237904,CD4,True
GSM9237904,CD40,True
GSM9237904,CD40LG,True
