cell_type,day,gene,mean_log2_cpm,animals,mean_detection_1000
AT2,90.0,Wnt2,0.4120147715690987,4,0.0003622046525394391
AT2,90.0,Wnt2b,0.0,4,0.0
AT2,90.0,Wnt4,2.0229540177370575,4,0.003507145677740525
AT2,90.0,Wnt5a,0.9785276898361459,4,0.0011885885127389138
AT2,90.0,Wnt7b,3.3584451943716607,4,0.009552435106395422
AT2,90.0,Wnt9a,0.9278767949710159,4,0.000801798549385712
AT2,366.0,Axin2,3.9662413906892175,3,0.015748929252795665
AT2,366.0,Lef1,0.33563936326322835,3,0.00018359018320545373
AT2,366.0,Porcn,2.6179661267299883,3,0.004912508602208168
AT2,366.0,Wls,7.453876887841491,3,0.16600907394182632
AT2,366.0,Wnt2,0.5884695076058862,3,0.000566798484611523
AT2,366.0,Wnt2b,0.0,3,0.0
AT2,366.0,Wnt4,1.8722948711167016,3,0.003800685964151945
AT2,366.0,Wnt5a,0.647717306020083,3,0.000489825449684232
AT2,366.0,Wnt7b,2.9700633862314123,3,0.006810230084972388
AT2,366.0,Wnt9a,1.0892469543216963,3,0.0023825480467645553
Adventitial_fibroblast,0.0,Axin2,5.272750613280579,2,0.03770909835820075
Adventitial_fibroblast,0.0,Lef1,0.0,2,0.0
Adventitial_fibroblast,0.0,Porcn,3.1545346704253148,2,0.007038406171038236
Adventitial_fibroblast,0.0,Wls,6.812598394421318,2,0.10467380738676052
Adventitial_fibroblast,0.0,Wnt2,3.5290331398581856,2,0.009633658702656112
Adventitial_fibroblast,0.0,Wnt2b,2.0466232236278827,2,0.0030441671933095094
Adventitial_fibroblast,0.0,Wnt4,5.9585077311604895,2,0.0488322810212272
Adventitial_fibroblast,0.0,Wnt5a,6.90116314227181,2,0.11610460942919913
Adventitial_fibroblast,0.0,Wnt7b,0.0,2,0.0
Adventitial_fibroblast,0.0,Wnt9a,4.749491460491453,2,0.025574754751652218
Adventitial_fibroblast,6.0,Axin2,4.450115592199216,2,0.028030865249709665
Adventitial_fibroblast,6.0,Lef1,0.0,2,0.0
Adventitial_fibroblast,6.0,Porcn,3.5740372012915405,2,0.013321872012753923
Adventitial_fibroblast,6.0,Wls,6.409830914883149,2,0.07205452093491477
Adventitial_fibroblast,6.0,Wnt2,2.3970450150566585,2,0.0038556839656586645
Adventitial_fibroblast,6.0,Wnt2b,1.7895908565390037,2,0.0027967961191021243
Adventitial_fibroblast,6.0,Wnt4,4.420658267572897,2,0.026569543119459204
Adventitial_fibroblast,6.0,Wnt5a,5.7946334624168,2,0.0434916324522907
Adventitial_fibroblast,6.0,Wnt7b,0.0,2,0.0
Adventitial_fibroblast,6.0,Wnt9a,4.354139247643076,2,0.024326511691308915
Adventitial_fibroblast,11.0,Axin2,4.542226280063689,2,0.023746814669245754
Adventitial_fibroblast,11.0,Lef1,0.38045521513616276,2,0.00030381215380144736
Adventitial_fibroblast,11.0,Porcn,3.436149370253459,2,0.009201680345954748
Adventitial_fibroblast,11.0,Wls,6.920144729423479,2,0.11331802079031766
Adventitial_fibroblast,11.0,Wnt2,3.5977262960401486,2,0.008954093687695352
Adventitial_fibroblast,11.0,Wnt2b,0.901591473813103,2,0.0009993363447903152
Adventitial_fibroblast,11.0,Wnt4,5.58860229054884,2,0.04654193251549561
Adventitial_fibroblast,11.0,Wnt5a,6.334102785358337,2,0.07667015278813503
Adventitial_fibroblast,11.0,Wnt7b,0.0,2,0.0
Adventitial_fibroblast,11.0,Wnt9a,4.707850617108929,2,0.027063064698334374
Adventitial_fibroblast,19.0,Axin2,5.196048075590667,2,0.032099593570107894
Adventitial_fibroblast,19.0,Lef1,0.0,2,0.0
Adventitial_fibroblast,19.0,Porcn,3.567966350904901,2,0.009710916703672367
Adventitial_fibroblast,19.0,Wls,7.078256619421779,2,0.12009326406038745
Adventitial_fibroblast,19.0,Wnt2,3.4347184814725242,2,0.0074487659434790444
Adventitial_fibroblast,19.0,Wnt2b,0.39223118893340897,2,0.0004381729540492963
Adventitial_fibroblast,19.0,Wnt4,6.0687260978599795,2,0.05108852191433863
Adventitial_fibroblast,19.0,Wnt5a,6.754234162270079,2,0.10154831736297593
Adventitial_fibroblast,19.0,Wnt7b,0.0,2,0.0
Adventitial_fibroblast,19.0,Wnt9a,4.370559988545213,2,0.021274345330190958
Adventitial_fibroblast,25.0,Axin2,5.042666403578434,2,0.03205908468043967
Adventitial_fibroblast,25.0,Lef1,0.6547806657851163,2,0.0007622204193758303
Adventitial_fibroblast,25.0,Porcn,3.344182849468754,2,0.008815795078711205
