subset,floor,day,cell_type,animals_present,animals_eligible
heterozygous_only,20,90.0,AT2,3,3
heterozygous_only,20,90.0,Adventitial_fibroblast,3,3
heterozygous_only,20,90.0,Peribronchial_fibroblast,3,3
heterozygous_only,20,366.0,AF1,3,3
heterozygous_only,20,366.0,AF2,3,3
heterozygous_only,20,366.0,AT1,3,3
heterozygous_only,20,366.0,AT1_AT2,3,1
heterozygous_only,20,366.0,AT2,3,3
heterozygous_only,20,366.0,Adventitial_fibroblast,3,3
heterozygous_only,20,366.0,Peribronchial_fibroblast,3,1
heterozygous_only,50,0.0,AF1,2,2
heterozygous_only,50,0.0,AF2,2,2
heterozygous_only,50,0.0,AT1,2,2
heterozygous_only,50,0.0,AT1_AT2,2,0
heterozygous_only,50,0.0,AT2,2,1
heterozygous_only,50,0.0,Adventitial_fibroblast,2,2
heterozygous_only,50,0.0,Peribronchial_fibroblast,2,1
heterozygous_only,50,6.0,AF1,1,1
heterozygous_only,50,6.0,AF2,1,1
heterozygous_only,50,6.0,AT1,1,0
heterozygous_only,50,6.0,AT1_AT2,1,0
heterozygous_only,50,6.0,AT2,1,1
heterozygous_only,50,6.0,Adventitial_fibroblast,1,1
heterozygous_only,50,6.0,Peribronchial_fibroblast,1,0
heterozygous_only,50,11.0,AF1,1,1
heterozygous_only,50,11.0,AF2,1,1
heterozygous_only,50,11.0,AT1,1,1
heterozygous_only,50,11.0,AT1_AT2,1,0
heterozygous_only,50,11.0,AT2,1,1
heterozygous_only,50,11.0,Adventitial_fibroblast,1,1
heterozygous_only,50,11.0,Peribronchial_fibroblast,1,1
heterozygous_only,50,19.0,AF1,2,2
heterozygous_only,50,19.0,AF2,2,1
heterozygous_only,50,19.0,AT1,2,2
heterozygous_only,50,19.0,AT1_AT2,2,0
heterozygous_only,50,19.0,AT2,2,2
heterozygous_only,50,19.0,Adventitial_fibroblast,2,2
heterozygous_only,50,19.0,Peribronchial_fibroblast,2,1
heterozygous_only,50,25.0,AF1,1,1
heterozygous_only,50,25.0,AF2,1,1
heterozygous_only,50,25.0,AT1,1,1
heterozygous_only,50,25.0,AT1_AT2,1,0
heterozygous_only,50,25.0,AT2,1,1
heterozygous_only,50,25.0,Adventitial_fibroblast,1,1
heterozygous_only,50,25.0,Peribronchial_fibroblast,1,0
heterozygous_only,50,42.0,AF1,5,5
heterozygous_only,50,42.0,AF2,5,3
heterozygous_only,50,42.0,AT1,5,3
heterozygous_only,50,42.0,AT1_AT2,5,1
heterozygous_only,50,42.0,AT2,5,5
heterozygous_only,50,42.0,Adventitial_fibroblast,5,5
heterozygous_only,50,42.0,Peribronchial_fibroblast,5,1
heterozygous_only,50,90.0,AF1,3,3
heterozygous_only,50,90.0,AF2,3,3
heterozygous_only,50,90.0,AT1,3,2
heterozygous_only,50,90.0,AT1_AT2,3,0
heterozygous_only,50,90.0,AT2,3,3
heterozygous_only,50,90.0,Adventitial_fibroblast,3,3
heterozygous_only,50,90.0,Peribronchial_fibroblast,3,2
heterozygous_only,50,366.0,AF1,3,3
heterozygous_only,50,366.0,AF2,3,3
heterozygous_only,50,366.0,AT1,3,3
heterozygous_only,50,366.0,AT1_AT2,3,0
heterozygous_only,50,366.0,AT2,3,3
heterozygous_only,50,366.0,Adventitial_fibroblast,3,3
heterozygous_only,50,366.0,Peribronchial_fibroblast,3,0
heterozygous_only,100,0.0,AF1,2,2
heterozygous_only,100,0.0,AF2,2,2
heterozygous_only,100,0.0,AT1,2,2
heterozygous_only,100,0.0,AT1_AT2,2,0
heterozygous_only,100,0.0,AT2,2,1
heterozygous_only,100,0.0,Adventitial_fibroblast,2,2
heterozygous_only,100,0.0,Peribronchial_fibroblast,2,0
heterozygous_only,100,6.0,AF1,1,1
heterozygous_only,100,6.0,AF2,1,1
heterozygous_only,100,6.0,AT1,1,0
heterozygous_only,100,6.0,AT1_AT2,1,0
heterozygous_only,100,6.0,AT2,1,1
heterozygous_only,100,6.0,Adventitial_fibroblast,1,0
heterozygous_only,100,6.0,Peribronchial_fibroblast,1,0
heterozygous_only,100,11.0,AF1,1,1
heterozygous_only,100,11.0,AF2,1,0
heterozygous_only,100,11.0,AT1,1,1
heterozygous_only,100,11.0,AT1_AT2,1,0
heterozygous_only,100,11.0,AT2,1,1
heterozygous_only,100,11.0,Adventitial_fibroblast,1,1
heterozygous_only,100,11.0,Peribronchial_fibroblast,1,0
heterozygous_only,100,19.0,AF1,2,2
heterozygous_only,100,19.0,AF2,2,0
heterozygous_only,100,19.0,AT1,2,0
heterozygous_only,100,19.0,AT1_AT2,2,0
heterozygous_only,100,19.0,AT2,2,2
heterozygous_only,100,19.0,Adventitial_fibroblast,2,2
heterozygous_only,100,19.0,Peribronchial_fibroblast,2,0
heterozygous_only,100,25.0,AF1,1,1
heterozygous_only,100,25.0,AF2,1,0
heterozygous_only,100,25.0,AT1,1,0
heterozygous_only,100,25.0,AT1_AT2,1,0
heterozygous_only,100,25.0,AT2,1,1
heterozygous_only,100,25.0,Adventitial_fibroblast,1,1
heterozygous_only,100,25.0,Peribronchial_fibroblast,1,0
heterozygous_only,100,42.0,AF1,5,5
heterozygous_only,100,42.0,AF2,5,0
heterozygous_only,100,42.0,AT1,5,0
heterozygous_only,100,42.0,AT1_AT2,5,0
heterozygous_only,100,42.0,AT2,5,0
heterozygous_only,100,42.0,Adventitial_fibroblast,5,5
heterozygous_only,100,42.0,Peribronchial_fibroblast,5,0
heterozygous_only,100,90.0,AF1,3,3
heterozygous_only,100,90.0,AF2,3,2
heterozygous_only,100,90.0,AT1,3,1
heterozygous_only,100,90.0,AT1_AT2,3,0
heterozygous_only,100,90.0,AT2,3,3
heterozygous_only,100,90.0,Adventitial_fibroblast,3,3
heterozygous_only,100,90.0,Peribronchial_fibroblast,3,1
heterozygous_only,100,366.0,AF1,3,3
heterozygous_only,100,366.0,AF2,3,1
heterozygous_only,100,366.0,AT1,3,2
heterozygous_only,100,366.0,AT1_AT2,3,0
heterozygous_only,100,366.0,AT2,3,3
heterozygous_only,100,366.0,Adventitial_fibroblast,3,3
heterozygous_only,100,366.0,Peribronchial_fibroblast,3,0
