group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
3,mt-Rnr1,41.038666,0.619756,0.0,0.0,0.9784025559105431,0.9798221421736928
3,Ptprb,39.19762,0.85447556,0.0,0.0,0.9813418530351438,0.8784544380030394
3,Epas1,38.192284,0.4477805,0.0,0.0,0.9922044728434505,0.9835087521810097
3,Bmpr2,34.788948,0.43706664,3.573862977685333e-265,1.355040659351093e-262,0.9616613418530351,0.9549727022007092
3,Hmcn1,34.666206,0.9230689,2.5459823345325305e-263,9.324081667876636e-261,0.683961661341853,0.5863398435301401
3,Clec14a,34.125553,0.52660036,3.082720956258042e-255,1.0917574832778481e-252,0.930223642172524,0.9047109810322508
3,Calcrl,32.89608,0.46018687,2.5007405814048235e-237,8.140794692678248e-235,0.9826198083067093,0.9637811673326955
3,BC028528,31.530998,0.44556448,3.2669845457569424e-218,8.999006661594422e-216,0.8987859424920128,0.8945516969662858
3,mt-Rnr2,30.603296,0.40591297,1.1064194426887574e-205,2.6218886616892116e-203,0.9853035143769968,0.9902909889120279
3,Tek,30.47305,0.5782658,5.9315346090453755e-204,1.385228241886336e-201,0.8129073482428115,0.7550233579107334
3,Adgre5,29.915052,0.44140685,1.2538747159534115e-196,2.748971043928336e-194,0.8915015974440894,0.8844205549614453
3,Tspan7,29.642271,0.41071332,4.265896245661289e-193,9.044822645077106e-191,0.9515654952076678,0.9337535881127934
3,Rn18s,29.379444,0.59543204,1.0054647760610412e-189,2.0379948932638514e-187,1.0,0.999296448471886
3,Plvap,29.09755,0.77094746,3.855529900546731e-186,7.623068566553377e-184,0.7953993610223642,0.6828671131873698
3,Hilpda,29.082712,0.6912434,5.9396315910067995e-186,1.1672100421644339e-183,0.7495207667731629,0.7183542522654359
3,Golm2,29.04709,0.7078924,1.674671036814401e-185,3.2709877681487586e-183,0.6932907348242812,0.6521359824393539
3,Sema3g,27.624666,0.71522486,5.625882610524444e-168,9.111102752360893e-166,0.660447284345048,0.597709236224461
3,Gpihbp1,27.31652,0.5260706,2.699780000897484e-164,4.16308659659924e-162,0.904664536741214,0.8493555468002476
4,Socs3,87.439445,1.7013937,0.0,0.0,0.9522614641490497,0.6251002990736013
4,Cd93,86.53226,1.3784355,0.0,0.0,0.9945423750078414,0.8119483550951929
4,Egr1,84.677605,1.8916858,0.0,0.0,0.9503795244965811,0.6185352688015172
4,Hpgd,82.16337,1.6031321,0.0,0.0,0.9837525876670221,0.8320811145962507
4,Atf3,81.98598,1.8539011,0.0,0.0,0.9140580892039395,0.5167772995842147
4,Cemip2,81.52834,1.5319917,0.0,0.0,0.9335047989461138,0.6354584579473339
4,Junb,81.451935,1.473104,0.0,0.0,0.9965497773038078,0.8321905317674521
4,Epas1,80.7228,0.7636188,0.0,0.0,0.9988708362085189,0.9770588664381064
4,Ier3,78.951614,1.3310093,0.0,0.0,0.9949187629383351,0.8550222481581443
4,Ier2,77.96838,1.3578749,0.0,0.0,0.9878301235807039,0.7965205339557955
4,Adamts1,75.61125,1.5428731,0.0,0.0,0.9224640863182987,0.619921219636735
4,Ptprb,74.99117,1.3009299,0.0,0.0,0.9971770905212973,0.8387920344299366
4,Fos,73.62304,1.5906537,0.0,0.0,0.9791104698575999,0.7363775621854256
4,Npr3,72.00696,1.794094,0.0,0.0,0.7096794429458628,0.30954117732876213
