sample_id,day,phase,label,n_cells,n_myeloid_labelled_cells_animal,pct_of_myeloid
EEM-scRNA-116,11,active repair,maDC,0,253,0.0
EEM-scRNA-116,11,active repair,pMON,6,253,2.372
EEM-scRNA-167,11,active repair,Neutrophil,65,671,9.687
EEM-scRNA-167,11,active repair,aMAC,102,671,15.201
EEM-scRNA-167,11,active repair,cDC1,27,671,4.024
EEM-scRNA-167,11,active repair,cDC2,39,671,5.812
EEM-scRNA-167,11,active repair,cMON,59,671,8.793
EEM-scRNA-167,11,active repair,iMAC,64,671,9.538
EEM-scRNA-167,11,active repair,iMON,280,671,41.729
EEM-scRNA-167,11,active repair,maDC,6,671,0.894
EEM-scRNA-167,11,active repair,pMON,29,671,4.322
EEM-scRNA-117,19,active repair,Neutrophil,30,288,10.417
EEM-scRNA-117,19,active repair,aMAC,143,288,49.653
EEM-scRNA-117,19,active repair,cDC1,12,288,4.167
EEM-scRNA-117,19,active repair,cDC2,12,288,4.167
EEM-scRNA-117,19,active repair,cMON,15,288,5.208
EEM-scRNA-117,19,active repair,iMAC,21,288,7.292
EEM-scRNA-117,19,active repair,iMON,42,288,14.583
EEM-scRNA-117,19,active repair,maDC,0,288,0.0
EEM-scRNA-117,19,active repair,pMON,13,288,4.514
EEM-scRNA-170,19,active repair,Neutrophil,87,651,13.364
EEM-scRNA-170,19,active repair,aMAC,220,651,33.794
EEM-scRNA-170,19,active repair,cDC1,29,651,4.455
EEM-scRNA-170,19,active repair,cDC2,25,651,3.84
EEM-scRNA-170,19,active repair,cMON,76,651,11.674
EEM-scRNA-170,19,active repair,iMAC,29,651,4.455
EEM-scRNA-170,19,active repair,iMON,87,651,13.364
EEM-scRNA-170,19,active repair,maDC,6,651,0.922
EEM-scRNA-170,19,active repair,pMON,92,651,14.132
EEM-scRNA-118,25,active repair,Neutrophil,26,209,12.44
EEM-scRNA-118,25,active repair,aMAC,47,209,22.488
EEM-scRNA-118,25,active repair,cDC1,17,209,8.134
EEM-scRNA-118,25,active repair,cDC2,8,209,3.828
EEM-scRNA-118,25,active repair,cMON,33,209,15.789
EEM-scRNA-118,25,active repair,iMAC,28,209,13.397
EEM-scRNA-118,25,active repair,iMON,23,209,11.005
EEM-scRNA-118,25,active repair,maDC,4,209,1.914
EEM-scRNA-118,25,active repair,pMON,23,209,11.005
EEM-scRNA-172,25,active repair,Neutrophil,50,437,11.442
EEM-scRNA-172,25,active repair,aMAC,182,437,41.648
EEM-scRNA-172,25,active repair,cDC1,30,437,6.865
EEM-scRNA-172,25,active repair,cDC2,20,437,4.577
EEM-scRNA-172,25,active repair,cMON,51,437,11.67
EEM-scRNA-172,25,active repair,iMAC,25,437,5.721
EEM-scRNA-172,25,active repair,iMON,23,437,5.263
EEM-scRNA-172,25,active repair,maDC,3,437,0.686
EEM-scRNA-172,25,active repair,pMON,53,437,12.128
EEM-scRNA-124,42,injury resolution,Neutrophil,27,143,18.881
EEM-scRNA-124,42,injury resolution,aMAC,49,143,34.266
EEM-scRNA-124,42,injury resolution,cDC1,5,143,3.497
EEM-scRNA-124,42,injury resolution,cDC2,9,143,6.294
EEM-scRNA-124,42,injury resolution,cMON,4,143,2.797
EEM-scRNA-124,42,injury resolution,iMAC,19,143,13.287
EEM-scRNA-124,42,injury resolution,iMON,14,143,9.79
EEM-scRNA-124,42,injury resolution,maDC,1,143,0.699
EEM-scRNA-124,42,injury resolution,pMON,15,143,10.49
EEM-scRNA-125,42,injury resolution,Neutrophil,57,217,26.267
EEM-scRNA-125,42,injury resolution,aMAC,78,217,35.945
EEM-scRNA-125,42,injury resolution,cDC1,24,217,11.06
EEM-scRNA-125,42,injury resolution,cDC2,9,217,4.147
EEM-scRNA-125,42,injury resolution,cMON,10,217,4.608
EEM-scRNA-125,42,injury resolution,iMAC,23,217,10.599
EEM-scRNA-125,42,injury resolution,iMON,4,217,1.843
EEM-scRNA-125,42,injury resolution,maDC,2,217,0.922
EEM-scRNA-125,42,injury resolution,pMON,10,217,4.608
EEM-scRNA-126,42,injury resolution,Neutrophil,69,263,26.236
EEM-scRNA-126,42,injury resolution,aMAC,102,263,38.783
EEM-scRNA-126,42,injury resolution,cDC1,6,263,2.281
EEM-scRNA-126,42,injury resolution,cDC2,6,263,2.281
EEM-scRNA-126,42,injury resolution,cMON,23,263,8.745
EEM-scRNA-126,42,injury resolution,iMAC,25,263,9.506
EEM-scRNA-126,42,injury resolution,iMON,6,263,2.281
EEM-scRNA-126,42,injury resolution,maDC,4,263,1.521
EEM-scRNA-126,42,injury resolution,pMON,22,263,8.365
EEM-scRNA-127,42,injury resolution,Neutrophil,43,215,20.0
EEM-scRNA-127,42,injury resolution,aMAC,97,215,45.116
EEM-scRNA-127,42,injury resolution,cDC1,19,215,8.837
EEM-scRNA-127,42,injury resolution,cDC2,14,215,6.512
EEM-scRNA-127,42,injury resolution,cMON,5,215,2.326
EEM-scRNA-127,42,injury resolution,iMAC,13,215,6.047
EEM-scRNA-127,42,injury resolution,iMON,1,215,0.465
EEM-scRNA-127,42,injury resolution,maDC,4,215,1.86
EEM-scRNA-127,42,injury resolution,pMON,19,215,8.837
EEM-scRNA-179,42,injury resolution,Neutrophil,58,724,8.011
EEM-scRNA-179,42,injury resolution,aMAC,390,724,53.867
EEM-scRNA-179,42,injury resolution,cDC1,31,724,4.282
EEM-scRNA-179,42,injury resolution,cDC2,35,724,4.834
EEM-scRNA-179,42,injury resolution,cMON,75,724,10.359
EEM-scRNA-179,42,injury resolution,iMAC,68,724,9.392
EEM-scRNA-179,42,injury resolution,iMON,14,724,1.934
EEM-scRNA-179,42,injury resolution,maDC,8,724,1.105
EEM-scRNA-179,42,injury resolution,pMON,45,724,6.215
EEM-scRNA-180,42,injury resolution,Neutrophil,48,685,7.007
EEM-scRNA-180,42,injury resolution,aMAC,396,685,57.81
EEM-scRNA-180,42,injury resolution,cDC1,34,685,4.964
EEM-scRNA-180,42,injury resolution,cDC2,23,685,3.358
EEM-scRNA-180,42,injury resolution,cMON,52,685,7.591
EEM-scRNA-180,42,injury resolution,iMAC,83,685,12.117
EEM-scRNA-180,42,injury resolution,iMON,11,685,1.606
EEM-scRNA-180,42,injury resolution,maDC,2,685,0.292
EEM-scRNA-180,42,injury resolution,pMON,36,685,5.255
EEM-scRNA-181,42,injury resolution,Neutrophil,29,516,5.62
EEM-scRNA-181,42,injury resolution,aMAC,273,516,52.907
EEM-scRNA-181,42,injury resolution,cDC1,28,516,5.426
EEM-scRNA-181,42,injury resolution,cDC2,27,516,5.233
EEM-scRNA-181,42,injury resolution,cMON,31,516,6.008
EEM-scRNA-181,42,injury resolution,iMAC,62,516,12.016
EEM-scRNA-181,42,injury resolution,iMON,9,516,1.744
EEM-scRNA-181,42,injury resolution,maDC,4,516,0.775
EEM-scRNA-181,42,injury resolution,pMON,53,516,10.271
EEM-scRNA-182,42,injury resolution,Neutrophil,72,663,10.86
EEM-scRNA-182,42,injury resolution,aMAC,391,663,58.974
EEM-scRNA-182,42,injury resolution,cDC1,38,663,5.732
EEM-scRNA-182,42,injury resolution,cDC2,10,663,1.508
EEM-scRNA-182,42,injury resolution,cMON,41,663,6.184
EEM-scRNA-182,42,injury resolution,iMAC,66,663,9.955
EEM-scRNA-182,42,injury resolution,iMON,10,663,1.508
EEM-scRNA-182,42,injury resolution,maDC,2,663,0.302
EEM-scRNA-182,42,injury resolution,pMON,33,663,4.977
EEM-scRNA-236,90,injury resolution,Neutrophil,11,218,5.046
EEM-scRNA-236,90,injury resolution,aMAC,54,218,24.771
EEM-scRNA-236,90,injury resolution,cDC1,27,218,12.385
EEM-scRNA-236,90,injury resolution,cDC2,17,218,7.798
EEM-scRNA-236,90,injury resolution,cMON,20,218,9.174
EEM-scRNA-236,90,injury resolution,iMAC,32,218,14.679
EEM-scRNA-236,90,injury resolution,iMON,33,218,15.138
EEM-scRNA-236,90,injury resolution,maDC,6,218,2.752
EEM-scRNA-236,90,injury resolution,pMON,18,218,8.257
EEM-scRNA-237,90,injury resolution,Neutrophil,45,422,10.664
EEM-scRNA-237,90,injury resolution,aMAC,177,422,41.943
EEM-scRNA-237,90,injury resolution,cDC1,25,422,5.924
EEM-scRNA-237,90,injury resolution,cDC2,36,422,8.531
EEM-scRNA-237,90,injury resolution,cMON,45,422,10.664
EEM-scRNA-237,90,injury resolution,iMAC,63,422,14.929
EEM-scRNA-237,90,injury resolution,iMON,7,422,1.659
EEM-scRNA-237,90,injury resolution,maDC,3,422,0.711
EEM-scRNA-237,90,injury resolution,pMON,21,422,4.976
EEM-scRNA-238,90,injury resolution,Neutrophil,34,279,12.186
EEM-scRNA-238,90,injury resolution,aMAC,130,279,46.595
EEM-scRNA-238,90,injury resolution,cDC1,20,279,7.168
EEM-scRNA-238,90,injury resolution,cDC2,9,279,3.226
EEM-scRNA-238,90,injury resolution,cMON,37,279,13.262
EEM-scRNA-238,90,injury resolution,iMAC,37,279,13.262
EEM-scRNA-238,90,injury resolution,iMON,2,279,0.717
EEM-scRNA-238,90,injury resolution,maDC,2,279,0.717
EEM-scRNA-238,90,injury resolution,pMON,8,279,2.867
EEM-scRNA-239,90,injury resolution,Neutrophil,95,569,16.696
EEM-scRNA-239,90,injury resolution,aMAC,259,569,45.518
EEM-scRNA-239,90,injury resolution,cDC1,42,569,7.381
EEM-scRNA-239,90,injury resolution,cDC2,30,569,5.272
EEM-scRNA-239,90,injury resolution,cMON,40,569,7.03
EEM-scRNA-239,90,injury resolution,iMAC,53,569,9.315
EEM-scRNA-239,90,injury resolution,iMON,18,569,3.163
EEM-scRNA-239,90,injury resolution,maDC,3,569,0.527
EEM-scRNA-239,90,injury resolution,pMON,29,569,5.097
EEM-scRNA-310,366,long-term homeostasis,Neutrophil,22,240,9.167
EEM-scRNA-310,366,long-term homeostasis,aMAC,130,240,54.167
EEM-scRNA-310,366,long-term homeostasis,cDC1,17,240,7.083
EEM-scRNA-310,366,long-term homeostasis,cDC2,16,240,6.667
EEM-scRNA-310,366,long-term homeostasis,cMON,7,240,2.917
EEM-scRNA-310,366,long-term homeostasis,iMAC,22,240,9.167
EEM-scRNA-310,366,long-term homeostasis,iMON,6,240,2.5
EEM-scRNA-310,366,long-term homeostasis,maDC,3,240,1.25
EEM-scRNA-310,366,long-term homeostasis,pMON,17,240,7.083
EEM-scRNA-311,366,long-term homeostasis,Neutrophil,30,235,12.766
EEM-scRNA-311,366,long-term homeostasis,aMAC,105,235,44.681
EEM-scRNA-311,366,long-term homeostasis,cDC1,15,235,6.383
EEM-scRNA-311,366,long-term homeostasis,cDC2,15,235,6.383
EEM-scRNA-311,366,long-term homeostasis,cMON,20,235,8.511
EEM-scRNA-311,366,long-term homeostasis,iMAC,18,235,7.66
EEM-scRNA-311,366,long-term homeostasis,iMON,5,235,2.128
EEM-scRNA-311,366,long-term homeostasis,maDC,5,235,2.128
EEM-scRNA-311,366,long-term homeostasis,pMON,22,235,9.362
EEM-scRNA-312,366,long-term homeostasis,Neutrophil,19,228,8.333
EEM-scRNA-312,366,long-term homeostasis,aMAC,123,228,53.947
EEM-scRNA-312,366,long-term homeostasis,cDC1,12,228,5.263
EEM-scRNA-312,366,long-term homeostasis,cDC2,9,228,3.947
EEM-scRNA-312,366,long-term homeostasis,cMON,20,228,8.772
EEM-scRNA-312,366,long-term homeostasis,iMAC,15,228,6.579
EEM-scRNA-312,366,long-term homeostasis,iMON,1,228,0.439
EEM-scRNA-312,366,long-term homeostasis,maDC,3,228,1.316
EEM-scRNA-312,366,long-term homeostasis,pMON,26,228,11.404
