donor,disease,label,cells,recovered_donor_cells,recovered_cell_fraction
222I,IPF,B_Plasma,6,8641,0.0006943640782316862
222I,IPF,Basal,76,8641,0.008795278324268024
222I,IPF,Ciliated,551,8641,0.06376576785094318
222I,IPF,Club,164,8641,0.01897928480499942
222I,IPF,DC_Langerhans,26,8641,0.00300891100567064
222I,IPF,DC_Mature,16,8641,0.0018516375419511631
222I,IPF,Fibroblast,44,8641,0.005092003240365698
222I,IPF,Goblet,84,8641,0.009721097095243606
222I,IPF,ILC_A,22,8641,0.002546001620182849
222I,IPF,ILC_B,8,8641,0.0009258187709755816
222I,IPF,Ionocyte,4,8641,0.0004629093854877908
222I,IPF,Lymphatic,29,8641,0.003356093044786483
222I,IPF,Macrophage,3723,8641,0.43085291054276126
222I,IPF,Macrophage_Alveolar,824,8641,0.0953593334104849
222I,IPF,Mast,63,8641,0.007290822821432705
222I,IPF,Mesothelial,12,8641,0.0013887281564633723
222I,IPF,Multiplet,180,8641,0.020830922346950585
222I,IPF,Myofibroblast,49,8641,0.005670639972225437
222I,IPF,NK,350,8641,0.04050457123018169
222I,IPF,Pericyte,3,8641,0.0003471820391158431
222I,IPF,SMC,4,8641,0.0004629093854877908
222I,IPF,T,465,8641,0.05381321606295568
222I,IPF,T_Cytotoxic,542,8641,0.06272422173359565
222I,IPF,T_Regulatory,52,8641,0.00601782201134128
222I,IPF,VE_Arterial,15,8641,0.0017359101955792154
222I,IPF,VE_Capillary_B,10,8641,0.001157273463719477
222I,IPF,VE_Peribronchial,15,8641,0.0017359101955792154
222I,IPF,VE_Venous,8,8641,0.0009258187709755816
222I,IPF,cDC1,21,8641,0.0024302742738109015
222I,IPF,cDC2,195,8641,0.0225668325425298
222I,IPF,cMonocyte,464,8641,0.05369748871658373
222I,IPF,ncMonocyte,188,8641,0.021756741117926165
222I,IPF,pDC,12,8641,0.0013887281564633723
225I,IPF,ATI,3,12085,0.00024824162184526274
225I,IPF,ATII,60,12085,0.004964832436905255
225I,IPF,Aberrant_Basaloid,9,12085,0.0007447248655357882
225I,IPF,B,49,12085,0.004054613156805957
225I,IPF,B_Plasma,1,12085,8.274720728175425e-05
225I,IPF,Basal,18,12085,0.0014894497310715764
225I,IPF,Ciliated,568,12085,0.04700041373603641
225I,IPF,Club,13,12085,0.0010757136946628052
225I,IPF,DC_Langerhans,33,12085,0.00273065784029789
225I,IPF,DC_Mature,14,12085,0.0011584609019445594
225I,IPF,Fibroblast,36,12085,0.002978899462143153
225I,IPF,Goblet,21,12085,0.001737691352916839
225I,IPF,ILC_A,14,12085,0.0011584609019445594
225I,IPF,ILC_B,15,12085,0.0012412081092263137
225I,IPF,Lymphatic,41,12085,0.003392635498551924
225I,IPF,Macrophage,5193,12085,0.42970624741414976
225I,IPF,Macrophage_Alveolar,2893,12085,0.23938767066611502
225I,IPF,Mast,90,12085,0.007447248655357882
225I,IPF,Mesothelial,8,12085,0.000661977658254034
225I,IPF,Multiplet,279,12085,0.023086470831609432
225I,IPF,Myofibroblast,572,12085,0.047331402565163425
225I,IPF,NK,278,12085,0.02300372362432768
225I,IPF,Pericyte,130,12085,0.01075713694662805
225I,IPF,SMC,116,12085,0.009598676044683492
225I,IPF,T,138,12085,0.011419114604882085
225I,IPF,T_Cytotoxic,112,12085,0.009267687215556476
225I,IPF,T_Regulatory,17,12085,0.0014067025237898222
225I,IPF,VE_Arterial,36,12085,0.002978899462143153
225I,IPF,VE_Capillary_A,30,12085,0.0024824162184526274
225I,IPF,VE_Capillary_B,89,12085,0.007364501448076127
225I,IPF,VE_Peribronchial,181,12085,0.014977244517997517
225I,IPF,VE_Venous,59,12085,0.0048820852296235
225I,IPF,cDC1,16,12085,0.001323955316508068
225I,IPF,cDC2,341,12085,0.028216797683078196
225I,IPF,cMonocyte,390,12085,0.032271410839884156
225I,IPF,ncMonocyte,192,12085,0.015887463798096815
225I,IPF,pDC,30,12085,0.0024824162184526274
226C,control,ATI,5,10736,0.00046572280178837556
226C,control,ATII,133,10736,0.01238822652757079
226C,control,B,151,10736,0.014064828614008942
226C,control,B_Plasma,5,10736,0.00046572280178837556
226C,control,Ciliated,104,10736,0.009687034277198211
226C,control,Club,7,10736,0.0006520119225037258
226C,control,DC_Mature,12,10736,0.0011177347242921013
