donor,disease,label,gene,cells,detected_cells,detection_fraction,count_sum,full_library_sum,mean_normalized_10000,cohort
021I,IPF,Lymphatic,IL1A,83,1,0.0120481927710843,1,621696,0.0016067041982056,GSE136831
021I,IPF,Lymphatic,IL1B,83,3,0.036144578313253,3,621696,0.1060710738622341,GSE136831
021I,IPF,Lymphatic,IL1R1,83,20,0.2409638554216867,27,621696,0.5878842323441571,GSE136831
021I,IPF,Lymphatic,IL1R2,83,1,0.0120481927710843,1,621696,0.0057432513924513,GSE136831
021I,IPF,Lymphatic,IL1RAP,83,4,0.0481927710843373,4,621696,0.0615494426909006,GSE136831
021I,IPF,Lymphatic,IL1RN,83,1,0.0120481927710843,1,621696,0.0084229535592032,GSE136831
021I,IPF,Lymphatic,NLRP3,83,1,0.0120481927710843,1,621696,0.0046863716095858,GSE136831
021I,IPF,Lymphatic,PYCARD,83,7,0.0843373493975903,9,621696,0.1147840156800343,GSE136831
021I,IPF,Lymphatic,SIGIRR,83,12,0.144578313253012,18,621696,0.2898050448776282,GSE136831
021I,IPF,Macrophage,CASP1,612,64,0.1045751633986928,76,4891766,0.1472442084692303,GSE136831
021I,IPF,Macrophage,GSDMD,612,85,0.1388888888888889,99,4891766,0.2056372147371232,GSE136831
021I,IPF,Macrophage,IL1A,612,20,0.0326797385620915,46,4891766,0.0946046614311353,GSE136831
021I,IPF,Macrophage,IL1B,612,77,0.1258169934640522,223,4891766,0.4618724951883161,GSE136831
021I,IPF,Macrophage,IL1R1,612,192,0.3137254901960784,379,4891766,0.9342587336252473,GSE136831
021I,IPF,Macrophage,IL1R2,612,185,0.3022875816993464,804,4891766,2.1910336877372907,GSE136831
021I,IPF,Macrophage,IL1RAP,612,291,0.4754901960784313,577,4891766,1.450716463306036,GSE136831
021I,IPF,Macrophage,IL1RN,612,169,0.2761437908496732,406,4891766,0.8881033790426676,GSE136831
021I,IPF,Macrophage,NLRP3,612,282,0.4607843137254901,629,4891766,1.4957764071660582,GSE136831
021I,IPF,Macrophage,PYCARD,612,258,0.4215686274509804,515,4891766,0.8775536919923296,GSE136831
021I,IPF,Macrophage,SIGIRR,612,59,0.0964052287581699,69,4891766,0.1513586202858369,GSE136831
021I,IPF,Macrophage_Alveolar,CASP1,210,61,0.2904761904761905,88,2541335,0.350288736038401,GSE136831
021I,IPF,Macrophage_Alveolar,GSDMD,210,59,0.2809523809523809,80,2541335,0.3227618255442108,GSE136831
021I,IPF,Macrophage_Alveolar,IL1A,210,68,0.3238095238095238,166,2541335,0.580260979533453,GSE136831
021I,IPF,Macrophage_Alveolar,IL1B,210,103,0.4904761904761904,373,2541335,1.4612149203638352,GSE136831
021I,IPF,Macrophage_Alveolar,IL1R1,210,22,0.1047619047619047,28,2541335,0.1272515654110019,GSE136831
021I,IPF,Macrophage_Alveolar,IL1R2,210,13,0.0619047619047619,25,2541335,0.074899655013716,GSE136831
021I,IPF,Macrophage_Alveolar,IL1RAP,210,131,0.6238095238095238,327,2541335,1.334584167272973,GSE136831
021I,IPF,Macrophage_Alveolar,IL1RN,210,67,0.319047619047619,126,2541335,0.7006708576125524,GSE136831
021I,IPF,Macrophage_Alveolar,NLRP3,210,28,0.1333333333333333,53,2541335,0.3360703063407156,GSE136831
021I,IPF,Macrophage_Alveolar,PYCARD,210,157,0.7476190476190476,558,2541335,1.9957227370077404,GSE136831
021I,IPF,Macrophage_Alveolar,SIGIRR,210,22,0.1047619047619047,23,2541335,0.0883749861575294,GSE136831
021I,IPF,Multiplet,CASP1,57,12,0.2105263157894736,15,615898,0.2102084613209097,GSE136831
021I,IPF,Multiplet,GSDMD,57,11,0.1929824561403508,12,615898,0.2166569300077312,GSE136831
021I,IPF,Multiplet,IL1A,57,2,0.0350877192982456,6,615898,0.0316997556569604,GSE136831
021I,IPF,Multiplet,IL1B,57,8,0.1403508771929824,36,615898,0.3296433952439442,GSE136831
021I,IPF,Multiplet,IL1R1,57,26,0.4561403508771929,80,615898,1.0360304864705168,GSE136831
021I,IPF,Multiplet,IL1R2,57,15,0.2631578947368421,48,615898,1.1474964392212192,GSE136831
021I,IPF,Multiplet,IL1RAP,57,17,0.2982456140350877,29,615898,0.5769134642698621,GSE136831
021I,IPF,Multiplet,IL1RN,57,12,0.2105263157894736,25,615898,0.5261008200895845,GSE136831
021I,IPF,Multiplet,NLRP3,57,12,0.2105263157894736,24,615898,0.6026700442779304,GSE136831
021I,IPF,Multiplet,PYCARD,57,21,0.3684210526315789,39,615898,0.543287981930347,GSE136831
021I,IPF,Multiplet,SIGIRR,57,10,0.175438596491228,13,615898,0.2000933892656871,GSE136831
021I,IPF,Myofibroblast,CASP1,286,15,0.0524475524475524,17,2379894,0.0668775375457279,GSE136831
021I,IPF,Myofibroblast,GSDMD,286,52,0.1818181818181818,59,2379894,0.2513316818446217,GSE136831
021I,IPF,Myofibroblast,IL1A,286,2,0.0069930069930069,2,2379894,0.0057506257266028,GSE136831
021I,IPF,Myofibroblast,IL1B,286,4,0.0139860139860139,4,2379894,0.0139415457016064,GSE136831
021I,IPF,Myofibroblast,IL1R1,286,232,0.8111888111888111,2162,2379894,8.984172728653503,GSE136831
021I,IPF,Myofibroblast,IL1R2,286,17,0.0594405594405594,18,2379894,0.0873598944781854,GSE136831
021I,IPF,Myofibroblast,IL1RAP,286,72,0.2517482517482518,130,2379894,0.5774108209060892,GSE136831
021I,IPF,Myofibroblast,IL1RN,286,3,0.0104895104895104,3,2379894,0.0090041507121502,GSE136831
021I,IPF,Myofibroblast,NLRP3,286,7,0.0244755244755244,7,2379894,0.0663601244907763,GSE136831
021I,IPF,Myofibroblast,PYCARD,286,26,0.0909090909090909,27,2379894,0.0871579675397746,GSE136831
021I,IPF,Myofibroblast,SIGIRR,286,26,0.0909090909090909,27,2379894,0.0831051761874272,GSE136831
