resource,ligand,receptor,family
cellchatdb,WNT2,FZD4_LRP5,exploratory
cellchatdb,WNT2,FZD5_LRP5,exploratory
cellchatdb,WNT2,FZD6_LRP5,exploratory
cellchatdb,WNT2,FZD7_LRP5,exploratory
cellchatdb,WNT2,FZD8_LRP5,exploratory
cellchatdb,WNT2,FZD9_LRP5,exploratory
cellchatdb,WNT2B,FZD1_LRP5,exploratory
cellchatdb,WNT2B,FZD10_LRP5,exploratory
cellchatdb,WNT2B,FZD2_LRP5,exploratory
cellchatdb,WNT2B,FZD3_LRP5,exploratory
cellchatdb,WNT2B,FZD4_LRP5,exploratory
cellchatdb,WNT2B,FZD5_LRP5,exploratory
cellchatdb,WNT2B,FZD6_LRP5,exploratory
