resource,ligand,receptor,family
cellchatdb,TGFB1,ACVR1B_TGFBR2,core
cellchatdb,TGFB1,ACVR1C_TGFBR2,core
cellchatdb,TGFB1,ACVR1_TGFBR1_TGFBR2,core
cellchatdb,WNT1,FZD1_LRP5,exploratory
cellchatdb,WNT1,FZD10_LRP5,exploratory
cellchatdb,WNT1,FZD2_LRP5,exploratory
cellchatdb,WNT1,FZD3_LRP5,exploratory
cellchatdb,WNT1,FZD4_LRP5,exploratory
cellchatdb,WNT1,FZD5_LRP5,exploratory
cellchatdb,WNT1,FZD6_LRP5,exploratory
cellchatdb,WNT1,FZD7_LRP5,exploratory
cellchatdb,WNT1,FZD8_LRP5,exploratory
cellchatdb,WNT1,FZD9_LRP5,exploratory
cellchatdb,WNT10A,FZD1_LRP5,exploratory
cellchatdb,WNT10A,FZD10_LRP5,exploratory
cellchatdb,WNT10A,FZD2_LRP5,exploratory
cellchatdb,WNT10A,FZD3_LRP5,exploratory
cellchatdb,WNT10A,FZD4_LRP5,exploratory
cellchatdb,WNT10A,FZD5_LRP5,exploratory
cellchatdb,WNT10A,FZD6_LRP5,exploratory
cellchatdb,WNT10A,FZD7_LRP5,exploratory
cellchatdb,WNT10A,FZD8_LRP5,exploratory
cellchatdb,WNT10A,FZD9_LRP5,exploratory
cellchatdb,WNT10B,FZD1_LRP5,exploratory
cellchatdb,WNT10B,FZD10_LRP5,exploratory
cellchatdb,WNT10B,FZD2_LRP5,exploratory
cellchatdb,WNT10B,FZD3_LRP5,exploratory
cellchatdb,WNT10B,FZD4_LRP5,exploratory
cellchatdb,WNT10B,FZD5_LRP5,exploratory
cellchatdb,WNT10B,FZD6_LRP5,exploratory
cellchatdb,WNT10B,FZD7_LRP5,exploratory
cellchatdb,WNT10B,FZD8_LRP5,exploratory
cellchatdb,WNT10B,FZD9_LRP5,exploratory
cellchatdb,WNT16,FZD1_LRP5,exploratory
cellchatdb,WNT16,FZD10_LRP5,exploratory
cellchatdb,WNT16,FZD2_LRP5,exploratory
cellchatdb,WNT16,FZD3_LRP5,exploratory
cellchatdb,WNT16,FZD4_LRP5,exploratory
cellchatdb,WNT16,FZD5_LRP5,exploratory
cellchatdb,WNT16,FZD6_LRP5,exploratory
cellchatdb,WNT16,FZD7_LRP5,exploratory
cellchatdb,WNT16,FZD8_LRP5,exploratory
cellchatdb,WNT16,FZD9_LRP5,exploratory
cellchatdb,WNT2,FZD1_LRP5,exploratory
cellchatdb,WNT2,FZD10_LRP5,exploratory
cellchatdb,WNT2,FZD2_LRP5,exploratory
cellchatdb,WNT2,FZD3_LRP5,exploratory
