gene	gene_group	mark	contrast	half_width_bp	replicate	total_tss	alternative_tss	eligible_tss	held_tss	eligible_alternatives	baseline_eligible	baseline_effect	minimum_effect	maximum_effect	effect_span	direction_changes	direction_comparisons	max_abs_change
CEBPA	regulators	H3K27ac	iATCs_minus_iAT1	1000	CUT1	1	0	1	0	0	True	-0.6739524896308333	-0.6739524896308333	-0.6739524896308333	0.0	0	0	
CEBPA	regulators	H3K27ac	iATCs_minus_iAT2	5000	CUT1	1	0	1	0	0	True	-0.4910392708237934	-0.4910392708237934	-0.4910392708237934	0.0	0	0	
CEBPA	regulators	H3K27ac	iATCs_minus_iAT1	5000	CUT1	1	0	1	0	0	True	-0.42844467211028014	-0.42844467211028014	-0.42844467211028014	0.0	0	0	
SFTPC	AT2	H3K27ac	iATCs_minus_iAT2	1000	CUT2	4	3	4	0	3	True	-2.3997119087116987	-3.6484996938161895	-2.3997119087116987	1.2487877851044908	0	3	1.2487877851044908
SFTPC	AT2	H3K27ac	iATCs_minus_iAT1	1000	CUT2	4	3	4	0	3	True	-1.140565958342778	-1.8374729601010493	-0.8381681179991631	0.9993048421018862	0	3	0.6969070017582712
SFTPC	AT2	H3K27ac	iATCs_minus_iAT2	5000	CUT2	4	3	4	0	3	True	-2.571158496955787	-2.707768483495092	-1.0613035391042571	1.646464944390835	0	3	1.5098549578515297
SFTPC	AT2	H3K27ac	iATCs_minus_iAT1	5000	CUT2	4	3	4	0	3	True	-0.9623289516926905	-0.9623289516926905	0.011444179374341612	0.9737731310670321	2	3	0.9737731310670321
ABCA3	AT2	H3K27ac	iATCs_minus_iAT2	1000	CUT2	1	0	1	0	0	True	-1.856747968869458	-1.856747968869458	-1.856747968869458	0.0	0	0	
ABCA3	AT2	H3K27ac	iATCs_minus_iAT1	1000	CUT2	1	0	1	0	0	True	-1.9416409388393974	-1.9416409388393974	-1.9416409388393974	0.0	0	0	
ABCA3	AT2	H3K27ac	iATCs_minus_iAT2	5000	CUT2	1	0	1	0	0	True	-2.19087707021374	-2.19087707021374	-2.19087707021374	0.0	0	0	
ABCA3	AT2	H3K27ac	iATCs_minus_iAT1	5000	CUT2	1	0	1	0	0	True	-2.037336450248757	-2.037336450248757	-2.037336450248757	0.0	0	0	
