config,donor,disease,resource,cells,pairs,retained_edges
cap500_seed1,VUILD64,IPF,cellchatdb,563,1,4
cap500_seed1,VUILD65,IPF,consensus,572,1,20
cap500_seed1,VUILD65,IPF,cellchatdb,572,1,7
cap500_seed2,THD0001,control,consensus,792,1,28
cap500_seed2,THD0001,control,cellchatdb,792,1,9
cap500_seed2,THD0002,control,consensus,1000,1,23
cap500_seed2,THD0002,control,cellchatdb,1000,1,7
cap500_seed2,TILD001,IPF,consensus,1163,6,197
cap500_seed2,TILD001,IPF,cellchatdb,1163,6,40
cap500_seed2,TILD006,IPF,consensus,695,4,50
cap500_seed2,TILD006,IPF,cellchatdb,695,4,3
cap500_seed2,TILD015,IPF,consensus,594,2,60
cap500_seed2,TILD015,IPF,cellchatdb,594,2,13
cap500_seed2,TILD028,IPF,consensus,665,5,144
cap500_seed2,TILD028,IPF,cellchatdb,665,5,43
cap500_seed2,VUHD65,control,consensus,828,1,25
cap500_seed2,VUHD65,control,cellchatdb,828,1,8
cap500_seed2,VUHD66,control,consensus,782,9,207
cap500_seed2,VUHD66,control,cellchatdb,782,9,50
cap500_seed2,VUHD67,control,consensus,1000,1,19
cap500_seed2,VUHD67,control,cellchatdb,1000,1,7
cap500_seed2,VUHD071,control,consensus,598,1,3
cap500_seed2,VUHD071,control,cellchatdb,598,1,0
cap500_seed2,VUILD53,IPF,consensus,489,1,24
cap500_seed2,VUILD53,IPF,cellchatdb,489,1,8
cap500_seed2,VUILD59,IPF,consensus,2071,14,331
cap500_seed2,VUILD59,IPF,cellchatdb,2071,14,62
cap500_seed2,VUILD60,IPF,consensus,688,2,27
cap500_seed2,VUILD60,IPF,cellchatdb,688,2,10
cap500_seed2,VUILD61,IPF,consensus,895,1,17
cap500_seed2,VUILD61,IPF,cellchatdb,895,1,5
cap500_seed2,VUILD63,IPF,consensus,421,1,7
cap500_seed2,VUILD63,IPF,cellchatdb,421,1,0
cap500_seed2,VUILD64,IPF,consensus,563,1,19
cap500_seed2,VUILD64,IPF,cellchatdb,563,1,4
cap500_seed2,VUILD65,IPF,consensus,572,1,20
cap500_seed2,VUILD65,IPF,cellchatdb,572,1,7
floor30,THD0001,control,consensus,1511,1,28
floor30,THD0001,control,cellchatdb,1511,1,9
floor30,THD0002,control,consensus,1792,1,23
floor30,THD0002,control,cellchatdb,1792,1,7
floor30,THD0005,control,consensus,988,1,26
floor30,THD0005,control,cellchatdb,988,1,8
floor30,TILD001,IPF,consensus,1493,6,199
floor30,TILD001,IPF,cellchatdb,1493,6,40
floor30,TILD006,IPF,consensus,2393,14,205
floor30,TILD006,IPF,cellchatdb,2393,14,32
floor30,TILD010,IPF,consensus,821,4,68
floor30,TILD010,IPF,cellchatdb,821,4,8
floor30,TILD015,IPF,consensus,2516,2,61
floor30,TILD015,IPF,cellchatdb,2516,2,13
floor30,TILD028,IPF,consensus,1964,5,145
floor30,TILD028,IPF,cellchatdb,1964,5,43
floor30,VUHD65,control,consensus,1194,8,170
floor30,VUHD65,control,cellchatdb,1194,8,42
floor30,VUHD66,control,consensus,786,9,197
floor30,VUHD66,control,cellchatdb,786,9,44
floor30,VUHD67,control,consensus,3223,5,112
floor30,VUHD67,control,cellchatdb,3223,5,33
floor30,VUHD68,control,consensus,4673,8,109
floor30,VUHD68,control,cellchatdb,4673,8,36
floor30,VUHD071,control,consensus,2021,1,4
floor30,VUHD071,control,cellchatdb,2021,1,0
floor30,VUILD53,IPF,consensus,528,5,122
floor30,VUILD53,IPF,cellchatdb,528,5,30
floor30,VUILD59,IPF,consensus,8319,20,426
floor30,VUILD59,IPF,cellchatdb,8319,20,86
floor30,VUILD60,IPF,consensus,1199,2,27
floor30,VUILD60,IPF,cellchatdb,1199,2,10
floor30,VUILD61,IPF,consensus,1366,1,17
floor30,VUILD61,IPF,cellchatdb,1366,1,5
floor30,VUILD63,IPF,consensus,421,1,7
floor30,VUILD63,IPF,cellchatdb,421,1,0
floor30,VUILD64,IPF,consensus,563,1,19
floor30,VUILD64,IPF,cellchatdb,563,1,4
floor30,VUILD65,IPF,consensus,919,2,34
floor30,VUILD65,IPF,cellchatdb,919,2,14
floor100,THD0001,control,consensus,1511,1,28
floor100,THD0001,control,cellchatdb,1511,1,9
floor100,THD0002,control,consensus,1792,1,23
floor100,THD0002,control,cellchatdb,1792,1,7
floor100,TILD001,IPF,consensus,1440,4,135
floor100,TILD001,IPF,cellchatdb,1440,4,27
floor100,TILD006,IPF,consensus,2239,2,25
floor100,TILD006,IPF,cellchatdb,2239,2,1
floor100,TILD028,IPF,consensus,1903,2,54
floor100,TILD028,IPF,cellchatdb,1903,2,12
floor100,VUHD65,control,consensus,1119,1,25
floor100,VUHD65,control,cellchatdb,1119,1,8
floor100,VUHD66,control,consensus,673,1,21
floor100,VUHD66,control,cellchatdb,673,1,4
floor100,VUHD67,control,consensus,3193,1,19
floor100,VUHD67,control,cellchatdb,3193,1,7
floor100,VUILD53,IPF,consensus,489,1,24
floor100,VUILD53,IPF,cellchatdb,489,1,8
floor100,VUILD59,IPF,consensus,8281,14,309
floor100,VUILD59,IPF,cellchatdb,8281,14,62
floor100,VUILD60,IPF,consensus,1148,1,13
floor100,VUILD60,IPF,cellchatdb,1148,1,5
floor100,VUILD61,IPF,consensus,1366,1,17
floor100,VUILD61,IPF,cellchatdb,1366,1,5
floor100,VUILD64,IPF,consensus,563,1,19
floor100,VUILD64,IPF,cellchatdb,563,1,4
expression005,THD0001,control,consensus,1511,1,32
expression005,THD0001,control,cellchatdb,1511,1,11
expression005,THD0002,control,consensus,1792,1,31
expression005,THD0002,control,cellchatdb,1792,1,11
expression005,TILD001,IPF,consensus,1493,6,247
expression005,TILD001,IPF,cellchatdb,1493,6,72
expression005,TILD006,IPF,consensus,2317,4,110
expression005,TILD006,IPF,cellchatdb,2317,4,17
expression005,TILD015,IPF,consensus,2516,2,78
expression005,TILD015,IPF,cellchatdb,2516,2,20
expression005,TILD028,IPF,consensus,1964,5,182
expression005,TILD028,IPF,cellchatdb,1964,5,59
expression005,VUHD65,control,consensus,1119,1,31
expression005,VUHD65,control,cellchatdb,1119,1,10
expression005,VUHD66,control,consensus,786,9,376
expression005,VUHD66,control,cellchatdb,786,9,134
expression005,VUHD67,control,consensus,3193,1,29
expression005,VUHD67,control,cellchatdb,3193,1,10
expression005,VUHD071,control,consensus,2021,1,15
expression005,VUHD071,control,cellchatdb,2021,1,5
expression005,VUILD53,IPF,consensus,489,1,28
expression005,VUILD53,IPF,cellchatdb,489,1,9
expression005,VUILD59,IPF,consensus,8281,14,519
expression005,VUILD59,IPF,cellchatdb,8281,14,156
expression005,VUILD60,IPF,consensus,1199,2,58
expression005,VUILD60,IPF,cellchatdb,1199,2,18
expression005,VUILD61,IPF,consensus,1366,1,27
expression005,VUILD61,IPF,cellchatdb,1366,1,9
expression005,VUILD63,IPF,consensus,421,1,17
expression005,VUILD63,IPF,cellchatdb,421,1,5
expression005,VUILD64,IPF,consensus,563,1,24
expression005,VUILD64,IPF,cellchatdb,563,1,7
expression005,VUILD65,IPF,consensus,873,1,27
expression005,VUILD65,IPF,cellchatdb,873,1,9
expression020,THD0001,control,consensus,1511,1,23
expression020,THD0001,control,cellchatdb,1511,1,7
expression020,THD0002,control,consensus,1792,1,17
expression020,THD0002,control,cellchatdb,1792,1,6
expression020,TILD001,IPF,consensus,1493,6,125
expression020,TILD001,IPF,cellchatdb,1493,6,17
expression020,TILD006,IPF,consensus,2317,4,22
expression020,TILD006,IPF,cellchatdb,2317,4,2
expression020,TILD015,IPF,consensus,2516,2,45
expression020,TILD015,IPF,cellchatdb,2516,2,9
expression020,TILD028,IPF,consensus,1964,5,50
expression020,TILD028,IPF,cellchatdb,1964,5,10
expression020,VUHD65,control,consensus,1119,1,18
expression020,VUHD65,control,cellchatdb,1119,1,6
expression020,VUHD66,control,consensus,786,9,108
expression020,VUHD66,control,cellchatdb,786,9,12
expression020,VUHD67,control,consensus,3193,1,13
expression020,VUHD67,control,cellchatdb,3193,1,6
expression020,VUHD071,control,consensus,2021,1,3
expression020,VUHD071,control,cellchatdb,2021,1,0
expression020,VUILD53,IPF,consensus,489,1,10
expression020,VUILD53,IPF,cellchatdb,489,1,0
expression020,VUILD59,IPF,consensus,8281,14,141
expression020,VUILD59,IPF,cellchatdb,8281,14,22
expression020,VUILD60,IPF,consensus,1199,2,16
expression020,VUILD60,IPF,cellchatdb,1199,2,3
expression020,VUILD61,IPF,consensus,1366,1,10
expression020,VUILD61,IPF,cellchatdb,1366,1,0
expression020,VUILD63,IPF,consensus,421,1,3
expression020,VUILD63,IPF,cellchatdb,421,1,0
expression020,VUILD64,IPF,consensus,563,1,8
expression020,VUILD64,IPF,cellchatdb,563,1,2
expression020,VUILD65,IPF,consensus,873,1,5
expression020,VUILD65,IPF,cellchatdb,873,1,0
