config,label,cell_floor,module,case,reference,patient,difference
unc20_pooled,__broad__,50,Han_ISR_without_HPCS_ADI_or_operational_markers,LUAD,normal,5,0.83119190309153
unc20_pooled,__broad__,50,Han_ISR_without_HPCS_ADI_or_operational_markers,LUAD,normal,6,0.65795793261392
unc20_pooled,__broad__,50,Han_ISR_without_HPCS_ADI_or_operational_markers,LUAD,normal,7,0.4515266442065302
unc20_pooled,__broad__,50,Han_ISR_without_HPCS_ADI_or_operational_markers,LUAD,normal,8,0.2962737790758405
unc20_pooled,__broad__,50,Han_ISR_without_HPCS_ADI_or_operational_markers,LUAD,normal,9,0.3901880727467004
unc20_pooled,__broad__,50,Han_ISR_without_HPCS_ADI_or_operational_markers,LUAD,normal,10,0.6648291007581197
unc20_pooled,__broad__,50,Han_ISR_without_HPCS_ADI_or_operational_markers,LUAD,normal,11,0.7946639257912995
unc20_pooled,__broad__,50,Han_ISR_without_HPCS_ADI_or_operational_markers,LUAD,normal,12,0.4177506176604701
unc20_pooled,__broad__,50,Han_ISR_without_HPCS_ADI_or_operational_markers,LUAD,normal,13,0.91236168323721
unc20_pooled,__broad__,50,Han_ISR_without_HPCS_ADI_or_operational_markers,LUAD,normal,14,0.6093220112534401
unc20_pooled,__broad__,50,Han_ISR_without_HPCS_ADI_or_operational_markers,LUAD,normal,15,0.38235428876387
unc20_pooled,__broad__,50,Han_ISR_without_HPCS_ADI_or_operational_markers,LUAD,normal,16,0.3534406035303501
unc20_pooled,__broad__,50,Han_ISR_without_HPCS_ADI_or_operational_markers,LUAD,normal,17,0.33065557611397
unc20_pooled,__broad__,50,Han_ISR_without_HPCS_ADI_or_operational_markers,LUAD,normal,18,0.33804190934804
unc20_pooled,__broad__,50,Han_ISR_without_HPCS_ADI_or_operational_markers,LUAD,normal,19,0.3199083796578907
unc20_pooled,__broad__,50,Han_ISR_without_HPCS_ADI_or_operational_markers,LUAD,normal,20,0.4503446462469402
unc20_pooled,__broad__,50,Han_ISR_without_HPCS_ADI_or_operational_markers,LUAD,normal,21,0.2837586973205708
unc20_pooled,__broad__,50,Han_ISR_without_HPCS_ADI_or_operational_markers,LUAD,normal,22,0.2473540570235899
unc20_pooled,__broad__,50,Han_ISR_without_HPCS_ADI_or_operational_markers,LUAD,normal,23,0.2272458086548097
unc20_pooled,__broad__,50,Han_ISR_without_HPCS_ADI_or_operational_markers,LUAD,normal,24,0.2788096888161107
unc20_pooled,__broad__,50,Han_ISR_without_HPCS_ADI_or_operational_markers,LUAD,normal,25,0.1611689419300299
