logFC	logCPM	F	PValue	FDR	feature_id	contrast	FDR_all_three
-0.124022105505245	4.87246333878738	2.39936752658933	0.132500755971895	0.223344022776743	52846	WT_positive_minus_negative	0.220746069755897
-0.172796053211495	5.96599715091888	8.11796471447221	0.00808495177926532	0.0219309834877686	67702	WT_positive_minus_negative	0.0213913678975298
0.266712198984194	6.89073424433324	25.9431970313262	2.0900123787797e-05	0.000112638527506585	26921	WT_positive_minus_negative	0.000114118353322508
4.61892209515961	-0.89574149839424	24.1052063880125	2.61604772351745e-05	0.000138016309004069	16178	WT_positive_minus_negative	0.000139406742340344
-0.138139839718063	5.88878331005212	5.76564606940857	0.0231538293738447	0.0534958913346376	16177	WT_positive_minus_negative	0.0522349852030108
1.17243634473942	1.72981292640507	17.91769530565	0.000220832898781669	0.000922574921242967	107527	WT_positive_minus_negative	0.000921747648178725
-0.00726497705768776	7.3943142534913	0.0250435643469127	0.875382869357642	0.916278635303553	16182	WT_positive_minus_negative	0.917050881166239
0.424332404469475	2.44003722441014	6.87315378634159	0.0139306856535822	0.035020822845266	16174	WT_positive_minus_negative	0.0340570144854488
5.00473542316848	0.176475654076621	13.343165035648	0.00118807744338683	0.00410561461282629	110895	WT_positive_minus_negative	0.00406636976726251
0.757010434893549	0.330624298645548	1.40321357136264	0.245914422707344	0.36225274686482	226999	WT_positive_minus_negative	0.360734417880419
-0.527895286703423	2.2856251597408	5.1954007977462	0.0303870638574671	0.0671249548423205	211798	WT_positive_minus_negative	0.0657031330563628
-0.480690510372017	4.61294815158603	42.9283245373262	3.99741550346177e-07	3.19710819338726e-06	69527	WT_positive_minus_negative	3.3394059019228e-06
-0.29431178439337	6.36361949331157	41.4159350981322	5.45052148607007e-07	4.24123828374439e-06	73122	WT_positive_minus_negative	4.42005007201376e-06
-0.364506011922863	4.46769553377282	19.3047362626791	0.000142403910454048	0.000623987312794412	98404	WT_positive_minus_negative	0.00062593174917989
1.921814527156	1.47307230361967	13.4501029647008	0.000995789504159862	0.00351871326498393	14200	WT_positive_minus_negative	0.00349272924720317
-0.0830319904319412	2.87376159912355	0.226587840217326	0.637721490429473	0.733769866184924	666642	WT_positive_minus_negative	0.7335885317314
0.0966605764727658	4.26929082330253	1.18144532584008	0.286237238382861	0.405742462154986	17974	WT_positive_minus_negative	0.405507836145887
0.422766418356367	-0.300088300439304	0.898579108372348	0.351219241505009	0.472269499193319	100861934	WT_positive_minus_negative	0.473322329287063
-0.304032560552476	-0.439590100602225	0.134440547072474	0.716429819305135	0.798801744491123	78896	WT_positive_minus_negative	0.798285463291811
-0.0819740983876309	3.30600695146511	0.306606055612325	0.584121144019067	0.688433245013282	67883	WT_positive_minus_negative	0.688939112446145
-0.0920719778585052	4.69025639937318	1.3139255090088	0.261289267984135	0.378681513360903	100503192	WT_positive_minus_negative	0.37780454684151
-0.00924765691159732	6.6922152161631	0.0343127695306555	0.854364854786837	0.900688680365337	22019	WT_positive_minus_negative	0.901587122939268
