feature_id	symbol	NCBI_name	omitted_mouse	contrast	logFC	rank	residual_df
11596	Ager	Ager	WT4	Mutant_minus_WT_CD44_interaction	0.0578048557108807	9	5
11596	Ager	Ager	WT2	Mutant_positive_minus_negative	-0.0399615918621384	9	5
11596	Ager	Ager	WT3	Mutant_minus_WT_CD44_interaction	-0.0573559156589184	9	5
11596	Ager	Ager	WT3	Mutant_positive_minus_negative	-0.0399629393612455	9	5
11596	Ager	Ager	WT1	WT_positive_minus_negative	0.0150366277862823	9	5
11596	Ager	Ager	WT4	Mutant_positive_minus_negative	-0.0399641314935859	9	5
11596	Ager	Ager	Mutant3	Mutant_positive_minus_negative	-0.106798829676193	9	5
11596	Ager	Ager	WT1	Mutant_minus_WT_CD44_interaction	-0.0549970457878769	9	5
11596	Ager	Ager	WT3	WT_positive_minus_negative	0.0173929762976729	9	5
11596	Ager	Ager	WT2	Mutant_minus_WT_CD44_interaction	0.00575574456442743	9	5
11596	Ager	Ager	WT4	WT_positive_minus_negative	-0.0977689872044666	9	5
11596	Ager	Ager	Mutant3	WT_positive_minus_negative	0.0417692286233609	9	5
11596	Ager	Ager	Mutant4	Mutant_minus_WT_CD44_interaction	-0.0709062468761838	9	5
11596	Ager	Ager	Mutant2	WT_positive_minus_negative	0.0417692243928707	9	5
11596	Ager	Ager	Mutant3	Mutant_minus_WT_CD44_interaction	-0.148568058299554	9	5
11596	Ager	Ager	Mutant1	WT_positive_minus_negative	0.0417682202515125	9	5
11596	Ager	Ager	Mutant2	Mutant_minus_WT_CD44_interaction	-0.14475484073058	9	5
11596	Ager	Ager	Mutant4	Mutant_positive_minus_negative	-0.0291257167925294	9	5
11596	Ager	Ager	Mutant1	Mutant_minus_WT_CD44_interaction	-0.16622784731884	9	5
11596	Ager	Ager	Mutant1	Mutant_positive_minus_negative	-0.124459627067327	9	5
11596	Ager	Ager	Mutant2	Mutant_positive_minus_negative	-0.10298561633771	9	5
11596	Ager	Ager	Mutant4	WT_positive_minus_negative	0.0417805300836544	9	5
20389	Sftpc	Sftpc	WT2	WT_positive_minus_negative	-0.752879709880841	9	5
20389	Sftpc	Sftpc	WT4	Mutant_positive_minus_negative	-0.75749423431429	9	5
20389	Sftpc	Sftpc	WT4	WT_positive_minus_negative	-0.607854424903175	9	5
20389	Sftpc	Sftpc	WT3	Mutant_minus_WT_CD44_interaction	-0.112622342550728	9	5
20389	Sftpc	Sftpc	WT1	Mutant_positive_minus_negative	-0.757487318199854	9	5
20389	Sftpc	Sftpc	WT4	Mutant_minus_WT_CD44_interaction	-0.149639809411115	9	5
20389	Sftpc	Sftpc	WT2	Mutant_positive_minus_negative	-0.757489424757203	9	5
20389	Sftpc	Sftpc	Mutant1	WT_positive_minus_negative	-0.569127296370304	9	5
20389	Sftpc	Sftpc	WT3	Mutant_positive_minus_negative	-0.757491897749972	9	5
20389	Sftpc	Sftpc	WT1	WT_positive_minus_negative	-0.548921547759844	9	5
20389	Sftpc	Sftpc	Mutant1	Mutant_minus_WT_CD44_interaction	-0.252369604689957	9	5
20389	Sftpc	Sftpc	Mutant3	Mutant_positive_minus_negative	-0.825419058879593	9	5
20389	Sftpc	Sftpc	WT1	Mutant_minus_WT_CD44_interaction	-0.20856577044001	9	5
20389	Sftpc	Sftpc	WT3	WT_positive_minus_negative	-0.644869555199245	9	5
20389	Sftpc	Sftpc	WT2	Mutant_minus_WT_CD44_interaction	-0.00460971487636208	9	5
20389	Sftpc	Sftpc	Mutant1	Mutant_positive_minus_negative	-0.821496901060261	9	5
20389	Sftpc	Sftpc	Mutant3	WT_positive_minus_negative	-0.569127149964782	9	5
20389	Sftpc	Sftpc	Mutant4	Mutant_minus_WT_CD44_interaction	-0.187122093267324	9	5
20389	Sftpc	Sftpc	Mutant2	WT_positive_minus_negative	-0.569127144855858	9	5
20389	Sftpc	Sftpc	Mutant3	Mutant_minus_WT_CD44_interaction	-0.25629190891481	9	5
20389	Sftpc	Sftpc	Mutant2	Mutant_minus_WT_CD44_interaction	-0.261174534858341	9	5
20389	Sftpc	Sftpc	Mutant4	Mutant_positive_minus_negative	-0.756248926890418	9	5
20389	Sftpc	Sftpc	Mutant4	WT_positive_minus_negative	-0.569126833623094	9	5
20389	Sftpc	Sftpc	Mutant2	Mutant_positive_minus_negative	-0.830301679714199	9	5
12575	Cdkn1a	Cdkn1a	WT2	Mutant_positive_minus_negative	0.428005050679424	9	5
12575	Cdkn1a	Cdkn1a	WT4	Mutant_positive_minus_negative	0.428006116113781	9	5
12575	Cdkn1a	Cdkn1a	WT2	WT_positive_minus_negative	0.212925756555601	9	5
12575	Cdkn1a	Cdkn1a	WT1	WT_positive_minus_negative	0.09008229987019	9	5
12575	Cdkn1a	Cdkn1a	WT2	Mutant_minus_WT_CD44_interaction	0.215079294123822	9	5
12575	Cdkn1a	Cdkn1a	WT4	WT_positive_minus_negative	0.157856962077351	9	5
12575	Cdkn1a	Cdkn1a	WT3	Mutant_minus_WT_CD44_interaction	0.290842744371218	9	5
12575	Cdkn1a	Cdkn1a	WT1	Mutant_positive_minus_negative	0.428004232559219	9	5
12575	Cdkn1a	Cdkn1a	WT4	Mutant_minus_WT_CD44_interaction	0.27014915403643	9	5
12575	Cdkn1a	Cdkn1a	Mutant3	Mutant_minus_WT_CD44_interaction	0.165494135926876	9	5
12575	Cdkn1a	Cdkn1a	Mutant1	WT_positive_minus_negative	0.219589040089211	9	5
12575	Cdkn1a	Cdkn1a	WT3	Mutant_positive_minus_negative	0.428005428172305	9	5
