cluster,gene,scores,log2FC,pval,pval_adj,frac_expressing_in_cluster,frac_expressing_other
23,MRC1,18.260466,4.621078,1.7082780068235533e-74,2.4821279439146232e-71,0.8195121951219512,0.08410841447464032
23,ECSCR,18.163555,4.5700846,1.0031418064257471e-73,1.37658920891791e-70,0.8048780487804879,0.10390931550646708
23,ADIRF,18.132408,3.5239482,1.7684164069762443e-73,2.2990344036168532e-70,0.9073170731707317,0.39114954221770093
23,VIM,18.091003,2.7435813,3.7519858447785784e-73,4.6338901175937835e-70,0.9853658536585366,0.7746330475221624
24,DNAAF1,76.35806,6.8289266,0.0,0.0,0.9841129744042365,0.05619919098299493
24,CAPS,76.26151,6.411143,0.0,0.0,0.997793468667255,0.22640694340808232
24,LRRIQ1,76.253235,6.823801,0.0,0.0,0.9819064430714917,0.04767702156069591
24,TPPP3,76.07056,6.540508,0.0,0.0,0.9938217122683142,0.12732199662255037
24,RSPH1,75.68021,6.4928503,0.0,0.0,0.9898499558693733,0.08192278993048738
24,CETN2,74.921,5.8305917,0.0,0.0,0.9819064430714917,0.21332914424851745
24,PIFO,74.84468,6.218996,0.0,0.0,0.9810238305383936,0.07960570239170561
24,TSPAN1,74.826645,5.771571,0.0,0.0,0.9823477493380406,0.14648705965518596
24,DNAH12,74.799034,6.6574607,0.0,0.0,0.9673433362753752,0.04198248438911362
24,C20orf85,74.577576,6.45579,0.0,0.0,0.9810238305383936,0.08973805129010722
24,C9orf24,74.30143,6.4609528,0.0,0.0,0.9770520741394528,0.09170168479754938
24,C11orf88,74.002304,6.3621507,0.0,0.0,0.9713150926743159,0.07049444291717394
24,CDHR3,73.83746,6.518271,0.0,0.0,0.9532215357458076,0.04237521109060205
24,AGR3,73.676254,5.3293056,0.0,0.0,0.9827890556045896,0.1757451989160743
24,STK33,73.57664,6.1192923,0.0,0.0,0.9541041482789056,0.05941954993520009
24,ZMYND10,73.565636,6.1033072,0.0,0.0,0.9624889673433362,0.058516278521776696
24,CEP126,73.52381,5.522507,0.0,0.0,0.9620476610767873,0.10324784982130936
24,RP1,73.4431,6.560032,0.0,0.0,0.9492497793468667,0.05647409967403684
24,FAM183A,73.40606,6.2892985,0.0,0.0,0.9638128861429832,0.06271845422770295
24,ODF3B,73.26722,4.9776525,0.0,0.0,0.9788172992056487,0.21332914424851745
25,CAPS,34.608097,6.0473614,1.9085477688218654e-262,4.71430384376689e-258,0.9792099792099792,0.2772680563711098
25,C20orf85,31.263601,5.7748203,1.4587474929403511e-214,1.8016260911559807e-210,0.8835758835758836,0.1498458602466236
25,GSTP1,31.055124,3.263847,9.728401521686124e-212,8.010041532905632e-208,0.9667359667359667,0.7691940692894892
25,C9orf24,30.867224,5.6396627,3.2903750251509375e-209,2.0318888374063326e-205,0.8773388773388774,0.15146065766294775
25,PRDX5,29.768158,3.588659,1.0095951977144186e-194,4.987602195748771e-191,0.9168399168399168,0.6256238990017616
25,TPPP3,29.227982,5.1002426,8.554744966391923e-188,3.5218459235807813e-184,0.8648648648648649,0.1863623018203171
25,DYNLL1,28.964785,3.2010558,1.8279972269859395e-184,6.450479929111385e-181,0.9085239085239085,0.700014679976512
25,RSPH1,28.55907,5.059237,2.1673354145679148e-179,6.691919009405258e-176,0.8295218295218295,0.14423076923076922
25,C11orf88,26.100132,4.8539534,3.633207618410454e-150,9.971540153595181e-147,0.760914760914761,0.13322078684674105
25,FAM183A,25.986109,4.8584733,7.109431299527507e-149,1.7561006252962895e-145,0.7505197505197505,0.12551379917792133
25,CETN2,25.56571,4.344574,3.672666654595598e-144,8.247139912287805e-141,0.7920997920997921,0.2670287727539636
25,C1orf194,25.157017,5.027927,1.184228417631891e-139,2.250125087994257e-136,0.7214137214137214,0.1207428068115091
25,PIFO,24.479555,4.5697145,2.4390778418808503e-132,4.3034044123070635e-129,0.7214137214137214,0.1432398708162067
25,CALM1,24.105766,1.7742109,2.174815343427181e-128,3.357507112374675e-125,0.9085239085239085,0.8772386964180857
25,TUBB4B,24.093945,2.8665795,2.893183247507515e-128,4.203795258628419e-125,0.83991683991684,0.6444142689371697
25,SNTN,23.792524,4.7102547,3.99123094457683e-125,5.477077531221794e-122,0.6943866943866944,0.11942160892542572
25,MORN2,23.186348,4.354993,6.252997300763486e-119,8.129225596113625e-116,0.6985446985446986,0.21025396359365825
25,ODF3B,22.825672,3.809138,2.5499191188957867e-115,3.1492776077922414e-112,0.7214137214137214,0.26801967116852615
25,C9orf116,22.606028,4.47787,3.780681157063075e-113,4.4469812028864294e-110,0.6632016632016632,0.13189958896065768
25,C5orf49,22.460758,4.5284896,1.0046129966041901e-111,1.1279520740509137e-108,0.656964656964657,0.12448620082207869
26,AGER,41.643173,8.933145,0.0,0.0,0.9502262443438914,0.06251385502105963
26,EMP2,40.197105,5.30669,0.0,0.0,0.9457013574660633,0.4568462277395995
26,CAV1,37.239983,4.524889,1.53913244476773e-303,1.2672703506069234e-299,0.9306184012066365,0.4149486440552723
26,HOPX,37.056107,4.7921696,1.43191565042386e-300,8.842437120279942e-297,0.9079939668174962,0.3370649523387276
26,S100A10,35.541042,2.9286468,1.1426040449781547e-276,5.6446925030010796e-273,0.9562594268476622,0.8090962831596837
