cohort,view,resource,family,ligand,receptor,source,source_label,target,target_label,cell_floor,prior_count,n_control,n_IPF,difference_IPF_minus_control,ligand_component_difference,receptor_component_difference,loo_min,loo_max,inference
GSE136831,broad,consensus,exploratory,CXCL12,ITGB1,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,0.560978296465807,1.474668551705899,-0.3527119587742886,0.40129264112898966,0.759218935506552,descriptive_no_p_value
GSE136831,broad,consensus,exploratory,CXCL12,ITGAV,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,0.5568831878264611,1.474668551705899,-0.3609021760529778,0.41319272497868553,0.7361016008106711,descriptive_no_p_value
GSE136831,broad,consensus,exploratory,CXCL12,ITGA5,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,0.5775661006626471,1.474668551705899,-0.3195363503806048,0.38225829707567716,0.8815637914809233,descriptive_no_p_value
GSE136831,broad,consensus,exploratory,CXCL12,ITGA4,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,1.1715517665004467,1.474668551705899,0.8684349812949947,1.0091961410706531,1.3163528743109345,descriptive_no_p_value
GSE136831,broad,consensus,exploratory,CXCL12,ACKR3,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,0.3979200810307413,1.474668551705899,-0.6788283896444147,0.041131391791934035,0.5971193478906489,descriptive_no_p_value
GSE136831,broad,consensus,exploratory,CXCL12,AVPR1A,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,0.4648870743083249,1.474668551705899,-0.5448944030892489,0.20289087397438266,0.9578213402826868,descriptive_no_p_value
GSE136831,broad,consensus,exploratory,CXCL12,CXCR3,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,0.8264905537185059,1.474668551705899,0.1783125557311127,0.5373053635335827,1.0961787614463876,descriptive_no_p_value
GSE136831,broad,consensus,exploratory,CXCL12,CCR4,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,0.8400206513211703,1.474668551705899,0.20537275093644336,0.6547468010156559,0.9552100513528741,descriptive_no_p_value
GSE136831,broad,consensus,exploratory,CXCL12,CXCR4,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,1.0069217310565133,1.474668551705899,0.5391749104071284,0.7157654353696365,1.2045008719856707,descriptive_no_p_value
GSE136831,broad,consensus,exploratory,CXCL12,GRM7,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,0.9583156144874856,1.474668551705899,0.4419626772690748,0.8185003593723907,1.1196669855976857,descriptive_no_p_value
