cohort,view,resource,family,ligand,receptor,source,source_label,target,target_label,cell_floor,prior_count,n_control,n_IPF,status,missing_genes
GSE136831,broad,consensus,core,TGFB1,ACVRL1,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,core,TGFB1,CXCR4,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,core,TGFB1,TGFBR3,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,core,TGFB1,VASN,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,core,IL1A,IL1R1_IL1RAP,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,core,IL1A,IL1R1_IL1RAP,macrophages,__broad__,AT2,__broad__,50,1.0,10,3,eligible_descriptive,
GSE136831,broad,consensus,core,IL1A,IL1R1_IL1RAP,AT2,__broad__,fibroblasts,__broad__,50,1.0,4,2,insufficient_same_donor_coverage,
GSE136831,broad,consensus,core,IL1A,IL1R2_IL1RAP,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,core,IL1A,IL1R2_IL1RAP,macrophages,__broad__,AT2,__broad__,50,1.0,10,3,eligible_descriptive,
GSE136831,broad,consensus,core,IL1A,IL1R2_IL1RAP,AT2,__broad__,fibroblasts,__broad__,50,1.0,4,2,insufficient_same_donor_coverage,
GSE136831,broad,consensus,core,IL1B,IL1R1_IL1RAP,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,core,IL1B,IL1R1_IL1RAP,macrophages,__broad__,AT2,__broad__,50,1.0,10,3,eligible_descriptive,
GSE136831,broad,consensus,core,IL1B,IL1R1_IL1RAP,AT2,__broad__,fibroblasts,__broad__,50,1.0,4,2,insufficient_same_donor_coverage,
GSE136831,broad,consensus,core,IL1B,IL1R2_IL1RAP,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,core,IL1B,IL1R2_IL1RAP,macrophages,__broad__,AT2,__broad__,50,1.0,10,3,eligible_descriptive,
GSE136831,broad,consensus,core,IL1B,IL1R2_IL1RAP,AT2,__broad__,fibroblasts,__broad__,50,1.0,4,2,insufficient_same_donor_coverage,
GSE136831,broad,consensus,core,IL1B,ADRB2,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,core,IL1B,ADRB2,macrophages,__broad__,AT2,__broad__,50,1.0,10,3,eligible_descriptive,
