cohort,label,cell_floor,prior_count,module,n_IPF,n_control,eligible,difference_IPF_minus_control
GSE135893,AT2,30,1.0,Han_ISR_without_HPCS_ADI_or_operational_markers,9,8,True,-0.08862672477614364
GSE135893,AT2,50,0.5,ADI_published_holdout,8,6,True,-0.07297428569892705
GSE135893,AT2,50,0.5,AT1_published_holdout,8,6,True,0.1131750567993075
GSE135893,AT2,50,0.5,AT2_published_holdout,8,6,True,0.009965455509991727
GSE135893,AT2,50,0.5,HALLMARK_HYPOXIA,8,6,True,-0.014218134142252037
GSE135893,AT2,50,0.5,HALLMARK_INFLAMMATORY_RESPONSE,8,6,True,0.12564730791261303
GSE135893,AT2,50,0.5,HALLMARK_P53_PATHWAY,8,6,True,0.13798566104815269
GSE135893,AT2,50,0.5,HPCS_author_top100,8,6,True,0.17977467617741594
GSE135893,AT2,50,0.5,HPCS_excluding_operational_markers,8,6,True,0.1822838981110646
GSE135893,AT2,50,0.5,HPCS_without_ADI_or_operational_markers,8,6,True,0.16571092515677588
GSE135893,AT2,50,0.5,Han_ISR_source_symbols,8,6,True,-0.17939170020255135
GSE135893,AT2,50,0.5,Han_ISR_without_HPCS_ADI_or_operational_markers,8,6,True,-0.2085728310342998
GSE135893,AT2,50,1.0,ADI_published_holdout,8,6,True,-0.07321247676013432
GSE135893,AT2,50,1.0,AT1_published_holdout,8,6,True,0.10921973574858601
GSE135893,AT2,50,1.0,AT2_published_holdout,8,6,True,0.011529203655391562
GSE135893,AT2,50,1.0,HALLMARK_HYPOXIA,8,6,True,-0.0016685390928334876
GSE135893,AT2,50,1.0,HALLMARK_INFLAMMATORY_RESPONSE,8,6,True,0.14484196308148167
GSE135893,AT2,50,1.0,HALLMARK_P53_PATHWAY,8,6,True,0.13696493054687764
GSE135893,AT2,50,1.0,HPCS_author_top100,8,6,True,0.19844833343250112
GSE135893,AT2,50,1.0,HPCS_excluding_operational_markers,8,6,True,0.2003542451236222
GSE135893,AT2,50,1.0,HPCS_without_ADI_or_operational_markers,8,6,True,0.18501595566330664
GSE135893,AT2,50,1.0,Han_ISR_source_symbols,8,6,True,-0.143463361071702
GSE135893,AT2,50,1.0,Han_ISR_without_HPCS_ADI_or_operational_markers,8,6,True,-0.17182417233786307
GSE135893,AT2,50,2.0,ADI_published_holdout,8,6,True,-0.07483210824581832
GSE135893,AT2,50,2.0,AT1_published_holdout,8,6,True,0.10124663836356529
GSE135893,AT2,50,2.0,AT2_published_holdout,8,6,True,0.007873095147753695
GSE135893,AT2,50,2.0,HALLMARK_HYPOXIA,8,6,True,0.0015066600906554761
GSE135893,AT2,50,2.0,HALLMARK_INFLAMMATORY_RESPONSE,8,6,True,0.1456129049883068
GSE135893,AT2,50,2.0,HALLMARK_P53_PATHWAY,8,6,True,0.1308172320419514
GSE135893,AT2,50,2.0,HPCS_author_top100,8,6,True,0.20577794957908502
GSE135893,AT2,50,2.0,HPCS_excluding_operational_markers,8,6,True,0.20759563556350313
GSE135893,AT2,50,2.0,HPCS_without_ADI_or_operational_markers,8,6,True,0.1927508253731638
GSE135893,AT2,50,2.0,Han_ISR_source_symbols,8,6,True,-0.11365686463096125
GSE135893,AT2,50,2.0,Han_ISR_without_HPCS_ADI_or_operational_markers,8,6,True,-0.14223832649643597
GSE135893,AT2,100,1.0,ADI_published_holdout,5,5,True,0.03922925480417039
