donor,disease,label,cells,unit_id,full_library_sum
174I,IPF,Ciliated,194,GSE136831_158,1362838
174I,IPF,Club,84,GSE136831_159,644062
177I,IPF,ATI,8,GSE136831_160,33881
177I,IPF,ATII,10,GSE136831_161,52681
177I,IPF,Aberrant_Basaloid,12,GSE136831_162,122635
177I,IPF,Basal,14,GSE136831_163,125950
177I,IPF,Ciliated,108,GSE136831_164,476956
177I,IPF,Club,72,GSE136831_165,461803
179I,IPF,ATI,3,GSE136831_166,20519
179I,IPF,ATII,1,GSE136831_167,7644
179I,IPF,Aberrant_Basaloid,2,GSE136831_168,19442
179I,IPF,Basal,11,GSE136831_169,104185
179I,IPF,Ciliated,38,GSE136831_170,283884
179I,IPF,Club,24,GSE136831_171,223508
192C,control,ATI,24,GSE136831_172,196611
192C,control,ATII,87,GSE136831_173,1385289
192C,control,Basal,1,GSE136831_174,2299
192C,control,Ciliated,64,GSE136831_175,608605
192C,control,Club,12,GSE136831_176,83014
208C,control,ATI,3,GSE136831_177,16654
208C,control,ATII,2,GSE136831_178,39050
208C,control,Ciliated,44,GSE136831_179,549104
209I,IPF,Aberrant_Basaloid,82,GSE136831_180,1459906
209I,IPF,Basal,41,GSE136831_181,346454
209I,IPF,Ciliated,626,GSE136831_182,4301339
209I,IPF,Club,41,GSE136831_183,331573
210I,IPF,ATI,1,GSE136831_184,7037
210I,IPF,ATII,1,GSE136831_185,3280
210I,IPF,Aberrant_Basaloid,3,GSE136831_186,75373
210I,IPF,Basal,25,GSE136831_187,182246
210I,IPF,Ciliated,111,GSE136831_188,770553
210I,IPF,Club,39,GSE136831_189,237954
212I,IPF,ATI,1,GSE136831_190,5214
212I,IPF,ATII,1,GSE136831_191,3701
212I,IPF,Aberrant_Basaloid,3,GSE136831_192,37320
212I,IPF,Basal,44,GSE136831_193,350441
212I,IPF,Ciliated,827,GSE136831_194,9047047
212I,IPF,Club,236,GSE136831_195,1887251
214I,IPF,ATII,2,GSE136831_196,14232
214I,IPF,Aberrant_Basaloid,4,GSE136831_197,28645
214I,IPF,Basal,11,GSE136831_198,41486
214I,IPF,Ciliated,267,GSE136831_199,1824545
214I,IPF,Club,11,GSE136831_200,58458
218C,control,ATI,3,GSE136831_201,11036
218C,control,ATII,43,GSE136831_202,457134
218C,control,Basal,2,GSE136831_203,8587
218C,control,Ciliated,160,GSE136831_204,1358093
218C,control,Club,5,GSE136831_205,33191
221I,IPF,ATII,3,GSE136831_206,14270
221I,IPF,Aberrant_Basaloid,6,GSE136831_207,124366
221I,IPF,Basal,36,GSE136831_208,226602
221I,IPF,Ciliated,390,GSE136831_209,3240497
221I,IPF,Club,70,GSE136831_210,472580
222C,control,ATI,75,GSE136831_211,314874
222C,control,ATII,120,GSE136831_212,1033843
222C,control,Basal,6,GSE136831_213,71151
222C,control,Ciliated,49,GSE136831_214,421011
222C,control,Club,23,GSE136831_215,171769
222I,IPF,ATI,4,GSE136831_216,28646
222I,IPF,ATII,11,GSE136831_217,102965
222I,IPF,Aberrant_Basaloid,25,GSE136831_218,479298
222I,IPF,Basal,76,GSE136831_219,770725
222I,IPF,Ciliated,551,GSE136831_220,5010910
222I,IPF,Club,164,GSE136831_221,1540959
225I,IPF,ATI,3,GSE136831_222,31291
225I,IPF,ATII,60,GSE136831_223,109259
225I,IPF,Aberrant_Basaloid,9,GSE136831_224,120062
225I,IPF,Basal,18,GSE136831_225,74792
225I,IPF,Ciliated,568,GSE136831_226,5264657
225I,IPF,Club,13,GSE136831_227,52647
226C,control,ATI,5,GSE136831_228,17101
226C,control,ATII,133,GSE136831_229,1208098
226C,control,Ciliated,104,GSE136831_230,957938
226C,control,Club,7,GSE136831_231,33684
228I,IPF,ATII,4,GSE136831_232,27933
228I,IPF,Aberrant_Basaloid,5,GSE136831_233,25506
228I,IPF,Basal,5,GSE136831_234,63810
228I,IPF,Ciliated,60,GSE136831_235,404067
228I,IPF,Club,4,GSE136831_236,16800
