"NGenes","Correlation","Direction","PValue","FDR","set","cohort","compartment","label","cell_floor","correlation_setting","n_control","n_IPF","assayed_fraction","mean_member_log2FC","FDR_global"
108,0.111248264252696,"Up",0.369523325764784,0.74965234286503,"HALLMARK_INFLAMMATORY_RESPONSE","GSE135893","AT2","AT2",100,"estimated",5,5,0.995,0.498577112355303,0.732578388146311
54,0.074464695014103,"Up",0.374826171432515,0.74965234286503,"HALLMARK_IL6_JAK_STAT3_SIGNALING","GSE135893","AT2","AT2",100,"estimated",5,5,1,0.331156833146152,0.732578388146311
141,0.0283873245304216,"Up",0.704924849624652,0.851762554317786,"HALLMARK_HYPOXIA","GSE135893","AT2","AT2",100,"estimated",5,5,0.97,0.204129287713948,0.861860896880403
156,0.0161672234107624,"Up",0.851762554317786,0.851762554317786,"HALLMARK_GLYCOLYSIS","GSE135893","AT2","AT2",100,"estimated",5,5,0.99,0.102238397584917,0.912602736769057
172,0.0114818829512406,"Up",0.0369877470754038,0.295901976603231,"HALLMARK_P53_PATHWAY","GSE135893","AT2","AT2",100,"estimated",5,5,0.965,0.326135736819777,0.554816206131057
146,0.0186736593158872,"Down",0.33962231623363,0.74965234286503,"HALLMARK_E2F_TARGETS","GSE135893","AT2","AT2",100,"estimated",5,5,0.975,-0.0111572091340861,0.732578388146311
138,0.0702062072833439,"Up",0.746946110629682,0.851762554317786,"HALLMARK_G2M_CHECKPOINT","GSE135893","AT2","AT2",100,"estimated",5,5,0.95,0.135925787984027,0.861860896880403
161,0.01,"Up",0.0113159225137072,0.0452636900548289,"HALLMARK_TNFA_SIGNALING_VIA_NFKB","GSE135893","AT2","AT2",100,"fixed001",5,5,0.99,0.538852709698316,0.042434709426402
108,0.01,"Up",0.0178318416142777,0.047551577638074,"HALLMARK_INFLAMMATORY_RESPONSE","GSE135893","AT2","AT2",100,"fixed001",5,5,0.995,0.498577112355303,0.0534955248428332
54,0.01,"Up",0.0914312560028265,0.182862512005653,"HALLMARK_IL6_JAK_STAT3_SIGNALING","GSE135893","AT2","AT2",100,"fixed001",5,5,1,0.331156833146152,0.195924120006057
141,0.01,"Up",0.572534669342971,0.654325336391966,"HALLMARK_HYPOXIA","GSE135893","AT2","AT2",100,"fixed001",5,5,0.97,0.204129287713948,0.660616926164966
156,0.01,"Up",0.821092035295214,0.821092035295214,"HALLMARK_GLYCOLYSIS","GSE135893","AT2","AT2",100,"fixed001",5,5,0.99,0.102238397584917,0.87974146638773
172,0.01,"Up",0.00899159105619962,0.0452636900548289,"HALLMARK_P53_PATHWAY","GSE135893","AT2","AT2",100,"fixed001",5,5,0.965,0.326135736819777,0.042434709426402
146,0.01,"Down",0.212035773425394,0.33925723748063,"HALLMARK_E2F_TARGETS","GSE135893","AT2","AT2",100,"fixed001",5,5,0.975,-0.0111572091340861,0.318053660138091
138,0.01,"Up",0.480436633779067,0.640582178372089,"HALLMARK_G2M_CHECKPOINT","GSE135893","AT2","AT2",100,"fixed001",5,5,0.95,0.135925787984027,0.600545792223833
155,0.272394429173086,"Up",0.172782793142347,0.300128802602923,"HALLMARK_TNFA_SIGNALING_VIA_NFKB","GSE135893","fibroblasts","__broad__",50,"estimated",3,7,0.99,0.778740175561076,0.68050781860827
94,0.116827104612367,"Up",0.250107335502436,0.300128802602923,"HALLMARK_INFLAMMATORY_RESPONSE","GSE135893","fibroblasts","__broad__",50,"estimated",3,7,0.995,0.46045822186519,0.68050781860827
50,0.0801876904502128,"Up",0.0617425729377631,0.300128802602923,"HALLMARK_IL6_JAK_STAT3_SIGNALING","GSE135893","fibroblasts","__broad__",50,"estimated",3,7,1,0.560773632861214,0.68050781860827
47,0.0442962791468432,"Up",0.124640675853982,0.300128802602923,"HALLMARK_TGF_BETA_SIGNALING","GSE135893","fibroblasts","__broad__",50,"estimated",3,7,1,0.248228991957548,0.68050781860827
21,0.0462350573709122,"Up",0.210536047360481,0.300128802602923,"HALLMARK_WNT_BETA_CATENIN_SIGNALING","GSE135893","fibroblasts","__broad__",50,"estimated",3,7,1,0.297798873568228,0.68050781860827
166,0.0684623587720798,"Up",0.637038772579358,0.637038772579358,"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","GSE135893","fibroblasts","__broad__",50,"estimated",3,7,1,0.256187864262932,0.764589451413134
155,0.01,"Up",9.00140466743078e-10,5.40084280045847e-09,"HALLMARK_TNFA_SIGNALING_VIA_NFKB","GSE135893","fibroblasts","__broad__",50,"fixed001",3,7,0.99,0.778740175561076,3.24050568027508e-08
94,0.01,"Up",0.00217090761432426,0.00434181522864852,"HALLMARK_INFLAMMATORY_RESPONSE","GSE135893","fibroblasts","__broad__",50,"fixed001",3,7,0.995,0.46045822186519,0.0111646677308105
50,0.01,"Up",8.12708970651937e-05,0.000243812691195581,"HALLMARK_IL6_JAK_STAT3_SIGNALING","GSE135893","fibroblasts","__broad__",50,"fixed001",3,7,1,0.560773632861214,0.000585150458869395
47,0.01,"Up",0.013473057587579,0.0202095863813685,"HALLMARK_TGF_BETA_SIGNALING","GSE135893","fibroblasts","__broad__",50,"fixed001",3,7,1,0.248228991957548,0.0446882532733763
21,0.01,"Up",0.0848784001279168,0.1018540801535,"HALLMARK_WNT_BETA_CATENIN_SIGNALING","GSE135893","fibroblasts","__broad__",50,"fixed001",3,7,1,0.297798873568228,0.160822231821316
166,0.01,"Up",0.292343831535979,0.292343831535979,"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","GSE135893","fibroblasts","__broad__",50,"fixed001",3,7,1,0.256187864262932,0.36177607642684
155,0.272394429173086,"Up",0.172782793142347,0.300128802602923,"HALLMARK_TNFA_SIGNALING_VIA_NFKB","GSE135893","fibroblasts","__broad__",30,"estimated",3,7,0.99,0.778740175561076,0.722126472235954
94,0.116827104612367,"Up",0.250107335502436,0.300128802602923,"HALLMARK_INFLAMMATORY_RESPONSE","GSE135893","fibroblasts","__broad__",30,"estimated",3,7,0.995,0.46045822186519,0.722126472235954
50,0.0801876904502128,"Up",0.0617425729377631,0.300128802602923,"HALLMARK_IL6_JAK_STAT3_SIGNALING","GSE135893","fibroblasts","__broad__",30,"estimated",3,7,1,0.560773632861214,0.722126472235954
47,0.0442962791468432,"Up",0.124640675853982,0.300128802602923,"HALLMARK_TGF_BETA_SIGNALING","GSE135893","fibroblasts","__broad__",30,"estimated",3,7,1,0.248228991957548,0.722126472235954
21,0.0462350573709122,"Up",0.210536047360481,0.300128802602923,"HALLMARK_WNT_BETA_CATENIN_SIGNALING","GSE135893","fibroblasts","__broad__",30,"estimated",3,7,1,0.297798873568228,0.722126472235954
166,0.0684623587720798,"Up",0.637038772579358,0.637038772579358,"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","GSE135893","fibroblasts","__broad__",30,"estimated",3,7,1,0.256187864262932,0.787077376454697
155,0.01,"Up",9.00140466743078e-10,5.40084280045847e-09,"HALLMARK_TNFA_SIGNALING_VIA_NFKB","GSE135893","fibroblasts","__broad__",30,"fixed001",3,7,0.99,0.778740175561076,3.78058996032093e-08
94,0.01,"Up",0.00217090761432426,0.00434181522864852,"HALLMARK_INFLAMMATORY_RESPONSE","GSE135893","fibroblasts","__broad__",30,"fixed001",3,7,0.995,0.46045822186519,0.0113972649752024
50,0.01,"Up",8.12708970651937e-05,0.000243812691195581,"HALLMARK_IL6_JAK_STAT3_SIGNALING","GSE135893","fibroblasts","__broad__",30,"fixed001",3,7,1,0.560773632861214,0.000682675535347627
47,0.01,"Up",0.013473057587579,0.0202095863813685,"HALLMARK_TGF_BETA_SIGNALING","GSE135893","fibroblasts","__broad__",30,"fixed001",3,7,1,0.248228991957548,0.0446882532733763
21,0.01,"Up",0.0848784001279168,0.1018540801535,"HALLMARK_WNT_BETA_CATENIN_SIGNALING","GSE135893","fibroblasts","__broad__",30,"fixed001",3,7,1,0.297798873568228,0.169756800255834
166,0.01,"Up",0.292343831535979,0.292343831535979,"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","GSE135893","fibroblasts","__broad__",30,"fixed001",3,7,1,0.256187864262932,0.350812597843175
137,0.266406562452455,"Up",0.731764738161532,0.731764738161532,"HALLMARK_TNFA_SIGNALING_VIA_NFKB","GSE135893","fibroblasts","Myofibroblasts",30,"estimated",3,6,0.99,0.22254370410609,0.85372552785512
71,0.12148896757148,"Up",0.656088190138597,0.731764738161532,"HALLMARK_INFLAMMATORY_RESPONSE","GSE135893","fibroblasts","Myofibroblasts",30,"estimated",3,6,0.995,0.237625739507581,0.787305828166316
42,0.200431016803756,"Up",0.284126228486702,0.704982571750215,"HALLMARK_IL6_JAK_STAT3_SIGNALING","GSE135893","fibroblasts","Myofibroblasts",30,"estimated",3,6,1,0.330480153885232,0.722126472235954
43,0.0828490375650058,"Up",0.46998838116681,0.704982571750215,"HALLMARK_TGF_BETA_SIGNALING","GSE135893","fibroblasts","Myofibroblasts",30,"estimated",3,6,1,0.176672407260791,0.731093037370593
19,0.147840378968462,"Up",0.447030673288924,0.704982571750215,"HALLMARK_WNT_BETA_CATENIN_SIGNALING","GSE135893","fibroblasts","Myofibroblasts",30,"estimated",3,6,1,0.140522588113166,0.722126472235954
150,0.0960587729477298,"Up",0.176371558054982,0.704982571750215,"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","GSE135893","fibroblasts","Myofibroblasts",30,"estimated",3,6,1,0.459400611751268,0.722126472235954
137,0.01,"Up",0.158254258331795,0.210818028639918,"HALLMARK_TNFA_SIGNALING_VIA_NFKB","GSE135893","fibroblasts","Myofibroblasts",30,"fixed001",3,6,0.99,0.22254370410609,0.246173290738347
71,0.01,"Up",0.272926690639997,0.272926690639997,"HALLMARK_INFLAMMATORY_RESPONSE","GSE135893","fibroblasts","Myofibroblasts",30,"fixed001",3,6,0.995,0.237625739507581,0.337144735496467
42,0.01,"Up",0.00308892134815698,0.00926676404447095,"HALLMARK_IL6_JAK_STAT3_SIGNALING","GSE135893","fibroblasts","Myofibroblasts",30,"fixed001",3,6,1,0.330480153885232,0.0144149662913993
43,0.01,"Up",0.175681690533265,0.210818028639918,"HALLMARK_TGF_BETA_SIGNALING","GSE135893","fibroblasts","Myofibroblasts",30,"fixed001",3,6,1,0.176672407260791,0.263522535799898
19,0.01,"Up",0.156346678021067,0.210818028639918,"HALLMARK_WNT_BETA_CATENIN_SIGNALING","GSE135893","fibroblasts","Myofibroblasts",30,"fixed001",3,6,1,0.140522588113166,0.246173290738347
150,0.01,"Up",0.000205493723579227,0.00123296234147536,"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","GSE135893","fibroblasts","Myofibroblasts",30,"fixed001",3,6,1,0.459400611751268,0.00125379030176144
182,0.305720478967285,"Up",0.416505354366468,0.615365846042901,"HALLMARK_TNFA_SIGNALING_VIA_NFKB","GSE135893","macrophages","__broad__",50,"estimated",9,12,0.99,0.404386455343971,0.681554216236039
156,0.130584426964467,"Up",0.137413818040677,0.615365846042901,"HALLMARK_INFLAMMATORY_RESPONSE","GSE135893","macrophages","__broad__",50,"estimated",9,12,0.995,0.51876937549775,0.68050781860827
75,0.077218933949275,"Up",0.332356866610334,0.615365846042901,"HALLMARK_IL6_JAK_STAT3_SIGNALING","GSE135893","macrophages","__broad__",50,"estimated",9,12,1,0.252724666367013,0.68050781860827
150,0.0210558740947525,"Up",0.229980011086263,0.615365846042901,"HALLMARK_GLYCOLYSIS","GSE135893","macrophages","__broad__",50,"estimated",9,12,0.99,0.176659739555444,0.68050781860827
182,0.241677207455487,"Down",0.985752067122313,0.985752067122313,"HALLMARK_OXIDATIVE_PHOSPHORYLATION","GSE135893","macrophages","__broad__",50,"estimated",9,12,0.92,-0.00351748587781811,0.999584812621382
145,0.0487827224001973,"Up",0.439547032887786,0.615365846042901,"HALLMARK_HYPOXIA","GSE135893","macrophages","__broad__",50,"estimated",9,12,0.97,0.206054755217911,0.687986660172187
