sample,cells_after_qc,predicted_doublets,doublet_rate_pct,expected_doublet_rate_pct,scrublet_threshold,call_method,status
EEM-scRNA-180,5635,275,4.88,4.51,0.10176914930343628,top 4.51% of Scrublet scores (10x multiplet-rate prior),ok (automatic threshold rejected: it called 0.04% vs an expected 4.51%)
EEM-scRNA-181,6854,409,5.967,5.48,0.12560749053955078,top 5.48% of Scrublet scores (10x multiplet-rate prior),ok (automatic threshold rejected: it called 0.01% vs an expected 5.48%)
EEM-scRNA-182,5775,283,4.9,4.62,0.13146811723709106,top 4.62% of Scrublet scores (10x multiplet-rate prior),ok (automatic threshold rejected: it called 0.03% vs an expected 4.62%)
EEM-scRNA-236,4184,147,3.513,3.35,0.09411553293466568,top 3.35% of Scrublet scores (10x multiplet-rate prior),ok (automatic threshold rejected: it called 0.05% vs an expected 3.35%)
EEM-scRNA-237,6231,332,5.328,4.98,0.13598667085170746,top 4.98% of Scrublet scores (10x multiplet-rate prior),ok (automatic threshold rejected: it called 0.05% vs an expected 4.98%)
EEM-scRNA-238,5704,278,4.874,4.56,0.115169458091259,top 4.56% of Scrublet scores (10x multiplet-rate prior),ok (automatic threshold rejected: it called 0.02% vs an expected 4.56%)
EEM-scRNA-239,7384,302,4.09,5.91,0.19625473597566984,scrublet automatic threshold,ok (automatic threshold)
EEM-scRNA-249,5809,278,4.786,4.65,0.09929241240024567,top 4.65% of Scrublet scores (10x multiplet-rate prior),ok (automatic threshold rejected: it called 0.03% vs an expected 4.65%)
EEM-scRNA-250,8563,594,6.937,6.85,0.13336871564388275,top 6.85% of Scrublet scores (10x multiplet-rate prior),ok (automatic threshold rejected: it called 0.04% vs an expected 6.85%)
EEM-scRNA-251,6034,297,4.922,4.83,0.11153198778629303,top 4.83% of Scrublet scores (10x multiplet-rate prior),ok (automatic threshold rejected: it called 0.00% vs an expected 4.83%)
EEM-scRNA-288,3008,73,2.427,2.41,0.08862540870904922,top 2.41% of Scrublet scores (10x multiplet-rate prior),ok (automatic threshold rejected: it called 0.13% vs an expected 2.41%)
EEM-scRNA-289,4320,172,3.981,3.46,0.10009374469518661,top 3.46% of Scrublet scores (10x multiplet-rate prior),ok (automatic threshold rejected: it called 0.07% vs an expected 3.46%)
EEM-scRNA-290,3545,109,3.075,2.84,0.07519477605819702,top 2.84% of Scrublet scores (10x multiplet-rate prior),ok (automatic threshold rejected: it called 0.06% vs an expected 2.84%)
EEM-scRNA-291,4278,165,3.857,3.42,0.10709494352340698,top 3.42% of Scrublet scores (10x multiplet-rate prior),ok (automatic threshold rejected: it called 0.09% vs an expected 3.42%)
EEM-scRNA-292,3176,87,2.739,2.54,0.090137779712677,top 2.54% of Scrublet scores (10x multiplet-rate prior),ok (automatic threshold rejected: it called 0.00% vs an expected 2.54%)
EEM-scRNA-310,5188,230,4.433,4.15,0.12926964461803436,top 4.15% of Scrublet scores (10x multiplet-rate prior),ok (automatic threshold rejected: it called 0.00% vs an expected 4.15%)
EEM-scRNA-311,4566,170,3.723,3.65,0.10862543433904648,top 3.65% of Scrublet scores (10x multiplet-rate prior),ok (automatic threshold rejected: it called 0.04% vs an expected 3.65%)
EEM-scRNA-312,3392,105,3.096,2.71,0.08999330550432205,top 2.71% of Scrublet scores (10x multiplet-rate prior),ok (automatic threshold rejected: it called 0.06% vs an expected 2.71%)
