cluster,gene,scores,log2FC,pval,pval_adj,frac_expressing_in_cluster,frac_expressing_other
31,MYL6,22.865812,2.412396,1.017416812635129e-115,2.792356965433369e-112,0.9872340425531915,0.9101622172110279
31,MYLK,22.773714,6.033886,8.35569188280032e-115,2.063939451970507e-111,0.8893617021276595,0.17061904415508838
31,MYH11,22.432829,7.9141326,1.8828052309257032e-111,4.2279247280996174e-108,0.8595744680851064,0.04644649741761839
31,SELENOM,22.41576,4.875271,2.7628155495352885e-111,5.687025574089264e-108,0.8978723404255319,0.3445479013602968
31,PPP1R14A,22.411562,5.7199397,3.0359900565238116e-111,5.7686146450918984e-108,0.8978723404255319,0.12439077616934605
31,CSRP1,22.165287,4.9049215,7.429539988665987e-109,1.3108361947145613e-105,0.8936170212765957,0.3394922528551684
31,CNN1,21.354504,8.634763,3.541173089371691e-101,5.831367765371343e-98,0.8127659574468085,0.015603404379137266
31,CLU,21.325102,4.401297,6.640834906871623e-101,1.0252203939664749e-97,0.9106382978723404,0.473012293591329
31,CRYAB,21.18776,6.4637012,1.2385264485026876e-99,1.7995789296744052e-96,0.825531914893617,0.08001745835455008
31,WISP2,21.04267,7.1784773,2.6691646743265885e-98,3.662835367807837e-95,0.8170212765957446,0.050956572343056665
31,NDUFA4,20.861752,2.716122,1.1922379967085232e-96,1.549972145089328e-93,0.9191489361702128,0.7311777115006911
31,SYNPO2,20.629004,7.3828583,1.507212114059883e-94,1.8614823214696584e-91,0.7914893617021277,0.041572706772386704
32,CTSS,57.37642,4.9100065,0.0,0.0,0.9984012789768185,0.3800513633960269
32,CYBB,55.065952,5.301223,0.0,0.0,0.9760191846522782,0.10827857088903996
32,COTL1,53.055458,4.226276,0.0,0.0,0.9984012789768185,0.28907017146310143
32,FCN1,53.00234,5.7587247,0.0,0.0,0.9328537170263789,0.06080519676712743
32,C5AR1,52.935173,4.830251,0.0,0.0,0.9688249400479616,0.16470277211269732
32,LYZ,52.875385,5.6414876,0.0,0.0,0.9976019184652278,0.18709872346853992
32,THBS1,52.69312,5.0478826,0.0,0.0,0.9696243005595524,0.25432434473902865
32,LST1,52.225,4.707105,0.0,0.0,0.9656274980015987,0.142873328801269
32,PLAUR,52.212276,4.441905,0.0,0.0,0.9752198241406874,0.2062466953697409
32,PSAP,51.99115,3.3287714,0.0,0.0,0.9920063948840927,0.5810484175541959
32,LCP1,51.955788,3.9015074,0.0,0.0,0.9960031974420464,0.2949996223279704
32,S100A9,51.81259,5.543898,0.0,0.0,0.9976019184652278,0.3627162172369514
32,AIF1,51.7368,4.969508,0.0,0.0,0.982414068745004,0.15541204018430396
32,SAT1,51.402496,2.8611438,0.0,0.0,1.0,0.8017221844550193
32,PLEK,51.217594,4.2994876,0.0,0.0,0.9704236610711431,0.18124480700959286
32,NAMPT,51.00414,3.4782283,0.0,0.0,0.9976019184652278,0.5225847873706473
32,CLEC7A,50.986607,4.506773,0.0,0.0,0.9368505195843325,0.11779590603519903
32,MAP3K8,50.982502,3.7274258,0.0,0.0,0.9624300559552358,0.33627917516428735
32,FTL,50.529297,3.0811157,0.0,0.0,1.0,0.9514691441951809
32,TYMP,50.084194,3.4499407,0.0,0.0,0.9808153477218226,0.42563637736989196
33,FABP5,17.746887,6.1947865,1.8217514230578435e-70,4.4999081900951794e-66,1.0,0.32493301470055763
33,LIPA,17.703836,5.54064,3.9169447397544647e-70,4.837622600833752e-66,0.990990990990991,0.2302483887319864
33,SH3BGRL3,17.218212,3.5895135,1.9388473305050854e-66,1.596382263693537e-62,1.0,0.7518647259033964
33,CTSB,17.161604,4.725855,5.147163434599609e-66,3.178502099951124e-62,1.0,0.4671228908682743
33,CD68,17.12901,5.0859227,9.017805470685773e-66,4.454976258628186e-62,1.0,0.17966543558548773
33,LGALS9,16.649717,4.210174,3.0403316890420385e-62,1.25165388418379e-58,0.9819819819819819,0.19157795640524294
33,FTH1,16.390476,2.780221,2.2368191507457783e-60,7.893095691795924e-57,1.0,0.965131436019987
33,LPL,16.294971,6.066029,1.0715516632652341e-59,3.308549704289319e-56,0.9279279279279279,0.06636975885292201
33,CXCL16,16.219318,3.777162,3.6826439158556884e-59,1.0107220818394596e-55,0.990990990990991,0.23520892171772032
33,FTL,16.190138,3.5443673,5.919626841525758e-59,1.4622070261252775e-55,1.0,0.9534723730900138
33,CTSD,16.110588,3.4963827,2.1497270799666538e-58,4.8273098729323924e-55,1.0,0.6117025128539358
33,TYROBP,16.081217,4.513512,3.45523770228104e-58,7.112318873670332e-55,1.0,0.2853211673546238
33,CD36,16.049376,5.1982403,5.774204906326444e-58,1.0971433491628425e-54,0.9459459459459459,0.11814758490839308
33,MS4A7,15.968667,4.3866634,2.112524531196272e-57,3.72724774607708e-54,0.990990990990991,0.12770656818017234
33,ITGAX,15.89356,4.5345836,7.022321446433344e-57,1.1563890803223337e-53,0.9369369369369369,0.08794988775436309
33,FBP1,15.863756,4.5782266,1.1293204673845891e-56,1.743459054054171e-53,0.9369369369369369,0.19197624737490043
33,ITGB2,15.84338,3.920098,1.5619360163983827e-56,2.26949303182685e-53,0.990990990990991,0.2755811427330002
33,LCP1,15.826486,3.899934,2.043196638953892e-56,2.803833343266671e-53,1.0,0.3239191831414295
33,YBX1,15.701145,2.37738,1.4853593779514342e-55,1.9310453681462302e-52,1.0,0.7548700123108117
33,CSTB,15.517915,3.049954,2.624431814477159e-54,3.2413045124700154e-51,1.0,0.6275979433702658
34,EPAS1,46.10971,5.4109488,0.0,0.0,0.9747995418098511,0.43241733690795353
34,FCN3,43.094368,6.3790183,0.0,0.0,0.9186712485681557,0.15609174858504618
34,CALCRL,41.25697,5.56611,0.0,0.0,0.8717067583046965,0.14555406613047364
34,SLC6A4,40.444668,7.005607,0.0,0.0,0.8258877434135166,0.06609323801012809
34,TMEM100,39.672764,5.2832828,0.0,0.0,0.870561282932417,0.15244265713434615
34,IL7R,39.141083,4.980347,0.0,0.0,0.8717067583046965,0.19556151325588322
34,PECAM1,38.72517,4.4216948,0.0,0.0,0.8820160366552119,0.2622877569258266
34,HLA-E,38.552845,2.5580308,0.0,0.0,0.9621993127147767,0.8286416443252904
34,IFI27,38.311096,4.4474816,0.0,0.0,0.9232531500572738,0.32205093833780163
34,TNFSF10,38.085377,4.548797,0.0,0.0,0.8384879725085911,0.3131143878462913
34,SPARC,37.935978,4.1385045,0.0,0.0,0.8820160366552119,0.27986297289246354
34,BTNL9,37.603096,5.610463,1.91313765658083e-309,3.635108711938701e-306,0.7949599083619702,0.07540214477211796
34,VIPR1,37.287594,5.19081,2.6073487659391917e-304,4.2936081244975984e-301,0.7972508591065293,0.11528150134048257
34,RAMP2,36.248627,4.4641924,1.0444911359793303e-287,1.433331974990302e-284,0.8235967926689576,0.18539618707179029
34,EGFL7,36.12134,4.4448957,1.0488140604990312e-285,1.3635134793887668e-282,0.8155784650630011,0.1733318439082514
34,ADGRF5,35.643192,4.1123095,3.003790004079837e-278,3.709830844538802e-275,0.8041237113402062,0.24996276437295203
34,TFPI,34.788208,3.575833,3.6671032421840537e-265,3.2350398994710115e-262,0.8316151202749141,0.3701221328567173
34,SLC9A3R2,34.43899,3.7992642,6.581179879973455e-260,5.6055766970767005e-257,0.8361970217640321,0.34610515341078346
34,SPTBN1,34.22477,3.0827367,1.0353208001966258e-256,8.524486361885619e-254,0.8556701030927835,0.489871909442955
34,CLDN5,34.17198,4.0834055,6.306054471526107e-256,5.024704887134399e-253,0.8556701030927835,0.2225201072386059
35,SCGN,7.931923,13.043831,2.1577813311502155e-15,2.1229343274072043e-11,1.0,0.00046917857658437996
35,SCG2,7.9191875,10.1842785,2.390677612520075e-15,2.1229343274072043e-11,1.0,0.00490832972426736
35,BEX1,7.900043,8.838621,2.788070635677219e-15,2.1229343274072043e-11,1.0,0.008553486357730618
35,SEC11C,7.87389,6.0720477,3.4378111451474905e-15,2.1229343274072043e-11,1.0,0.3322145228814783
35,PCSK1N,7.8235745,6.917747,5.134403742391501e-15,2.5364981368162497e-11,1.0,0.0978056878879746
35,CPE,7.582702,5.9218597,3.3843069632214265e-14,1.2854618074668392e-10,1.0,0.08080698715172513
35,CHGA,7.555213,13.820398,4.181748830798246e-14,1.2854618074668392e-10,0.9523809523809523,0.00025263461816081996
35,SCG3,7.547618,10.820175,4.4329084414163726e-14,1.2854618074668392e-10,0.9523809523809523,0.0016601703479139599
35,TFF3,7.540446,5.874529,4.683679311445509e-14,1.2854618074668392e-10,1.0,0.1274000288725278
35,PEG10,7.269452,4.587812,3.609480181903189e-13,8.915776997319068e-10,1.0,0.12458495741302152
35,PCLO,7.2305093,5.0855308,4.811868452552856e-13,1.0805269331500737e-09,0.9523809523809523,0.05799769019777681
35,CHGB,7.1752577,12.574053,7.217109985495555e-13,1.4855819479310475e-09,0.9047619047619048,0.00064963187527068
35,MAP1B,7.047233,4.1481295,1.8251016815647385e-12,3.467833587410047e-09,1.0,0.16608921611087052
35,BEX2,6.933935,4.0863123,4.092918569245487e-12,7.2213701127809135e-09,0.9523809523809523,0.13490688609787788
35,TMEM61,6.8610396,5.0736475,6.836124063844135e-12,1.1257273366734266e-08,0.9047619047619048,0.04233434387180598
35,IGFBP5,6.835064,4.1970696,8.196856274937782e-12,1.2654409177952386e-08,1.0,0.19622491699148262
35,SYT4,6.7911983,9.936117,1.1120608370677947e-11,1.5547362386452022e-08,0.8571428571428571,0.0011549011115923199
35,SCG5,6.7885118,10.358318,1.1329602969763831e-11,1.5547362386452022e-08,0.8571428571428571,0.00393388191136134
35,NRXN1,6.766272,8.121981,1.321427529713267e-11,1.7179253374446005e-08,0.8571428571428571,0.004691785765843799
35,C3orf14,6.7420826,4.388947,1.5613208300399786e-11,1.9283092911408756e-08,0.9047619047619048,0.09394398729608777
36,NCOA7,34.472145,4.16202,2.097873868592938e-260,5.181958242811416e-256,0.9961315280464217,0.36796266353079526
36,SCGB3A2,33.526432,6.2669,1.9858690570397022e-246,2.4526475788968843e-242,0.9980657640232108,0.48456563280905485
36,ELF3,33.404007,4.484437,1.1991596927983524e-244,9.873481190604035e-241,1.0,0.2888064089372336
36,SOX4,33.37466,3.7233534,3.1972606847058834e-244,1.974388404323001e-240,1.0,0.42279141555196237
36,STEAP4,32.646233,3.961268,9.062496492973105e-234,4.477054517458573e-230,0.9632495164410058,0.15074231956489784
36,TACSTD2,32.58734,3.8856676,6.1979376836076185e-233,2.551587645379863e-229,0.9961315280464217,0.27895781272967807
36,PIGR,32.459045,4.355165,4.037299793486264e-231,1.4246477456986315e-227,0.9845261121856866,0.1740408643245627
36,GDF15,32.39983,4.0180683,2.7600442926576244e-230,8.521981759116997e-227,0.9593810444874274,0.1677568719682493
36,GPRC5A,32.38687,3.9691465,4.20139415893716e-230,1.1530959679989644e-226,0.9806576402321083,0.24305453476407468
36,EGR1,32.302658,3.709934,6.418423626209661e-229,1.5854148199100484e-225,1.0,0.49797883286785244
36,CLDN4,32.25428,3.8046846,3.0638752194925973e-228,6.880071072426059e-225,0.9980657640232108,0.2605468175804792
36,EPHA2,32.194412,3.472362,2.113271570499008e-227,4.349993421908e-224,0.9555125725338491,0.16955754814052623
36,DNAAF1,31.331377,3.5468624,1.7450422715089487e-215,3.3157145498878883e-212,0.9671179883945842,0.1161619873585183
36,ZMYND10,31.162777,3.5109775,3.40497992250696e-213,6.007600647560316e-210,0.9690522243713733,0.11649272379832427
36,LRRIQ1,30.926922,3.458303,5.19212064598572e-210,8.550038138432885e-207,0.9632495164410058,0.10807731882992798
36,TPPP3,30.92447,4.0161037,5.6014879612158956e-210,8.647647133124615e-207,0.988394584139265,0.18311774217257093
36,DNAH12,30.815681,3.2346406,1.6156526624523414e-208,2.347543318543252e-205,0.9516441005802708,0.10175657798030281
36,CETN2,30.704409,3.663185,4.970382199162195e-207,6.820745038972521e-204,0.9903288201160542,0.26256798471262677
36,CLDN3,30.67939,3.1894643,1.0720722433353402e-206,1.3937503411908547e-203,0.9709864603481625,0.17315890048508012
36,SDC4,30.646038,3.1136346,2.9841990312689277e-206,3.6856350135686894e-203,0.9864603481624759,0.30490224900779067
37,HLA-E,30.497667,3.376948,2.798250491770917e-204,6.911958539723342e-200,0.9846938775510204,0.8306690565899696
37,HPGD,28.654762,6.2144604,1.3983124446611051e-180,1.7269857847786978e-176,0.8852040816326531,0.14255404762775725
37,EMCN,28.313063,6.0278196,2.3865622713178145e-176,1.965015822127378e-172,0.8622448979591837,0.10257160624794234
37,AQP1,28.186518,5.0770755,8.555767248886247e-175,5.28340017036848e-171,0.9183673469387755,0.2258477521308117
37,EDNRB,26.110048,6.171387,2.803486547171589e-150,1.3849784240337086e-146,0.8035714285714286,0.08442769872334199
37,GNG11,25.54088,4.607922,6.933422282964838e-144,2.8543743968585745e-140,0.8418367346938775,0.20953286754215897
37,EGFL7,25.229176,4.502182,1.917301867836671e-140,6.765610491061945e-137,0.8392857142857143,0.18429235102608188
37,RAMP2,25.096107,4.5667133,5.484632152011701e-139,1.693448734835513e-135,0.8392857142857143,0.19640048286205508
37,IFI27,24.279072,4.116667,3.2618034544060357e-130,7.324527920662135e-127,0.9030612244897959,0.3329187548011852
37,EPAS1,24.08248,3.742667,3.815180224814302e-128,7.853230561094839e-125,0.9107142857142857,0.44287961371035595
37,CLDN5,23.80489,4.314623,2.97227360566213e-125,4.894542022230684e-122,0.8647959183673469,0.23352964846179172
37,ITM2B,23.212912,1.9799349,3.3725373575439345e-119,4.900296780511337e-116,0.9260204081632653,0.8616892855836412
37,HLA-B,22.320297,2.0279098,2.3472775825531296e-110,2.8990051783322425e-107,0.9770408163265306,0.8936240260452866
37,PECAM1,21.787369,3.6740448,3.0571365221490798e-105,3.0205731693441766e-102,0.8035714285714286,0.2743168599334236
37,SLC9A3R2,21.659983,3.5815918,4.894176105220386e-104,4.477446073149954e-101,0.8061224489795918,0.3551596737023082
37,TMEM100,21.566072,4.2760744,3.7414448452464724e-103,3.300622468658326e-100,0.7525510204081632,0.1667703112997037
37,VIPR1,21.502268,4.3486643,1.4826307124005917e-102,1.2207487075669006e-99,0.7168367346938775,0.12843399056224164
37,CAV1,21.343359,3.0854583,4.494747236283237e-101,3.265433867159772e-98,0.8418367346938775,0.421333723524893
37,S100A6,21.23954,1.5685917,4.1189525975598707e-100,2.749790489522334e-97,0.9770408163265306,0.9368255477923693
37,ARHGAP29,20.652742,3.6539435,9.223373387642194e-95,4.5565309209629965e-92,0.7295918367346939,0.24746680323371256
38,DCN,52.25253,7.4637637,0.0,0.0,0.9990029910269193,0.1853999850333009
38,FBLN1,51.806564,6.775886,0.0,0.0,0.996011964107677,0.1300606151313328
38,CFH,51.668434,5.3242,0.0,0.0,0.9920239282153539,0.23389209009952855
38,APOD,50.97456,6.3337016,0.0,0.0,0.9840478564307079,0.19314525181471226
38,ADH1B,50.74582,6.2956257,0.0,0.0,0.9950149551345963,0.09197036593579286
38,LAMA2,50.62132,6.1867924,0.0,0.0,0.9720837487537388,0.0576592082616179
38,PDGFRA,50.523296,6.4054008,0.0,0.0,0.9690927218344965,0.0494649405073711
38,NBL1,50.259663,5.537194,0.0,0.0,0.9770687936191426,0.12934969692434334
38,PODN,49.95451,6.8146224,0.0,0.0,0.942173479561316,0.03464790840380154
38,C1S,49.66211,5.410464,0.0,0.0,0.9850448654037887,0.1390406345880416
38,MMP2,49.620743,6.040548,0.0,0.0,0.9601196410767697,0.06847264835740477
38,LTBP2,48.98712,6.221128,0.0,0.0,0.9371884346959123,0.05990421312579511
38,A2M,48.929935,5.4123635,0.0,0.0,0.9950149551345963,0.3473022524882137
38,COL1A2,48.712215,5.6920033,0.0,0.0,0.9910269192422732,0.10790990047145102
38,COL6A1,48.609093,4.9711714,0.0,0.0,0.9770687936191426,0.14633690039661754
38,ELN,48.591213,5.7371106,0.0,0.0,0.9481555333998006,0.08617077003666841
38,COL6A2,48.331703,5.1058264,0.0,0.0,0.9870388833499502,0.14311906009129685
38,ABCA6,48.32427,6.043723,0.0,0.0,0.9242273180458624,0.04029783731198084
38,SCN7A,48.26486,5.6475973,0.0,0.0,0.9471585244267199,0.055638703883858415
38,MGP,48.201843,5.625489,0.0,0.0,0.9990029910269193,0.3926513507445933
39,SFTPB,45.938324,6.4338045,0.0,0.0,0.9988439306358381,0.36226920786182254
39,GPRC5A,45.747223,4.7477326,0.0,0.0,0.9953757225433526,0.23302561048243
39,PIGR,45.722183,5.355002,0.0,0.0,0.9838150289017341,0.1635646217986897
39,SCGB3A2,45.217777,6.9169364,0.0,0.0,0.9895953757225433,0.47818642048838594
39,SLPI,43.999004,5.2230735,0.0,0.0,0.9976878612716763,0.4507147111375819
39,MUC1,43.258755,4.146142,0.0,0.0,0.9838150289017341,0.2150461584276355
39,MET,43.038403,4.2836013,0.0,0.0,0.9271676300578034,0.1491215008933889
39,C16orf89,42.93616,4.2661104,0.0,0.0,0.9479768786127167,0.14145324597974984
39,ELF3,42.888176,4.519672,0.0,0.0,0.9988439306358381,0.279630732578916
39,TACSTD2,42.81024,4.070537,0.0,0.0,0.9942196531791907,0.2697290053603335
39,SDC4,42.5524,3.5949507,0.0,0.0,0.9907514450867052,0.295935080405003
39,CXCL17,42.39032,4.2142982,0.0,0.0,0.9734104046242774,0.17856611078022633
39,LDLR,41.76642,3.4608243,0.0,0.0,0.9676300578034682,0.3021515783204288
39,STEAP4,41.584385,4.3551373,0.0,0.0,0.9248554913294798,0.14145324597974984
39,S100A14,41.19944,3.8559577,0.0,0.0,0.9387283236994219,0.14067153067301966
39,KIAA1324,41.136375,4.1818657,0.0,0.0,0.900578034682081,0.11766676593210244
39,NEDD4L,40.699665,3.374987,0.0,0.0,0.9676300578034682,0.25982727814175105
39,MALL,40.340935,3.9794724,0.0,0.0,0.8947976878612717,0.12983918999404406
39,NCOA7,40.1266,3.7098525,0.0,0.0,0.9641618497109826,0.36085467540202504
39,CLDN4,39.872208,3.6624887,0.0,0.0,0.9861271676300578,0.2513773079213818
4,CCL5,58.93092,6.408635,0.0,0.0,0.9711267605633803,0.09472043787297123
4,CD3D,49.92056,5.4243093,0.0,0.0,0.8288732394366197,0.05899121973469155
4,IL32,48.686172,4.055547,0.0,0.0,0.9098591549295775,0.2347105553232734
4,CCL4,48.160538,5.4588227,0.0,0.0,0.8514084507042253,0.15641035387129879
4,CXCR4,47.920444,3.9354272,0.0,0.0,0.9338028169014084,0.3022919913337641
4,RPS3,47.12869,1.7801261,0.0,0.0,0.9971830985915493,0.8934965221027025
4,CD69,46.777756,4.2253647,0.0,0.0,0.8964788732394366,0.2187844463871679
4,CD3E,46.431927,4.799772,0.0,0.0,0.7880281690140845,0.07142042647002926
4,HCST,45.124336,3.4132872,0.0,0.0,0.8767605633802817,0.2531453114903645
4,RPS15A,44.69184,1.5085982,0.0,0.0,0.9964788732394366,0.9010224637956593
4,BTG1,44.317368,2.3476057,0.0,0.0,0.9901408450704225,0.7770344748945228
4,RPS27A,44.211197,1.4134257,0.0,0.0,0.997887323943662,0.9272872401079478
4,DUSP2,43.870014,3.674599,0.0,0.0,0.8380281690140845,0.27268235204682806
