comp,label,case,reference,ligand,source_label,source_comp,focused_direction,supporting_patients,patients,receptors
AT2,AT2,AIS,normal,CXCL1,SMG duct,other,False,0,,
AT2,AT2,AIS,normal,CXCL1,SMG serous (nasal),other,False,0,,
AT2,AT2,AIS,normal,CXCL1,Smooth muscle FAM83D+,other,False,0,,
AT2,AT2,AIS,normal,CXCL1,Tuft,other,False,0,,
AT2,AT2,AIS,normal,CXCL12,AT1,other,False,0,,
AT2,AT2,AIS,normal,CXCL12,AT2,AT2,False,0,,
AT2,AT2,AIS,normal,CXCL12,Adventitial fibroblasts,fibroblasts,True,4,19;21;22;23,CXCR4;DPP4;ITGB1
AT2,AT2,AIS,normal,CXCL12,Alveolar fibroblasts,fibroblasts,True,10,3;5;9;12;14;17;19;21;22;23,CXCR4;DPP4;ITGB1
AT2,AT2,AIS,normal,CXCL12,B cells,other,False,0,,
AT2,AT2,AIS,normal,CXCL12,Basal resting,other,False,0,,
AT2,AT2,AIS,normal,CXCL12,CD4 T cells,other,False,0,,
AT2,AT2,AIS,normal,CXCL12,CD8 T cells,other,False,0,,
AT2,AT2,AIS,normal,CXCL12,Classical monocytes,other,False,0,,
AT2,AT2,AIS,normal,CXCL12,EC aerocyte capillary,other,False,0,,
AT2,AT2,AIS,normal,CXCL12,EC arterial,other,False,6,9;17;19;21;22;23,CXCR4;DPP4;ITGB1
AT2,AT2,AIS,normal,CXCL12,EC general capillary,other,False,4,17;19;21;23,CXCR4;DPP4;ITGB1
AT2,AT2,AIS,normal,CXCL12,EC venous pulmonary,other,False,0,,
AT2,AT2,AIS,normal,CXCL12,EC venous systemic,other,False,0,,
AT2,AT2,AIS,normal,CXCL12,Goblet (bronchial),other,False,0,,
AT2,AT2,AIS,normal,CXCL12,Goblet (nasal),other,False,0,,
AT2,AT2,AIS,normal,CXCL12,Lymphatic EC differentiating,other,False,0,,
AT2,AT2,AIS,normal,CXCL12,Lymphatic EC mature,other,False,0,,
AT2,AT2,AIS,normal,CXCL12,Mast cells,other,False,0,,
