"comp","label","case","reference","omitted_patient","direction","n_patients","mapped_background","mapped_targets","eligible","reason"
"AT2","AT2","LUAD","AIS","14","down",11,13283,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","AT2","LUAD","AIS","16","up",11,13257,23,TRUE,"eligible"
"AT2","AT2","LUAD","AIS","16","down",11,13257,1,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","AT2","LUAD","AIS","17","up",11,12826,19,TRUE,"eligible"
"AT2","AT2","LUAD","AIS","17","down",11,12826,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","AT2","LUAD","AIS","19","up",11,12791,19,TRUE,"eligible"
"AT2","AT2","LUAD","AIS","19","down",11,12791,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","AT2","LUAD","AIS","21","up",11,12823,18,TRUE,"eligible"
"AT2","AT2","LUAD","AIS","21","down",11,12823,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","AT2","LUAD","AIS","22","up",11,12820,36,TRUE,"eligible"
"AT2","AT2","LUAD","AIS","22","down",11,12820,2,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","AT2","LUAD","AIS","23","up",11,12789,104,TRUE,"eligible"
"AT2","AT2","LUAD","AIS","23","down",11,12789,9,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","AT2","LUAD","MIA","__none__","up",4,11874,2,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","AT2","LUAD","MIA","__none__","down",4,11874,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","__broad__","AAH","normal","__none__","up",8,12122,1,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","__broad__","AAH","normal","__none__","down",8,12122,2,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","__broad__","AIS","normal","__none__","up",12,12549,30,TRUE,"eligible"
"AT2","__broad__","AIS","normal","__none__","down",12,12549,6,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","__broad__","AIS","normal","3","up",11,12657,31,TRUE,"eligible"
"AT2","__broad__","AIS","normal","3","down",11,12657,13,TRUE,"eligible"
"AT2","__broad__","AIS","normal","5","up",11,12452,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","__broad__","AIS","normal","5","down",11,12452,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","__broad__","AIS","normal","8","up",11,12509,43,TRUE,"eligible"
"AT2","__broad__","AIS","normal","8","down",11,12509,8,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","__broad__","AIS","normal","9","up",11,12525,5,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","__broad__","AIS","normal","9","down",11,12525,2,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","__broad__","AIS","normal","12","up",11,12491,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","__broad__","AIS","normal","12","down",11,12491,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","__broad__","AIS","normal","14","up",11,12623,35,TRUE,"eligible"
"AT2","__broad__","AIS","normal","14","down",11,12623,12,TRUE,"eligible"
"AT2","__broad__","AIS","normal","16","up",11,12694,2,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","__broad__","AIS","normal","16","down",11,12694,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","__broad__","AIS","normal","17","up",11,12420,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","__broad__","AIS","normal","17","down",11,12420,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","__broad__","AIS","normal","19","up",11,12456,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","__broad__","AIS","normal","19","down",11,12456,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","__broad__","AIS","normal","21","up",11,12464,126,TRUE,"eligible"
"AT2","__broad__","AIS","normal","21","down",11,12464,19,TRUE,"eligible"
"AT2","__broad__","AIS","normal","22","up",11,12535,44,TRUE,"eligible"
"AT2","__broad__","AIS","normal","22","down",11,12535,9,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","__broad__","AIS","normal","23","up",11,12422,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","__broad__","AIS","normal","23","down",11,12422,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","__broad__","MIA","normal","__none__","up",4,11286,117,TRUE,"eligible"
"AT2","__broad__","MIA","normal","__none__","down",4,11286,81,TRUE,"eligible"
"AT2","__broad__","MIA","normal","10","up",3,11130,126,TRUE,"eligible"
"AT2","__broad__","MIA","normal","10","down",3,11130,56,TRUE,"eligible"
"AT2","__broad__","MIA","normal","13","up",3,11384,31,TRUE,"eligible"
"AT2","__broad__","MIA","normal","13","down",3,11384,21,TRUE,"eligible"
"AT2","__broad__","MIA","normal","15","up",3,11416,36,TRUE,"eligible"
"AT2","__broad__","MIA","normal","15","down",3,11416,11,TRUE,"eligible"
"AT2","__broad__","MIA","normal","18","up",3,10309,30,TRUE,"eligible"
"AT2","__broad__","MIA","normal","18","down",3,10309,74,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","__none__","up",23,13215,3013,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","__none__","down",23,13215,2801,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","3","up",22,13324,3210,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","3","down",22,13324,2694,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","4","up",22,13080,2963,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","4","down",22,13080,2654,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","5","up",22,13021,2577,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","5","down",22,13021,2453,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","6","up",22,13198,2929,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","6","down",22,13198,2668,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","7","up",22,13089,2794,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","7","down",22,13089,2569,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","8","up",22,13318,3001,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","8","down",22,13318,2756,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","9","up",22,13245,3008,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","9","down",22,13245,2756,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","10","up",22,13158,2972,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","10","down",22,13158,2749,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","11","up",22,13189,2902,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","11","down",22,13189,2676,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","12","up",22,13207,2946,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","12","down",22,13207,2793,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","13","up",22,13325,2931,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","13","down",22,13325,2685,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","14","up",22,13345,3026,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","14","down",22,13345,2777,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","15","up",22,13348,2973,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","15","down",22,13348,2756,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","16","up",22,13349,3045,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","16","down",22,13349,2751,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","17","up",22,13188,2853,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","17","down",22,13188,2665,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","18","up",22,13081,2788,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","18","down",22,13081,2626,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","19","up",22,13096,2997,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","19","down",22,13096,2782,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","20","up",22,13202,3019,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","20","down",22,13202,2747,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","21","up",22,13326,2989,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","21","down",22,13326,2808,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","22","up",22,13207,2975,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","22","down",22,13207,2737,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","23","up",22,13095,3003,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","23","down",22,13095,2770,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","24","up",22,13073,2816,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","24","down",22,13073,2690,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","25","up",22,13176,2909,TRUE,"eligible"
"AT2","__broad__","LUAD","normal","25","down",22,13176,2700,TRUE,"eligible"
"AT2","__broad__","LUAD","AAH","__none__","up",8,12747,908,TRUE,"eligible"
"AT2","__broad__","LUAD","AAH","__none__","down",8,12747,801,TRUE,"eligible"
"AT2","__broad__","LUAD","AAH","4","up",7,12399,1408,TRUE,"eligible"
"AT2","__broad__","LUAD","AAH","4","down",7,12399,834,TRUE,"eligible"
"AT2","__broad__","LUAD","AAH","6","up",7,12968,537,TRUE,"eligible"
"AT2","__broad__","LUAD","AAH","6","down",7,12968,393,TRUE,"eligible"
"AT2","__broad__","LUAD","AAH","9","up",7,12959,823,TRUE,"eligible"
"AT2","__broad__","LUAD","AAH","9","down",7,12959,760,TRUE,"eligible"
"AT2","__broad__","LUAD","AAH","11","up",7,12790,461,TRUE,"eligible"
"AT2","__broad__","LUAD","AAH","11","down",7,12790,362,TRUE,"eligible"
"AT2","__broad__","LUAD","AAH","20","up",7,12449,538,TRUE,"eligible"
"AT2","__broad__","LUAD","AAH","20","down",7,12449,419,TRUE,"eligible"
"AT2","__broad__","LUAD","AAH","22","up",7,12700,679,TRUE,"eligible"
"AT2","__broad__","LUAD","AAH","22","down",7,12700,503,TRUE,"eligible"
"AT2","__broad__","LUAD","AAH","24","up",7,12385,397,TRUE,"eligible"
"AT2","__broad__","LUAD","AAH","24","down",7,12385,333,TRUE,"eligible"
"AT2","__broad__","LUAD","AAH","25","up",7,12920,433,TRUE,"eligible"
"AT2","__broad__","LUAD","AAH","25","down",7,12920,311,TRUE,"eligible"
"AT2","__broad__","LUAD","AIS","__none__","up",12,12939,43,TRUE,"eligible"
"AT2","__broad__","LUAD","AIS","__none__","down",12,12939,3,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","__broad__","LUAD","AIS","3","up",11,13249,35,TRUE,"eligible"
"AT2","__broad__","LUAD","AIS","3","down",11,13249,1,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","__broad__","LUAD","AIS","5","up",11,12746,24,TRUE,"eligible"
"AT2","__broad__","LUAD","AIS","5","down",11,12746,1,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","__broad__","LUAD","AIS","8","up",11,13131,37,TRUE,"eligible"
"AT2","__broad__","LUAD","AIS","8","down",11,13131,3,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","__broad__","LUAD","AIS","9","up",11,13243,16,TRUE,"eligible"
"AT2","__broad__","LUAD","AIS","9","down",11,13243,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","__broad__","LUAD","AIS","12","up",11,12865,32,TRUE,"eligible"
"AT2","__broad__","LUAD","AIS","12","down",11,12865,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","__broad__","LUAD","AIS","14","up",11,13339,18,TRUE,"eligible"
"AT2","__broad__","LUAD","AIS","14","down",11,13339,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","__broad__","LUAD","AIS","16","up",11,13314,23,TRUE,"eligible"
"AT2","__broad__","LUAD","AIS","16","down",11,13314,1,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","__broad__","LUAD","AIS","17","up",11,12884,19,TRUE,"eligible"
"AT2","__broad__","LUAD","AIS","17","down",11,12884,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","__broad__","LUAD","AIS","19","up",11,12850,18,TRUE,"eligible"
"AT2","__broad__","LUAD","AIS","19","down",11,12850,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","__broad__","LUAD","AIS","21","up",11,12846,19,TRUE,"eligible"
"AT2","__broad__","LUAD","AIS","21","down",11,12846,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","__broad__","LUAD","AIS","22","up",11,12880,34,TRUE,"eligible"
"AT2","__broad__","LUAD","AIS","22","down",11,12880,2,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","__broad__","LUAD","AIS","23","up",11,12849,106,TRUE,"eligible"
"AT2","__broad__","LUAD","AIS","23","down",11,12849,10,TRUE,"eligible"
"AT2","__broad__","LUAD","MIA","__none__","up",4,11900,2,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","__broad__","LUAD","MIA","__none__","down",4,11900,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"fibroblasts","Adventitial fibroblasts","LUAD","AIS","__none__","up",3,8638,201,TRUE,"eligible"
"fibroblasts","Adventitial fibroblasts","LUAD","AIS","__none__","down",3,8638,21,TRUE,"eligible"
"fibroblasts","Adventitial fibroblasts","LUAD","AIS","19","up",2,NA,NA,FALSE,"fewer_than_three_complete_patients_after_omission"
"fibroblasts","Adventitial fibroblasts","LUAD","AIS","19","down",2,NA,NA,FALSE,"fewer_than_three_complete_patients_after_omission"
"fibroblasts","Adventitial fibroblasts","LUAD","AIS","22","up",2,NA,NA,FALSE,"fewer_than_three_complete_patients_after_omission"
"fibroblasts","Adventitial fibroblasts","LUAD","AIS","22","down",2,NA,NA,FALSE,"fewer_than_three_complete_patients_after_omission"
"fibroblasts","Adventitial fibroblasts","LUAD","AIS","23","up",2,NA,NA,FALSE,"fewer_than_three_complete_patients_after_omission"
"fibroblasts","Adventitial fibroblasts","LUAD","AIS","23","down",2,NA,NA,FALSE,"fewer_than_three_complete_patients_after_omission"
"fibroblasts","Alveolar fibroblasts","AAH","normal","__none__","up",8,11966,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"fibroblasts","Alveolar fibroblasts","AAH","normal","__none__","down",8,11966,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"fibroblasts","Alveolar fibroblasts","AIS","normal","__none__","up",11,11780,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"fibroblasts","Alveolar fibroblasts","AIS","normal","__none__","down",11,11780,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"fibroblasts","Alveolar fibroblasts","MIA","normal","__none__","up",4,9535,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"fibroblasts","Alveolar fibroblasts","MIA","normal","__none__","down",4,9535,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"fibroblasts","Alveolar fibroblasts","LUAD","normal","__none__","up",22,12149,1091,TRUE,"eligible"
"fibroblasts","Alveolar fibroblasts","LUAD","normal","__none__","down",22,12149,616,TRUE,"eligible"
"fibroblasts","Alveolar fibroblasts","LUAD","normal","3","up",21,12387,1107,TRUE,"eligible"
"fibroblasts","Alveolar fibroblasts","LUAD","normal","3","down",21,12387,602,TRUE,"eligible"
"fibroblasts","Alveolar fibroblasts","LUAD","normal","4","up",21,12077,1089,TRUE,"eligible"
"fibroblasts","Alveolar fibroblasts","LUAD","normal","4","down",21,12077,675,TRUE,"eligible"
"fibroblasts","Alveolar fibroblasts","LUAD","normal","5","up",21,12121,825,TRUE,"eligible"
"fibroblasts","Alveolar fibroblasts","LUAD","normal","5","down",21,12121,437,TRUE,"eligible"
"fibroblasts","Alveolar fibroblasts","LUAD","normal","6","up",21,12447,1022,TRUE,"eligible"
"fibroblasts","Alveolar fibroblasts","LUAD","normal","6","down",21,12447,537,TRUE,"eligible"
"fibroblasts","Alveolar fibroblasts","LUAD","normal","7","up",21,12058,983,TRUE,"eligible"
"fibroblasts","Alveolar fibroblasts","LUAD","normal","7","down",21,12058,510,TRUE,"eligible"
"fibroblasts","Alveolar fibroblasts","LUAD","normal","9","up",21,12435,1026,TRUE,"eligible"
"fibroblasts","Alveolar fibroblasts","LUAD","normal","9","down",21,12435,554,TRUE,"eligible"
"fibroblasts","Alveolar fibroblasts","LUAD","normal","10","up",21,12099,1057,TRUE,"eligible"
"fibroblasts","Alveolar fibroblasts","LUAD","normal","10","down",21,12099,602,TRUE,"eligible"
