comp,label,case,reference,omitted_patient,direction,ligand,pearson,scope,rank,ranked_ligands,planned_omissions
AT2,AT2,AIS,normal,21,up,WNT3A,0.0339228508361249,source_agnostic_planned_panel,15.0,19,12
AT2,AT2,AIS,normal,21,up,WNT4,0.0401690959826339,source_agnostic_planned_panel,13.0,19,12
AT2,AT2,AIS,normal,21,up,WNT5A,0.0489502375470726,source_agnostic_planned_panel,4.0,19,12
AT2,AT2,AIS,normal,21,up,WNT5B,0.0413931741152106,source_agnostic_planned_panel,11.0,19,12
AT2,AT2,AIS,normal,21,up,WNT7A,0.0438119218546144,source_agnostic_planned_panel,7.0,19,12
AT2,AT2,AIS,normal,21,up,WNT7B,0.0446112678735044,source_agnostic_planned_panel,6.0,19,12
AT2,AT2,AIS,normal,21,up,WNT9A,0.0435199641217217,source_agnostic_planned_panel,9.0,19,12
AT2,AT2,AIS,normal,22,up,AREG,0.0436222843815615,source_agnostic_planned_panel,1.0,19,12
AT2,AT2,AIS,normal,22,up,CXCL12,0.013351580783527,source_agnostic_planned_panel,18.0,19,12
AT2,AT2,AIS,normal,22,up,CXCL2,0.0180560960499345,source_agnostic_planned_panel,16.0,19,12
AT2,AT2,AIS,normal,22,up,FGF7,0.0152013657793149,source_agnostic_planned_panel,17.0,19,12
AT2,AT2,AIS,normal,22,up,HBEGF,0.0302189590004134,source_agnostic_planned_panel,4.0,19,12
AT2,AT2,AIS,normal,22,up,TGFB1,0.0382382558319953,source_agnostic_planned_panel,2.0,19,12
AT2,AT2,AIS,normal,22,up,VEGFA,0.0191253358213207,source_agnostic_planned_panel,15.0,19,12
AT2,AT2,AIS,normal,22,up,WNT10A,0.028316207006147,source_agnostic_planned_panel,8.0,19,12
AT2,AT2,AIS,normal,22,up,WNT10B,0.0268430269167367,source_agnostic_planned_panel,11.0,19,12
AT2,AT2,AIS,normal,22,up,WNT11,0.0272786992700256,source_agnostic_planned_panel,10.0,19,12
AT2,AT2,AIS,normal,22,up,WNT2,0.0305039240325885,source_agnostic_planned_panel,3.0,19,12
AT2,AT2,AIS,normal,22,up,WNT2B,0.0257532858439265,source_agnostic_planned_panel,14.0,19,12
AT2,AT2,AIS,normal,22,up,WNT3A,0.0124529387773366,source_agnostic_planned_panel,19.0,19,12
AT2,AT2,AIS,normal,22,up,WNT4,0.0259382733522729,source_agnostic_planned_panel,13.0,19,12
AT2,AT2,AIS,normal,22,up,WNT5A,0.028423618977272,source_agnostic_planned_panel,7.0,19,12
AT2,AT2,AIS,normal,22,up,WNT5B,0.0266011223301962,source_agnostic_planned_panel,12.0,19,12
AT2,AT2,AIS,normal,22,up,WNT7A,0.0293917956607833,source_agnostic_planned_panel,6.0,19,12
AT2,AT2,AIS,normal,22,up,WNT7B,0.0294322047227509,source_agnostic_planned_panel,5.0,19,12
AT2,AT2,AIS,normal,22,up,WNT9A,0.0276658710206135,source_agnostic_planned_panel,9.0,19,12
AT2,AT2,AIS,normal,3,up,AREG,0.0267860491520052,source_agnostic_planned_panel,2.0,19,12
AT2,AT2,AIS,normal,3,up,CXCL12,0.0102186970500003,source_agnostic_planned_panel,17.0,19,12
AT2,AT2,AIS,normal,3,up,CXCL2,0.0117303906629797,source_agnostic_planned_panel,16.0,19,12
AT2,AT2,AIS,normal,3,up,FGF7,0.0095754500617775,source_agnostic_planned_panel,18.0,19,12
AT2,AT2,AIS,normal,3,up,HBEGF,0.0239993905309894,source_agnostic_planned_panel,4.0,19,12
AT2,AT2,AIS,normal,3,up,TGFB1,0.0216584174046607,source_agnostic_planned_panel,11.0,19,12
AT2,AT2,AIS,normal,3,up,VEGFA,0.0008444207128747,source_agnostic_planned_panel,19.0,19,12
AT2,AT2,AIS,normal,3,up,WNT10A,0.022716888447159,source_agnostic_planned_panel,7.0,19,12
AT2,AT2,AIS,normal,3,up,WNT10B,0.0219752578177689,source_agnostic_planned_panel,9.0,19,12
AT2,AT2,AIS,normal,3,up,WNT11,0.0214686100749568,source_agnostic_planned_panel,13.0,19,12
AT2,AT2,AIS,normal,3,up,WNT2,0.0254829429507177,source_agnostic_planned_panel,3.0,19,12
AT2,AT2,AIS,normal,3,up,WNT2B,0.0215415560819736,source_agnostic_planned_panel,12.0,19,12
AT2,AT2,AIS,normal,3,up,WNT3A,0.0184432167691778,source_agnostic_planned_panel,15.0,19,12
AT2,AT2,AIS,normal,3,up,WNT4,0.0205353053281959,source_agnostic_planned_panel,14.0,19,12
AT2,AT2,AIS,normal,3,up,WNT5A,0.0332999287536092,source_agnostic_planned_panel,1.0,19,12
AT2,AT2,AIS,normal,3,up,WNT5B,0.0216984284346702,source_agnostic_planned_panel,10.0,19,12
AT2,AT2,AIS,normal,3,up,WNT7A,0.0238840691448283,source_agnostic_planned_panel,5.0,19,12
AT2,AT2,AIS,normal,3,up,WNT7B,0.0234750014495419,source_agnostic_planned_panel,6.0,19,12
AT2,AT2,AIS,normal,3,up,WNT9A,0.0223862230411774,source_agnostic_planned_panel,8.0,19,12
AT2,AT2,AIS,normal,8,up,AREG,0.030720066219828,source_agnostic_planned_panel,6.0,19,12
AT2,AT2,AIS,normal,8,up,CXCL12,0.0114308507980379,source_agnostic_planned_panel,17.0,19,12
AT2,AT2,AIS,normal,8,up,CXCL2,0.0196495661595118,source_agnostic_planned_panel,15.0,19,12
AT2,AT2,AIS,normal,8,up,FGF7,0.0106227024252727,source_agnostic_planned_panel,18.0,19,12
AT2,AT2,AIS,normal,8,up,HBEGF,0.0314756747147293,source_agnostic_planned_panel,2.0,19,12
AT2,AT2,AIS,normal,8,up,TGFB1,0.0280531008608134,source_agnostic_planned_panel,12.0,19,12
AT2,AT2,AIS,normal,8,up,VEGFA,0.005523683161738,source_agnostic_planned_panel,19.0,19,12
AT2,AT2,AIS,normal,8,up,WNT10A,0.030148163417371,source_agnostic_planned_panel,7.0,19,12
AT2,AT2,AIS,normal,8,up,WNT10B,0.0283567447820546,source_agnostic_planned_panel,11.0,19,12
AT2,AT2,AIS,normal,8,up,WNT11,0.0290368653257639,source_agnostic_planned_panel,9.0,19,12
AT2,AT2,AIS,normal,8,up,WNT2,0.0323908550524415,source_agnostic_planned_panel,1.0,19,12
AT2,AT2,AIS,normal,8,up,WNT2B,0.027262289572099,source_agnostic_planned_panel,13.0,19,12
AT2,AT2,AIS,normal,8,up,WNT3A,0.0150613012926831,source_agnostic_planned_panel,16.0,19,12
AT2,AT2,AIS,normal,8,up,WNT4,0.0271225874682997,source_agnostic_planned_panel,14.0,19,12
AT2,AT2,AIS,normal,8,up,WNT5A,0.0309867888385569,source_agnostic_planned_panel,4.0,19,12
AT2,AT2,AIS,normal,8,up,WNT5B,0.0288731404871968,source_agnostic_planned_panel,10.0,19,12
AT2,AT2,AIS,normal,8,up,WNT7A,0.0309845042661319,source_agnostic_planned_panel,5.0,19,12
AT2,AT2,AIS,normal,8,up,WNT7B,0.0311580443197039,source_agnostic_planned_panel,3.0,19,12
AT2,AT2,AIS,normal,8,up,WNT9A,0.0295782855042392,source_agnostic_planned_panel,8.0,19,12
AT2,AT2,AIS,normal,__none__,up,AREG,0.0268228158720497,source_agnostic_planned_panel,12.0,19,12
AT2,AT2,AIS,normal,__none__,up,CXCL12,0.0122086246451156,source_agnostic_planned_panel,18.0,19,12
AT2,AT2,AIS,normal,__none__,up,CXCL2,0.0144358659245902,source_agnostic_planned_panel,17.0,19,12
