sample_id,gene,endpoint,AF1,AF2,direction
EEM-scRNA-113,Wnt2b,cpm,0.0,0.0,tie
EEM-scRNA-116,Wnt2b,cpm,0.07084425810830244,2.805450429093643,AF2>AF1
EEM-scRNA-118,Wnt2b,cpm,0.20111409162194896,0.980740223491082,AF2>AF1
EEM-scRNA-124,Wnt2b,cpm,0.0,0.0,tie
EEM-scRNA-125,Wnt2b,cpm,0.2591027324196853,0.0,AF1>AF2
EEM-scRNA-158,Wnt2b,cpm,0.0,0.0,tie
EEM-scRNA-162,Wnt2b,cpm,0.32508875735797765,0.0,AF1>AF2
EEM-scRNA-166,Wnt2b,cpm,0.18644208102176227,0.0,AF1>AF2
EEM-scRNA-167,Wnt2b,cpm,0.20348496490291323,0.0,AF1>AF2
EEM-scRNA-170,Wnt2b,cpm,0.0,0.0,tie
EEM-scRNA-172,Wnt2b,cpm,0.24917035615289446,0.0,AF1>AF2
EEM-scRNA-179,Wnt2b,cpm,0.1983343091381343,0.0,AF1>AF2
EEM-scRNA-181,Wnt2b,cpm,0.0,0.0,tie
EEM-scRNA-182,Wnt2b,cpm,0.1074765179929663,0.0,AF1>AF2
EEM-scRNA-236,Wnt2b,cpm,0.25968852439007606,0.0,AF1>AF2
EEM-scRNA-237,Wnt2b,cpm,0.22033205068254097,0.0,AF1>AF2
EEM-scRNA-238,Wnt2b,cpm,0.26827582080999446,0.0,AF1>AF2
EEM-scRNA-239,Wnt2b,cpm,0.1469898571853897,0.0,AF1>AF2
EEM-scRNA-310,Wnt2b,cpm,0.18367955705307457,0.0,AF1>AF2
EEM-scRNA-311,Wnt2b,cpm,0.0,0.0,tie
EEM-scRNA-312,Wnt2b,cpm,0.1451045637997197,0.0,AF1>AF2
EEM-scRNA-113,Wnt2b,expected_detection_1000,0.0,0.0,tie
EEM-scRNA-116,Wnt2b,expected_detection_1000,5.345743726840618e-05,0.0050003000179858195,AF2>AF1
EEM-scRNA-118,Wnt2b,expected_detection_1000,0.00033953562123454424,0.0003857682380926049,AF2>AF1
EEM-scRNA-124,Wnt2b,expected_detection_1000,0.0,0.0,tie
EEM-scRNA-125,Wnt2b,expected_detection_1000,0.0002468295452659427,0.0,AF1>AF2
EEM-scRNA-158,Wnt2b,expected_detection_1000,0.0,0.0,tie
EEM-scRNA-162,Wnt2b,expected_detection_1000,0.00028623408680989403,0.0,AF1>AF2
EEM-scRNA-166,Wnt2b,expected_detection_1000,0.00010398406632077792,0.0,AF1>AF2
EEM-scRNA-167,Wnt2b,expected_detection_1000,0.00025414031360444187,0.0,AF1>AF2
EEM-scRNA-170,Wnt2b,expected_detection_1000,0.0,0.0,tie
EEM-scRNA-172,Wnt2b,expected_detection_1000,0.0002677454941521251,0.0,AF1>AF2
EEM-scRNA-179,Wnt2b,expected_detection_1000,0.00021177486591331872,0.0,AF1>AF2
EEM-scRNA-181,Wnt2b,expected_detection_1000,0.0,0.0,tie
EEM-scRNA-182,Wnt2b,expected_detection_1000,0.00010481035506077528,0.0,AF1>AF2
EEM-scRNA-236,Wnt2b,expected_detection_1000,0.0002898798499355426,0.0,AF1>AF2
EEM-scRNA-237,Wnt2b,expected_detection_1000,0.0007587677719294925,0.0,AF1>AF2
