cohort,unit,seed,module,case,reference,n_case,n_reference,difference,interpretable,unit_type
GSE277777,AV1980,29,HPCS_without_ADI_or_operational_markers,HPCS,AT2-like,679,594,0.06688592220852149,True,source_identifier_at_most_two_animals
GSE277777,AV1980,29,ADI_published_holdout,HPCS,AT2-like,679,594,0.09639952848189753,True,source_identifier_at_most_two_animals
GSE277777,AV1980,29,AT2_published_holdout,HPCS,AT2-like,679,594,-0.10782608318636819,True,source_identifier_at_most_two_animals
GSE277777,AV1980,29,AT1_published_holdout,HPCS,AT2-like,679,594,0.026869952964476973,True,source_identifier_at_most_two_animals
GSE277777,AV1980,29,DATP_PATS_holdout_panel,HPCS,AT2-like,679,594,0.2508839003684364,True,source_identifier_at_most_two_animals
GSE277777,AV1980,29,HALLMARK_HYPOXIA,HPCS,AT2-like,679,594,0.026058694297343088,True,source_identifier_at_most_two_animals
GSE277777,AV1980,29,HALLMARK_INFLAMMATORY_RESPONSE,HPCS,AT2-like,679,594,0.006118370540621393,True,source_identifier_at_most_two_animals
GSE277777,AV1980,29,HALLMARK_P53_PATHWAY,HPCS,AT2-like,679,594,0.005375838365529101,True,source_identifier_at_most_two_animals
GSE300288,GSM9057709,17,HPCS_author_top100,mixed_AT2_AT1_alveolar,AT1_like,135,153,-0.0015138243155222997,True,retained_mouse_library
GSE300288,GSM9057709,17,HPCS_excluding_operational_markers,mixed_AT2_AT1_alveolar,AT1_like,135,153,-0.0031601880518289105,True,retained_mouse_library
GSE300288,GSM9057709,17,HPCS_without_ADI_or_operational_markers,mixed_AT2_AT1_alveolar,AT1_like,135,153,-0.005501089324618701,True,retained_mouse_library
GSE300288,GSM9057709,17,ADI_published_holdout,mixed_AT2_AT1_alveolar,AT1_like,135,153,0.037066160368746215,True,retained_mouse_library
GSE300288,GSM9057709,17,AT2_published_holdout,mixed_AT2_AT1_alveolar,AT1_like,135,153,-0.03260768874478928,True,retained_mouse_library
GSE300288,GSM9057709,17,AT1_published_holdout,mixed_AT2_AT1_alveolar,AT1_like,135,153,-0.1980459886890854,True,retained_mouse_library
GSE300288,GSM9057709,17,DATP_PATS_holdout_panel,mixed_AT2_AT1_alveolar,AT1_like,135,153,0.03950617283950619,True,retained_mouse_library
GSE300288,GSM9057709,17,HALLMARK_HYPOXIA,mixed_AT2_AT1_alveolar,AT1_like,135,153,-0.006064281382656203,True,retained_mouse_library
GSE300288,GSM9057709,17,HALLMARK_INFLAMMATORY_RESPONSE,mixed_AT2_AT1_alveolar,AT1_like,135,153,-0.013734382641945597,True,retained_mouse_library
GSE300288,GSM9057709,17,HALLMARK_P53_PATHWAY,mixed_AT2_AT1_alveolar,AT1_like,135,153,0.012310491206792007,True,retained_mouse_library
GSE300288,GSM9057709,29,HPCS_author_top100,mixed_AT2_AT1_alveolar,AT1_like,135,153,0.0014778878332546985,True,retained_mouse_library
GSE300288,GSM9057709,29,HPCS_excluding_operational_markers,mixed_AT2_AT1_alveolar,AT1_like,135,153,-0.0005045292970990017,True,retained_mouse_library
GSE300288,GSM9057709,29,HPCS_without_ADI_or_operational_markers,mixed_AT2_AT1_alveolar,AT1_like,135,153,-0.0018320459496929953,True,retained_mouse_library
GSE300288,GSM9057709,29,ADI_published_holdout,mixed_AT2_AT1_alveolar,AT1_like,135,153,0.03627534990002862,True,retained_mouse_library
GSE300288,GSM9057709,29,AT2_published_holdout,mixed_AT2_AT1_alveolar,AT1_like,135,153,-0.03293820298606462,True,retained_mouse_library
GSE300288,GSM9057709,29,AT1_published_holdout,mixed_AT2_AT1_alveolar,AT1_like,135,153,-0.20252633004842696,True,retained_mouse_library
GSE300288,GSM9057709,29,DATP_PATS_holdout_panel,mixed_AT2_AT1_alveolar,AT1_like,135,153,0.046332607116920915,True,retained_mouse_library
GSE300288,GSM9057709,29,HALLMARK_HYPOXIA,mixed_AT2_AT1_alveolar,AT1_like,135,153,-0.0037194259146958036,True,retained_mouse_library
GSE300288,GSM9057709,29,HALLMARK_INFLAMMATORY_RESPONSE,mixed_AT2_AT1_alveolar,AT1_like,135,153,-0.012578364679204992,True,retained_mouse_library
GSE300288,GSM9057709,29,HALLMARK_P53_PATHWAY,mixed_AT2_AT1_alveolar,AT1_like,135,153,0.00905374750129151,True,retained_mouse_library
GSE300288,GSM9057712,17,HPCS_author_top100,mixed_AT2_AT1_alveolar,AT1_like,23,29,-0.007063478569993398,False,retained_mouse_library
GSE300288,GSM9057712,17,HPCS_excluding_operational_markers,mixed_AT2_AT1_alveolar,AT1_like,23,29,-0.008585181093663699,False,retained_mouse_library
GSE300288,GSM9057712,17,HPCS_without_ADI_or_operational_markers,mixed_AT2_AT1_alveolar,AT1_like,23,29,-0.0112784516832493,False,retained_mouse_library
GSE300288,GSM9057712,17,ADI_published_holdout,mixed_AT2_AT1_alveolar,AT1_like,23,29,0.02511340730662953,False,retained_mouse_library
GSE300288,GSM9057712,17,AT2_published_holdout,mixed_AT2_AT1_alveolar,AT1_like,23,29,0.0096329787861974,False,retained_mouse_library
GSE300288,GSM9057712,17,AT1_published_holdout,mixed_AT2_AT1_alveolar,AT1_like,23,29,-0.24501091423200327,False,retained_mouse_library
GSE300288,GSM9057712,17,DATP_PATS_holdout_panel,mixed_AT2_AT1_alveolar,AT1_like,23,29,-0.021739130434782594,False,retained_mouse_library
GSE300288,GSM9057712,17,HALLMARK_HYPOXIA,mixed_AT2_AT1_alveolar,AT1_like,23,29,-0.018184206865639402,False,retained_mouse_library
GSE300288,GSM9057712,17,HALLMARK_INFLAMMATORY_RESPONSE,mixed_AT2_AT1_alveolar,AT1_like,23,29,-0.018771226631582198,False,retained_mouse_library
GSE300288,GSM9057712,17,HALLMARK_P53_PATHWAY,mixed_AT2_AT1_alveolar,AT1_like,23,29,-0.00019320236788819556,False,retained_mouse_library
GSE300288,GSM9057712,29,HPCS_author_top100,mixed_AT2_AT1_alveolar,AT1_like,23,29,-0.007403514737476698,False,retained_mouse_library
GSE300288,GSM9057712,29,HPCS_excluding_operational_markers,mixed_AT2_AT1_alveolar,AT1_like,23,29,-0.009847707725084892,False,retained_mouse_library
GSE300288,GSM9057712,29,HPCS_without_ADI_or_operational_markers,mixed_AT2_AT1_alveolar,AT1_like,23,29,-0.008791059015946498,False,retained_mouse_library
GSE300288,GSM9057712,29,ADI_published_holdout,mixed_AT2_AT1_alveolar,AT1_like,23,29,0.017979442155528824,False,retained_mouse_library
GSE300288,GSM9057712,29,AT2_published_holdout,mixed_AT2_AT1_alveolar,AT1_like,23,29,0.01892360906161089,False,retained_mouse_library
GSE300288,GSM9057712,29,AT1_published_holdout,mixed_AT2_AT1_alveolar,AT1_like,23,29,-0.24202406568736362,False,retained_mouse_library
GSE300288,GSM9057712,29,DATP_PATS_holdout_panel,mixed_AT2_AT1_alveolar,AT1_like,23,29,-0.0579710144927536,False,retained_mouse_library
GSE300288,GSM9057712,29,HALLMARK_HYPOXIA,mixed_AT2_AT1_alveolar,AT1_like,23,29,-0.015007959937557089,False,retained_mouse_library
GSE300288,GSM9057712,29,HALLMARK_INFLAMMATORY_RESPONSE,mixed_AT2_AT1_alveolar,AT1_like,23,29,-0.013715081234892804,False,retained_mouse_library
GSE300288,GSM9057712,29,HALLMARK_P53_PATHWAY,mixed_AT2_AT1_alveolar,AT1_like,23,29,0.008214964682607184,False,retained_mouse_library
GSE300288,GSM9057713,17,HPCS_author_top100,mixed_AT2_AT1_alveolar,AT1_like,29,110,-0.021054842775425804,False,retained_mouse_library
GSE300288,GSM9057713,17,HPCS_excluding_operational_markers,mixed_AT2_AT1_alveolar,AT1_like,29,110,-0.023580267282626702,False,retained_mouse_library
GSE300288,GSM9057713,17,HPCS_without_ADI_or_operational_markers,mixed_AT2_AT1_alveolar,AT1_like,29,110,-0.0205578512396695,False,retained_mouse_library
GSE300288,GSM9057713,17,ADI_published_holdout,mixed_AT2_AT1_alveolar,AT1_like,29,110,-0.012814789146674666,False,retained_mouse_library
GSE300288,GSM9057713,17,AT2_published_holdout,mixed_AT2_AT1_alveolar,AT1_like,29,110,0.0036029587210689995,False,retained_mouse_library
GSE300288,GSM9057713,17,AT1_published_holdout,mixed_AT2_AT1_alveolar,AT1_like,29,110,-0.26311822892133785,False,retained_mouse_library
GSE300288,GSM9057713,17,DATP_PATS_holdout_panel,mixed_AT2_AT1_alveolar,AT1_like,29,110,-0.10235109717868332,False,retained_mouse_library
