annotation	group	category	sources	total_cells	state_cells	equal_source	cell_pooled	weighting_gap_pp	loo_equal_min	loo_equal_max	loo_pooled_min	loo_pooled_max	max_abs_equal_change_pp	max_abs_pooled_change_pp
cell type	14wk	AT1-like	3	991	76	0.12800357757058475	0.07669021190716448	5.131336566342028	0.08544798930669678	0.1611792257886761	0.06774193548387097	0.14444444444444443	4.255558826388797	6.775423253727995
cell type	14wk	AT2-like	3	991	245	0.1873582163151691	0.2472250252270434	-5.986680891187429	0.14478578316572532	0.22641547573325788	0.13333333333333333	0.26605504587155965	4.257243314944378	11.389169189371007
cell type	14wk	EMT	3	991	9	0.01564966307114708	0.009081735620585268	0.6567927450561811	0.002466091245376079	0.023474494606720617	0.0045871559633027525	0.027777777777777776	1.3183571825771	1.869604215719251
cell type	14wk	HPCS	3	991	315	0.43725036658151367	0.31786074672048437	11.93896198610293	0.385383746593582	0.518390962942554	0.29357798165137616	0.5111111111111111	8.114059636104038	19.32503643906267
cell type	14wk	Highly proliferative	3	991	36	0.024903478805764993	0.03632694248234107	-1.1423463676576078	0.01639344262295082	0.03735521820864749	0.011111111111111112	0.04128440366972477	1.2451739402882498	2.5215831371229958
cell type	14wk	Hybrid lung/gastric-like	3	991	97	0.04464868561481313	0.09788092835519677	-5.323224274038363	0.008403361344537815	0.0669730284222197	0.011111111111111112	0.10894495412844037	3.624532427027532	8.676981724408565
cell type	14wk	Lung endoderm-like	3	991	213	0.1621860120410073	0.21493440968718466	-5.274839764617736	0.12983363991025046	0.22688557543856014	0.16111111111111112	0.22688172043010751	6.469956339755284	5.382329857607354
cell type	14wk	Ribosome	3	991	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cell type	Hopx_12wk3d	AT1-like	2	1226	582	0.47159479260113635	0.47471451876019577	-0.31197261590594216	0.41695501730103807	0.5262345679012346	0.41695501730103807	0.5262345679012346	5.463977530009828	5.77595014591577
cell type	Hopx_12wk3d	AT2-like	2	1226	296	0.24185142466572684	0.24143556280587275	0.04158618598540942	0.2345679012345679	0.2491349480968858	0.2345679012345679	0.2491349480968858	0.7283523431158956	0.769938529101305
cell type	Hopx_12wk3d	EMT	2	1226	3	0.002408261779657397	0.0024469820554649264	-0.0038720275807529493	0.0017301038062283738	0.0030864197530864196	0.0017301038062283738	0.0030864197530864196	0.06781579734290231	0.07168782492365526
cell type	Hopx_12wk3d	HPCS	2	1226	59	0.04767397154940407	0.04812398042414356	-0.0450008874739484	0.039792387543252594	0.05555555555555555	0.039792387543252594	0.05555555555555555	0.7881584006151479	0.8331592880890963
cell type	Hopx_12wk3d	Highly proliferative	2	1226	7	0.005775022427271562	0.005709624796084829	0.006539763118673311	0.004629629629629629	0.006920415224913495	0.004629629629629629	0.006920415224913495	0.11453927976419329	0.1210790428828666
cell type	Hopx_12wk3d	Hybrid lung/gastric-like	2	1226	90	0.07626607287795292	0.0734094616639478	0.2856611214005128	0.026234567901234566	0.12629757785467127	0.026234567901234566	0.12629757785467127	5.003150497671836	5.288811619072348
cell type	Hopx_12wk3d	Lung endoderm-like	2	1226	189	0.15443045409885087	0.15415986949429036	0.027058460456050315	0.14969135802469136	0.15916955017301038	0.14969135802469136	0.15916955017301038	0.473909607415951	0.5009680678720013
cell type	Hopx_12wk3d	Ribosome	2	1226	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cell type	Hopx_12wk14d	AT1-like	2	911	599	0.6506824477461597	0.6575192096597146	-0.6836761913554867	0.6177285318559557	0.6836363636363636	0.6177285318559557	0.6836363636363636	3.295391589020402	3.979067780375889
cell type	Hopx_12wk14d	AT2-like	2	911	212	0.23032737345756737	0.2327113062568606	-0.23839327992932202	0.2188365650969529	0.24181818181818182	0.2188365650969529	0.24181818181818182	1.1490808360614473	1.3874741159907695
cell type	Hopx_12wk14d	EMT	2	911	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cell type	Hopx_12wk14d	HPCS	2	911	35	0.0432409972299169	0.038419319429198684	0.4821677800718217	0.02	0.0664819944598338	0.02	0.0664819944598338	2.32409972299169	2.8062675030635114
cell type	Hopx_12wk14d	Highly proliferative	2	911	12	0.01614454797280282	0.013172338090010977	0.2972209882791843	0.0018181818181818182	0.030470914127423823	0.0018181818181818182	0.030470914127423823	1.4326366154621004	1.7298576037412847
cell type	Hopx_12wk14d	Hybrid lung/gastric-like	2	911	20	0.02389322588768572	0.021953896816684963	0.19393290710007574	0.014545454545454545	0.0332409972299169	0.014545454545454545	0.0332409972299169	0.9347771342231179	1.1287100413231936
cell type	Hopx_12wk14d	Lung endoderm-like	2	911	31	0.03389322588768572	0.03402854006586169	-0.013531417817596453	0.0332409972299169	0.034545454545454546	0.0332409972299169	0.034545454545454546	0.06522286577688233	0.07875428359447878
cell type	Hopx_12wk14d	Ribosome	2	911	2	0.0018181818181818182	0.0021953896816684962	-0.03772078634866781	0.0	0.0036363636363636364	0.0	0.0036363636363636364	0.18181818181818182	0.21953896816684962
clusterK12	6wk_3d	01	5	586	5	0.007514455757113132	0.008532423208191127	-0.10179674510779943	0.006103596012180889	0.009393069696391415	0.007352941176470588	0.009345794392523364	0.1878613939278283	0.11794820317205384
clusterK12	6wk_3d	02	5	586	6	0.007764830116334121	0.010238907849829351	-0.24740777334952305	0.004569051344047788	0.00970603764541765	0.006818181818181818	0.012254901960784314	0.3195778772286333	0.34207260316475335
clusterK12	6wk_3d	03	5	586	11	0.013174727186647	0.01877133105802048	-0.5596603871373479	0.00804144269117392	0.01646840898330875	0.012254901960784314	0.022727272727272728	0.513328449547308	0.6516429097236166
clusterK12	6wk_3d	04	5	586	1	0.0011235955056179774	0.0017064846416382253	-0.05828891360202479	0.0	0.0014044943820224719	0.0	0.002336448598130841	0.11235955056179774	0.17064846416382254
clusterK12	6wk_3d	05	5	586	554	0.9493656530042001	0.9453924914675768	0.3973161536623304	0.93670706625525	0.9630228557289342	0.9409090909090909	0.9529411764705882	1.365720272473414	0.7548685003011424
clusterK12	6wk_3d	06	5	586	4	0.010526315789473684	0.006825938566552901	0.37003772229207826	0.0	0.013157894736842105	0.0	0.00980392156862745	1.0526315789473684	0.6825938566552902
clusterK12	6wk_3d	07	5	586	1	0.002631578947368421	0.0017064846416382253	0.09250943057301957	0.0	0.003289473684210526	0.0	0.0024509803921568627	0.2631578947368421	0.17064846416382254
clusterK12	6wk_3d	08	5	586	1	0.0013698630136986301	0.0017064846416382253	-0.03366216279395951	0.0	0.0017123287671232876	0.0	0.0024509803921568627	0.136986301369863	0.17064846416382254
clusterK12	6wk_3d	09	5	586	3	0.006528980679546968	0.005119453924914676	0.1409526754632293	0.0015822784810126582	0.00816122584943371	0.00196078431372549	0.007352941176470588	0.494670219853431	0.31586696111891854
clusterK12	6wk_3d	10	5	586	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
clusterK12	6wk_3d	11	5	586	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
clusterK12	6wk_3d	12	5	586	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
clusterK12	8wk	01	4	742	124	0.1592224277931956	0.16711590296495957	-0.7893475171763975	0.15201288244766506	0.16640285058416418	0.15300546448087432	0.173841059602649	0.7209545345530533	1.4110438484085246
clusterK12	8wk	02	4	742	175	0.23254445472299312	0.2358490566037736	-0.33046018807804667	0.1772090314180971	0.2738273889060198	0.1986754966887417	0.26490066225165565	5.533542330489602	3.717355991503188
clusterK12	8wk	03	4	742	56	0.06632618974200843	0.07547169811320754	-0.9145508371199109	0.05703395347243636	0.0763576249700209	0.060109289617486336	0.08443708609271523	1.0031435228012462	1.536240849572121
clusterK12	8wk	04	4	742	62	0.08099689073902765	0.08355795148247978	-0.2561060743452137	0.05002483982594991	0.10058844691129613	0.06291390728476821	0.09202453987730061	3.097205091307774	2.064404419771157
clusterK12	8wk	05	4	742	191	0.2729436478569226	0.2574123989218329	1.5531248935089725	0.252813752698119	0.28904563675609	0.2469325153374233	0.2786885245901639	2.012989515880359	2.1276125668331036
clusterK12	8wk	06	4	742	5	0.004471168670983657	0.006738544474393531	-0.22673758034098745	0.0024154589371980675	0.005961558227978209	0.00273224043715847	0.008278145695364239	0.20557097337855892	0.4006304037235061
clusterK12	8wk	07	4	742	6	0.006282762873882208	0.008086253369272238	-0.180349049539003	0.0035460992907801418	0.008377017165176278	0.00546448087431694	0.009933774834437087	0.2736663583102066	0.2621772494955298
clusterK12	8wk	08	4	742	99	0.14592327063418645	0.1334231805929919	1.250009004119454	0.12049028677150786	0.16316339466200705	0.12116564417177914	0.1448087431693989	2.5432983862678586	1.2257536421212771
clusterK12	8wk	09	4	742	16	0.020417052112241752	0.0215633423180593	-0.11462902058175482	0.016111625038544557	0.0248072772124576	0.01639344262295082	0.024834437086092714	0.4390225100215847	0.516989969510848
clusterK12	8wk	10	4	742	5	0.005437352245862884	0.006738544474393531	-0.1301192228530647	0.0035460992907801418	0.007249802994483846	0.00273224043715847	0.008278145695364239	0.18912529550827425	0.4006304037235061
clusterK12	8wk	11	4	742	1	0.0018115942028985507	0.0013477088948787063	0.04638853080198445	0.0	0.0024154589371980675	0.0	0.00273224043715847	0.18115942028985507	0.13845315422797635
clusterK12	8wk	12	4	742	2	0.0036231884057971015	0.0026954177897574125	0.0927770616039689	0.0	0.004830917874396135	0.0	0.00546448087431694	0.36231884057971014	0.2769063084559527
clusterK12	12wk_3d	01	6	877	27	0.04541739141266063	0.03078677309007982	1.463061832258081	0.03381121452277896	0.05366404961151074	0.02564102564102564	0.04075235109717868	1.1606176889881672	0.9965578007098862
clusterK12	12wk_3d	02	6	877	43	0.0597276379168292	0.04903078677309008	1.0696851143739126	0.04063868274157435	0.0657030162464637	0.04151404151404151	0.054858934169279	1.908895517525485	0.7516745259048565
clusterK12	12wk_3d	03	6	877	57	0.05696893290816721	0.06499429874572406	-0.802536583755685	0.05028362344460291	0.06444115086234967	0.04780114722753346	0.07096774193548387	0.7472217954182458	1.71931515181906
clusterK12	12wk_3d	04	6	877	6	0.005680692736391892	0.0068415051311288486	-0.11608123947369564	0.0033685554216013047	0.00681683128367027	0.0057361376673040155	0.007741935483870968	0.23121373147905874	0.1105367463824833
clusterK12	12wk_3d	05	6	877	540	0.621492201575448	0.6157354618015963	0.5756739773851716	0.5905667612935227	0.6664802970629514	0.5564263322884012	0.6902485659655831	4.498809548750337	7.451310416398682
clusterK12	12wk_3d	06	6	877	17	0.026322030200511853	0.019384264538198404	0.6937765662313449	0.017551348521315978	0.029625651926888735	0.015853658536585366	0.022944550669216062	0.8770681679195875	0.3560286131017658
