annotation	group	category	omitted_source	remaining_sources	remaining_cells	equal_source	cell_pooled	equal_change_pp	pooled_change_pp
cell type	6wk_3d	Highly proliferative	BO1540_B0303	4	440	0.01127291543465405	0.00909090909090909	0.2254583086930811	0.22649705243561893
cell type	6wk_3d	Highly proliferative	BR1128_B0307	4	558	0.01127291543465405	0.007168458781362007	0.2254583086930811	0.03425202148091061
cell type	6wk_3d	Highly proliferative	BR1615_B0304	4	428	0.01127291543465405	0.009345794392523364	0.2254583086930811	0.2519855825970463
cell type	6wk_3d	Highly proliferative	BS1265_B0305	4	408	0.009868421052631578	0.007352941176470588	0.08500887049083389	0.05270026099176871
cell type	6wk_3d	Hybrid lung/gastric-like	BO1535_B0302	4	510	0.0	0.0	0.0	0.0
cell type	6wk_3d	Hybrid lung/gastric-like	BO1540_B0303	4	440	0.0	0.0	0.0	0.0
cell type	6wk_3d	Hybrid lung/gastric-like	BR1128_B0307	4	558	0.0	0.0	0.0	0.0
cell type	6wk_3d	Hybrid lung/gastric-like	BR1615_B0304	4	428	0.0	0.0	0.0	0.0
cell type	6wk_3d	Hybrid lung/gastric-like	BS1265_B0305	4	408	0.0	0.0	0.0	0.0
cell type	6wk_3d	Lung endoderm-like	BO1535_B0302	4	510	0.0	0.0	-1.0526315789473684	-0.6825938566552902
cell type	6wk_3d	Lung endoderm-like	BO1540_B0303	4	440	0.013157894736842105	0.00909090909090909	0.26315789473684204	0.22649705243561893
cell type	6wk_3d	Lung endoderm-like	BR1128_B0307	4	558	0.013157894736842105	0.007168458781362007	0.26315789473684204	0.03425202148091061
cell type	6wk_3d	Lung endoderm-like	BR1615_B0304	4	428	0.013157894736842105	0.009345794392523364	0.26315789473684204	0.2519855825970463
cell type	6wk_3d	Lung endoderm-like	BS1265_B0305	4	408	0.013157894736842105	0.00980392156862745	0.26315789473684204	0.29779830020745496
cell type	6wk_3d	Ribosome	BO1535_B0302	4	510	0.0	0.0	0.0	0.0
cell type	6wk_3d	Ribosome	BO1540_B0303	4	440	0.0	0.0	0.0	0.0
cell type	6wk_3d	Ribosome	BR1128_B0307	4	558	0.0	0.0	0.0	0.0
cell type	6wk_3d	Ribosome	BR1615_B0304	4	428	0.0	0.0	0.0	0.0
cell type	6wk_3d	Ribosome	BS1265_B0305	4	408	0.0	0.0	0.0	0.0
cell type	8wk	AT1-like	BH1065_B0301_GFP+	3	604	0.05413368965635385	0.06622516556291391	-0.6394113817795595	-0.25079880759001083
cell type	8wk	AT1-like	BH1094_B0302_GFP+	3	366	0.052334943639291455	0.05191256830601093	-0.8192859834857992	-1.6820585332803089
cell type	8wk	AT1-like	BH1129_B0303_GFP+	3	652	0.06218521944701408	0.0705521472392638	0.16574159728646315	0.1818993600449778
cell type	8wk	AT1-like	BH1290_B0304_GFP+	3	604	0.0734573611539384	0.07947019867549669	1.2929557679788957	1.073704503668267
cell type	8wk	AT2-like	BH1065_B0301_GFP+	3	604	0.4924212834481105	0.48841059602649006	1.803285709391167	1.2669356134306753
cell type	8wk	AT2-like	BH1094_B0302_GFP+	3	366	0.47648953301127217	0.48360655737704916	0.21011066570733594	0.7865317484865852
cell type	8wk	AT2-like	BH1129_B0303_GFP+	3	652	0.49177716106485764	0.4831288343558282	1.7388734710658826	0.7387594463644898
cell type	8wk	AT2-like	BH1290_B0304_GFP+	3	604	0.4368657278925549	0.4503311258278146	-3.752269846164391	-2.541011406436872
cell type	8wk	EMT	BH1065_B0301_GFP+	3	604	0.0	0.0	0.0	0.0
cell type	8wk	EMT	BH1094_B0302_GFP+	3	366	0.0	0.0	0.0	0.0
cell type	8wk	EMT	BH1129_B0303_GFP+	3	652	0.0	0.0	0.0	0.0
cell type	8wk	EMT	BH1290_B0304_GFP+	3	604	0.0	0.0	0.0	0.0
cell type	8wk	HPCS	BH1065_B0301_GFP+	3	604	0.23784133347038064	0.23841059602649006	-0.21338695309555955	-0.14815872619196313
cell type	8wk	HPCS	BH1094_B0302_GFP+	3	366	0.23752012882447668	0.23224043715846995	-0.24550741768595563	-0.765174612993974
cell type	8wk	HPCS	BH1129_B0303_GFP+	3	652	0.22737434474252236	0.23466257668711657	-1.2600858258813878	-0.5229606601293124
cell type	8wk	HPCS	BH1290_B0304_GFP+	3	604	0.2571650049679652	0.25165562913907286	1.7189801966628948	1.1763445850663161
cell type	8wk	Highly proliferative	BH1065_B0301_GFP+	3	604	0.018282968444855587	0.019867549668874173	0.09475537054167947	0.0999625140572287
cell type	8wk	Highly proliferative	BH1094_B0302_GFP+	3	366	0.016908212560386476	0.01912568306010929	-0.04272021790523162	0.025775853180740396
cell type	8wk	Highly proliferative	BH1129_B0303_GFP+	3	652	0.023113886319251722	0.02147239263803681	0.577847157981293	0.2604468109734925
cell type	8wk	Highly proliferative	BH1290_B0304_GFP+	3	604	0.011036591633261384	0.014900662251655629	-0.6298823106177407	-0.39672622766462573
cell type	8wk	Hybrid lung/gastric-like	BH1065_B0301_GFP+	3	604	0.14221742556617673	0.11423841059602649	1.7438414362558676	0.7769407900608705
cell type	8wk	Hybrid lung/gastric-like	BH1094_B0302_GFP+	3	366	0.13800322061191625	0.1284153005464481	1.3224209408298202	2.1946297851030305
cell type	8wk	Hybrid lung/gastric-like	BH1129_B0303_GFP+	3	652	0.09600164456778704	0.09202453987730061	-2.877736663583101	-1.4444462818117176
cell type	8wk	Hybrid lung/gastric-like	BH1290_B0304_GFP+	3	604	0.1228937540685922	0.10099337748344371	-0.1885257135025853	-0.5475625211974076
cell type	8wk	Lung endoderm-like	BH1065_B0301_GFP+	3	604	0.05421677459142769	0.07119205298013245	-2.811247301880975	-1.7756734081862153
cell type	8wk	Lung endoderm-like	BH1094_B0302_GFP+	3	366	0.078743961352657	0.08469945355191257	-0.3585286257580436	-0.424933351008204
cell type	8wk	Lung endoderm-like	BH1129_B0303_GFP+	3	652	0.09866121903587212	0.09662576687116564	1.6331971425634682	0.7676979809171036
cell type	8wk	Lung endoderm-like	BH1290_B0304_GFP+	3	604	0.0976950354609929	0.10099337748344371	1.536578785075546	1.2044590421449106
cell type	8wk	Ribosome	BH1065_B0301_GFP+	3	604	0.0008865248226950354	0.0016556291390728477	0.022163120567375887	0.03079202441941414
cell type	8wk	Ribosome	BH1094_B0302_GFP+	3	366	0.0	0.0	-0.06648936170212766	-0.13477088948787064
cell type	8wk	Ribosome	BH1129_B0303_GFP+	3	652	0.0008865248226950354	0.0015337423312883436	0.022163120567375887	0.01860334364096373
cell type	8wk	Ribosome	BH1290_B0304_GFP+	3	604	0.0008865248226950354	0.0016556291390728477	0.022163120567375887	0.03079202441941414
cell type	12wk_3d	AT1-like	BL1121_B0304	5	820	0.05115120424070302	0.06341463414634146	0.2677247490409568	0.18410879661818272
cell type	12wk_3d	AT1-like	BL1124_B0305	5	810	0.04622844959288945	0.06172839506172839	-0.22455071574040003	0.01548488815687546
cell type	12wk_3d	AT1-like	BL1233_B0306	5	819	0.051272196376214205	0.06349206349206349	0.27982396259207537	0.19185173119038515
cell type	12wk_3d	AT1-like	BL1237_B0302	5	638	0.047290087012486035	0.06426332288401254	-0.11838697378074164	0.2689776703852904
cell type	12wk_3d	AT1-like	BL1606_B0303	5	523	0.04065462380656683	0.04397705544933078	-0.7819332943726622	-1.7596490730828855
cell type	12wk_3d	AT1-like	BL1646_B0301	5	775	0.05424717947290116	0.06709677419354838	0.5773222722607712	0.5523228013388747
cell type	12wk_3d	AT2-like	BL1121_B0304	5	820	0.1673552216969734	0.16219512195121952	0.15767474758113798	0.027950051450342794
cell type	12wk_3d	AT2-like	BL1124_B0305	5	810	0.1810237213042004	0.16790123456790124	1.52452470830384	0.5985613131185147
cell type	12wk_3d	AT2-like	BL1233_B0306	5	819	0.13686520354815307	0.1514041514041514	-2.8913270673008946	-1.0511470032564696
cell type	12wk_3d	AT2-like	BL1237_B0302	5	638	0.17968730714070824	0.1865203761755486	1.3908832919546228	2.46047547388325
cell type	12wk_3d	AT2-like	BL1606_B0303	5	523	0.15825620296369952	0.1338432122370937	-0.7522271257462493	-2.8072409199622395
cell type	12wk_3d	AT2-like	BL1646_B0301	5	775	0.17148318867323759	0.16516129032258065	0.5704714452075571	0.32456688858645555
cell type	12wk_3d	EMT	BL1121_B0304	5	820	0.005051512130275839	0.004878048780487805	0.08419186883793063	0.03170453597352392
cell type	12wk_3d	EMT	BL1124_B0305	5	810	0.005051512130275839	0.0049382716049382715	0.08419186883793063	0.037726818418570576
cell type	12wk_3d	EMT	BL1233_B0306	5	819	0.005051512130275839	0.004884004884004884	0.08419186883793063	0.03230014632523183
cell type	12wk_3d	EMT	BL1237_B0302	5	638	0.005051512130275839	0.006269592476489028	0.08419186883793063	0.17085890557364622
cell type	12wk_3d	EMT	BL1606_B0303	5	523	0.00392156862745098	0.0038240917782026767	-0.028802481444555224	-0.0736911642549889
cell type	12wk_3d	EMT	BL1646_B0301	5	775	0.0011299435028248588	0.0025806451612903226	-0.3079649939071674	-0.19803582594622432
cell type	12wk_3d	HPCS	BL1121_B0304	5	820	0.6669322958367203	0.6634146341463415	-1.1651634904406238	-0.47723669939093716
cell type	12wk_3d	HPCS	BL1124_B0305	5	810	0.6620619109192026	0.6604938271604939	-1.6522019821923917	-0.7693173979756995
cell type	12wk_3d	HPCS	BL1233_B0306	5	819	0.7211972686134899	0.6825396825396826	4.261333787236332	1.4352681399431688
cell type	12wk_3d	HPCS	BL1237_B0302	5	638	0.6578153612408164	0.6253918495297806	-2.076856950031014	-4.279515161047032
cell type	12wk_3d	HPCS	BL1606_B0303	5	523	0.7001764231040413	0.734225621414914	2.1592492362914717	6.603862027466311
cell type	12wk_3d	HPCS	BL1646_B0301	5	775	0.6633203247324893	0.6567741935483871	-1.5263606008637298	-1.1412807591863805
cell type	12wk_3d	Highly proliferative	BL1121_B0304	5	820	0.03925405648936585	0.03780487804878049	-0.22295870763337639	-0.09636510276163218
cell type	12wk_3d	Highly proliferative	BL1124_B0305	5	810	0.04381022302510819	0.03950617283950617	0.2326579459408576	0.07376437631093635
cell type	12wk_3d	Highly proliferative	BL1233_B0306	5	819	0.032538992968494704	0.03540903540903541	-0.8944650597204908	-0.33594936673614006
cell type	12wk_3d	Highly proliferative	BL1237_B0302	5	638	0.04643309194411151	0.047021943573667714	0.4949448378411894	0.8253414497270906
cell type	12wk_3d	Highly proliferative	BL1606_B0303	5	523	0.03904590900200337	0.028680688336520075	-0.24377345636962394	-1.0087840739876734
cell type	12wk_3d	Highly proliferative	BL1646_B0301	5	775	0.04781958796511405	0.04258064516129032	0.6335944399414435	0.3812116084893513
cell type	12wk_3d	Hybrid lung/gastric-like	BL1121_B0304	5	820	0.021711477887790966	0.026829268292682926	0.3618579647965161	0.1743749478543815
cell type	12wk_3d	Hybrid lung/gastric-like	BL1124_B0305	5	810	0.021711477887790966	0.027160493827160494	0.3618579647965161	0.20749750130213823
cell type	12wk_3d	Hybrid lung/gastric-like	BL1233_B0306	5	819	0.018263202025721997	0.02564102564102564	0.0170303785896192	0.055550682688652875
cell type	12wk_3d	Hybrid lung/gastric-like	BL1237_B0302	5	638	0.01920101763674494	0.029780564263322883	0.11081193969191341	0.4695045449183772
cell type	12wk_3d	Hybrid lung/gastric-like	BL1606_B0303	5	523	0.013801873368016951	0.015296367112810707	-0.42910248718088534	-0.9789151701328405
cell type	12wk_3d	Hybrid lung/gastric-like	BL1646_B0301	5	775	0.013868340632889003	0.023225806451612905	-0.4224557606936801	-0.18597123625262063
cell type	12wk_3d	Lung endoderm-like	BL1121_B0304	5	820	0.040538236589212864	0.032926829268292684	0.38323961566816767	0.09998053230247245
cell type	12wk_3d	Lung endoderm-like	BL1124_B0305	5	810	0.03509178463844041	0.030864197530864196	-0.16140557940907754	-0.10628264144037641
cell type	12wk_3d	Lung endoderm-like	BL1233_B0306	5	819	0.026805629208692595	0.028083028083028084	-0.9900211223838593	-0.3843995862239876
cell type	12wk_3d	Lung endoderm-like	BL1237_B0302	5	638	0.0415365482679914	0.03918495297805643	0.4830707835460212	0.7257929032788469
cell type	12wk_3d	Lung endoderm-like	BL1606_B0303	5	523	0.036137403999263414	0.02676864244741874	-0.05684364332677744	-0.515838149784922
cell type	12wk_3d	Lung endoderm-like	BL1646_B0301	5	775	0.04012543989158644	0.03354838709677419	0.3419599459055255	0.16213631515062318
cell type	12wk_3d	Ribosome	BL1121_B0304	5	820	0.008005995128957721	0.00853658536585366	0.13343325214929536	0.05548293795366692
cell type	12wk_3d	Ribosome	BL1124_B0305	5	810	0.00502092050209205	0.007407407407407408	-0.16507421053727178	-0.05743485789095823
cell type	12wk_3d	Ribosome	BL1233_B0306	5	819	0.008005995128957721	0.008547008547008548	0.13343325214929536	0.05652525606915579
cell type	12wk_3d	Ribosome	BL1237_B0302	5	638	0.0029850746268656717	0.001567398119122257	-0.3686587980599096	-0.6414357867194733
cell type	12wk_3d	Ribosome	BL1606_B0303	5	523	0.008005995128957721	0.01338432122370937	0.13343325214929536	0.5402565237392379
cell type	12wk_3d	Ribosome	BL1646_B0301	5	775	0.008005995128957721	0.00903225806451613	0.13343325214929536	0.10505020781991399
cell type	14wk	AT1-like	BD1621_B0302_GFP+	2	872	0.13738351761638132	0.07224770642201835	0.9379940045796564	-0.4442505485146131
cell type	14wk	AT1-like	BF1303_B0301_GFP+	2	180	0.1611792257886761	0.14444444444444443	3.3175648218091354	6.775423253727995
cell type	14wk	AT1-like	BH1066_GFP+	2	930	0.08544798930669678	0.06774193548387097	-4.255558826388797	-0.8948276423293502
cell type	14wk	AT2-like	BD1621_B0302_GFP+	2	872	0.22641547573325788	0.26605504587155965	3.905725941808877	1.8830020644516248
cell type	14wk	AT2-like	BF1303_B0301_GFP+	2	180	0.14478578316572532	0.13333333333333333	-4.257243314944378	-11.389169189371007
cell type	14wk	AT2-like	BH1066_GFP+	2	930	0.19087339004652415	0.25161290322580643	0.35151737313550424	0.4387877998763029
cell type	14wk	EMT	BD1621_B0302_GFP+	2	872	0.002466091245376079	0.0045871559633027525	-1.3183571825771	-0.44945796572825153
cell type	14wk	EMT	BF1303_B0301_GFP+	2	180	0.02100840336134454	0.027777777777777776	0.535874029019746	1.869604215719251
cell type	14wk	EMT	BH1066_GFP+	2	930	0.023474494606720617	0.00967741935483871	0.7824831535573538	0.05956837342534424
cell type	14wk	HPCS	BD1621_B0302_GFP+	2	872	0.4079763902084049	0.29357798165137616	-2.9273976373108743	-2.4282765069108203
cell type	14wk	HPCS	BF1303_B0301_GFP+	2	180	0.518390962942554	0.5111111111111111	8.114059636104038	19.32503643906267
cell type	14wk	HPCS	BH1066_GFP+	2	930	0.385383746593582	0.3032258064516129	-5.186661998793168	-1.4634940268871466
cell type	14wk	Highly proliferative	BD1621_B0302_GFP+	2	872	0.03735521820864749	0.04128440366972477	1.2451739402882498	0.4957461187383702
cell type	14wk	Highly proliferative	BF1303_B0301_GFP+	2	180	0.01639344262295082	0.011111111111111112	-0.8510036182814172	-2.5215831371229958
cell type	14wk	Highly proliferative	BH1066_GFP+	2	930	0.02096177558569667	0.03655913978494624	-0.3941703220068322	0.023219730260516658
cell type	14wk	Hybrid lung/gastric-like	BD1621_B0302_GFP+	2	872	0.058569667077681874	0.10894495412844037	1.3920981462868742	1.10640257732436
cell type	14wk	Hybrid lung/gastric-like	BF1303_B0301_GFP+	2	180	0.008403361344537815	0.011111111111111112	-3.624532427027532	-8.676981724408565
cell type	14wk	Hybrid lung/gastric-like	BH1066_GFP+	2	930	0.0669730284222197	0.1043010752688172	2.232434280740656	0.642014691362043
cell type	14wk	Lung endoderm-like	BD1621_B0302_GFP+	2	872	0.12983363991025046	0.21330275229357798	-3.235237213075684	-0.16316573936066836
cell type	14wk	Lung endoderm-like	BF1303_B0301_GFP+	2	180	0.12983882077421133	0.16111111111111112	-3.234719126679597	-5.382329857607354
cell type	14wk	Lung endoderm-like	BH1066_GFP+	2	930	0.22688557543856014	0.22688172043010751	6.469956339755284	1.1947310742922852
cell type	14wk	Ribosome	BD1621_B0302_GFP+	2	872	0.0	0.0	0.0	0.0
cell type	14wk	Ribosome	BF1303_B0301_GFP+	2	180	0.0	0.0	0.0	0.0
cell type	14wk	Ribosome	BH1066_GFP+	2	930	0.0	0.0	0.0	0.0
cell type	Hopx_12wk3d	AT1-like	BQ1151_B0308	1	578	0.41695501730103807	0.41695501730103807	-5.463977530009828	-5.77595014591577
cell type	Hopx_12wk3d	AT1-like	BQ1152_B0309	1	648	0.5262345679012346	0.5262345679012346	5.463977530009823	5.15200491410388
cell type	Hopx_12wk3d	AT2-like	BQ1151_B0308	1	578	0.2491349480968858	0.2491349480968858	0.7283523431158956	0.769938529101305
cell type	Hopx_12wk3d	AT2-like	BQ1152_B0309	1	648	0.2345679012345679	0.2345679012345679	-0.7283523431158956	-0.6867661571304862
cell type	Hopx_12wk3d	EMT	BQ1151_B0308	1	578	0.0017301038062283738	0.0017301038062283738	-0.06781579734290231	-0.07168782492365526
cell type	Hopx_12wk3d	EMT	BQ1152_B0309	1	648	0.0030864197530864196	0.0030864197530864196	0.06781579734290227	0.06394376976214933
cell type	Hopx_12wk3d	HPCS	BQ1151_B0308	1	578	0.039792387543252594	0.039792387543252594	-0.7881584006151479	-0.8331592880890963
cell type	Hopx_12wk3d	HPCS	BQ1152_B0309	1	648	0.05555555555555555	0.05555555555555555	0.7881584006151479	0.7431575131411995
cell type	Hopx_12wk3d	Highly proliferative	BQ1151_B0308	1	578	0.006920415224913495	0.006920415224913495	0.11453927976419329	0.1210790428828666
cell type	Hopx_12wk3d	Highly proliferative	BQ1152_B0309	1	648	0.004629629629629629	0.004629629629629629	-0.11453927976419329	-0.10799951664551997
cell type	Hopx_12wk3d	Hybrid lung/gastric-like	BQ1151_B0308	1	578	0.12629757785467127	0.12629757785467127	5.003150497671835	5.288811619072348
cell type	Hopx_12wk3d	Hybrid lung/gastric-like	BQ1152_B0309	1	648	0.026234567901234566	0.026234567901234566	-5.003150497671836	-4.717489376271323
cell type	Hopx_12wk3d	Lung endoderm-like	BQ1151_B0308	1	578	0.15916955017301038	0.15916955017301038	0.473909607415951	0.5009680678720013
cell type	Hopx_12wk3d	Lung endoderm-like	BQ1152_B0309	1	648	0.14969135802469136	0.14969135802469136	-0.473909607415951	-0.4468511469599007
cell type	Hopx_12wk3d	Ribosome	BQ1151_B0308	1	578	0.0	0.0	0.0	0.0
cell type	Hopx_12wk3d	Ribosome	BQ1152_B0309	1	648	0.0	0.0	0.0	0.0
cell type	Hopx_12wk14d	AT1-like	BP1479_B0309	1	550	0.6836363636363636	0.6836363636363636	3.295391589020391	2.6117153976649043
cell type	Hopx_12wk14d	AT1-like	BQ1920_B0308	1	361	0.6177285318559557	0.6177285318559557	-3.295391589020402	-3.979067780375889
cell type	Hopx_12wk14d	AT2-like	BP1479_B0309	1	550	0.24181818181818182	0.24181818181818182	1.1490808360614446	0.9106875561321226
cell type	Hopx_12wk14d	AT2-like	BQ1920_B0308	1	361	0.2188365650969529	0.2188365650969529	-1.1490808360614473	-1.3874741159907695
cell type	Hopx_12wk14d	EMT	BP1479_B0309	1	550	0.0	0.0	0.0	0.0
cell type	Hopx_12wk14d	EMT	BQ1920_B0308	1	361	0.0	0.0	0.0	0.0
cell type	Hopx_12wk14d	HPCS	BP1479_B0309	1	550	0.02	0.02	-2.32409972299169	-1.8419319429198684
cell type	Hopx_12wk14d	HPCS	BQ1920_B0308	1	361	0.0664819944598338	0.0664819944598338	2.3240997229916895	2.8062675030635114
cell type	Hopx_12wk14d	Highly proliferative	BP1479_B0309	1	550	0.0018181818181818182	0.0018181818181818182	-1.4326366154621002	-1.1354156271829159
cell type	Hopx_12wk14d	Highly proliferative	BQ1920_B0308	1	361	0.030470914127423823	0.030470914127423823	1.4326366154621004	1.7298576037412847
cell type	Hopx_12wk14d	Hybrid lung/gastric-like	BP1479_B0309	1	550	0.014545454545454545	0.014545454545454545	-0.9347771342231175	-0.7408442271230418
cell type	Hopx_12wk14d	Hybrid lung/gastric-like	BQ1920_B0308	1	361	0.0332409972299169	0.0332409972299169	0.9347771342231179	1.1287100413231936
cell type	Hopx_12wk14d	Lung endoderm-like	BP1479_B0309	1	550	0.034545454545454546	0.034545454545454546	0.06522286577688233	0.051691447959285874
cell type	Hopx_12wk14d	Lung endoderm-like	BQ1920_B0308	1	361	0.0332409972299169	0.0332409972299169	-0.06522286577688233	-0.07875428359447878
cell type	Hopx_12wk14d	Ribosome	BP1479_B0309	1	550	0.0036363636363636364	0.0036363636363636364	0.18181818181818182	0.144097395469514
cell type	Hopx_12wk14d	Ribosome	BQ1920_B0308	1	361	0.0	0.0	-0.18181818181818182	-0.21953896816684962
clusterK12	6wk_3d	01	BO1535_B0302	4	510	0.006103596012180889	0.00784313725490196	-0.1410859744932243	-0.0689285953289166
clusterK12	6wk_3d	01	BO1540_B0303	4	440	0.007680740929268128	0.00909090909090909	0.01662851721549955	0.05584858827179639
clusterK12	6wk_3d	01	BR1128_B0307	4	558	0.009393069696391415	0.008960573476702509	0.1878613939278283	0.042815026851138194
clusterK12	6wk_3d	01	BR1615_B0304	4	428	0.0078107912153787575	0.009345794392523364	0.02963354582656251	0.08133711843322372
clusterK12	6wk_3d	01	BS1265_B0305	4	408	0.006584080932346472	0.007352941176470588	-0.09303748247666607	-0.11794820317205384
clusterK12	6wk_3d	02	BO1535_B0302	4	510	0.00970603764541765	0.011764705882352941	0.19412075290835298	0.15257980325235898
clusterK12	6wk_3d	02	BO1540_B0303	4	440	0.004569051344047788	0.006818181818181818	-0.3195778772286333	-0.34207260316475335
clusterK12	6wk_3d	02	BR1128_B0307	4	558	0.00970603764541765	0.010752688172043012	0.19412075290835298	0.05137803222136604
clusterK12	6wk_3d	02	BR1615_B0304	4	428	0.006541480683392335	0.009345794392523364	-0.1223349432941786	-0.08931134573059873
clusterK12	6wk_3d	02	BS1265_B0305	4	408	0.008301543263395179	0.012254901960784314	0.05367131470610581	0.20159941109549623
clusterK12	6wk_3d	03	BO1535_B0302	4	510	0.01646840898330875	0.021568627450980392	0.32936817966617504	0.27972963929599126
clusterK12	6wk_3d	03	BO1540_B0303	4	440	0.014756080216185463	0.022727272727272728	0.15813530295384626	0.39559416692522487
clusterK12	6wk_3d	03	BR1128_B0307	4	558	0.01646840898330875	0.01971326164874552	0.32936817966617504	0.09419305907250389
clusterK12	6wk_3d	03	BR1615_B0304	4	428	0.010139295059258119	0.016355140186915886	-0.3035432127388882	-0.24161908711045932
clusterK12	6wk_3d	03	BS1265_B0305	4	408	0.00804144269117392	0.012254901960784314	-0.513328449547308	-0.6516429097236166
clusterK12	6wk_3d	04	BO1535_B0302	4	510	0.0014044943820224719	0.00196078431372549	0.028089887640449444	0.02542996720872649
clusterK12	6wk_3d	04	BO1540_B0303	4	440	0.0014044943820224719	0.0022727272727272726	0.028089887640449444	0.056624263108904734
clusterK12	6wk_3d	04	BR1128_B0307	4	558	0.0014044943820224719	0.0017921146953405018	0.028089887640449444	0.008563005370227653
clusterK12	6wk_3d	04	BR1615_B0304	4	428	0.0014044943820224719	0.002336448598130841	0.028089887640449444	0.06299639564926157
clusterK12	6wk_3d	04	BS1265_B0305	4	408	0.0	0.0	-0.11235955056179774	-0.17064846416382254
clusterK12	6wk_3d	05	BO1535_B0302	4	510	0.9630228557289342	0.9529411764705882	1.365720272473414	0.7548685003011424
clusterK12	6wk_3d	05	BO1540_B0303	4	440	0.9469810388579898	0.9409090909090909	-0.23846141462102732	-0.44834005584858394
clusterK12	6wk_3d	05	BR1128_B0307	4	558	0.93670706625525	0.942652329749104	-1.265858674895004	-0.27401617184728
clusterK12	6wk_3d	05	BR1615_B0304	4	428	0.9493652941033514	0.9439252336448598	-3.589008487070444e-05	-0.14672578227169497
clusterK12	6wk_3d	05	BS1265_B0305	4	408	0.9507520100754747	0.946078431372549	0.13863570712746576	0.06859399049722326
clusterK12	6wk_3d	06	BO1535_B0302	4	510	0.0	0.0	-1.0526315789473684	-0.6825938566552902
clusterK12	6wk_3d	06	BO1540_B0303	4	440	0.013157894736842105	0.00909090909090909	0.26315789473684204	0.22649705243561893
clusterK12	6wk_3d	06	BR1128_B0307	4	558	0.013157894736842105	0.007168458781362007	0.26315789473684204	0.03425202148091061
clusterK12	6wk_3d	06	BR1615_B0304	4	428	0.013157894736842105	0.009345794392523364	0.26315789473684204	0.2519855825970463
clusterK12	6wk_3d	06	BS1265_B0305	4	408	0.013157894736842105	0.00980392156862745	0.26315789473684204	0.29779830020745496
clusterK12	6wk_3d	07	BO1535_B0302	4	510	0.0	0.0	-0.2631578947368421	-0.17064846416382254
clusterK12	6wk_3d	07	BO1540_B0303	4	440	0.003289473684210526	0.0022727272727272726	0.06578947368421051	0.056624263108904734
clusterK12	6wk_3d	07	BR1128_B0307	4	558	0.003289473684210526	0.0017921146953405018	0.06578947368421051	0.008563005370227653
clusterK12	6wk_3d	07	BR1615_B0304	4	428	0.003289473684210526	0.002336448598130841	0.06578947368421051	0.06299639564926157
clusterK12	6wk_3d	07	BS1265_B0305	4	408	0.003289473684210526	0.0024509803921568627	0.06578947368421051	0.07444957505186374
