annotation	group	source_label	category	numerator	denominator	fraction
clusterK12_stringent	12wk_3d	BL1646_B0301	02	2	102	0.0196078431372549
clusterK12_stringent	12wk_3d	BL1121_B0304	03	2	57	0.03508771929824561
clusterK12_stringent	12wk_3d	BL1124_B0305	03	4	67	0.05970149253731343
clusterK12_stringent	12wk_3d	BL1233_B0306	03	3	58	0.05172413793103448
clusterK12_stringent	12wk_3d	BL1237_B0302	03	12	239	0.0502092050209205
clusterK12_stringent	12wk_3d	BL1606_B0303	03	29	354	0.08192090395480225
clusterK12_stringent	12wk_3d	BL1646_B0301	03	1	102	0.00980392156862745
clusterK12_stringent	12wk_3d	BL1121_B0304	04	0	57	0.0
clusterK12_stringent	12wk_3d	BL1124_B0305	04	0	67	0.0
clusterK12_stringent	12wk_3d	BL1233_B0306	04	0	58	0.0
clusterK12_stringent	12wk_3d	BL1237_B0302	04	2	239	0.008368200836820083
clusterK12_stringent	12wk_3d	BL1606_B0303	04	0	354	0.0
clusterK12_stringent	12wk_3d	BL1646_B0301	04	0	102	0.0
clusterK12_stringent	12wk_3d	BL1121_B0304	05	36	57	0.631578947368421
clusterK12_stringent	12wk_3d	BL1124_B0305	05	51	67	0.7611940298507462
clusterK12_stringent	12wk_3d	BL1233_B0306	05	21	58	0.3620689655172414
clusterK12_stringent	12wk_3d	BL1237_B0302	05	181	239	0.7573221757322176
clusterK12_stringent	12wk_3d	BL1606_B0303	05	158	354	0.4463276836158192
clusterK12_stringent	12wk_3d	BL1646_B0301	05	61	102	0.5980392156862745
clusterK12_stringent	12wk_3d	BL1121_B0304	06	1	57	0.017543859649122806
clusterK12_stringent	12wk_3d	BL1124_B0305	06	0	67	0.0
clusterK12_stringent	12wk_3d	BL1233_B0306	06	0	58	0.0
clusterK12_stringent	12wk_3d	BL1237_B0302	06	3	239	0.012552301255230125
clusterK12_stringent	12wk_3d	BL1606_B0303	06	1	354	0.002824858757062147
clusterK12_stringent	12wk_3d	BL1646_B0301	06	0	102	0.0
clusterK12_stringent	12wk_3d	BL1121_B0304	07	0	57	0.0
clusterK12_stringent	12wk_3d	BL1124_B0305	07	0	67	0.0
clusterK12_stringent	12wk_3d	BL1233_B0306	07	2	58	0.034482758620689655
clusterK12_stringent	12wk_3d	BL1237_B0302	07	0	239	0.0
clusterK12_stringent	12wk_3d	BL1606_B0303	07	3	354	0.00847457627118644
clusterK12_stringent	12wk_3d	BL1646_B0301	07	0	102	0.0
clusterK12_stringent	12wk_3d	BL1121_B0304	08	0	57	0.0
clusterK12_stringent	12wk_3d	BL1124_B0305	08	1	67	0.014925373134328358
clusterK12_stringent	12wk_3d	BL1233_B0306	08	3	58	0.05172413793103448
clusterK12_stringent	12wk_3d	BL1237_B0302	08	5	239	0.02092050209205021
clusterK12_stringent	12wk_3d	BL1606_B0303	08	16	354	0.04519774011299435
clusterK12_stringent	12wk_3d	BL1646_B0301	08	5	102	0.049019607843137254
clusterK12_stringent	12wk_3d	BL1121_B0304	09	6	57	0.10526315789473684
clusterK12_stringent	12wk_3d	BL1124_B0305	09	1	67	0.014925373134328358
clusterK12_stringent	12wk_3d	BL1233_B0306	09	4	58	0.06896551724137931
clusterK12_stringent	12wk_3d	BL1237_B0302	09	10	239	0.04184100418410042
clusterK12_stringent	12wk_3d	BL1606_B0303	09	52	354	0.14689265536723164
clusterK12_stringent	12wk_3d	BL1646_B0301	09	7	102	0.06862745098039216
clusterK12_stringent	12wk_3d	BL1121_B0304	11	0	57	0.0
clusterK12_stringent	12wk_3d	BL1124_B0305	11	0	67	0.0
clusterK12_stringent	12wk_3d	BL1233_B0306	11	0	58	0.0
clusterK12_stringent	12wk_3d	BL1237_B0302	11	0	239	0.0
clusterK12_stringent	12wk_3d	BL1606_B0303	11	2	354	0.005649717514124294
clusterK12_stringent	12wk_3d	BL1646_B0301	11	1	102	0.00980392156862745
clusterK12_stringent	12wk_3d	BL1121_B0304	12	0	57	0.0
clusterK12_stringent	12wk_3d	BL1124_B0305	12	0	67	0.0
clusterK12_stringent	12wk_3d	BL1233_B0306	12	0	58	0.0
clusterK12_stringent	12wk_3d	BL1237_B0302	12	0	239	0.0
clusterK12_stringent	12wk_3d	BL1606_B0303	12	0	354	0.0
clusterK12_stringent	12wk_3d	BL1646_B0301	12	0	102	0.0
clusterK12_stringent	12wk_3d	BL1121_B0304	other	10	57	0.17543859649122806
clusterK12_stringent	12wk_3d	BL1124_B0305	other	9	67	0.13432835820895522
clusterK12_stringent	12wk_3d	BL1233_B0306	other	12	58	0.20689655172413793
clusterK12_stringent	12wk_3d	BL1237_B0302	other	19	239	0.0794979079497908
clusterK12_stringent	12wk_3d	BL1606_B0303	other	78	354	0.22033898305084745
clusterK12_stringent	12wk_3d	BL1646_B0301	other	22	102	0.21568627450980393
clusterK12_stringent	14wk	BD1621_B0302_GFP+	01	3	119	0.025210084033613446
clusterK12_stringent	14wk	BF1303_B0301_GFP+	01	22	811	0.027127003699136867
clusterK12_stringent	14wk	BH1066_GFP+	01	2	61	0.03278688524590164
