level	unit	left	right	left_category	right_category	cells
all	all	clusterK12	clusterK12_stringent	05	11	0
all	all	clusterK12	clusterK12_stringent	05	12	0
all	all	clusterK12	clusterK12_stringent	05	other	150
all	all	clusterK12	clusterK12_stringent	06	01	0
all	all	clusterK12	clusterK12_stringent	06	02	0
all	all	clusterK12	clusterK12_stringent	06	03	0
all	all	clusterK12	clusterK12_stringent	06	04	0
all	all	clusterK12	clusterK12_stringent	06	05	0
all	all	clusterK12	clusterK12_stringent	06	06	19
all	all	clusterK12	clusterK12_stringent	06	07	0
all	all	clusterK12	clusterK12_stringent	06	08	0
all	all	clusterK12	clusterK12_stringent	06	09	0
all	all	clusterK12	clusterK12_stringent	06	11	0
all	all	clusterK12	clusterK12_stringent	06	12	0
all	all	clusterK12	clusterK12_stringent	06	other	86
all	all	clusterK12	clusterK12_stringent	07	01	0
all	all	clusterK12	clusterK12_stringent	07	02	0
all	all	clusterK12	clusterK12_stringent	07	03	0
all	all	clusterK12	clusterK12_stringent	07	04	0
all	all	clusterK12	clusterK12_stringent	07	05	0
all	all	clusterK12	clusterK12_stringent	07	06	0
all	all	clusterK12	clusterK12_stringent	07	07	24
all	all	clusterK12	clusterK12_stringent	07	08	0
all	all	clusterK12	clusterK12_stringent	07	09	0
all	all	clusterK12	clusterK12_stringent	07	11	0
all	all	clusterK12	clusterK12_stringent	07	12	0
all	all	clusterK12	clusterK12_stringent	07	other	21
all	all	clusterK12	clusterK12_stringent	08	01	0
all	all	clusterK12	clusterK12_stringent	08	02	0
all	all	clusterK12	clusterK12_stringent	08	03	0
all	all	clusterK12	clusterK12_stringent	08	04	0
all	all	clusterK12	clusterK12_stringent	08	05	0
all	all	clusterK12	clusterK12_stringent	08	06	0
all	all	clusterK12	clusterK12_stringent	08	07	0
all	all	clusterK12	clusterK12_stringent	08	08	360
all	all	clusterK12	clusterK12_stringent	08	09	0
all	all	clusterK12	clusterK12_stringent	08	11	0
all	all	clusterK12	clusterK12_stringent	08	12	0
all	all	clusterK12	clusterK12_stringent	08	other	189
all	all	clusterK12	clusterK12_stringent	09	01	0
all	all	clusterK12	clusterK12_stringent	09	02	0
all	all	clusterK12	clusterK12_stringent	09	03	0
all	all	clusterK12	clusterK12_stringent	09	04	0
all	all	clusterK12	clusterK12_stringent	09	05	0
all	all	clusterK12	clusterK12_stringent	09	06	0
all	all	clusterK12	clusterK12_stringent	09	07	0
all	all	clusterK12	clusterK12_stringent	09	08	0
all	all	clusterK12	clusterK12_stringent	09	09	147
all	all	clusterK12	clusterK12_stringent	09	11	0
all	all	clusterK12	clusterK12_stringent	09	12	0
all	all	clusterK12	clusterK12_stringent	09	other	90
all	all	clusterK12	clusterK12_stringent	10	01	0
all	all	clusterK12	clusterK12_stringent	10	02	0
all	all	clusterK12	clusterK12_stringent	10	03	0
all	all	clusterK12	clusterK12_stringent	10	04	0
all	all	clusterK12	clusterK12_stringent	10	05	0
all	all	clusterK12	clusterK12_stringent	10	06	0
all	all	clusterK12	clusterK12_stringent	10	07	0
all	all	clusterK12	clusterK12_stringent	10	08	0
all	all	clusterK12	clusterK12_stringent	10	09	0
all	all	clusterK12	clusterK12_stringent	10	11	0
all	all	clusterK12	clusterK12_stringent	10	12	0
all	all	clusterK12	clusterK12_stringent	10	other	25
all	all	clusterK12	clusterK12_stringent	11	01	0
all	all	clusterK12	clusterK12_stringent	11	02	0
all	all	clusterK12	clusterK12_stringent	11	03	0
all	all	clusterK12	clusterK12_stringent	11	04	0
all	all	clusterK12	clusterK12_stringent	11	05	0
all	all	clusterK12	clusterK12_stringent	11	06	0
all	all	clusterK12	clusterK12_stringent	11	07	0
all	all	clusterK12	clusterK12_stringent	11	08	0
