resource,ligand,receptor
cellchatdb,WNT10A,FZD9_LRP6
cellchatdb,WNT10B,FZD1_LRP6
cellchatdb,WNT10B,FZD10_LRP6
cellchatdb,WNT10B,FZD2_LRP6
cellchatdb,WNT10B,FZD3_LRP6
cellchatdb,WNT10B,FZD4_LRP6
cellchatdb,WNT10B,FZD5_LRP6
cellchatdb,WNT10B,FZD6_LRP6
cellchatdb,WNT10B,FZD7_LRP6
cellchatdb,WNT10B,FZD8_LRP6
cellchatdb,WNT10B,FZD9_LRP6
cellchatdb,WNT16,FZD1_LRP6
cellchatdb,WNT16,FZD10_LRP6
cellchatdb,WNT16,FZD2_LRP6
cellchatdb,WNT16,FZD3_LRP6
cellchatdb,WNT16,FZD4_LRP6
cellchatdb,WNT16,FZD5_LRP6
cellchatdb,WNT16,FZD6_LRP6
cellchatdb,WNT16,FZD7_LRP6
cellchatdb,WNT16,FZD8_LRP6
cellchatdb,WNT16,FZD9_LRP6
cellchatdb,WNT2,FZD1_LRP6
cellchatdb,WNT2,FZD10_LRP6
cellchatdb,WNT2,FZD2_LRP6
cellchatdb,WNT2,FZD3_LRP6
cellchatdb,WNT2,FZD4_LRP6
cellchatdb,WNT2,FZD5_LRP6
cellchatdb,WNT2,FZD6_LRP6
cellchatdb,WNT2,FZD7_LRP6
cellchatdb,WNT2,FZD8_LRP6
cellchatdb,WNT2,FZD9_LRP6
cellchatdb,WNT2B,FZD1_LRP6
cellchatdb,WNT2B,FZD10_LRP6
cellchatdb,WNT2B,FZD2_LRP6
cellchatdb,WNT2B,FZD3_LRP6
cellchatdb,WNT2B,FZD4_LRP6
cellchatdb,WNT2B,FZD5_LRP6
cellchatdb,WNT2B,FZD6_LRP6
cellchatdb,WNT2B,FZD7_LRP6
cellchatdb,WNT2B,FZD8_LRP6
cellchatdb,WNT2B,FZD9_LRP6
cellchatdb,WNT3,FZD1_LRP6
cellchatdb,WNT3,FZD10_LRP6
cellchatdb,WNT3,FZD2_LRP6
cellchatdb,WNT3,FZD3_LRP6
cellchatdb,WNT3,FZD4_LRP6
cellchatdb,WNT3,FZD5_LRP6
cellchatdb,WNT3,FZD6_LRP6
cellchatdb,WNT3,FZD7_LRP6
cellchatdb,WNT3,FZD8_LRP6
cellchatdb,WNT3,FZD9_LRP6
cellchatdb,WNT3A,FZD1_LRP6
cellchatdb,WNT3A,FZD10_LRP6
cellchatdb,WNT3A,FZD2_LRP6
cellchatdb,WNT3A,FZD3_LRP6
cellchatdb,WNT3A,FZD4_LRP6
cellchatdb,WNT3A,FZD5_LRP6
cellchatdb,WNT3A,FZD6_LRP6
cellchatdb,WNT3A,FZD7_LRP6
cellchatdb,WNT3A,FZD8_LRP6
cellchatdb,WNT3A,FZD9_LRP6
cellchatdb,WNT4,FZD1_LRP6
cellchatdb,WNT4,FZD10_LRP6
cellchatdb,WNT4,FZD2_LRP6
cellchatdb,WNT4,FZD3_LRP6
cellchatdb,WNT4,FZD4_LRP6
cellchatdb,WNT4,FZD5_LRP6
cellchatdb,WNT4,FZD6_LRP6
cellchatdb,WNT4,FZD7_LRP6
cellchatdb,WNT4,FZD8_LRP6
cellchatdb,WNT4,FZD9_LRP6
cellchatdb,WNT6,FZD1_LRP6
cellchatdb,WNT6,FZD10_LRP6
cellchatdb,WNT6,FZD2_LRP6
cellchatdb,WNT6,FZD3_LRP6
cellchatdb,WNT6,FZD4_LRP6
cellchatdb,WNT6,FZD5_LRP6
cellchatdb,WNT6,FZD6_LRP6
cellchatdb,WNT6,FZD7_LRP6
cellchatdb,WNT6,FZD8_LRP6
cellchatdb,WNT6,FZD9_LRP6
cellchatdb,WNT7A,FZD1_LRP6
cellchatdb,WNT7A,FZD10_LRP6
cellchatdb,WNT7A,FZD2_LRP6
cellchatdb,WNT7A,FZD3_LRP6
cellchatdb,WNT7A,FZD4_LRP6
cellchatdb,WNT7A,FZD5_LRP6
cellchatdb,WNT7A,FZD6_LRP6
cellchatdb,WNT7A,FZD7_LRP6
cellchatdb,WNT7A,FZD8_LRP6
cellchatdb,WNT7A,FZD9_LRP6
cellchatdb,WNT7B,FZD1_LRP6
cellchatdb,WNT7B,FZD10_LRP6
cellchatdb,WNT7B,FZD2_LRP6
cellchatdb,WNT7B,FZD3_LRP6
cellchatdb,WNT7B,FZD4_LRP6
cellchatdb,WNT7B,FZD5_LRP6
cellchatdb,WNT7B,FZD6_LRP6
cellchatdb,WNT7B,FZD7_LRP6
cellchatdb,WNT7B,FZD8_LRP6
cellchatdb,WNT7B,FZD9_LRP6
cellchatdb,WNT8A,FZD1_LRP6
cellchatdb,WNT8A,FZD10_LRP6
cellchatdb,WNT8A,FZD2_LRP6
cellchatdb,WNT8A,FZD3_LRP6
cellchatdb,WNT8A,FZD4_LRP6
cellchatdb,WNT8A,FZD5_LRP6
cellchatdb,WNT8A,FZD6_LRP6
cellchatdb,WNT8A,FZD7_LRP6
cellchatdb,WNT8A,FZD8_LRP6
cellchatdb,WNT8A,FZD9_LRP6
cellchatdb,WNT8B,FZD1_LRP6
cellchatdb,WNT8B,FZD10_LRP6
cellchatdb,WNT8B,FZD2_LRP6
cellchatdb,WNT8B,FZD3_LRP6
cellchatdb,WNT8B,FZD4_LRP6
cellchatdb,WNT8B,FZD5_LRP6
cellchatdb,WNT8B,FZD6_LRP6
cellchatdb,WNT8B,FZD7_LRP6
cellchatdb,WNT8B,FZD8_LRP6
cellchatdb,WNT8B,FZD9_LRP6
cellchatdb,WNT9A,FZD1_LRP6
cellchatdb,WNT9A,FZD10_LRP6
cellchatdb,WNT9A,FZD2_LRP6
cellchatdb,WNT9A,FZD3_LRP6
cellchatdb,WNT9A,FZD4_LRP6
cellchatdb,WNT9A,FZD5_LRP6
cellchatdb,WNT9A,FZD6_LRP6
cellchatdb,WNT9A,FZD7_LRP6
cellchatdb,WNT9A,FZD8_LRP6
cellchatdb,WNT9A,FZD9_LRP6
cellchatdb,WNT9B,FZD1_LRP6
cellchatdb,WNT9B,FZD10_LRP6
cellchatdb,WNT9B,FZD2_LRP6
cellchatdb,WNT9B,FZD3_LRP6
cellchatdb,WNT9B,FZD4_LRP6
cellchatdb,WNT9B,FZD5_LRP6
cellchatdb,WNT9B,FZD6_LRP6
cellchatdb,WNT9B,FZD7_LRP6
cellchatdb,WNT9B,FZD8_LRP6
cellchatdb,WNT9B,FZD9_LRP6
cellchatdb,WNT5A,FZD10
cellchatdb,WNT5B,FZD1
cellchatdb,WNT5B,FZD10
cellchatdb,WNT5B,FZD2
cellchatdb,WNT5B,FZD4
cellchatdb,WNT5B,FZD5
cellchatdb,WNT5B,FZD7
cellchatdb,WNT5B,FZD8
cellchatdb,WNT5B,FZD9
cellchatdb,WNT11,FZD1
cellchatdb,WNT11,FZD10
cellchatdb,WNT11,FZD2
cellchatdb,WNT11,FZD4
cellchatdb,WNT11,FZD5
cellchatdb,WNT11,FZD8
cellchatdb,WNT11,FZD9
cellchatdb,AREG,EGFR_ERBB2
cellchatdb,HBEGF,EGFR_ERBB2
cellchatdb,HBEGF,ERBB2_ERBB4
