resource,ligand,receptor
consensus,WNT2B,FZD2_LRP6
consensus,WNT2B,FZD8_LRP6
consensus,WNT2B,FZD3_LRP6
consensus,WNT2B,FZD4_LRP6
consensus,WNT2B,FZD10_LRP6
consensus,WNT2B,FZD1_LRP6
consensus,WNT8B,FZD9_LRP5
consensus,WNT8B,FZD9_LRP6
consensus,WNT8B,FZD6_LRP5
consensus,WNT8B,FZD6_LRP6
consensus,WNT8B,FZD7_LRP5
consensus,WNT8B,FZD7_LRP6
consensus,WNT8B,FZD5_LRP5
consensus,WNT8B,FZD2_LRP5
consensus,WNT8B,FZD8_LRP5
consensus,WNT8B,FZD3_LRP5
consensus,WNT8B,FZD4_LRP5
consensus,WNT8B,FZD10_LRP5
consensus,WNT8B,FZD1_LRP5
consensus,WNT8B,FZD5_LRP6
consensus,WNT8B,FZD2_LRP6
consensus,WNT8B,FZD8_LRP6
consensus,WNT8B,FZD3_LRP6
consensus,WNT8B,FZD4_LRP6
consensus,WNT8B,FZD10_LRP6
consensus,WNT8B,FZD1_LRP6
consensus,HBEGF,EGFR_ERBB2
consensus,HBEGF,ERBB2_ERBB4
consensus,HBEGF,CD44
consensus,HBEGF,PRLR
consensus,WNT10A,FZD9_LRP5
consensus,WNT10A,FZD9_LRP6
consensus,WNT10A,FZD6_LRP5
consensus,WNT10A,FZD6_LRP6
consensus,WNT10A,FZD7_LRP5
consensus,WNT10A,FZD7_LRP6
consensus,WNT10A,FZD5_LRP5
consensus,WNT10A,FZD2_LRP5
consensus,WNT10A,FZD8_LRP5
consensus,WNT10A,FZD3_LRP5
consensus,WNT10A,FZD4_LRP5
consensus,WNT10A,FZD10_LRP5
consensus,WNT10A,FZD1_LRP5
consensus,WNT10A,FZD5_LRP6
consensus,WNT10A,FZD2_LRP6
consensus,WNT10A,FZD8_LRP6
consensus,WNT10A,FZD3_LRP6
consensus,WNT10A,FZD4_LRP6
consensus,WNT10A,FZD10_LRP6
consensus,WNT10A,FZD1_LRP6
consensus,WNT8A,FZD9_LRP5
consensus,WNT8A,FZD9_LRP6
consensus,WNT8A,FZD6_LRP5
consensus,WNT8A,FZD6_LRP6
consensus,WNT8A,FZD7_LRP5
consensus,WNT8A,FZD7_LRP6
consensus,WNT8A,FZD5_LRP5
consensus,WNT8A,FZD2_LRP5
consensus,WNT8A,FZD8_LRP5
consensus,WNT8A,FZD3_LRP5
consensus,WNT8A,FZD4_LRP5
consensus,WNT8A,FZD10_LRP5
consensus,WNT8A,FZD1_LRP5
consensus,WNT8A,FZD5_LRP6
consensus,WNT8A,FZD2_LRP6
consensus,WNT8A,FZD8_LRP6
consensus,WNT8A,FZD3_LRP6
consensus,WNT8A,FZD4_LRP6
consensus,WNT8A,FZD10_LRP6
consensus,WNT8A,FZD1_LRP6
consensus,WNT5B,FZD9_LRP5
consensus,WNT5B,FZD9_LRP6
consensus,WNT5B,FZD6_LRP5
consensus,WNT5B,FZD6_LRP6
consensus,WNT5B,FZD7_LRP5
consensus,WNT5B,FZD7_LRP6
consensus,WNT5B,FZD5_LRP5
consensus,WNT5B,FZD2_LRP5
consensus,WNT5B,FZD8_LRP5
consensus,WNT5B,FZD3_LRP5
consensus,WNT5B,FZD10_LRP5
consensus,WNT5B,FZD1_LRP5
consensus,WNT5B,FZD5_LRP6
consensus,WNT5B,FZD2_LRP6
consensus,WNT5B,FZD8_LRP6
consensus,WNT5B,FZD3_LRP6
consensus,WNT5B,FZD10_LRP6
consensus,WNT5B,FZD1_LRP6
consensus,WNT5B,FZD4
consensus,WNT16,FZD9_LRP5
consensus,WNT16,FZD9_LRP6
consensus,WNT16,FZD6_LRP5
consensus,WNT16,FZD6_LRP6
consensus,WNT16,FZD7_LRP5
consensus,WNT16,FZD7_LRP6
consensus,WNT16,FZD5_LRP5
consensus,WNT16,FZD2_LRP5
consensus,WNT16,FZD8_LRP5
consensus,WNT16,FZD3_LRP5
consensus,WNT16,FZD4_LRP5
consensus,WNT16,FZD10_LRP5
consensus,WNT16,FZD1_LRP5
consensus,WNT16,FZD5_LRP6
consensus,WNT16,FZD2_LRP6
consensus,WNT16,FZD8_LRP6
consensus,WNT16,FZD3_LRP6
consensus,WNT16,FZD4_LRP6
consensus,WNT16,FZD10_LRP6
consensus,WNT16,FZD1_LRP6
consensus,WNT6,FZD9_LRP5
consensus,WNT6,FZD9_LRP6
consensus,WNT6,FZD6_LRP5
consensus,WNT6,FZD6_LRP6
consensus,WNT6,FZD7_LRP5
consensus,WNT6,FZD7_LRP6
consensus,WNT6,FZD5_LRP5
consensus,WNT6,FZD2_LRP5
consensus,WNT6,FZD8_LRP5
consensus,WNT6,FZD3_LRP5
consensus,WNT6,FZD4_LRP5
consensus,WNT6,FZD10_LRP5
consensus,WNT6,FZD1_LRP5
consensus,WNT6,FZD5_LRP6
consensus,WNT6,FZD2_LRP6
consensus,WNT6,FZD8_LRP6
consensus,WNT6,FZD3_LRP6
consensus,WNT6,FZD4_LRP6
consensus,WNT6,FZD10_LRP6
consensus,WNT6,FZD1_LRP6
consensus,CCL2,ACKR2
consensus,WNT5A,FZD1
consensus,CXCL2,DPP4
consensus,CXCL12,DPP4
consensus,TGFB1,ENG
consensus,HBEGF,CD9
consensus,HBEGF,CD82
consensus,TGFB1,CAV1
consensus,WNT5A,VANGL2
consensus,WNT11,KLRG2
consensus,WNT7B,TMED5
consensus,WNT5B,KLRG2
consensus,CXCL12,SDC4
consensus,VEGFA,GRIN2B
consensus,VEGFA,CD44
consensus,TGFB1,LPP
consensus,WNT7B,ADGRA2
consensus,WNT7A,ADGRA2
cellchatdb,WNT5A,FZD2
cellchatdb,WNT5A,FZD5
cellchatdb,IL1B,IL1R2
cellchatdb,AREG,EGFR
cellchatdb,HBEGF,EGFR
cellchatdb,WNT5A,FZD4
cellchatdb,FGF7,FGFR2
cellchatdb,FGF10,FGFR2
cellchatdb,HBEGF,ERBB4
cellchatdb,CXCL12,ACKR3
cellchatdb,CCL2,CCR2
cellchatdb,CXCL1,CXCR2
cellchatdb,CXCL2,CXCR2
cellchatdb,CXCL12,CXCR4
cellchatdb,VEGFA,FLT1
cellchatdb,WNT5A,FZD6
cellchatdb,VEGFA,KDR
cellchatdb,WNT5B,FZD6
cellchatdb,WNT5B,FZD3
cellchatdb,WNT11,FZD6
cellchatdb,WNT11,FZD7
cellchatdb,WNT11,FZD3
cellchatdb,WNT5A,FZD3
cellchatdb,CCL2,ACKR1
cellchatdb,CCL2,ACKR2
cellchatdb,CXCL1,ACKR1
cellchatdb,CXCL2,ACKR1
cellchatdb,IL1A,IL1R1_IL1RAP
cellchatdb,IL1B,IL1R1_IL1RAP
cellchatdb,TGFB1,TGFBR1_TGFBR2
cellchatdb,VEGFA,FLT1_KDR
cellchatdb,IL1A,IL1R2
cellchatdb,WNT5A,FZD1
cellchatdb,WNT5A,FZD9
cellchatdb,WNT5A,FZD7
cellchatdb,WNT5A,FZD8
cellchatdb,FGF10,FGFR1
cellchatdb,FGF7,FGFR1
cellchatdb,WNT5A,MCAM
cellchatdb,CXCL2,CXCR1
cellchatdb,CXCL1,CXCR1
cellchatdb,TGFB1,ACVR1B_TGFBR2
cellchatdb,TGFB1,ACVR1C_TGFBR2
cellchatdb,TGFB1,ACVR1_TGFBR1_TGFBR2
cellchatdb,WNT1,FZD1_LRP5
cellchatdb,WNT1,FZD10_LRP5
cellchatdb,WNT1,FZD2_LRP5
cellchatdb,WNT1,FZD3_LRP5
cellchatdb,WNT1,FZD4_LRP5
cellchatdb,WNT1,FZD5_LRP5
cellchatdb,WNT1,FZD6_LRP5
cellchatdb,WNT1,FZD7_LRP5
cellchatdb,WNT1,FZD8_LRP5
cellchatdb,WNT1,FZD9_LRP5
cellchatdb,WNT10A,FZD1_LRP5
cellchatdb,WNT10A,FZD10_LRP5
cellchatdb,WNT10A,FZD2_LRP5
cellchatdb,WNT10A,FZD3_LRP5
cellchatdb,WNT10A,FZD4_LRP5
cellchatdb,WNT10A,FZD5_LRP5
cellchatdb,WNT10A,FZD6_LRP5
cellchatdb,WNT10A,FZD7_LRP5
cellchatdb,WNT10A,FZD8_LRP5
cellchatdb,WNT10A,FZD9_LRP5
cellchatdb,WNT10B,FZD1_LRP5
cellchatdb,WNT10B,FZD10_LRP5
cellchatdb,WNT10B,FZD2_LRP5
cellchatdb,WNT10B,FZD3_LRP5
cellchatdb,WNT10B,FZD4_LRP5
