cohort,unit,seed,module,case,reference,n_case,n_reference,difference,eligible
GSE277777,AV1975,17,Han_ISR_without_HPCS_ADI_or_operational_markers,HPCS,AT2-like,449,202,0.0222634457209641,True
GSE277777,AV1975,29,Han_ISR_source_symbols,HPCS,AT2-like,449,202,0.03771694593596331,True
GSE277777,AV1975,29,Han_ISR_without_HPCS_ADI_or_operational_markers,HPCS,AT2-like,449,202,0.019098249982613502,True
GSE277777,AV1980,17,Han_ISR_source_symbols,HPCS,AT2-like,679,594,0.006748766816421392,True
GSE277777,AV1980,17,Han_ISR_without_HPCS_ADI_or_operational_markers,HPCS,AT2-like,679,594,-0.0013557700413371065,True
GSE277777,AV1980,29,Han_ISR_source_symbols,HPCS,AT2-like,679,594,0.007380234909229788,True
GSE277777,AV1980,29,Han_ISR_without_HPCS_ADI_or_operational_markers,HPCS,AT2-like,679,594,-0.0025269213413543073,True
GSE300288,GSM9057709,17,Han_ISR_source_symbols,mixed_AT2_AT1_alveolar,AT1_like,135,153,0.0152845860566449,True
GSE300288,GSM9057709,17,Han_ISR_without_HPCS_ADI_or_operational_markers,mixed_AT2_AT1_alveolar,AT1_like,135,153,-0.0018434724317077933,True
GSE300288,GSM9057709,29,Han_ISR_source_symbols,mixed_AT2_AT1_alveolar,AT1_like,135,153,0.011281318082788691,True
GSE300288,GSM9057709,29,Han_ISR_without_HPCS_ADI_or_operational_markers,mixed_AT2_AT1_alveolar,AT1_like,135,153,-0.008685268979386596,True
GSE300288,GSM9057712,17,Han_ISR_source_symbols,mixed_AT2_AT1_alveolar,AT1_like,23,29,0.0012181409295352053,False
GSE300288,GSM9057712,17,Han_ISR_without_HPCS_ADI_or_operational_markers,mixed_AT2_AT1_alveolar,AT1_like,23,29,-0.014214046822742493,False
GSE300288,GSM9057712,29,Han_ISR_source_symbols,mixed_AT2_AT1_alveolar,AT1_like,23,29,-0.009241473013493207,False
GSE300288,GSM9057712,29,Han_ISR_without_HPCS_ADI_or_operational_markers,mixed_AT2_AT1_alveolar,AT1_like,23,29,-0.019389343789643708,False
GSE300288,GSM9057713,17,Han_ISR_source_symbols,mixed_AT2_AT1_alveolar,AT1_like,29,110,-0.009492554858934105,False
GSE300288,GSM9057713,17,Han_ISR_without_HPCS_ADI_or_operational_markers,mixed_AT2_AT1_alveolar,AT1_like,29,110,-0.022335423197492196,False
GSE300288,GSM9057713,29,Han_ISR_source_symbols,mixed_AT2_AT1_alveolar,AT1_like,29,110,-0.005581406739811903,False
GSE300288,GSM9057713,29,Han_ISR_without_HPCS_ADI_or_operational_markers,mixed_AT2_AT1_alveolar,AT1_like,29,110,-0.019266939956595203,False
GSE300288,GSM9057716,17,Han_ISR_source_symbols,mixed_AT2_AT1_alveolar,AT1_like,59,121,0.008134236237568301,True
GSE300288,GSM9057716,17,Han_ISR_without_HPCS_ADI_or_operational_markers,mixed_AT2_AT1_alveolar,AT1_like,59,121,-0.006636083485081892,True
GSE300288,GSM9057716,29,Han_ISR_source_symbols,mixed_AT2_AT1_alveolar,AT1_like,59,121,0.009804200518279904,True
GSE300288,GSM9057716,29,Han_ISR_without_HPCS_ADI_or_operational_markers,mixed_AT2_AT1_alveolar,AT1_like,59,121,-0.0048070188671113095,True
GSE300288,GSM9057717,17,Han_ISR_source_symbols,mixed_AT2_AT1_alveolar,AT1_like,38,23,0.026932565789473603,False
GSE300288,GSM9057717,17,Han_ISR_without_HPCS_ADI_or_operational_markers,mixed_AT2_AT1_alveolar,AT1_like,38,23,0.005104735081851802,False
GSE300288,GSM9057717,29,Han_ISR_source_symbols,mixed_AT2_AT1_alveolar,AT1_like,38,23,0.030972897597253995,False
GSE300288,GSM9057717,29,Han_ISR_without_HPCS_ADI_or_operational_markers,mixed_AT2_AT1_alveolar,AT1_like,38,23,0.007536085196268208,False
GSE300288,GSM9057720,17,Han_ISR_source_symbols,mixed_AT2_AT1_alveolar,AT1_like,95,200,0.001426809210526403,True
GSE300288,GSM9057720,17,Han_ISR_without_HPCS_ADI_or_operational_markers,mixed_AT2_AT1_alveolar,AT1_like,95,200,-0.0183274291497975,True
GSE300288,GSM9057720,29,Han_ISR_source_symbols,mixed_AT2_AT1_alveolar,AT1_like,95,200,0.008554687500000005,True
GSE300288,GSM9057720,29,Han_ISR_without_HPCS_ADI_or_operational_markers,mixed_AT2_AT1_alveolar,AT1_like,95,200,-0.012133097165991896,True
GSE300288,GSM9057721,17,Han_ISR_source_symbols,mixed_AT2_AT1_alveolar,AT1_like,39,182,0.026871565934066005,True
GSE300288,GSM9057721,17,Han_ISR_without_HPCS_ADI_or_operational_markers,mixed_AT2_AT1_alveolar,AT1_like,39,182,0.004208932093547488,True
GSE300288,GSM9057721,29,Han_ISR_source_symbols,mixed_AT2_AT1_alveolar,AT1_like,39,182,0.022192651098901103,True
GSE300288,GSM9057721,29,Han_ISR_without_HPCS_ADI_or_operational_markers,mixed_AT2_AT1_alveolar,AT1_like,39,182,0.004050436742744495,True
GSE310539,wildtype_PBS,17,Han_ISR_source_symbols,two_marker,reference,9,5747,0.0045410353032935,False
GSE310539,wildtype_PBS,17,Han_ISR_without_HPCS_ADI_or_operational_markers,two_marker,reference,9,5747,0.000984180382127095,False
GSE310539,wildtype_PBS,29,Han_ISR_source_symbols,two_marker,reference,10,5745,0.002474683074598097,False
GSE310539,wildtype_PBS,29,Han_ISR_without_HPCS_ADI_or_operational_markers,two_marker,reference,10,5745,-0.005303991048116297,False
GSE310539,wildtype_SeV,17,Han_ISR_source_symbols,two_marker,reference,59,4661,0.015748358887619412,True
GSE310539,wildtype_SeV,17,Han_ISR_without_HPCS_ADI_or_operational_markers,two_marker,reference,59,4661,0.002486693025204101,True
GSE310539,wildtype_SeV,29,Han_ISR_source_symbols,two_marker,reference,66,4652,0.014680640313026502,True
GSE310539,wildtype_SeV,29,Han_ISR_without_HPCS_ADI_or_operational_markers,two_marker,reference,66,4652,0.006518073500016805,True
GSE310539,AP1mut_PBS,17,Han_ISR_source_symbols,two_marker,reference,15,8845,0.005808914071366897,False
GSE310539,AP1mut_PBS,17,Han_ISR_without_HPCS_ADI_or_operational_markers,two_marker,reference,15,8845,-0.0008969285848878933,False
GSE310539,AP1mut_PBS,29,Han_ISR_source_symbols,two_marker,reference,18,8843,0.014836671837742205,False
GSE310539,AP1mut_PBS,29,Han_ISR_without_HPCS_ADI_or_operational_markers,two_marker,reference,18,8843,0.00774306883093491,False
GSE310539,AP1mut_SeV,17,Han_ISR_source_symbols,two_marker,reference,50,7835,0.009968883414216603,True
GSE310539,AP1mut_SeV,17,Han_ISR_without_HPCS_ADI_or_operational_markers,two_marker,reference,50,7835,0.0025595769896982062,True
GSE310539,AP1mut_SeV,29,Han_ISR_source_symbols,two_marker,reference,49,7836,0.009202090086126491,True
GSE310539,AP1mut_SeV,29,Han_ISR_without_HPCS_ADI_or_operational_markers,two_marker,reference,49,7836,0.003183061308823107,True
