set,es,nes,p_perm,fdr,leading_edge,size
HALLMARK_ADIPOGENESIS,0.3914836363579885,1.3065090600090634,0.006,0.07117098615845895,Ak2;Idh3a;Cmpk1;Ndufs3;Reep5;Pex14;Mtch2;Cs;Cd151;Crat;Sdhb;G3bp2;C3;Samm50;Coq3;Mdh2;Lpl;Rab34;Uqcrc1;Prdx3;Idh3g;Tank;Acadl;Bckdha;Ddt;Slc1a5;Elmod3;Slc25a1;Araf;Qdpr;Mccc1;Agpat3;Hspb8;Mgst3;Aldoa;Plin2;Ltc4s;Slc25a10;Slc27a1;Fabp4;Pim3;Cyc1;Ndufb7;Esyt1;Mtarc2;Cd302;Suclg1;Decr1;Rmdn3;Acaa2;Grpel1;Ndufa5;Etfb;Angptl4;Dgat1;Cox8a;Cox7b;Chuk;Dlat;Scarb1;Phyh;Ucp2;Tst;Nmt1;Pgm1;Dbt;Cmbl;Preb;Uqcrq;Cpt2;Ghitm;Fah;Sdhc;Aldh2;Abca1;Tkt;Lpcat3;Echs1;Stat5a;Coq9;Rnf11;Ndufab1;Mgll;Hibch;Aifm1;Sqor;Ppm1b;Riok3;Gbe1,185
HALLMARK_IL2_STAT5_SIGNALING,0.40051944027213093,1.3060108519749642,0.013,0.06825129526078308,Anxa4;Il3ra;Ltb;Batf3;Traf1;Capg;Col6a1;Gbp3;Cxcl10;Myc;Ifitm3;Umps;Rnh1;Plagl1;Spry4;Plscr1;Selp;Etfbkmt;Serpinb6a;Cd79b;Car2;Furin;Glipr2;Ttc39b;Mapkapk2;Il18r1;Fgl2;Ecm1;Flt3l;Pim1;Slc1a5;Spp1;Socs1;Lif;Gucy1b1;Hk2;Ckap4;Irf8;Socs2;Emp1;Tnfsf10;S100a1;Il4ra;Plin2;Cdc42se2;Mxd1;Pnp;Sell;Gsto1;Nt5e;Ikzf2;Tgm2;Muc1;Csf1;Dcps;Pdcd2l,156
HALLMARK_MYOGENESIS,0.3986541682842706,1.2999507835038353,0.015015015015015015,0.07025692917178522,Lsp1;Igf1;Aebp1;Plxnb2;Cnn3;Fgf2;Psen2;Tnnt1;Myl4;Crat;Pdlim7;Chrnb1;Col3a1;Igfbp7;Apod;Myom1;Bag1;Akt2;Des;Col1a1;Pick1;Slc6a8;Tpm3;Sod3;Tpm2;Sirt2;Mapre3;Hspb8;Col6a2;Lama2;Sphk1;Col4a2;Col6a3;Fkbp1b;Atp6ap1;Dmpk;Agl;Gnao1;Nav2;Ptp4a3;Kcnh1;Gabarapl2;Svil;Pcx;App;Myo1c;Myh11;Ocel1;Smtn;Fxyd1;Dtna;Fst;Hspb2;Mylpf;Syngr2;Agrn;Tagln;Dmd;Tgfb1,133
HALLMARK_MYC_TARGETS_V1,0.3901969165595327,1.2932062614292332,0.013,0.07363106962557658,Psmc4;Psmd8;Psmb2;Psma2;Psmd14;Psmd3;Psma4;Ppm1g;Eif2s1;Psma7;Myc;Slc25a3;Cops5;Snrpa1;Psma6;Aimp2;Ap3s1;Psmc6;Pgk1;Vbp1;Prpf31;Psma1;Psmb3;Mcm6;Pole3;Ranbp1;Ppia;Nme1;Rplp0;Uba2;Prdx3;Hdgf;Ilf2;Snrpd1;Cdk4;Ran;Eif2s2;Mad2l1;Hnrnpd;Mrpl9;Phb2;Eif4h;Rps2;Psmd7;Mcm5;Cyc1;Bub3;Vdac1;Eif3d;Pcbp1;Pabpc1;Mcm7;Ube2e1;Cox5a;Cct2;Pa2g4;Rad23b;Ldha;Acp1;Tyms;Snrpb2;Psmd1;Tfdp1;Ruvbl2;Clns1a;Hddc2;Rps6;Cdk2;Mcm4;Srsf2;Rrp9;Fbl;Nhp2;Pwp1;Eif4e;Cct3;Etf1;Ssb;Gm9531;Ndufab1;Ssbp1;Eif4a1;Apex1;Snrpd2;Cdc45;Rps10;Mrpl23;Hnrnpa1;Rnps1;C1qbp;Pold2;Cnbp;Odc1;Srm,187
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.38915068569713535,1.2885919592160644,0.016,0.07536862857846963,Dram1;Nfkbie;Tnip1;Traf1;Ninj1;Tap1;B4galt5;Cxcl10;Cxcl11;Sod2;Relb;Bcl3;Myc;Tlr2;Litaf;Pmepa1;Ptgs2;Tnf;Ackr3;Fjx1;Sqstm1;Ifih1;Ifit2;Tnc;Il1b;Btg1;Ccnd1;Snn;Tank;Birc3;Lamb3;B4galt1;Il6;Tnfaip6;Lif;F3;Ehd1;Tnfaip2;Serpine1;Ripk2;Icam1;Panx1;Mxd1;Plpp3;Il15ra;Sphk1;Yrdc;Tnfaip3;Gem;Gch1;Tnip2;Slc2a6;Ccl5;Nampt;Inhba;Tgif1;Sat1;Csf1,176
HALLMARK_HYPOXIA,0.38492123656603944,1.2592075814537742,0.023,0.10101942744485973,Tgfbi;Anxa2;Tpbg;Cavin3;Xpnpep1;Hk1;Plac8;Lox;Csrp2;Hmox1;Pgm2;Nagk;Pgk1;Pfkp;Tpst2;Sdc3;Ackr3;Glrx;Col5a1;Pdk3;Eno1b;Vldlr;Selenbp1;Btg1;Isg20;Ccn5;Cp;Prdx5;Pdk1;Kdelr3;Tgfb3;Bgn;Pim1;Il6;Galk1;Slc25a1;Hk2;F3;Serpine1;Noct;Aldoa;Plin2;Tnfaip3;Gpc4;Atp7a;Ilvbl;Gpi1;Slc2a1;Tgm2;Ldha;Adm;S100a4;Angptl4;Gpc3;Cdkn1c;Tpi1;Scarb1;Ccn2;Mt1;Pgm1;Dcn;Dtna;Bcl2;Klf6;Hdlbp;Mif,167
HALLMARK_E2F_TARGETS,0.369616232138293,1.2233064549492436,0.034,0.14888582071397202,Ak2;Tipin;Prim2;Pole;Hmga1b;Asf1a;Ddx39a;Dclre1b;Cenpe;Eif2s1;Myc;Pop7;Tbrg4;Mcm6;Ccnb2;Lmnb1;Jpt1;Bard1;Rnaseh2a;Rfc2;Tacc3;Aurka;Ranbp1;Phf5a;Nme1;Tubb5;Rrm2;Chek1;Tubg1;Pole4;Birc5;Racgap1;H2ax;Trip13;Rpa3;Cdk4;Ran;Mad2l1;Hnrnpd;Suv39h1;Tk1;Cdk1;Rfc3;Mms22l;Mthfd2;Top2a;Mcm5;Timeless;Tcf19;Kif22;Hmgb2;Mcm7;Cit;Hmgb3;Pa2g4;Rad51ap1;Hells;Ube2t;Lig1;Paics;Pola2;Plk4;Pold3;Mlh1;Brca2,184
HALLMARK_ESTROGEN_RESPONSE_LATE,0.36858626274027095,1.2016067238316377,0.07507507507507508,0.1837141696672645,Gfus;Dcxr;Gale;Cpe;Tpbg;Ptpn6;Cxcl14;Ass1;Pkp3;Slc2a8;Olfm1;Snx10;Car2;Tfpi2;Rnaseh2a;Bag1;Isg20;Ccn5;Ccnd1;Scnn1a;Cdh1;Slc7a5;Blvrb;Slc16a1;Hspb8;Myof;Jak2;Nrip1;Top2a;Nxt1;Aldh3b1;Lsr;Clic3;Sfn;Dnajc1;Fkbp5;Mocs2;Farp1;Prkar2b;Jak1;Plaat3;Plk4;Etfb;Slc24a3;Ppif;Plxnb1;Ugdh;Slc26a2;Scarb1;Cdc6;Tst;Impa2,140
HALLMARK_PEROXISOME,0.37705189085081725,1.2010700684243745,0.11823647294589178,0.1783499287093159,Eci2;Fis1;Slc25a17;Sod2;Nudt19;Pex14;Cln6;Crat;Itgb1bp1;Pex5;Mvp;Tspo;Pex11b;Prdx5;Pex2;Slc25a4;Acot8;Gstk1;Bcl10;Ercc1;Hras;Top2a;Mlycd;Pabpc1,83
HALLMARK_NOTCH_SIGNALING,0.4217969748912466,1.1966079933739215,0.21675392670157068,0.18039183472296383,Wnt5a;Heyl;Psen2;Rbx1;Ccnd1;Aph1a;Psenen;Ppard;Tcf7l2;Fzd1;Fzd5;Dtx2,29
