case,reference,module,section_weighting,n_patients,eligible_primary_count,mean_paired_difference,loo_min,loo_max
LUAD,AAH,HALLMARK_GLYCOLYSIS,equal_sections,10,True,0.06338729034766205,0.03544692327124423,0.0707346020106646
LUAD,AAH,HALLMARK_HYPOXIA,equal_sections,10,True,0.0686611970986006,0.02368480320277639,0.08310177456279261
LUAD,AAH,HALLMARK_IL6_JAK_STAT3_SIGNALING,equal_sections,10,True,0.06426915193105295,0.02998142658153298,0.07876163035117255
LUAD,AAH,HALLMARK_INFLAMMATORY_RESPONSE,equal_sections,10,True,0.04309918877506449,0.01880867729024457,0.054353791791013975
LUAD,AAH,HALLMARK_INTERFERON_GAMMA_RESPONSE,equal_sections,10,True,0.09684399020402551,0.05203409087170098,0.1139088588340579
LUAD,AAH,HALLMARK_OXIDATIVE_PHOSPHORYLATION,equal_sections,10,True,0.08503760578693034,0.04438949286586523,0.09529913608590425
LUAD,AAH,HALLMARK_P53_PATHWAY,equal_sections,10,True,0.0763227188411144,0.03419021075920146,0.0883924583856664
LUAD,AAH,HALLMARK_TGF_BETA_SIGNALING,equal_sections,10,True,0.08458893948202369,0.022287192028715097,0.1116659793155903
LUAD,AAH,HALLMARK_TNFA_SIGNALING_VIA_NFKB,equal_sections,10,True,0.08193940946705801,0.022808292740913658,0.09959898231357396
LUAD,AAH,HALLMARK_WNT_BETA_CATENIN_SIGNALING,equal_sections,10,True,0.04540104167419195,0.01554704429265037,0.05437030584997018
LUAD,AAH,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,equal_sections,10,True,0.06772197803403403,0.030729563562785563,0.07711044418614671
LUAD,AAH,GENE_AGER,spot_weighted,10,True,-0.003513245455225358,-0.15169841741413592,0.12127235648316306
LUAD,AAH,GENE_AQP5,spot_weighted,10,True,0.03444721532487826,0.0208222674525341,0.03843478025616162
LUAD,AAH,GENE_AREG,spot_weighted,10,True,0.027252792931276894,0.004251624727813458,0.0548333890472322
LUAD,AAH,GENE_C1QA,spot_weighted,10,True,0.30835620238546724,0.16711175932174266,0.37585336954282245
LUAD,AAH,GENE_CCL2,spot_weighted,10,True,0.05669502003262091,0.023797577898069213,0.09173241608540537
LUAD,AAH,GENE_CD3D,spot_weighted,10,True,0.04362435577019961,0.023146782897336956,0.049331833208642054
LUAD,AAH,GENE_CD8A,spot_weighted,10,True,-0.615905310753172,-0.7515143715154324,-0.13064818569659525
LUAD,AAH,GENE_CLDN4,spot_weighted,10,True,0.21813058984162836,0.11091441028663973,0.2464721988707638
LUAD,AAH,GENE_COL1A1,spot_weighted,10,True,0.6201676773120174,0.45970141118305563,0.6873958077254153
LUAD,AAH,GENE_CXCL12,spot_weighted,10,True,0.09206802175723165,0.014412643823409331,0.11062204807155956
LUAD,AAH,GENE_FGF10,spot_weighted,10,True,0.0034852094318839908,-0.0025009782033422866,0.0057688960258491465
LUAD,AAH,GENE_FGF7,spot_weighted,10,True,0.04282288666440208,0.0010254735399304019,0.055660938853998414
LUAD,AAH,GENE_HBEGF,spot_weighted,10,True,0.005389197352942398,-0.01818164273730551,0.03489644516816145
LUAD,AAH,GENE_IFNG,spot_weighted,10,True,0.0072966987328342055,0.003715148589611018,0.009869080544538384
LUAD,AAH,GENE_IL1A,spot_weighted,10,True,-0.0008362018228917384,-0.005200182896692687,0.006159637718065835
LUAD,AAH,GENE_IL1B,spot_weighted,10,True,-0.004739736065880096,-0.018669457762491317,0.022263215097636166
LUAD,AAH,GENE_IL1R1,spot_weighted,10,True,0.09935521072196127,-0.01177858869069205,0.15045753069193138
LUAD,AAH,GENE_IL1R2,spot_weighted,10,True,0.004535577232790422,0.0013408190086464022,0.005273722850165957
LUAD,AAH,GENE_IL1RAP,spot_weighted,10,True,0.0337784112640947,0.018229735210577375,0.0412556504302907
LUAD,AAH,GENE_IL1RN,spot_weighted,10,True,0.020379587133040843,0.011602569227419028,0.029084158117694603
LUAD,AAH,GENE_KRT17,spot_weighted,10,True,0.04750095692524538,0.028534129106858652,0.054418919592309004
LUAD,AAH,GENE_KRT5,spot_weighted,10,True,-0.9403246970166194,-1.095112783997495,-0.4470067222135523
LUAD,AAH,GENE_KRT8,spot_weighted,10,True,0.27690905198759613,0.15584587730441324,0.3245542947119558
LUAD,AAH,GENE_SFTPC,spot_weighted,10,True,-0.042418683409374804,-0.31405877098625484,0.0469685969727229
LUAD,AAH,GENE_SIGIRR,spot_weighted,10,True,0.09928866237946517,0.04438655759238107,0.12068432164482301
LUAD,AAH,GENE_TGFB1,spot_weighted,10,True,0.05412796014545276,0.022230446475094798,0.061790132425356
LUAD,AAH,GENE_TNF,spot_weighted,10,True,0.013941155630514629,0.0045431335893707635,0.02224901296247535
LUAD,AAH,HALLMARK_E2F_TARGETS,spot_weighted,10,True,0.043814334931386964,0.025644114826389428,0.0496723030063349
LUAD,AAH,HALLMARK_G2M_CHECKPOINT,spot_weighted,10,True,0.04968194979652578,0.024222453491004676,0.05658394050361151
LUAD,AAH,HALLMARK_GLYCOLYSIS,spot_weighted,10,True,0.06361503288663148,0.0356999705367658,0.07098764927618618
LUAD,AAH,HALLMARK_HYPOXIA,spot_weighted,10,True,0.06902429924979783,0.024088250037439998,0.08350522139745621
LUAD,AAH,HALLMARK_IL6_JAK_STAT3_SIGNALING,spot_weighted,10,True,0.06459122687423904,0.03033928762951751,0.07911949139915708
LUAD,AAH,HALLMARK_INFLAMMATORY_RESPONSE,spot_weighted,10,True,0.043296040497924446,0.019027401426755637,0.05457251592752504
LUAD,AAH,HALLMARK_INTERFERON_GAMMA_RESPONSE,spot_weighted,10,True,0.0972698212820757,0.052507236513978976,0.11438200447633588
LUAD,AAH,HALLMARK_OXIDATIVE_PHOSPHORYLATION,spot_weighted,10,True,0.08539807951732495,0.04479001923297035,0.09569966245300937
LUAD,AAH,HALLMARK_P53_PATHWAY,spot_weighted,10,True,0.07666825837386188,0.03457414357336532,0.08877639119983027
LUAD,AAH,HALLMARK_TGF_BETA_SIGNALING,spot_weighted,10,True,0.08509063735405267,0.022844634108747312,0.11222342139562252
LUAD,AAH,HALLMARK_TNFA_SIGNALING_VIA_NFKB,spot_weighted,10,True,0.08237701940859249,0.0232945260092853,0.10008521558194561
LUAD,AAH,HALLMARK_WNT_BETA_CATENIN_SIGNALING,spot_weighted,10,True,0.045641448402060296,0.015814162879170757,0.05463742443649056
LUAD,AAH,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,spot_weighted,10,True,0.06804148872008615,0.031084575436176813,0.07746545605953796
LUAD,AIS,GENE_AGER,equal_sections,12,True,-0.25130713630526624,-0.287210742437068,-0.03177230500559453
LUAD,AIS,GENE_AQP5,equal_sections,12,True,-0.028110158118068624,-0.03688438656545372,-0.006113357937433243
LUAD,AIS,GENE_AREG,equal_sections,12,True,0.10824567670665412,0.037979822938888776,0.1181772300153109
LUAD,AIS,GENE_C1QA,equal_sections,12,True,0.026425129456509207,-0.017345198387491757,0.05124270482758417
LUAD,AIS,GENE_CCL2,equal_sections,12,True,-0.032595335966283896,-0.049389428556819735,0.020908709782572133
LUAD,AIS,GENE_CD3D,equal_sections,12,True,0.01963673810349414,0.00244556218798192,0.02150016498940911
LUAD,AIS,GENE_CD8A,equal_sections,12,True,-0.04821439254563826,-0.1107151017256942,-0.01575825593934714
