cluster,rank,feature_id,gene_symbol,mean_log_expression,mean_log_difference_vs_other_cells,descriptive_no_P_value
1,26,ENSMUSG00000018927,Ccl6,2.1542446472291314,1.677062511925574,True
1,27,ENSMUSG00000003032,Klf4,2.2296490304712617,1.670396889090819,True
1,28,ENSMUSG00000040152,Thbs1,1.9808766493332874,1.66628232116293,True
1,29,ENSMUSG00000021250,Fos,3.773956909446686,1.6393201804820299,True
1,30,ENSMUSG00000023034,Nr4a1,3.090943048382031,1.638014098116912,True
1,31,ENSMUSG00000060591,Ifitm2,2.7421302060693598,1.54089648299414,True
1,32,ENSMUSG00000035493,Tgfbi,1.861216719382757,1.518897780672927,True
1,33,ENSMUSG00000079017,Ifi27l2a,2.0333363209801143,1.5045615927133036,True
1,34,ENSMUSG00000069833,Ahnak,2.8046951629809023,1.5021895859803382,True
1,35,ENSMUSG00000033685,Ucp2,2.9002544053533477,1.4976386705892344,True
2,1,ENSMUSG00000024610,Cd74,5.5515784853521515,4.169420289859324,True
2,2,ENSMUSG00000036594,H2-Aa,4.457576071796548,3.6228645482530837,True
2,3,ENSMUSG00000073421,H2-Ab1,4.171431805406298,3.4043164285649143,True
2,4,ENSMUSG00000060586,H2-Eb1,3.9585126804954864,3.25733537249859,True
2,5,ENSMUSG00000027447,Cst3,4.185667555121815,2.5152683179639963,True
2,6,ENSMUSG00000006360,Crip1,3.437142635593895,1.8709990216858443,True
2,7,ENSMUSG00000015396,Cd83,2.2169576649781035,1.7789596236777354,True
2,8,ENSMUSG00000079547,H2-DMb1,1.9029815608651197,1.680838292216796,True
2,9,ENSMUSG00000038642,Ctss,2.1382665297939996,1.5870033089332356,True
2,10,ENSMUSG00000037649,H2-DMa,1.9117785014462572,1.5789931340953662,True
2,11,ENSMUSG00000004207,Psap,3.089018030702567,1.5686509915313693,True
2,12,ENSMUSG00000026728,Vim,3.4402969206268548,1.5656889115647745,True
2,13,ENSMUSG00000069516,Lyz2,2.3035666730661855,1.508028801295602,True
2,14,ENSMUSG00000030214,Plbd1,1.7585065015474288,1.4813872040491016,True
2,15,ENSMUSG00000026628,Atf3,2.4778533915386483,1.4310522634421987,True
2,16,ENSMUSG00000063856,Gpx1,2.6686484098684886,1.3360525909151635,True
2,17,ENSMUSG00000044786,Zfp36,3.2018466028658783,1.3112660370540106,True
2,18,ENSMUSG00000030579,Tyrobp,2.497916834381949,1.3064668296214643,True
2,19,ENSMUSG00000033685,Ucp2,2.7085338501619693,1.2818892491617933,True
2,20,ENSMUSG00000018585,Atox1,1.9171021647375672,1.2333534447458177,True
2,21,ENSMUSG00000021250,Fos,3.3788231782176914,1.2114213439376447,True
2,22,ENSMUSG00000060063,Alox5ap,1.8878177153650952,1.1844986024717448,True
2,23,ENSMUSG00000037894,H2afz,2.217634873636881,1.1487531667445836,True
2,24,ENSMUSG00000058715,Fcer1g,2.0751078740826676,1.1378135122464101,True
2,25,ENSMUSG00000028581,Laptm5,2.3744679277434066,1.1358602376518645,True
2,26,ENSMUSG00000048277,Syngr2,1.5221864711336728,1.1293175507554074,True
2,27,ENSMUSG00000018819,Lsp1,2.251624035046381,1.0904052777221405,True
2,28,ENSMUSG00000036905,C1qb,1.0719983615607274,1.053769900139249,True
2,29,ENSMUSG00000091971,Hspa1a,1.441663697033244,1.0392340302777439,True
2,30,ENSMUSG00000000594,Gm2a,1.5645625467936533,1.027429686115593,True
2,31,ENSMUSG00000001270,Ckb,1.2768834312642072,1.0202176884941925,True
2,32,ENSMUSG00000032359,Ctsh,1.4480421671315151,0.9977071211565307,True
2,33,ENSMUSG00000003429,Rps11,3.5262549558357033,0.962382400522801,True
2,34,ENSMUSG00000018920,Cxcl16,1.0742960457353532,0.9578604910450269,True
2,35,ENSMUSG00000036887,C1qa,0.9607376077783709,0.9482895762639869,True
3,1,ENSMUSG00000024610,Cd74,4.273939665261802,2.758762193237913,True
3,2,ENSMUSG00000026879,Gsn,3.398963262508442,2.0764544314697124,True
3,3,ENSMUSG00000036594,H2-Aa,2.6960370076167117,1.7439625291750263,True
3,4,ENSMUSG00000024653,Scgb1a1,1.7251637601233147,1.5740097414593492,True
3,5,ENSMUSG00000056071,S100a9,2.467792243926556,1.5541781348156545,True
3,6,ENSMUSG00000073421,H2-Ab1,2.310357504076772,1.432396441081988,True
3,7,ENSMUSG00000030218,Mgp,1.989067994541936,1.3792216688950472,True
3,8,ENSMUSG00000076934,Iglv1,1.3444053267503713,1.2685032120138682,True
3,9,ENSMUSG00000036256,Igfbp7,2.164416214862427,1.2558418910471678,True
3,10,ENSMUSG00000023224,Serping1,1.8716572987568842,1.201765603188798,True
3,11,ENSMUSG00000060586,H2-Eb1,1.946648586880077,1.1387794523496062,True
3,12,ENSMUSG00000002985,Apoe,1.8281146853001087,1.0441362040245674,True
3,13,ENSMUSG00000029309,Sparcl1,1.7446553567787269,1.0362121576413612,True
3,14,ENSMUSG00000072941,Sod3,1.515833001632195,0.999348712635734,True
3,15,ENSMUSG00000015452,Ager,1.1900055160770169,0.9394244726554424,True
3,16,ENSMUSG00000028649,Macf1,2.1629000801544684,0.928483763493313,True
3,17,ENSMUSG00000003379,Cd79a,1.3518731795348131,0.8965296600480802,True
3,18,ENSMUSG00000003477,Inmt,1.3723190233304903,0.8962987055309783,True
3,19,ENSMUSG00000026365,Cfh,1.400506762715129,0.8644002367988316,True
3,20,ENSMUSG00000019929,Dcn,1.2911916320974177,0.8547770594316683,True
3,21,ENSMUSG00000027447,Cst3,2.5863580185097534,0.8334477179230622,True
3,22,ENSMUSG00000029810,Tmem176b,1.614345937193214,0.7823276526138943,True
3,23,ENSMUSG00000079105,C7,1.2059465824783622,0.7758482049234496,True
3,24,ENSMUSG00000020044,Timp3,1.4688640399412676,0.7639507091461769,True
3,25,ENSMUSG00000105361,AY036118,3.4197619394822554,0.7495051842397693,True
3,26,ENSMUSG00000076609,Igkc,1.104731832231794,0.7329663495072982,True
3,27,ENSMUSG00000025290,Rps24,3.8238183120628455,0.7021660854431211,True
3,28,ENSMUSG00000034634,Ly6d,1.0492953000130592,0.7012624752190169,True
3,29,ENSMUSG00000056054,S100a8,1.4705318011246717,0.6862847289210078,True
3,30,ENSMUSG00000037944,Ccr7,1.2030310646280067,0.6759458125657279,True
3,31,ENSMUSG00000029231,Pdgfra,1.0052691047841853,0.6747564555286425,True
3,32,ENSMUSG00000017493,Igfbp4,1.1749987594493023,0.6370456596273573,True
3,33,ENSMUSG00000098178,Gm42418,6.107066718014804,0.6211077075868818,True
3,34,ENSMUSG00000028234,Rps20,3.373710158583406,0.6178743013339179,True
3,35,ENSMUSG00000044533,Rps2,3.0449083749350017,0.610410558680297,True
4,1,ENSMUSG00000056071,S100a9,4.0894479340824645,3.241375176489634,True
4,2,ENSMUSG00000069516,Lyz2,3.9683487187874946,3.1906659429515183,True
4,3,ENSMUSG00000027398,Il1b,4.211898028066284,3.1264965337362423,True
4,4,ENSMUSG00000056054,S100a8,3.492958890176133,2.7663942084628017,True
4,5,ENSMUSG00000030579,Tyrobp,3.6410130121205984,2.458449487789834,True
4,6,ENSMUSG00000058715,Fcer1g,3.101527802744194,2.17265231076187,True
4,7,ENSMUSG00000056501,Cebpb,3.6399641721264313,2.080256733566738,True
4,8,ENSMUSG00000024610,Cd74,3.5271715114481355,2.0485732935255903,True
4,9,ENSMUSG00000075705,Msrb1,2.793528105083265,1.9281339409939082,True
4,10,ENSMUSG00000060063,Alox5ap,2.5308856486685967,1.8269701103798508,True
4,11,ENSMUSG00000063856,Gpx1,3.130224776895423,1.7911529796492645,True
4,12,ENSMUSG00000073412,Lst1,2.2260438889068994,1.712491672121768,True
4,13,ENSMUSG00000015340,Cybb,1.9781192473969178,1.62438280366315,True
4,14,ENSMUSG00000028859,Csf3r,2.125540920288155,1.6139806880137817,True
4,15,ENSMUSG00000026628,Atf3,2.6693814442934176,1.6089804275575899,True
4,16,ENSMUSG00000024190,Dusp1,3.751466965302825,1.5960731782991746,True
4,17,ENSMUSG00000018927,Ccl6,2.107783372808052,1.589526161958307,True
4,18,ENSMUSG00000038642,Ctss,2.141517330451231,1.570570641109431,True
4,19,ENSMUSG00000004207,Psap,3.0631150160180893,1.5226515421077944,True
4,20,ENSMUSG00000025492,Ifitm3,2.632068929752629,1.5009324724716302,True
4,21,ENSMUSG00000021250,Fos,3.66815622523427,1.4920402802349009,True
4,22,ENSMUSG00000002111,Spi1,2.03956986816698,1.480266034549123,True
4,23,ENSMUSG00000020077,Srgn,3.304612004443219,1.460111462963265,True
4,24,ENSMUSG00000058427,Cxcl2,1.9026275234002816,1.4411003639390865,True
4,25,ENSMUSG00000023034,Nr4a1,2.93335583188424,1.4378394985039473,True
4,26,ENSMUSG00000038612,Mcl1,2.9986541183959496,1.377808089274717,True
4,27,ENSMUSG00000044786,Zfp36,3.2715455156407858,1.3661757847201994,True
4,28,ENSMUSG00000051439,Cd14,1.8388173260088814,1.3634416120646404,True
4,29,ENSMUSG00000030413,Pglyrp1,1.8661268156413968,1.3628578712266137,True
4,30,ENSMUSG00000060591,Ifitm2,2.6022156046605422,1.3611027516257534,True
4,31,ENSMUSG00000038811,Gngt2,1.697537143861777,1.3491907818785296,True
4,32,ENSMUSG00000027447,Cst3,3.0460615107103397,1.319279687108454,True
4,33,ENSMUSG00000029322,Plac8,1.7093644130386805,1.3175554739895587,True
4,34,ENSMUSG00000021281,Tnfaip2,1.803206102187304,1.309958914149214,True
4,35,ENSMUSG00000022651,Retnlg,1.7268321908716309,1.309152536850008,True
5,1,ENSMUSG00000046718,Bst2,3.6994857793158675,3.3259178916927503,True
5,2,ENSMUSG00000051504,Siglech,3.026813639985754,3.019496771581462,True
5,3,ENSMUSG00000041515,Irf8,3.410761719308001,2.9985246847767915,True
5,4,ENSMUSG00000030579,Tyrobp,3.8189690397140827,2.6051579435302354,True
5,5,ENSMUSG00000022584,Ly6c2,2.7296950068879635,2.4458670885273586,True
5,6,ENSMUSG00000024610,Cd74,3.8460928331030177,2.3428883838217125,True
5,7,ENSMUSG00000029322,Plac8,2.568481054711849,2.1663337915765766,True
5,8,ENSMUSG00000004207,Psap,3.718292274373643,2.163047938941902,True
5,9,ENSMUSG00000034708,Grn,2.6336364038447115,2.1433498068868246,True
5,10,ENSMUSG00000053477,Tcf4,2.541560163650107,2.118137616052823,True
5,11,ENSMUSG00000031495,Cd209d,2.0427984361952922,2.0325853448110376,True
5,12,ENSMUSG00000068220,Lgals1,2.8853255713239627,1.9731519270709326,True
5,13,ENSMUSG00000025163,Cd7,2.0714639787978313,1.9372820351015656,True
5,14,ENSMUSG00000046805,Mpeg1,2.251823896296481,1.924105305793488,True
5,15,ENSMUSG00000021939,Ctsb,2.8857659918196656,1.9111267260947877,True
5,16,ENSMUSG00000055541,Lair1,1.9791588466218177,1.8937305232985664,True
5,17,ENSMUSG00000021880,Rnase6,2.007817199382376,1.8582227904906705,True
5,18,ENSMUSG00000036594,H2-Aa,2.763708427358181,1.8220398637711406,True
5,19,ENSMUSG00000051495,Irf2bp2,2.3880188140463323,1.7736433889240777,True
5,20,ENSMUSG00000052160,Pld4,1.9481909049318191,1.710333942864159,True
5,21,ENSMUSG00000036908,Unc93b1,2.2042232919246594,1.6909005879821177,True
5,22,ENSMUSG00000039153,Runx2,1.7900945742079553,1.6820364014571383,True
5,23,ENSMUSG00000026547,Tagln2,2.9616198696988696,1.6627188095331753,True
5,24,ENSMUSG00000026581,Sell,2.2300254702568054,1.6303244406808037,True
5,25,ENSMUSG00000040710,St8sia4,1.9361794981550664,1.610578303938376,True
5,26,ENSMUSG00000073421,H2-Ab1,2.4789172464228693,1.6104509769564443,True
5,27,ENSMUSG00000098557,Kctd12,2.0858298783606672,1.5357973019374938,True
5,28,ENSMUSG00000032359,Ctsh,1.993175814760492,1.5218735594640131,True
5,29,ENSMUSG00000073702,Rpl31,2.707522821426392,1.511019474857026,True
5,30,ENSMUSG00000030785,Cox6a2,1.5383875846862793,1.5073597009949464,True
5,31,ENSMUSG00000027423,Snx5,1.92984927334684,1.4965880848979685,True
5,32,ENSMUSG00000005583,Mef2c,1.9465254327084156,1.4913233852509562,True
5,33,ENSMUSG00000015340,Cybb,1.8557052556504594,1.4793087835738334,True
5,34,ENSMUSG00000021477,Ctsl,2.077675926685333,1.4711767071193538,True
5,35,ENSMUSG00000029401,Rilpl2,1.7069155556090334,1.4495104154796283,True
6,1,ENSMUSG00000069516,Lyz2,5.750863878350509,4.9077958115434885,True
6,2,ENSMUSG00000017002,Slpi,4.743130056481612,4.308180880995258,True
6,3,ENSMUSG00000006014,Prg4,4.2260480805447225,4.214733878461579,True
6,4,ENSMUSG00000026193,Fn1,4.7249267226771305,4.212715926011823,True
6,5,ENSMUSG00000058427,Cxcl2,4.407675730554681,3.9177609506844657,True
6,6,ENSMUSG00000028108,Ecm1,3.7361661540834525,3.354607256980901,True
6,7,ENSMUSG00000001128,Cfp,3.321909044918261,3.203771523105387,True
6,8,ENSMUSG00000018924,Alox15,3.121829766976206,3.117526808721599,True
6,9,ENSMUSG00000036905,C1qb,3.133523514396266,3.081848399809891,True
6,10,ENSMUSG00000040152,Thbs1,3.337959088777241,2.9505401413897965,True
6,11,ENSMUSG00000051439,Cd14,3.439823953728927,2.937072673473058,True
6,12,ENSMUSG00000062345,Serpinb2,2.8410563531674837,2.7871709981036705,True
6,13,ENSMUSG00000036896,C1qc,2.5685587180288216,2.528122875230817,True
6,14,ENSMUSG00000026579,F5,2.583710639100326,2.5030885408374037,True
6,15,ENSMUSG00000037095,Lrg1,2.6904605878026864,2.45083552985376,True
6,16,ENSMUSG00000063856,Gpx1,3.6954942753440454,2.3194238604482664,True
6,17,ENSMUSG00000031765,Mt1,2.733778376328318,2.3193585366670453,True
6,18,ENSMUSG00000030579,Tyrobp,3.4767114865152458,2.2427325541170666,True
6,19,ENSMUSG00000073418,C4b,2.508733404310126,2.2360978355785286,True
6,20,ENSMUSG00000060063,Alox5ap,2.894220596865604,2.1524230421724506,True
6,21,ENSMUSG00000056501,Cebpb,3.7193069959941663,2.116240582717306,True
6,22,ENSMUSG00000003541,Ier3,2.6933710857441553,2.0794995603138173,True
6,23,ENSMUSG00000029380,Cxcl1,2.102906628658897,1.9648394446385646,True
6,24,ENSMUSG00000022122,Ednrb,2.029154369705602,1.9411058102673588,True
6,25,ENSMUSG00000005142,Man2b1,2.411459860048796,1.9166220835718943,True
6,26,ENSMUSG00000028581,Laptm5,3.1761957093289026,1.9005796301401714,True
6,27,ENSMUSG00000025330,Padi4,1.8811926151576794,1.8320564246704345,True
6,28,ENSMUSG00000026628,Atf3,2.9109311480271187,1.8171153060553045,True
6,29,ENSMUSG00000026547,Tagln2,3.1283579876548364,1.8168442843975179,True
6,30,ENSMUSG00000027447,Cst3,3.568272778862401,1.8143107638768705,True
6,31,ENSMUSG00000025278,Flnb,1.9337788945750187,1.8103199925550197,True
6,32,ENSMUSG00000043953,Ccrl2,2.1759698045881173,1.8102664785083509,True
6,33,ENSMUSG00000038642,Ctss,2.412275220218458,1.8087349329561686,True
6,34,ENSMUSG00000034708,Grn,2.3077021774492765,1.8007929788548722,True
6,35,ENSMUSG00000027111,Itga6,1.932379993953203,1.8003764307028702,True
7,1,ENSMUSG00000026879,Gsn,5.163128277563279,4.034219608051613,True
7,2,ENSMUSG00000031375,Bgn,3.769859608698062,3.2384135197578727,True
7,3,ENSMUSG00000030218,Mgp,3.635918712487785,3.179349014937519,True
7,4,ENSMUSG00000003477,Inmt,3.4842788813148347,3.161994621909914,True
7,5,ENSMUSG00000023224,Serping1,3.5294730130916854,3.0047161501554482,True
7,6,ENSMUSG00000029309,Sparcl1,3.514067918596302,2.9484308185168486,True
7,7,ENSMUSG00000018339,Gpx3,3.3197485129465765,2.9027891111381727,True
7,8,ENSMUSG00000002985,Apoe,3.479109624081615,2.832173360345726,True
7,9,ENSMUSG00000072941,Sod3,3.0957365102665397,2.710401915764969,True
7,10,ENSMUSG00000042436,Mfap4,3.005300189773669,2.697267330856683,True
7,11,ENSMUSG00000036256,Igfbp7,3.257308443814623,2.467170661707814,True
7,12,ENSMUSG00000021390,Ogn,2.7379704523257455,2.3677064978899187,True
7,13,ENSMUSG00000023092,Fhl1,2.7272267639636993,2.3502734530133256,True
7,14,ENSMUSG00000041120,Nbl1,2.5898170450682283,2.280819613802219,True
7,15,ENSMUSG00000040170,Fmo2,2.6577154936329013,2.274199249855167,True
7,16,ENSMUSG00000079105,C7,2.506456466323586,2.1820188166461016,True
7,17,ENSMUSG00000018593,Sparc,2.8968708883904215,2.1662075434226264,True
7,18,ENSMUSG00000040488,Ltbp4,2.550209262465063,2.1637127534448855,True
7,19,ENSMUSG00000037736,Limch1,2.425551388319248,2.0996517580215666,True
7,20,ENSMUSG00000041577,Prelp,2.3744360622539316,2.088584725351527,True
7,21,ENSMUSG00000025784,Clec3b,2.4495649647969073,2.0790934446051494,True
7,22,ENSMUSG00000026043,Col3a1,2.454907659518676,2.041797296806502,True
7,23,ENSMUSG00000040998,Npnt,2.345683256015983,2.0390544385744525,True
7,24,ENSMUSG00000028649,Macf1,3.1728103558649727,2.0364485101104153,True
7,25,ENSMUSG00000026365,Cfh,2.4230506506017457,1.982509091748272,True
7,26,ENSMUSG00000029070,Mxra8,2.244050995167011,1.976417689932747,True
7,27,ENSMUSG00000026748,Plxdc2,2.246538828692556,1.9272047020965757,True
7,28,ENSMUSG00000029810,Tmem176b,2.665735093453452,1.9267515123577488,True
7,29,ENSMUSG00000037706,Cd81,2.592403230188568,1.9206206983142406,True
7,30,ENSMUSG00000028517,Plpp3,2.296115348629627,1.9174681835275087,True
7,31,ENSMUSG00000015354,Pcolce2,2.1710776682822934,1.9118481570199573,True
7,32,ENSMUSG00000016194,Hsd11b1,2.2014786980271768,1.9066408205897667,True
7,33,ENSMUSG00000029661,Col1a2,2.2517703825854913,1.8947757157092533,True
7,34,ENSMUSG00000027848,Olfml3,2.058325510383934,1.890436739902356,True
7,35,ENSMUSG00000021508,Cxcl14,1.9902747161713126,1.86422168246057,True
8,1,ENSMUSG00000079523,Tmsb10,4.418087985722346,1.7867045244318396,True
8,2,ENSMUSG00000032093,Cd3e,1.9992814426931582,1.7084864745460748,True
8,3,ENSMUSG00000003882,Il7r,1.983064236328622,1.6945036346066942,True
8,4,ENSMUSG00000038900,Rpl12,3.1195055114407264,1.6813000270823377,True
8,5,ENSMUSG00000032094,Cd3d,1.8892094923862817,1.6578226577088693,True
8,6,ENSMUSG00000056290,Ms4a4b,1.9427234257615358,1.6467031854432794,True
8,7,ENSMUSG00000025290,Rps24,4.577253818730055,1.60942724333175,True
8,8,ENSMUSG00000008683,Rps15a,3.9026158140816185,1.4891479566682535,True
8,9,ENSMUSG00000032518,Rpsa,3.986076829353183,1.4855670233799274,True
8,10,ENSMUSG00000067288,Rps28,4.156915295529706,1.4737055053565462,True
8,11,ENSMUSG00000027985,Lef1,1.5672403620879727,1.4688976984962019,True
8,12,ENSMUSG00000061477,Rps7,3.763800739456872,1.4687010328098955,True
8,13,ENSMUSG00000008668,Rps18,3.3934279243194965,1.4614902436909267,True
8,14,ENSMUSG00000037944,Ccr7,1.8479100697606725,1.4602903762715866,True
8,15,ENSMUSG00000067274,Rplp0,3.8801240220507816,1.4504308581842502,True
8,16,ENSMUSG00000007892,Rplp1,4.048167033157111,1.4326268602491687,True
8,17,ENSMUSG00000040952,Rps19,3.7302064116603937,1.4307833078998233,True
8,18,ENSMUSG00000057841,Rpl32,3.71841785295342,1.4100509769095821,True
8,19,ENSMUSG00000028234,Rps20,4.012643242423193,1.389589755321766,True
8,20,ENSMUSG00000012848,Rps5,3.862021531284052,1.3830196754431783,True
8,21,ENSMUSG00000017404,Rpl19,3.9321368571563036,1.3259514286227159,True
8,22,ENSMUSG00000031320,Rps4x,3.8625819649488724,1.3239463420639357,True
8,23,ENSMUSG00000037563,Rps16,4.0325302061387305,1.3132583050559061,True
8,24,ENSMUSG00000032035,Ets1,2.0665369259975264,1.3074442796089039,True
8,25,ENSMUSG00000068240,Gm11808,2.886938280187768,1.3009073109993385,True
8,26,ENSMUSG00000039001,Rps21,3.9930510426719157,1.3002400396190872,True
8,27,ENSMUSG00000025508,Rplp2,3.357189125557588,1.2963498801204607,True
8,28,ENSMUSG00000090862,Rps13,3.5714002158063436,1.2784227403966506,True
8,29,ENSMUSG00000079641,Rpl39,3.924954102059402,1.272617746156946,True
8,30,ENSMUSG00000025362,Rps26,3.6436740906300495,1.2713423595321243,True
8,31,ENSMUSG00000002033,Cd3g,1.4909671134142661,1.270846543197633,True
8,32,ENSMUSG00000057863,Rpl36,3.6550397048535643,1.268653425487229,True
8,33,ENSMUSG00000000740,Rpl13,4.137932879820962,1.266871357302369,True
8,34,ENSMUSG00000030742,Lat,1.503683581397597,1.264652466203443,True
8,35,ENSMUSG00000024677,Ms4a6b,1.5176592492551277,1.2609225771202497,True
9,1,ENSMUSG00000032093,Cd3e,2.250809553667163,1.9090579791310756,True
9,2,ENSMUSG00000003882,Il7r,2.1579158736071404,1.814060581916838,True
9,3,ENSMUSG00000032011,Thy1,1.9343231374983527,1.640999628857801,True
9,4,ENSMUSG00000002033,Cd3g,1.7907463625320024,1.539902852992499,True
9,5,ENSMUSG00000041959,S100a10,2.456851906140927,1.4844761182775867,True
9,6,ENSMUSG00000032094,Cd3d,1.733951449552749,1.427671390697367,True
9,7,ENSMUSG00000030742,Lat,1.662250175526097,1.38373999965429,True
9,8,ENSMUSG00000026009,Icos,1.482152588260371,1.3782363277367202,True
9,9,ENSMUSG00000019850,Tnfaip3,2.0948252710855035,1.3197924856885948,True
9,10,ENSMUSG00000026358,Rgs1,1.6005139321828565,1.299536650364503,True
9,11,ENSMUSG00000068220,Lgals1,2.120813085748231,1.268197545978957,True
9,12,ENSMUSG00000001020,S100a4,1.5128478400109788,1.2442773467851522,True
9,13,ENSMUSG00000032035,Ets1,2.022238287696038,1.2090609442685474,True
9,14,ENSMUSG00000061232,H2-K1,3.1227856833249965,1.191559997425629,True
9,15,ENSMUSG00000079523,Tmsb10,3.9004581013328923,1.1660356142309096,True
9,16,ENSMUSG00000028581,Laptm5,2.3720710699933076,1.1649680724764033,True
9,17,ENSMUSG00000045826,Ptprcap,1.5928462683872693,1.1551693604501392,True
9,18,ENSMUSG00000024399,Ltb,1.7427093749315463,1.1548979093750391,True
9,19,ENSMUSG00000048521,Cxcr6,1.2122879108286355,1.154861163594428,True
9,20,ENSMUSG00000031304,Il2rg,1.7445697635412216,1.1512517714895756,True
9,21,ENSMUSG00000001281,Itgb7,1.4922296149264274,1.131391884909875,True
9,22,ENSMUSG00000021728,Emb,1.6555295595921242,1.0749657007385922,True
9,23,ENSMUSG00000033220,Rac2,2.280732531813865,1.0746578514846516,True
