donor,disease,celltype,compartment,cells,eligible
388C,control,Macrophage,myeloid,811,True
388C,control,Macrophage_Alveolar,myeloid,953,True
388C,control,Myofibroblast,fibroblast,12,False
396C,control,ATII,epithelial,170,True
396C,control,Fibroblast,fibroblast,3,False
396C,control,Macrophage,myeloid,368,True
396C,control,Macrophage_Alveolar,myeloid,587,True
396C,control,Myofibroblast,fibroblast,1,False
439C,control,ATII,epithelial,19,False
439C,control,Fibroblast,fibroblast,18,False
439C,control,Macrophage,myeloid,1129,True
439C,control,Macrophage_Alveolar,myeloid,2474,True
439C,control,Myofibroblast,fibroblast,12,False
454C,control,ATII,epithelial,89,True
454C,control,Fibroblast,fibroblast,4,False
454C,control,Macrophage,myeloid,467,True
454C,control,Macrophage_Alveolar,myeloid,61,True
454C,control,Myofibroblast,fibroblast,3,False
465C,control,ATII,epithelial,24,False
465C,control,Fibroblast,fibroblast,29,False
465C,control,Macrophage,myeloid,183,True
465C,control,Macrophage_Alveolar,myeloid,822,True
465C,control,Myofibroblast,fibroblast,3,False
47I,IPF,Fibroblast,fibroblast,20,False
47I,IPF,Macrophage,myeloid,975,True
47I,IPF,Macrophage_Alveolar,myeloid,850,True
47I,IPF,Myofibroblast,fibroblast,23,False
483C,control,ATII,epithelial,28,False
483C,control,Fibroblast,fibroblast,5,False
483C,control,Macrophage,myeloid,690,True
483C,control,Macrophage_Alveolar,myeloid,1141,True
484C,control,ATII,epithelial,1,False
484C,control,Fibroblast,fibroblast,1,False
484C,control,Macrophage,myeloid,276,True
484C,control,Macrophage_Alveolar,myeloid,273,True
484C,control,Myofibroblast,fibroblast,1,False
49I,IPF,ATII,epithelial,1,False
49I,IPF,Fibroblast,fibroblast,25,False
49I,IPF,Macrophage,myeloid,1896,True
49I,IPF,Macrophage_Alveolar,myeloid,563,True
49I,IPF,Myofibroblast,fibroblast,78,True
59I,IPF,ATII,epithelial,2,False
59I,IPF,Fibroblast,fibroblast,22,False
59I,IPF,Macrophage,myeloid,266,True
59I,IPF,Macrophage_Alveolar,myeloid,77,True
59I,IPF,Myofibroblast,fibroblast,30,False
