set,es,nes,p_perm,fdr,leading_edge,size
HALLMARK_UV_RESPONSE_UP,0.3040595753113057,1.2045115235657433,0.14495798319327732,0.26263944625958446,Mmp14;Stard3;Tap1;Ctsl;Ppif;Bid;Bak1;Grina;Arrb2;Parp2;Irf1;Rasgrp1;Hspa2;Slc6a8;Prkcd;Sod2;Ap2s1;Selenow;Gch1;Atp6v1f;Pole3;Bsg;Grpel1;Psmc3;Fos;Cdo1;Junb;Car2;Dlg4;Casp3;Lyn;Abcb1a;Icam1;Tst;Mrpl23;Btg3;Gpx3;Cnp;Hmox1;Rab27a;Rxrb;Cyb5r1;Furin;Tmbim6;Urod;Nfkbia;Ppp1r2;Alas1;Cdc34;Ccne1;Btg1;Htr7,133
HALLMARK_ESTROGEN_RESPONSE_LATE,-0.2072390124489726,-1.1131907854189056,0.1774193548387097,0.3278953973201636,Hr;Sult2b1;Gal;Pdcd4;Ovol2;Prkar2b;Egr3;Tob1;Krt19;Il6st;Lsr;Slc16a1;Hspa4l;Perp;Kcnk5;Cd44;Cd9;Fkbp4;Rabep1;Nrip1;Elovl5;Etfb;Dynlt3;Trim29;Cyp26b1;Rps6ka2;Cav1,133
HALLMARK_SPERMATOGENESIS,0.29940534998123736,1.0870953345392609,0.33104238258877433,0.5270502078247674,Pgs1;Vdac3;Septin4;Parp2;Hspa2;Phf7;Rpl39l;Mtor;Aurka;Psmg1;Tle4;Arl4a;Stam2;Pias2;Pebp1;Gsg1;Clpb;Csnk2a2;Coil;Kif2c,61
HALLMARK_MYOGENESIS,0.2795729065989459,1.0860240853021763,0.32802547770700635,0.508678498383585,Agrn;Fabp3;Tnnt1;Prnp;Ptp4a3;Plxnb2;Mylpf;Cnn3;Hdac5;Slc6a8;Sparc;Col4a2;Col3a1;Igfbp7;Apod;Pfkm;Ocel1;Cox6a2;Col6a2;Bag1;Myo1c;Gadd45b;Tpm3;Gaa;Sphk1;Acsl1;Fkbp1b;Gpx3;Fdps;Itgb5;Atp2a1;Pdlim7;Col1a1;Col6a3,113
HALLMARK_TGF_BETA_SIGNALING,0.30526802261359315,1.081402297873884,0.37126436781609196,0.5000329880583229,Ifngr2;Id2;Id3;Thbs1;Hdac1;Smad7;Tgif1;Junb;Ppp1ca;Eng;Ltbp2;Id1;Furin;Ube2d3;Ppp1r15a;Cdk9;Rab31;Smad6;Slc20a1;Bmpr1a,52
HALLMARK_NOTCH_SIGNALING,0.3436510590251867,1.07328189492929,0.3889585947302384,0.5018118996478831,Rbx1;Sap30;Aph1a;Hes1;Dll1;Lfng;Psenen;Dtx2;Fbxw11,27
HALLMARK_MITOTIC_SPINDLE,-0.18409803415209963,-1.049498314700753,0.3684210526315789,0.42788325304618874,Net1;Arhgef12;Rhof;Ezr;Arhgap5;Dst;Synpo;Kif1b;Rock1;Numa1;Ccdc88a;Anln;Akap13;Septin9;Hook3;Myh9;Arhgef3;Pcm1;Nck1;Nedd9;Lats1;Smc1a;Alms1;Lrpprc;Klc1;Smc4;Dynll2;Dlg1;Itsn1;Smc3;Kifap3;Arhgap29;Arfgef1;Kif23;Prex1;Ralbp1;Brca2,192
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.2641654700851754,1.0215546894239491,0.452431289640592,0.618761722542154,Eif4ebp1;Exosc1;Spcs1;Exosc10;Ddit4;Pop4;Atf6;Eif4e;Vegfa;Arfgap1;Dcp2;Exosc4;Srpr;Sdad1;Eif4a3;Eif2s1;Tubb2a;Edem1;Gosr2;Dcp1a;Mthfd2;Eif4a1;Cnot2;Parn;Yif1a;Tatdn2;Psat1;Edc4;Preb;Lsm4;Exosc9;Serp1,100
HALLMARK_PROTEIN_SECRETION,0.2576410722112973,0.98991404415861,0.49783549783549785,0.6805914190097667,Ergic3;Ctsc;Gla;Snx2;Stx7;Rab9;Gnas;Tpd52;Cope;Ap2s1;Arf1;Bnip3;Rer1;Cog2;Lamp2;Stx16;Clta;Yipf6;Gosr2;M6pr;Rab22a;Tsg101;Igf2r;Ap2m1;Napa;Atp6v1h,89
HALLMARK_P53_PATHWAY,0.23879810642572236,0.9803068902688252,0.5376782077393075,0.6838930307228782,Ldhb;Plk2;Cyfip2;Tap1;Sat1;Ier3;Dcxr;Ddit4;Plxnb2;Bak1;Casp1;Bax;Gadd45a;Hras;Dram1;Sertad3;Trafd1;Upp1;Socs1;Trib3;Ifi30;Ada;Vamp8;Nupr1;S100a4;Pdgfa;Tcn2;Sfn;Ddit3;Iscu;Ninj1;Fos;Mapkapk3;Rpl18;Jun;Rpl36;Sphk1;Ndrg1;Rhbdf2;Hdac3;Ccnk;Hmox1;Slc3a2;Mxd1;Elp1;Fas;Sdc1;Mdm2;Osgin1;Il1a;Procr,176
