donor,tissue,compartment,n_cells,det_AREG,mean_AREG,det_EREG,mean_EREG,det_HBEGF,mean_HBEGF,det_TGFA,mean_TGFA,det_EGF,mean_EGF,det_BTC,mean_BTC,det_EPGN,mean_EPGN,det_EGFR,mean_EGFR,evaluable
LUNG_N18,nLung,mesenchymal,128,0.0469,0.0935,0.0,0.0,0.1562,0.2833,0.0,0.0,0.0,0.0,0.0156,0.0153,0.0,0.0,0.125,0.1804,True
LUNG_N18,nLung,myeloid,533,0.3171,0.8792,0.0525,0.1176,0.1257,0.2631,0.0094,0.0145,0.0,0.0,0.0038,0.0051,0.0,0.0,0.0056,0.0058,True
LUNG_N18,nLung,neutrophil,1622,0.4044,0.8812,0.3736,0.7053,0.7238,1.44,0.0105,0.0132,0.0006,0.001,0.0043,0.0029,0.0012,0.0006,0.0049,0.0027,True
LUNG_N18,nLung,other immune,71,0.1408,0.4095,0.0,0.0,0.0141,0.0618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
LUNG_N18,nLung,unassigned,862,0.2865,0.9452,0.1253,0.3689,0.1415,0.3432,0.0023,0.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0023,0.006,True
LUNG_N19,nLung,endothelial,505,0.0653,0.1235,0.0634,0.163,0.2059,0.3235,0.0059,0.0052,0.0,0.0,0.004,0.0044,0.0,0.0,0.0554,0.0786,True
LUNG_N19,nLung,epithelial,162,0.3272,0.6719,0.0185,0.0342,0.1173,0.159,0.0123,0.0094,0.0123,0.0092,0.0432,0.0479,0.0,0.0,0.2469,0.2902,True
LUNG_N19,nLung,lymphoid,558,0.0932,0.2226,0.0018,0.0033,0.0125,0.0261,0.0054,0.0103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
LUNG_N19,nLung,mesenchymal,55,0.0545,0.1826,0.0,0.0,0.0909,0.1584,0.0,0.0,0.0,0.0,0.0364,0.0597,0.0,0.0,0.1091,0.2159,True
LUNG_N19,nLung,myeloid,676,0.1213,0.273,0.0207,0.0423,0.0488,0.0853,0.0133,0.0197,0.0,0.0,0.0015,0.0016,0.0,0.0,0.0044,0.0045,True
LUNG_N19,nLung,neutrophil,1264,0.1495,0.2791,0.2017,0.3737,0.4272,0.5489,0.0071,0.0086,0.0,0.0,0.0,0.0,0.0,0.0,0.0055,0.0058,True
LUNG_N19,nLung,other immune,40,0.125,0.3252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
LUNG_N19,nLung,unassigned,610,0.1639,0.4267,0.0623,0.2225,0.0492,0.0998,0.0049,0.0095,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0028,True
LUNG_N20,nLung,endothelial,755,0.0583,0.1055,0.1377,0.2891,0.4517,0.7475,0.0053,0.0061,0.0013,0.0016,0.0013,0.0009,0.0,0.0,0.0093,0.011,True
LUNG_N20,nLung,epithelial,295,0.1559,0.2972,0.0169,0.0293,0.1288,0.1998,0.0271,0.0459,0.0034,0.0017,0.0508,0.0681,0.0,0.0,0.2068,0.3063,True
LUNG_N20,nLung,lymphoid,515,0.1087,0.3079,0.0019,0.0054,0.0058,0.0143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
LUNG_N20,nLung,mesenchymal,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
LUNG_N20,nLung,myeloid,388,0.1237,0.3156,0.0309,0.0678,0.0541,0.1032,0.0052,0.0084,0.0,0.0,0.0,0.0,0.0,0.0,0.0026,0.0047,True
LUNG_N20,nLung,neutrophil,2500,0.068,0.1171,0.166,0.3119,0.5124,0.8004,0.0088,0.0095,0.0004,0.0007,0.0016,0.0013,0.0004,0.0005,0.004,0.0031,True
LUNG_N20,nLung,other immune,59,0.1525,0.4197,0.0,0.0,0.0169,0.0254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0169,0.0269,True
LUNG_N20,nLung,unassigned,1278,0.0845,0.2335,0.0767,0.1809,0.1557,0.278,0.0039,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0023,0.0053,True
LUNG_N28,nLung,endothelial,130,0.0846,0.1176,0.0846,0.1703,0.3769,0.6947,0.0154,0.013,0.0077,0.0062,0.0154,0.0125,0.0,0.0,0.0462,0.0395,True
LUNG_N28,nLung,epithelial,198,0.298,0.481,0.0202,0.0153,0.2273,0.2702,0.0303,0.0292,0.0051,0.0043,0.0909,0.0999,0.0,0.0,0.2121,0.2317,True
LUNG_N28,nLung,lymphoid,605,0.0744,0.2116,0.005,0.0135,0.005,0.0113,0.0017,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
LUNG_N28,nLung,mesenchymal,15,0.0,0.0,0.0,0.0,0.0667,0.1457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0667,0.1042,False
LUNG_N28,nLung,myeloid,604,0.0977,0.2378,0.0033,0.0066,0.0199,0.0372,0.0083,0.0185,0.0,0.0,0.0017,0.0014,0.0,0.0,0.0,0.0,True
LUNG_N28,nLung,neutrophil,853,0.0715,0.1153,0.0891,0.1312,0.4689,0.6918,0.007,0.0054,0.0,0.0,0.0023,0.0019,0.0,0.0,0.0035,0.0027,True
LUNG_N28,nLung,other immune,43,0.0698,0.1903,0.0233,0.0415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
LUNG_N28,nLung,unassigned,963,0.0675,0.1879,0.0093,0.0255,0.0457,0.0922,0.0062,0.0137,0.0,0.0,0.001,0.0014,0.0,0.0,0.0021,0.0047,True
LUNG_N30,nLung,endothelial,274,0.1533,0.4411,0.0876,0.2298,0.2774,0.5625,0.0182,0.026,0.0,0.0,0.0109,0.0284,0.0,0.0,0.0401,0.0651,True
LUNG_N30,nLung,epithelial,328,0.3018,0.6682,0.0213,0.0582,0.186,0.3339,0.0396,0.0582,0.003,0.0052,0.0366,0.0565,0.0,0.0,0.122,0.2018,True
LUNG_N30,nLung,lymphoid,874,0.1911,0.5537,0.0046,0.0123,0.0103,0.0231,0.0057,0.0147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
LUNG_N30,nLung,mesenchymal,205,0.0244,0.0737,0.0146,0.0645,0.0732,0.1335,0.0,0.0,0.0,0.0,0.0098,0.0151,0.0,0.0,0.122,0.2255,True
LUNG_N30,nLung,myeloid,420,0.2476,0.697,0.0286,0.0895,0.1238,0.2826,0.0095,0.0205,0.0,0.0,0.0,0.0,0.0,0.0,0.0095,0.0108,True
LUNG_N30,nLung,neutrophil,561,0.2834,0.8214,0.2692,0.7855,0.5971,1.137,0.0089,0.0101,0.0,0.0,0.0,0.0,0.0,0.0,0.0053,0.0035,True
LUNG_N30,nLung,other immune,106,0.0849,0.2342,0.0,0.0,0.0283,0.0661,0.0,0.0,0.0,0.0,0.0094,0.0114,0.0,0.0,0.0094,0.0104,True
LUNG_N30,nLung,unassigned,1116,0.2151,0.6855,0.0663,0.2054,0.086,0.2101,0.0027,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0047,True
LUNG_N31,nLung,endothelial,405,0.2469,0.691,0.1877,0.356,0.4198,0.8249,0.0173,0.0223,0.0,0.0,0.0025,0.0009,0.0,0.0,0.042,0.0548,True
LUNG_N31,nLung,epithelial,587,0.4685,1.3117,0.0443,0.0943,0.2572,0.449,0.0341,0.061,0.0051,0.0072,0.0784,0.1135,0.0,0.0,0.1942,0.3231,True
LUNG_N31,nLung,lymphoid,630,0.1587,0.4968,0.0063,0.0174,0.0127,0.0267,0.0,0.0,0.0,0.0,0.0016,0.0021,0.0,0.0,0.0063,0.0103,True
LUNG_N31,nLung,mesenchymal,731,0.0479,0.0982,0.0164,0.0472,0.1669,0.2659,0.0027,0.0027,0.0,0.0,0.0123,0.0241,0.0,0.0,0.2736,0.4032,True
LUNG_N31,nLung,myeloid,302,0.3576,1.189,0.096,0.218,0.255,0.5169,0.0099,0.0132,0.0,0.0,0.0033,0.0022,0.0,0.0,0.0132,0.0175,True
LUNG_N31,nLung,neutrophil,793,0.3796,0.9101,0.3897,0.7712,0.6671,1.2608,0.0088,0.0099,0.0,0.0,0.0013,0.0009,0.0013,0.0009,0.0076,0.0092,True
LUNG_N31,nLung,other immune,62,0.2903,0.9341,0.0,0.0,0.0484,0.0604,0.0161,0.0128,0.0,0.0,0.0161,0.021,0.0,0.0,0.0806,0.1369,True
LUNG_N31,nLung,unassigned,731,0.2585,0.9065,0.1163,0.3277,0.1259,0.2959,0.0014,0.0037,0.0,0.0,0.0068,0.0195,0.0,0.0,0.0055,0.0134,True
LUNG_N34,nLung,endothelial,372,0.2446,0.6566,0.2661,0.6469,0.4812,0.7807,0.0108,0.01,0.0,0.0,0.0161,0.0175,0.0,0.0,0.0565,0.0715,True
LUNG_N34,nLung,epithelial,592,0.4578,1.112,0.0389,0.0764,0.2635,0.4331,0.022,0.0343,0.0152,0.0187,0.0541,0.0806,0.0,0.0,0.1926,0.2966,True
LUNG_N34,nLung,lymphoid,992,0.1734,0.5206,0.0111,0.0286,0.0111,0.0269,0.003,0.0087,0.0,0.0,0.004,0.0089,0.0,0.0,0.004,0.0081,True
LUNG_N34,nLung,mesenchymal,136,0.0147,0.0239,0.0294,0.0561,0.0662,0.0762,0.0,0.0,0.0,0.0,0.0221,0.0321,0.0,0.0,0.1618,0.2355,True
LUNG_N34,nLung,myeloid,459,0.2397,0.7229,0.0828,0.2164,0.0806,0.1434,0.0087,0.0133,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0032,True
LUNG_N34,nLung,neutrophil,1332,0.2853,0.6978,0.3829,0.9104,0.6044,0.9112,0.006,0.007,0.0,0.0,0.003,0.0029,0.0,0.0,0.0075,0.0097,True
LUNG_N34,nLung,other immune,58,0.1897,0.5911,0.0172,0.025,0.0517,0.093,0.0172,0.0267,0.0,0.0,0.0,0.0,0.0,0.0,0.0345,0.0615,True
LUNG_N34,nLung,unassigned,1281,0.2186,0.6859,0.0796,0.2873,0.0788,0.1754,0.0023,0.0067,0.0,0.0,0.0008,0.0026,0.0,0.0,0.0055,0.0121,True
LUNG_T06,tLung,endothelial,118,0.178,0.3555,0.0678,0.2009,0.3729,0.663,0.0169,0.0108,0.0,0.0,0.0085,0.0034,0.0,0.0,0.0424,0.0626,True
LUNG_T06,tLung,epithelial,179,0.2514,0.4738,0.0447,0.0644,0.1788,0.2287,0.0335,0.0333,0.0279,0.0338,0.0894,0.1057,0.0056,0.0039,0.2961,0.3897,True
LUNG_T06,tLung,lymphoid,1145,0.1258,0.2969,0.0079,0.0149,0.014,0.0258,0.0061,0.0127,0.0,0.0,0.0,0.0,0.0,0.0,0.0061,0.0098,True
LUNG_T06,tLung,mesenchymal,447,0.0649,0.1328,0.0268,0.0463,0.0582,0.0775,0.0,0.0,0.0,0.0,0.0157,0.0244,0.0,0.0,0.1902,0.249,True
LUNG_T06,tLung,myeloid,517,0.2147,0.4284,0.0986,0.1696,0.236,0.4043,0.0251,0.0297,0.0,0.0,0.0019,0.0015,0.0,0.0,0.0135,0.0164,True
LUNG_T06,tLung,neutrophil,266,0.188,0.36,0.282,0.6266,0.4549,0.7642,0.0489,0.0479,0.0038,0.0045,0.0,0.0,0.0,0.0,0.0301,0.0317,True
LUNG_T06,tLung,other immune,148,0.1486,0.3943,0.0,0.0,0.0541,0.1074,0.0,0.0,0.0,0.0,0.0068,0.007,0.0,0.0,0.0405,0.0437,True
LUNG_T06,tLung,unassigned,606,0.1584,0.4026,0.0182,0.0465,0.0347,0.0644,0.0017,0.003,0.0,0.0,0.0017,0.0018,0.0,0.0,0.0,0.0,True
LUNG_T08,tLung,endothelial,131,0.2366,0.3894,0.0153,0.0419,0.1221,0.1926,0.0229,0.0258,0.0,0.0,0.0,0.0,0.0,0.0,0.0382,0.0322,True
LUNG_T08,tLung,epithelial,129,0.1473,0.3082,0.0078,0.0063,0.0775,0.0902,0.0388,0.0265,0.0,0.0,0.0233,0.0183,0.0,0.0,0.0775,0.1025,True
LUNG_T08,tLung,lymphoid,1415,0.1654,0.3817,0.0021,0.0036,0.0078,0.0146,0.0028,0.0053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
LUNG_T08,tLung,mesenchymal,181,0.0718,0.1035,0.011,0.0135,0.0829,0.1147,0.0,0.0,0.0,0.0,0.0055,0.0067,0.0,0.0,0.1602,0.1775,True
LUNG_T08,tLung,myeloid,445,0.173,0.3341,0.0315,0.0621,0.0809,0.1283,0.0112,0.0121,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0146,True
LUNG_T08,tLung,neutrophil,206,0.2816,0.4787,0.1845,0.4422,0.3155,0.5167,0.0534,0.0434,0.0,0.0,0.0097,0.0036,0.0,0.0,0.034,0.0192,True
LUNG_T08,tLung,other immune,194,0.1186,0.2882,0.0,0.0,0.0052,0.0109,0.0052,0.0106,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.0031,True
LUNG_T08,tLung,unassigned,1064,0.1692,0.4021,0.0122,0.0321,0.0169,0.0363,0.0019,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,0.0041,True
LUNG_T09,tLung,endothelial,135,0.2074,0.4349,0.1333,0.3097,0.3407,0.4716,0.0296,0.0196,0.0,0.0,0.0148,0.0118,0.0,0.0,0.0593,0.0479,True
LUNG_T09,tLung,epithelial,110,0.3182,0.4285,0.0455,0.0823,0.3455,0.3838,0.0727,0.0466,0.0182,0.012,0.1,0.0604,0.0,0.0,0.3727,0.3778,True
LUNG_T09,tLung,lymphoid,954,0.1583,0.4191,0.0052,0.0105,0.0136,0.0265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
LUNG_T09,tLung,mesenchymal,30,0.1,0.2248,0.0333,0.1015,0.0333,0.0788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0667,0.0825,False
LUNG_T09,tLung,myeloid,578,0.2318,0.6248,0.0363,0.0683,0.09,0.1819,0.0138,0.0193,0.0,0.0,0.0,0.0,0.0,0.0,0.0087,0.0119,True
LUNG_T09,tLung,neutrophil,1312,0.2142,0.4945,0.2287,0.5154,0.3979,0.5538,0.0549,0.0468,0.0008,0.0002,0.0008,0.0007,0.0,0.0,0.0038,0.0029,True
LUNG_T09,tLung,other immune,89,0.1348,0.3418,0.0,0.0,0.0225,0.0482,0.0112,0.0234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
LUNG_T09,tLung,unassigned,632,0.1804,0.5451,0.0554,0.1432,0.0728,0.1434,0.0095,0.0112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
LUNG_T18,tLung,endothelial,223,0.2735,0.4629,0.2377,0.4713,0.3677,0.6312,0.0987,0.06,0.0,0.0,0.0314,0.0146,0.0,0.0,0.3318,0.4329,True
LUNG_T18,tLung,epithelial,1177,0.2846,0.3743,0.1351,0.1566,0.2251,0.285,0.0807,0.0636,0.011,0.0089,0.0459,0.0359,0.0025,0.0016,0.4826,0.6536,True
LUNG_T18,tLung,lymphoid,463,0.121,0.3473,0.0022,0.0045,0.0216,0.0442,0.0,0.0,0.0022,0.0057,0.0,0.0,0.0,0.0,0.0065,0.0145,True
LUNG_T18,tLung,mesenchymal,164,0.128,0.3015,0.0549,0.1453,0.0854,0.1647,0.0061,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0793,0.1328,True
LUNG_T18,tLung,myeloid,154,0.1688,0.4251,0.039,0.1012,0.1364,0.3177,0.013,0.0197,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0404,True
LUNG_T18,tLung,neutrophil,705,0.1447,0.3223,0.173,0.3853,0.4383,0.9153,0.0397,0.043,0.0028,0.0018,0.0,0.0,0.0,0.0,0.0511,0.0574,True
LUNG_T18,tLung,other immune,73,0.1096,0.2898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0137,0.0189,0.0,0.0,0.0,0.0,True
LUNG_T18,tLung,unassigned,746,0.1609,0.4593,0.0375,0.1028,0.0925,0.2124,0.008,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0121,0.0293,True
LUNG_T19,tLung,endothelial,311,0.1254,0.2583,0.1158,0.3157,0.3569,0.6089,0.0129,0.0128,0.0,0.0,0.0064,0.0082,0.0032,0.0017,0.0547,0.0662,True
LUNG_T19,tLung,epithelial,294,0.398,0.6755,0.0306,0.0384,0.1633,0.1776,0.0204,0.0181,0.0,0.0,0.0646,0.0567,0.0068,0.0057,0.3605,0.4546,True
LUNG_T19,tLung,lymphoid,688,0.1381,0.3219,0.0058,0.0105,0.0087,0.0179,0.0087,0.0184,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0028,True
LUNG_T19,tLung,mesenchymal,114,0.0702,0.2596,0.0439,0.1171,0.0789,0.1396,0.0088,0.0086,0.0,0.0,0.0088,0.0152,0.0,0.0,0.1842,0.2929,True
LUNG_T19,tLung,myeloid,596,0.1812,0.3831,0.0319,0.0624,0.0721,0.1176,0.0101,0.0122,0.0,0.0,0.0,0.0,0.0,0.0,0.0034,0.004,True
LUNG_T19,tLung,neutrophil,1076,0.2333,0.4129,0.2323,0.4767,0.3903,0.5526,0.0353,0.0317,0.0009,0.0003,0.0028,0.0016,0.0,0.0,0.0084,0.0072,True
LUNG_T19,tLung,other immune,134,0.1642,0.4041,0.0,0.0,0.0,0.0,0.0075,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
LUNG_T19,tLung,unassigned,1148,0.1733,0.4451,0.0479,0.1606,0.0453,0.0923,0.0096,0.0155,0.0,0.0,0.0009,0.0019,0.0,0.0,0.0044,0.0086,True
LUNG_T20,tLung,endothelial,116,0.4655,1.6496,0.5603,1.5146,0.4741,0.6864,0.0603,0.0267,0.0431,0.0189,0.1379,0.1285,0.0,0.0,0.1983,0.1374,True
LUNG_T20,tLung,epithelial,925,0.573,2.0454,0.347,0.8966,0.2497,0.3185,0.0984,0.0743,0.0292,0.0212,0.1351,0.1229,0.0,0.0,0.2551,0.2741,True
LUNG_T20,tLung,lymphoid,867,0.301,0.7626,0.0288,0.0662,0.0138,0.0243,0.0023,0.0033,0.0,0.0,0.0046,0.0111,0.0,0.0,0.0081,0.0147,True
LUNG_T20,tLung,mesenchymal,18,0.4444,1.0518,0.0556,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0556,0.1356,False
LUNG_T20,tLung,myeloid,489,0.319,0.8131,0.0654,0.1478,0.0491,0.0996,0.0123,0.0195,0.0,0.0,0.002,0.0019,0.0,0.0,0.0041,0.0038,True
LUNG_T20,tLung,neutrophil,989,0.3953,0.768,0.3923,0.8892,0.4156,0.6392,0.0233,0.0209,0.0061,0.003,0.0243,0.023,0.0,0.0,0.0324,0.0315,True
LUNG_T20,tLung,other immune,167,0.2695,0.6892,0.0419,0.0978,0.024,0.0493,0.006,0.0018,0.0,0.0,0.006,0.0018,0.0,0.0,0.018,0.0314,True
LUNG_T20,tLung,unassigned,450,0.2422,0.6507,0.0711,0.1846,0.0422,0.0959,0.0022,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0138,True
LUNG_T25,tLung,endothelial,225,0.2622,0.5434,0.1511,0.4023,0.2933,0.5034,0.04,0.0485,0.0,0.0,0.0044,0.0021,0.0,0.0,0.0356,0.0287,True
LUNG_T25,tLung,epithelial,336,0.3155,0.688,0.0357,0.0854,0.0833,0.0963,0.0179,0.0245,0.0089,0.008,0.0536,0.0586,0.0,0.0,0.1607,0.2025,True
LUNG_T25,tLung,lymphoid,921,0.152,0.3722,0.0065,0.0115,0.0109,0.0201,0.0043,0.0095,0.0011,0.0027,0.0,0.0,0.0011,0.0024,0.0011,0.0027,True
LUNG_T25,tLung,mesenchymal,57,0.3158,0.6595,0.0877,0.2298,0.0702,0.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0877,0.0971,True
LUNG_T25,tLung,myeloid,336,0.244,0.6644,0.0685,0.1518,0.0685,0.1239,0.006,0.0045,0.0,0.0,0.0,0.0,0.003,0.0038,0.003,0.0024,True
LUNG_T25,tLung,neutrophil,454,0.2665,0.6499,0.2577,0.6877,0.3943,0.6528,0.0419,0.0376,0.0022,0.0016,0.0044,0.0051,0.0,0.0,0.0066,0.004,True
LUNG_T25,tLung,other immune,113,0.2124,0.759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
LUNG_T25,tLung,unassigned,1932,0.2127,0.5784,0.0295,0.0916,0.0305,0.0649,0.0052,0.012,0.0,0.0,0.001,0.0026,0.0005,0.0009,0.001,0.0021,True
