resource,family,view,ligand,receptor,human_ligand,human_receptor,source,source_label,target,target_label,cell_floor,prior_count,n_control,n_antiIL1B,difference_antiIL1B_minus_IgG,ligand_component_difference,receptor_component_difference,loo_min,loo_max,inference
consensus,exploratory,broad,Wnt7a,Ldlr,WNT7A,LDLR,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.027201517355351035,-0.6367047317744263,0.5823016970637243,-0.34426676760831154,0.42073254370130186,descriptive_no_p_value
consensus,exploratory,broad,Wnt9a,Fzd9_Lrp5,WNT9A,FZD9_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.9732626056200244,-0.07903369983000541,-1.867491511410044,-1.2854311491161696,-0.6175341125386482,descriptive_no_p_value
consensus,exploratory,broad,Wnt9a,Fzd9_Lrp6,WNT9A,FZD9_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.9732626056200244,-0.07903369983000541,-1.867491511410044,-1.2854311491161696,-0.6175341125386482,descriptive_no_p_value
consensus,exploratory,broad,Wnt9a,Fzd6_Lrp5,WNT9A,FZD6_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.2476403608316673,-0.07903369983000541,-0.4162470218333296,-0.36207250989174966,-0.17515719846391953,descriptive_no_p_value
consensus,exploratory,broad,Wnt9a,Fzd6_Lrp6,WNT9A,FZD6_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.2476403608316673,-0.07903369983000541,-0.4162470218333296,-0.36207250989174966,-0.17515719846391953,descriptive_no_p_value
consensus,exploratory,broad,Wnt9a,Fzd7_Lrp5,WNT9A,FZD7_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.1387599181480912,-0.07903369983000541,-0.19848613646617874,-0.29249538712823764,0.011826034976099464,descriptive_no_p_value
consensus,exploratory,broad,Wnt9a,Fzd7_Lrp6,WNT9A,FZD7_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.11257029030063936,-0.07903369983000541,-0.1461068807712751,-0.2504811055600795,0.05384031654425758,descriptive_no_p_value
consensus,exploratory,broad,Wnt9a,Fzd5_Lrp5,WNT9A,FZD5_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.1755864261408595,-0.07903369983000541,-0.2721391524517154,-0.31369265357209297,-0.05625895611449572,descriptive_no_p_value
consensus,exploratory,broad,Wnt9a,Fzd2_Lrp5,WNT9A,FZD2_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.1755864261408595,-0.07903369983000541,-0.2721391524517154,-0.31369265357209297,-0.05625895611449572,descriptive_no_p_value
consensus,exploratory,broad,Wnt9a,Fzd8_Lrp5,WNT9A,FZD8_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,0.11280780682364266,-0.07903369983000541,0.3046493134772894,0.0104891299197174,0.2475063339387873,descriptive_no_p_value
