"compartment","label","omitted_donor","direction","n_control","n_IPF","tested_genes","mapped_background","targets","mapped_targets","eligible","reason"
"macrophages","__broad__","VUHD67","down",8,12,11619,10663,172,159,TRUE,"eligible"
"macrophages","__broad__","VUHD68","up",8,12,11629,10665,187,178,TRUE,"eligible"
"macrophages","__broad__","VUHD68","down",8,12,11629,10665,159,144,TRUE,"eligible"
"macrophages","__broad__","VUHD70","up",8,12,11623,10663,254,240,TRUE,"eligible"
"macrophages","__broad__","VUHD70","down",8,12,11623,10663,178,164,TRUE,"eligible"
"macrophages","__broad__","VUILD53","up",9,11,11517,10577,364,347,TRUE,"eligible"
"macrophages","__broad__","VUILD53","down",9,11,11517,10577,283,266,TRUE,"eligible"
"macrophages","__broad__","VUILD59","up",9,11,11447,10520,773,717,TRUE,"eligible"
"macrophages","__broad__","VUILD59","down",9,11,11447,10520,561,522,TRUE,"eligible"
"macrophages","__broad__","VUILD60","up",9,11,11420,10496,407,386,TRUE,"eligible"
"macrophages","__broad__","VUILD60","down",9,11,11420,10496,286,266,TRUE,"eligible"
"macrophages","__broad__","VUILD61","up",9,11,11415,10500,275,263,TRUE,"eligible"
"macrophages","__broad__","VUILD61","down",9,11,11415,10500,191,179,TRUE,"eligible"
"macrophages","__broad__","VUILD63","up",9,11,11504,10564,422,397,TRUE,"eligible"
"macrophages","__broad__","VUILD63","down",9,11,11504,10564,294,277,TRUE,"eligible"
"macrophages","__broad__","VUILD64","up",9,11,11527,10586,371,353,TRUE,"eligible"
"macrophages","__broad__","VUILD64","down",9,11,11527,10586,267,251,TRUE,"eligible"
"macrophages","__broad__","VUILD65","up",9,11,11510,10570,309,293,TRUE,"eligible"
"macrophages","__broad__","VUILD65","down",9,11,11510,10570,213,198,TRUE,"eligible"
"macrophages","Macrophages","__none__","up",9,12,11414,10483,449,422,TRUE,"eligible"
"macrophages","Macrophages","__none__","down",9,12,11414,10483,308,291,TRUE,"eligible"
"macrophages","Macrophages","THD0001","up",8,12,11508,10567,328,314,TRUE,"eligible"
"macrophages","Macrophages","THD0001","down",8,12,11508,10567,226,211,TRUE,"eligible"
"macrophages","Macrophages","THD0002","up",8,12,11514,10569,362,345,TRUE,"eligible"
"macrophages","Macrophages","THD0002","down",8,12,11514,10569,233,218,TRUE,"eligible"
"macrophages","Macrophages","THD0005","up",8,12,11483,10545,513,479,TRUE,"eligible"
"macrophages","Macrophages","THD0005","down",8,12,11483,10545,429,401,TRUE,"eligible"
"macrophages","Macrophages","TILD001","up",9,11,11368,10450,331,316,TRUE,"eligible"
"macrophages","Macrophages","TILD001","down",9,11,11368,10450,231,216,TRUE,"eligible"
"macrophages","Macrophages","TILD006","up",9,11,11318,10419,364,345,TRUE,"eligible"
"macrophages","Macrophages","TILD006","down",9,11,11318,10419,277,258,TRUE,"eligible"
"macrophages","Macrophages","TILD010","up",9,11,11362,10443,307,291,TRUE,"eligible"
"macrophages","Macrophages","TILD010","down",9,11,11362,10443,198,186,TRUE,"eligible"
"macrophages","Macrophages","TILD015","up",9,11,11244,10364,333,311,TRUE,"eligible"
"macrophages","Macrophages","TILD015","down",9,11,11244,10364,235,223,TRUE,"eligible"
"macrophages","Macrophages","TILD028","up",9,11,11265,10381,329,309,TRUE,"eligible"
"macrophages","Macrophages","TILD028","down",9,11,11265,10381,249,234,TRUE,"eligible"
"macrophages","Macrophages","VUHD071","up",8,12,11466,10535,392,372,TRUE,"eligible"
"macrophages","Macrophages","VUHD071","down",8,12,11466,10535,310,285,TRUE,"eligible"
"macrophages","Macrophages","VUHD65","up",8,12,11442,10517,293,275,TRUE,"eligible"
"macrophages","Macrophages","VUHD65","down",8,12,11442,10517,173,162,TRUE,"eligible"
"macrophages","Macrophages","VUHD66","up",8,12,11536,10588,413,392,TRUE,"eligible"
"macrophages","Macrophages","VUHD66","down",8,12,11536,10588,314,296,TRUE,"eligible"
"macrophages","Macrophages","VUHD67","up",8,12,11459,10531,258,243,TRUE,"eligible"
"macrophages","Macrophages","VUHD67","down",8,12,11459,10531,164,151,TRUE,"eligible"
"macrophages","Macrophages","VUHD68","up",8,12,11476,10539,204,194,TRUE,"eligible"
"macrophages","Macrophages","VUHD68","down",8,12,11476,10539,159,143,TRUE,"eligible"
"macrophages","Macrophages","VUHD70","up",8,12,11485,10547,262,244,TRUE,"eligible"
"macrophages","Macrophages","VUHD70","down",8,12,11485,10547,177,163,TRUE,"eligible"
"macrophages","Macrophages","VUILD53","up",9,11,11370,10446,387,368,TRUE,"eligible"
"macrophages","Macrophages","VUILD53","down",9,11,11370,10446,275,258,TRUE,"eligible"
"macrophages","Macrophages","VUILD59","up",9,11,11316,10412,775,719,TRUE,"eligible"
"macrophages","Macrophages","VUILD59","down",9,11,11316,10412,547,515,TRUE,"eligible"
"macrophages","Macrophages","VUILD60","up",9,11,11290,10386,418,395,TRUE,"eligible"
"macrophages","Macrophages","VUILD60","down",9,11,11290,10386,271,253,TRUE,"eligible"
"macrophages","Macrophages","VUILD61","up",9,11,11281,10389,283,269,TRUE,"eligible"
"macrophages","Macrophages","VUILD61","down",9,11,11281,10389,190,178,TRUE,"eligible"
"macrophages","Macrophages","VUILD63","up",9,11,11364,10443,414,389,TRUE,"eligible"
"macrophages","Macrophages","VUILD63","down",9,11,11364,10443,286,270,TRUE,"eligible"
"macrophages","Macrophages","VUILD64","up",9,11,11380,10457,372,353,TRUE,"eligible"
"macrophages","Macrophages","VUILD64","down",9,11,11380,10457,257,240,TRUE,"eligible"
"macrophages","Macrophages","VUILD65","up",9,11,11372,10448,315,296,TRUE,"eligible"
"macrophages","Macrophages","VUILD65","down",9,11,11372,10448,207,193,TRUE,"eligible"
