cohort,cell_floor,prior_count,donor,disease_case,label_case,cells_case,unit_id_case,full_library_sum_case,module,assayed_source_fraction_case,eligible_case,score_case,disease_reference,label_reference,cells_reference,unit_id_reference,full_library_sum_reference,assayed_source_fraction_reference,eligible_reference,score_reference,difference,case,reference,scope
GSE135893,50,2.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,HALLMARK_P53_PATHWAY,0.935,True,5.37482812641819,IPF,AT2,137,GSE135893_116,1029209,0.935,True,4.81108669298838,0.5637414334298096,KRT5-/KRT17+,AT2,primary
GSE135893,50,2.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,HALLMARK_P53_PATHWAY,0.935,True,5.20532103431816,IPF,AT2,428,GSE135893_139,1980747,0.935,True,5.00558330122508,0.1997377330930803,KRT5-/KRT17+,AT2,primary
GSE135893,50,2.0,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,HPCS_author_top100,0.79,True,4.52953089021597,IPF,AT2,1838,GSE135893_108,12300163,0.79,True,3.6291895043526,0.9003413858633698,KRT5-/KRT17+,AT2,primary
GSE135893,50,2.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,HPCS_author_top100,0.79,True,4.50856211774579,IPF,AT2,137,GSE135893_116,1029209,0.79,True,3.33364686445327,1.1749152532925202,KRT5-/KRT17+,AT2,primary
GSE135893,50,2.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,HPCS_author_top100,0.79,True,4.6598236935417,IPF,AT2,428,GSE135893_139,1980747,0.79,True,3.942440652469,0.7173830410726998,KRT5-/KRT17+,AT2,primary
GSE135893,50,2.0,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,HPCS_excluding_operational_markers,0.795918367346939,True,4.53879425695118,IPF,AT2,1838,GSE135893_108,12300163,0.795918367346939,True,3.67018118525393,0.8686130716972498,KRT5-/KRT17+,AT2,primary
GSE135893,50,2.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,HPCS_excluding_operational_markers,0.795918367346939,True,4.52207178852829,IPF,AT2,137,GSE135893_116,1029209,0.795918367346939,True,3.3650164423308,1.15705534619749,KRT5-/KRT17+,AT2,primary
GSE135893,50,2.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,HPCS_excluding_operational_markers,0.795918367346939,True,4.66643555740823,IPF,AT2,428,GSE135893_139,1980747,0.795918367346939,True,3.98798004105804,0.6784555163501897,KRT5-/KRT17+,AT2,primary
GSE135893,50,2.0,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,HPCS_without_ADI_or_operational_markers,0.802197802197802,True,4.28383951026685,IPF,AT2,1838,GSE135893_108,12300163,0.802197802197802,True,3.42793544344068,0.8559040668261697,KRT5-/KRT17+,AT2,primary
GSE135893,50,2.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,HPCS_without_ADI_or_operational_markers,0.802197802197802,True,4.22862921336811,IPF,AT2,137,GSE135893_116,1029209,0.802197802197802,True,3.1081298648734,1.1204993484947097,KRT5-/KRT17+,AT2,primary
GSE135893,50,2.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,HPCS_without_ADI_or_operational_markers,0.802197802197802,True,4.40750820386811,IPF,AT2,428,GSE135893_139,1980747,0.802197802197802,True,3.76724657203077,0.64026163183734,KRT5-/KRT17+,AT2,primary
GSE135893,50,2.0,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,Han_ISR_source_symbols,0.837209302325581,True,4.14365710944108,IPF,AT2,1838,GSE135893_108,12300163,0.837209302325581,True,4.26499184212668,-0.12133473268559936,KRT5-/KRT17+,AT2,primary
GSE135893,50,2.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,Han_ISR_source_symbols,0.837209302325581,True,4.13367037761739,IPF,AT2,137,GSE135893_116,1029209,0.837209302325581,True,4.26939933411627,-0.1357289564988795,KRT5-/KRT17+,AT2,primary
GSE135893,50,2.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,Han_ISR_source_symbols,0.837209302325581,True,4.06314190771317,IPF,AT2,428,GSE135893_139,1980747,0.837209302325581,True,4.14660648998908,-0.08346458227590947,KRT5-/KRT17+,AT2,primary
GSE135893,50,2.0,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,Han_ISR_without_HPCS_ADI_or_operational_markers,0.857142857142857,True,3.74945219626551,IPF,AT2,1838,GSE135893_108,12300163,0.857142857142857,True,3.89090079298238,-0.14144859671687016,KRT5-/KRT17+,AT2,primary
GSE135893,50,2.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,Han_ISR_without_HPCS_ADI_or_operational_markers,0.857142857142857,True,3.69438827627734,IPF,AT2,137,GSE135893_116,1029209,0.857142857142857,True,3.8919367714882,-0.1975484952108597,KRT5-/KRT17+,AT2,primary
GSE135893,50,2.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,Han_ISR_without_HPCS_ADI_or_operational_markers,0.857142857142857,True,3.68445483342609,IPF,AT2,428,GSE135893_139,1980747,0.857142857142857,True,3.71504712808127,-0.030592294655179764,KRT5-/KRT17+,AT2,primary
GSE135893,30,1.0,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,ADI_published_holdout,0.85929648241206,True,7.97662519760594,IPF,AT2,1838,GSE135893_108,12300163,0.85929648241206,True,7.9223955083103,0.05422968929563954,KRT5-/KRT17+,AT2,primary
GSE135893,30,1.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,ADI_published_holdout,0.85929648241206,True,8.17528538746207,IPF,AT2,137,GSE135893_116,1029209,0.85929648241206,True,7.91450843653155,0.26077695093052,KRT5-/KRT17+,AT2,primary
GSE135893,30,1.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,ADI_published_holdout,0.85929648241206,True,7.94513044517621,IPF,AT2,428,GSE135893_139,1980747,0.85929648241206,True,7.89927967657869,0.045850768597520464,KRT5-/KRT17+,AT2,primary
GSE135893,30,1.0,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,AT1_published_holdout,0.882205513784461,True,6.47685117078132,IPF,AT2,1838,GSE135893_108,12300163,0.882205513784461,True,6.23367936742296,0.24317180335835964,KRT5-/KRT17+,AT2,primary
GSE135893,30,1.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,AT1_published_holdout,0.882205513784461,True,6.57048423463458,IPF,AT2,137,GSE135893_116,1029209,0.882205513784461,True,5.87547090253705,0.6950133320975294,KRT5-/KRT17+,AT2,primary
GSE135893,30,1.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,AT1_published_holdout,0.882205513784461,True,6.42890842441061,IPF,AT2,428,GSE135893_139,1980747,0.882205513784461,True,6.09670661468741,0.3322018097232,KRT5-/KRT17+,AT2,primary
GSE135893,30,1.0,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,AT2_published_holdout,0.889447236180905,True,4.60193709004735,IPF,AT2,1838,GSE135893_108,12300163,0.889447236180905,True,5.31137933025043,-0.7094422402030798,KRT5-/KRT17+,AT2,primary
GSE135893,30,1.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,AT2_published_holdout,0.889447236180905,True,4.60297037231846,IPF,AT2,137,GSE135893_116,1029209,0.889447236180905,True,4.95794581850112,-0.3549754461826602,KRT5-/KRT17+,AT2,primary
GSE135893,30,1.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,AT2_published_holdout,0.889447236180905,True,4.53479286955581,IPF,AT2,428,GSE135893_139,1980747,0.889447236180905,True,5.29334140910508,-0.7585485395492704,KRT5-/KRT17+,AT2,primary
GSE135893,30,1.0,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,HALLMARK_HYPOXIA,0.914572864321608,True,4.07385220629365,IPF,AT2,1838,GSE135893_108,12300163,0.914572864321608,True,3.79572108997579,0.27813111631786036,KRT5-/KRT17+,AT2,primary
GSE135893,30,1.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,HALLMARK_HYPOXIA,0.914572864321608,True,4.11599875634313,IPF,AT2,137,GSE135893_116,1029209,0.914572864321608,True,3.37124423760169,0.7447545187414399,KRT5-/KRT17+,AT2,primary
GSE135893,30,1.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,HALLMARK_HYPOXIA,0.914572864321608,True,3.97982799831673,IPF,AT2,428,GSE135893_139,1980747,0.914572864321608,True,3.81092787815196,0.16890012016476996,KRT5-/KRT17+,AT2,primary
GSE135893,30,1.0,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,HALLMARK_INFLAMMATORY_RESPONSE,0.954314720812183,True,2.80933412920858,IPF,AT2,1838,GSE135893_108,12300163,0.954314720812183,True,2.39597658943023,0.41335753977835,KRT5-/KRT17+,AT2,primary
GSE135893,30,1.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,HALLMARK_INFLAMMATORY_RESPONSE,0.954314720812183,True,2.61192287754115,IPF,AT2,137,GSE135893_116,1029209,0.954314720812183,True,2.25394717159613,0.35797570594501993,KRT5-/KRT17+,AT2,primary
GSE135893,30,1.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,HALLMARK_INFLAMMATORY_RESPONSE,0.954314720812183,True,2.79619545169954,IPF,AT2,428,GSE135893_139,1980747,0.954314720812183,True,2.85903121597637,-0.06283576427683002,KRT5-/KRT17+,AT2,primary
GSE135893,30,1.0,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,HALLMARK_P53_PATHWAY,0.935,True,5.212671369785,IPF,AT2,1838,GSE135893_108,12300163,0.935,True,4.96133504399181,0.25133632579319,KRT5-/KRT17+,AT2,primary
GSE135893,30,1.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,HALLMARK_P53_PATHWAY,0.935,True,5.37388287339084,IPF,AT2,137,GSE135893_116,1029209,0.935,True,4.78744655497879,0.5864363184120496,KRT5-/KRT17+,AT2,primary
GSE135893,30,1.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,HALLMARK_P53_PATHWAY,0.935,True,5.19575022423532,IPF,AT2,428,GSE135893_139,1980747,0.935,True,4.98661033014765,0.2091398940876701,KRT5-/KRT17+,AT2,primary
GSE135893,30,1.0,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,HPCS_author_top100,0.79,True,4.517859964394,IPF,AT2,1838,GSE135893_108,12300163,0.79,True,3.57467949125039,0.94318047314361,KRT5-/KRT17+,AT2,primary
GSE135893,30,1.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,HPCS_author_top100,0.79,True,4.4856921051043,IPF,AT2,137,GSE135893_116,1029209,0.79,True,3.25449279821358,1.2311993068907197,KRT5-/KRT17+,AT2,primary
GSE135893,30,1.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,HPCS_author_top100,0.79,True,4.63683453027464,IPF,AT2,428,GSE135893_139,1980747,0.79,True,3.89104543880327,0.7457890914713698,KRT5-/KRT17+,AT2,primary
GSE135893,30,1.0,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,HPCS_excluding_operational_markers,0.795918367346939,True,4.52684493848788,IPF,AT2,1838,GSE135893_108,12300163,0.795918367346939,True,3.61780809315064,0.9090368453372402,KRT5-/KRT17+,AT2,primary
GSE135893,30,1.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,HPCS_excluding_operational_markers,0.795918367346939,True,4.49886075875591,IPF,AT2,137,GSE135893_116,1029209,0.795918367346939,True,3.28674511055547,1.2121156482004403,KRT5-/KRT17+,AT2,primary
GSE135893,30,1.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,HPCS_excluding_operational_markers,0.795918367346939,True,4.64296211883253,IPF,AT2,428,GSE135893_139,1980747,0.795918367346939,True,3.93886573992738,0.7040963789051502,KRT5-/KRT17+,AT2,primary
GSE135893,30,1.0,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,HPCS_without_ADI_or_operational_markers,0.802197802197802,True,4.26894294821223,IPF,AT2,1838,GSE135893_108,12300163,0.802197802197802,True,3.37000838910065,0.8989345591115798,KRT5-/KRT17+,AT2,primary
GSE135893,30,1.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,HPCS_without_ADI_or_operational_markers,0.802197802197802,True,4.20167435073219,IPF,AT2,137,GSE135893_116,1029209,0.802197802197802,True,3.02262986136576,1.1790444893664298,KRT5-/KRT17+,AT2,primary
GSE135893,30,1.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,HPCS_without_ADI_or_operational_markers,0.802197802197802,True,4.38028590068755,IPF,AT2,428,GSE135893_139,1980747,0.802197802197802,True,3.71293659535666,0.6673493053308901,KRT5-/KRT17+,AT2,primary
GSE135893,30,1.0,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,Han_ISR_source_symbols,0.837209302325581,True,4.11245099272475,IPF,AT2,1838,GSE135893_108,12300163,0.837209302325581,True,4.23379511552864,-0.1213441228038894,KRT5-/KRT17+,AT2,primary
GSE135893,30,1.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,Han_ISR_source_symbols,0.837209302325581,True,4.09544333512531,IPF,AT2,137,GSE135893_116,1029209,0.837209302325581,True,4.22295224447431,-0.12750890934900028,KRT5-/KRT17+,AT2,primary
GSE135893,30,1.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,Han_ISR_source_symbols,0.837209302325581,True,4.01803873083234,IPF,AT2,428,GSE135893_139,1980747,0.837209302325581,True,4.10335670901175,-0.08531797817941023,KRT5-/KRT17+,AT2,primary
GSE135893,30,1.0,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,Han_ISR_without_HPCS_ADI_or_operational_markers,0.857142857142857,True,3.70869570175366,IPF,AT2,1838,GSE135893_108,12300163,0.857142857142857,True,3.84968362438356,-0.1409879226299,KRT5-/KRT17+,AT2,primary
GSE135893,30,1.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,Han_ISR_without_HPCS_ADI_or_operational_markers,0.857142857142857,True,3.64632374670843,IPF,AT2,137,GSE135893_116,1029209,0.857142857142857,True,3.8339605212079,-0.18763677449947025,KRT5-/KRT17+,AT2,primary
GSE135893,30,1.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,Han_ISR_without_HPCS_ADI_or_operational_markers,0.857142857142857,True,3.6273253115904,IPF,AT2,428,GSE135893_139,1980747,0.857142857142857,True,3.65905293310709,-0.03172762151668973,KRT5-/KRT17+,AT2,primary
GSE135893,100,1.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,ADI_published_holdout,0.85929648241206,True,8.1143193133411,IPF,AT2,137,GSE135893_116,1029209,0.85929648241206,True,7.90054861021398,0.21377070312712032,KRT5-/KRT17+,AT2,primary
GSE135893,100,1.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,ADI_published_holdout,0.85929648241206,True,7.90414679315781,IPF,AT2,428,GSE135893_139,1980747,0.85929648241206,True,7.84409909743775,0.06004769572006019,KRT5-/KRT17+,AT2,primary
GSE135893,100,1.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,AT1_published_holdout,0.882205513784461,True,6.49240067291672,IPF,AT2,137,GSE135893_116,1029209,0.882205513784461,True,5.82346312483547,0.6689375480812494,KRT5-/KRT17+,AT2,primary
GSE135893,100,1.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,AT1_published_holdout,0.882205513784461,True,6.36770114397638,IPF,AT2,428,GSE135893_139,1980747,0.882205513784461,True,6.01130504983821,0.3563960941381703,KRT5-/KRT17+,AT2,primary
GSE135893,100,1.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,AT2_published_holdout,0.889447236180905,True,4.45055227815385,IPF,AT2,137,GSE135893_116,1029209,0.889447236180905,True,4.8364120593375,-0.38585978118365016,KRT5-/KRT17+,AT2,primary
GSE135893,100,1.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,AT2_published_holdout,0.889447236180905,True,4.38730089007373,IPF,AT2,428,GSE135893_139,1980747,0.889447236180905,True,5.16500346205938,-0.7777025719856496,KRT5-/KRT17+,AT2,primary
GSE135893,100,1.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,HALLMARK_HYPOXIA,0.914572864321608,True,3.92687834084931,IPF,AT2,137,GSE135893_116,1029209,0.914572864321608,True,3.13613581338554,0.7907425274637698,KRT5-/KRT17+,AT2,primary
GSE135893,100,1.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,HALLMARK_HYPOXIA,0.914572864321608,True,3.79227516959888,IPF,AT2,428,GSE135893_139,1980747,0.914572864321608,True,3.59609819085039,0.19617697874848972,KRT5-/KRT17+,AT2,primary
GSE135893,100,1.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,HALLMARK_INFLAMMATORY_RESPONSE,0.954314720812183,True,2.26475599722738,IPF,AT2,137,GSE135893_116,1029209,0.954314720812183,True,1.88419683154328,0.38055916568409986,KRT5-/KRT17+,AT2,primary
GSE135893,100,1.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,HALLMARK_INFLAMMATORY_RESPONSE,0.954314720812183,True,2.46277321108615,IPF,AT2,428,GSE135893_139,1980747,0.954314720812183,True,2.53332452520926,-0.07055131412310978,KRT5-/KRT17+,AT2,primary
GSE135893,100,1.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,HALLMARK_P53_PATHWAY,0.935,True,5.27279670738357,IPF,AT2,137,GSE135893_116,1029209,0.935,True,4.69492303067622,0.57787367670735,KRT5-/KRT17+,AT2,primary
GSE135893,100,1.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,HALLMARK_P53_PATHWAY,0.935,True,5.09725477854935,IPF,AT2,428,GSE135893_139,1980747,0.935,True,4.86183075687694,0.23542402167240972,KRT5-/KRT17+,AT2,primary
GSE135893,100,1.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,HPCS_author_top100,0.79,True,4.35187377387464,IPF,AT2,137,GSE135893_116,1029209,0.79,True,3.07350953546657,1.2783642384080705,KRT5-/KRT17+,AT2,primary
GSE135893,100,1.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,HPCS_author_top100,0.79,True,4.51532524702771,IPF,AT2,428,GSE135893_139,1980747,0.79,True,3.71953278795432,0.79579245907339,KRT5-/KRT17+,AT2,primary
GSE135893,100,1.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,HPCS_excluding_operational_markers,0.795918367346939,True,4.36444268574875,IPF,AT2,137,GSE135893_116,1029209,0.795918367346939,True,3.10648681145271,1.2579558742960395,KRT5-/KRT17+,AT2,primary
GSE135893,100,1.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,HPCS_excluding_operational_markers,0.795918367346939,True,4.52060947982983,IPF,AT2,428,GSE135893_139,1980747,0.795918367346939,True,3.77024111478288,0.7503683650469504,KRT5-/KRT17+,AT2,primary
GSE135893,100,1.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,HPCS_without_ADI_or_operational_markers,0.802197802197802,True,4.06193401460291,IPF,AT2,137,GSE135893_116,1029209,0.802197802197802,True,2.83076644635658,1.2311675682463301,KRT5-/KRT17+,AT2,primary
GSE135893,100,1.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,HPCS_without_ADI_or_operational_markers,0.802197802197802,True,4.25212435176705,IPF,AT2,428,GSE135893_139,1980747,0.802197802197802,True,3.53653843462975,0.7155859171373002,KRT5-/KRT17+,AT2,primary
GSE135893,100,1.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,Han_ISR_source_symbols,0.837209302325581,True,3.93774366471916,IPF,AT2,137,GSE135893_116,1029209,0.837209302325581,True,4.09069558220461,-0.15295191748545012,KRT5-/KRT17+,AT2,primary
GSE135893,100,1.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,Han_ISR_source_symbols,0.837209302325581,True,3.86282604293976,IPF,AT2,428,GSE135893_139,1980747,0.837209302325581,True,3.94265160917725,-0.07982556623749026,KRT5-/KRT17+,AT2,primary
GSE135893,100,1.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,Han_ISR_without_HPCS_ADI_or_operational_markers,0.857142857142857,True,3.47333229329542,IPF,AT2,137,GSE135893_116,1029209,0.857142857142857,True,3.68142102467713,-0.2080887313817099,KRT5-/KRT17+,AT2,primary
GSE135893,100,1.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,Han_ISR_without_HPCS_ADI_or_operational_markers,0.857142857142857,True,3.45226821339522,IPF,AT2,428,GSE135893_139,1980747,0.857142857142857,True,3.47863968510085,-0.026371471705630256,KRT5-/KRT17+,AT2,primary
GSE135893,50,1.0,VUILD59,IPF,Transitional AT2,500,GSE135893_114,3581333,ADI_published_holdout,0.85929648241206,True,7.96868859915354,IPF,AT2,1838,GSE135893_108,12300163,0.85929648241206,True,7.88582163055316,0.08286696860038045,Transitional AT2,AT2,secondary
GSE135893,50,1.0,VUILD59,IPF,Transitional AT2,500,GSE135893_114,3581333,AT1_published_holdout,0.882205513784461,True,6.60793665348004,IPF,AT2,1838,GSE135893_108,12300163,0.882205513784461,True,6.18177830306631,0.42615835041373007,Transitional AT2,AT2,secondary
GSE135893,50,1.0,VUILD59,IPF,Transitional AT2,500,GSE135893_114,3581333,AT2_published_holdout,0.889447236180905,True,4.94696303626536,IPF,AT2,1838,GSE135893_108,12300163,0.889447236180905,True,5.23359391415832,-0.2866308778929598,Transitional AT2,AT2,secondary
GSE135893,50,1.0,VUILD59,IPF,Transitional AT2,500,GSE135893_114,3581333,HALLMARK_HYPOXIA,0.914572864321608,True,3.67935646967737,IPF,AT2,1838,GSE135893_108,12300163,0.914572864321608,True,3.67150212894039,0.007854340736979992,Transitional AT2,AT2,secondary
GSE135893,50,1.0,VUILD59,IPF,Transitional AT2,500,GSE135893_114,3581333,HALLMARK_INFLAMMATORY_RESPONSE,0.954314720812183,True,2.04844146173823,IPF,AT2,1838,GSE135893_108,12300163,0.954314720812183,True,2.18698822395689,-0.13854676221866002,Transitional AT2,AT2,secondary
GSE135893,50,1.0,VUILD59,IPF,Transitional AT2,500,GSE135893_114,3581333,HALLMARK_P53_PATHWAY,0.935,True,4.88191387766471,IPF,AT2,1838,GSE135893_108,12300163,0.935,True,4.8887224962416,-0.006808618576890524,Transitional AT2,AT2,secondary
GSE135893,50,1.0,VUILD59,IPF,Transitional AT2,500,GSE135893_114,3581333,HPCS_author_top100,0.79,True,3.59255601216944,IPF,AT2,1838,GSE135893_108,12300163,0.79,True,3.46461369116734,0.1279423210021,Transitional AT2,AT2,secondary
GSE135893,50,1.0,VUILD59,IPF,Transitional AT2,500,GSE135893_114,3581333,HPCS_excluding_operational_markers,0.795918367346939,True,3.61870605150304,IPF,AT2,1838,GSE135893_108,12300163,0.795918367346939,True,3.50946670394414,0.10923934755889997,Transitional AT2,AT2,secondary
GSE135893,50,1.0,VUILD59,IPF,Transitional AT2,500,GSE135893_114,3581333,HPCS_without_ADI_or_operational_markers,0.802197802197802,True,3.36094870861988,IPF,AT2,1838,GSE135893_108,12300163,0.802197802197802,True,3.25667532080853,0.1042733878113502,Transitional AT2,AT2,secondary
GSE135893,50,1.0,VUILD59,IPF,Transitional AT2,500,GSE135893_114,3581333,Han_ISR_source_symbols,0.837209302325581,True,3.84444717743893,IPF,AT2,1838,GSE135893_108,12300163,0.837209302325581,True,4.14421872558155,-0.29977154814261997,Transitional AT2,AT2,secondary
GSE135893,50,1.0,VUILD59,IPF,Transitional AT2,500,GSE135893_114,3581333,Han_ISR_without_HPCS_ADI_or_operational_markers,0.857142857142857,True,3.45710835843204,IPF,AT2,1838,GSE135893_108,12300163,0.857142857142857,True,3.75072392813431,-0.2936155697022702,Transitional AT2,AT2,secondary
GSE135893,50,0.5,VUILD59,IPF,Transitional AT2,500,GSE135893_114,3581333,ADI_published_holdout,0.85929648241206,True,7.96480141516533,IPF,AT2,1838,GSE135893_108,12300163,0.85929648241206,True,7.88039222283382,0.08440919233150979,Transitional AT2,AT2,secondary
GSE135893,50,0.5,VUILD59,IPF,Transitional AT2,500,GSE135893_114,3581333,AT1_published_holdout,0.882205513784461,True,6.5869161387866,IPF,AT2,1838,GSE135893_108,12300163,0.882205513784461,True,6.15276331999783,0.4341528187887702,Transitional AT2,AT2,secondary
GSE135893,50,0.5,VUILD59,IPF,Transitional AT2,500,GSE135893_114,3581333,AT2_published_holdout,0.889447236180905,True,4.86942695185117,IPF,AT2,1838,GSE135893_108,12300163,0.889447236180905,True,5.15885088494464,-0.28942393309347025,Transitional AT2,AT2,secondary
GSE135893,50,0.5,VUILD59,IPF,Transitional AT2,500,GSE135893_114,3581333,HALLMARK_HYPOXIA,0.914572864321608,True,3.53191953035991,IPF,AT2,1838,GSE135893_108,12300163,0.914572864321608,True,3.51496996748172,0.01694956287819016,Transitional AT2,AT2,secondary
GSE135893,50,0.5,VUILD59,IPF,Transitional AT2,500,GSE135893_114,3581333,HALLMARK_INFLAMMATORY_RESPONSE,0.954314720812183,True,1.70251359237314,IPF,AT2,1838,GSE135893_108,12300163,0.954314720812183,True,1.86911963348634,-0.1666060411132,Transitional AT2,AT2,secondary
GSE135893,50,0.5,VUILD59,IPF,Transitional AT2,500,GSE135893_114,3581333,HALLMARK_P53_PATHWAY,0.935,True,4.82512289265327,IPF,AT2,1838,GSE135893_108,12300163,0.935,True,4.82395917175585,0.0011637208974200064,Transitional AT2,AT2,secondary
GSE135893,50,0.5,VUILD59,IPF,Transitional AT2,500,GSE135893_114,3581333,HPCS_author_top100,0.79,True,3.474877801925,IPF,AT2,1838,GSE135893_108,12300163,0.79,True,3.33508969280173,0.13978810912326978,Transitional AT2,AT2,secondary
GSE135893,50,0.5,VUILD59,IPF,Transitional AT2,500,GSE135893_114,3581333,HPCS_excluding_operational_markers,0.795918367346939,True,3.50073116479966,IPF,AT2,1838,GSE135893_108,12300163,0.795918367346939,True,3.38219158965736,0.11853957514230018,Transitional AT2,AT2,secondary
GSE135893,50,0.5,VUILD59,IPF,Transitional AT2,500,GSE135893_114,3581333,HPCS_without_ADI_or_operational_markers,0.802197802197802,True,3.23505178099014,IPF,AT2,1838,GSE135893_108,12300163,0.802197802197802,True,3.12091552409867,0.11413625689147011,Transitional AT2,AT2,secondary
GSE135893,50,0.5,VUILD59,IPF,Transitional AT2,500,GSE135893_114,3581333,Han_ISR_source_symbols,0.837209302325581,True,3.73634064014998,IPF,AT2,1838,GSE135893_108,12300163,0.837209302325581,True,4.04635326640897,-0.3100126262589904,Transitional AT2,AT2,secondary
GSE135893,50,0.5,VUILD59,IPF,Transitional AT2,500,GSE135893_114,3581333,Han_ISR_without_HPCS_ADI_or_operational_markers,0.857142857142857,True,3.33038361672127,IPF,AT2,1838,GSE135893_108,12300163,0.857142857142857,True,3.6357526488451,-0.30536903212383004,Transitional AT2,AT2,secondary
