pair,n_donors,median_rank,ligand,receptor,overall_rank,resource
COL1A1 to CD44,24,42.5,COL1A1,CD44,31,connectomedb2020
CXCL8 to SDC2,26,42.5,CXCL8,SDC2,32,connectomedb2020
AREG to EGFR,26,42.5,AREG,EGFR,33,connectomedb2020
SEMA3C to NRP1,26,44.0,SEMA3C,NRP1,34,connectomedb2020
HLA-B to CANX,26,44.5,HLA-B,CANX,35,connectomedb2020
LAMA2 to RPSA,26,45.5,LAMA2,RPSA,36,connectomedb2020
SLIT3 to ROBO1,22,46.5,SLIT3,ROBO1,37,connectomedb2020
APP to CAV1,26,48.5,APP,CAV1,38,connectomedb2020
LIPH to LPAR1,26,50.0,LIPH,LPAR1,39,connectomedb2020
COL4A1 to ITGB1,25,52.0,COL4A1,ITGB1,40,connectomedb2020
FN1 to ITGB1,26,53.0,FN1,ITGB1,41,connectomedb2020
ADAM9 to ITGAV,26,53.0,ADAM9,ITGAV,42,connectomedb2020
COL1A1 to DDR2,24,53.5,COL1A1,DDR2,43,connectomedb2020
FN1 to ITGAV,26,54.0,FN1,ITGAV,44,connectomedb2020
FN1 to SDC2,26,54.0,FN1,SDC2,45,connectomedb2020
NTRK3 to PTPRS,17,55.0,NTRK3,PTPRS,46,connectomedb2020
ADAM9 to ITGB1,26,55.5,ADAM9,ITGB1,47,connectomedb2020
MDK to ITGB1,26,57.0,MDK,ITGB1,48,connectomedb2020
GAS6 to AXL,26,61.5,GAS6,AXL,49,connectomedb2020
SLPI to PLSCR1,26,63.5,SLPI,PLSCR1,50,connectomedb2020
SLIT2 to APP,26,64.0,SLIT2,APP,51,connectomedb2020
COL1A2 to ITGB1,19,65.0,COL1A2,ITGB1,52,connectomedb2020
LTF to LRP1,22,65.0,LTF,LRP1,53,connectomedb2020
LGALS3BP to ITGB1,26,65.5,LGALS3BP,ITGB1,54,connectomedb2020
NPNT to ITGA8,23,68.0,NPNT,ITGA8,55,connectomedb2020
TFPI to LRP1,26,68.0,TFPI,LRP1,56,connectomedb2020
TNC to EGFR,26,70.0,TNC,EGFR,57,connectomedb2020
LAMB2 to RPSA,25,70.0,LAMB2,RPSA,58,connectomedb2020
NTRK3 to PTPRD,17,71.0,NTRK3,PTPRD,59,connectomedb2020
ITGAV to THY1,26,71.5,ITGAV,THY1,60,connectomedb2020
COL4A1 to ITGAV,25,72.0,COL4A1,ITGAV,61,connectomedb2020
MMP7 to CD151,24,72.5,MMP7,CD151,62,connectomedb2020
NTN1 to UNC5C,26,72.5,NTN1,UNC5C,63,connectomedb2020
THBS1 to LRP1,26,73.0,THBS1,LRP1,64,connectomedb2020
SERPINE1 to LRP1,22,73.0,SERPINE1,LRP1,65,connectomedb2020
HSPG2 to PTPRS,26,74.0,HSPG2,PTPRS,66,connectomedb2020
NID1 to ITGAV,19,74.0,NID1,ITGAV,67,connectomedb2020
LAMC2 to ITGB1,26,74.5,LAMC2,ITGB1,68,connectomedb2020
LRPAP1 to LRP1,26,75.0,LRPAP1,LRP1,69,connectomedb2020
FN1 to PLAUR,26,76.0,FN1,PLAUR,70,connectomedb2020
ADAM9 to ITGB5,26,76.0,ADAM9,ITGB5,71,connectomedb2020
TGFB2 to TGFBR3,26,76.5,TGFB2,TGFBR3,72,connectomedb2020
COL4A1 to ITGA1,25,77.0,COL4A1,ITGA1,73,connectomedb2020
COL3A1 to DDR2,20,77.5,COL3A1,DDR2,74,connectomedb2020
COL18A1 to PTPRS,24,79.5,COL18A1,PTPRS,75,connectomedb2020
ANOS1 to SDC2,26,82.5,ANOS1,SDC2,76,connectomedb2020
C3 to CD46,26,82.5,C3,CD46,77,connectomedb2020
EFEMP1 to EGFR,26,82.5,EFEMP1,EGFR,78,connectomedb2020
HBEGF to CD44,26,82.5,HBEGF,CD44,79,connectomedb2020
TNC to ITGAV,26,83.5,TNC,ITGAV,80,connectomedb2020
LAMA3 to SDC2,26,83.5,LAMA3,SDC2,81,connectomedb2020
ADAM17 to ITGB1,26,83.5,ADAM17,ITGB1,82,connectomedb2020
COL8A1 to ITGA1,26,87.0,COL8A1,ITGA1,83,connectomedb2020
TNC to ITGB1,26,87.0,TNC,ITGB1,84,connectomedb2020
COL1A1 to ITGB1,24,89.0,COL1A1,ITGB1,85,connectomedb2020
TGFB1 to TGFBR3,26,89.5,TGFB1,TGFBR3,86,connectomedb2020
NPNT to ITGB1,26,90.0,NPNT,ITGB1,87,connectomedb2020
PLAU to LRP1,24,90.5,PLAU,LRP1,88,connectomedb2020
TGFB2 to TGFBR2,26,91.5,TGFB2,TGFBR2,89,connectomedb2020
SLIT2 to ROBO1,26,92.0,SLIT2,ROBO1,90,connectomedb2020
MFGE8 to ITGAV,26,92.5,MFGE8,ITGAV,91,connectomedb2020
HSPG2 to ITGB1,26,93.0,HSPG2,ITGB1,92,connectomedb2020
GRN to TNFRSF1A,26,93.5,GRN,TNFRSF1A,93,connectomedb2020
ADAM12 to ITGB1,26,94.0,ADAM12,ITGB1,94,connectomedb2020
AFDN to NECTIN2,26,94.0,AFDN,NECTIN2,95,connectomedb2020
LAMA2 to ITGB1,26,94.0,LAMA2,ITGB1,96,connectomedb2020
LTBP1 to ITGB5,26,94.5,LTBP1,ITGB5,97,connectomedb2020
BSG to SLC16A7,26,95.0,BSG,SLC16A7,98,connectomedb2020
SPON2 to ITGB1,26,95.5,SPON2,ITGB1,99,connectomedb2020
TGM2 to ITGB1,24,96.0,TGM2,ITGB1,100,connectomedb2020
NAMPT to INSR,26,96.5,NAMPT,INSR,101,connectomedb2020
LIF to IL6ST,20,97.0,LIF,IL6ST,102,connectomedb2020
MDK to NOTCH2,26,98.0,MDK,NOTCH2,103,connectomedb2020
GNAI2 to EGFR,26,100.5,GNAI2,EGFR,104,connectomedb2020
SEMA3B to NRP1,25,101.0,SEMA3B,NRP1,105,connectomedb2020
HBEGF to EGFR,26,103.0,HBEGF,EGFR,106,connectomedb2020
C1QB to LRP1,26,103.0,C1QB,LRP1,107,connectomedb2020
TIMP2 to ITGB1,26,103.0,TIMP2,ITGB1,108,connectomedb2020
C4BPA to LRP1,22,104.0,C4BPA,LRP1,109,connectomedb2020
CALR to LRP1,26,105.0,CALR,LRP1,110,connectomedb2020
PROS1 to AXL,26,105.0,PROS1,AXL,111,connectomedb2020
ADGRE5 to CD55,26,108.0,ADGRE5,CD55,112,connectomedb2020
VEGFA to NRP1,25,108.0,VEGFA,NRP1,113,connectomedb2020
TGFB1 to SDC2,26,110.0,TGFB1,SDC2,114,connectomedb2020
TGFB1 to TGFBR2,26,110.5,TGFB1,TGFBR2,115,connectomedb2020
THBS1 to ITGB1,26,113.5,THBS1,ITGB1,116,connectomedb2020
GNAI2 to IGF1R,26,116.0,GNAI2,IGF1R,117,connectomedb2020
COL18A1 to ITGB1,24,117.5,COL18A1,ITGB1,118,connectomedb2020
PSEN1 to NOTCH2,26,118.0,PSEN1,NOTCH2,119,connectomedb2020
LAMB1 to ITGB1,21,119.0,LAMB1,ITGB1,120,connectomedb2020
ANGPT1 to ITGB1,14,120.0,ANGPT1,ITGB1,121,connectomedb2020
TFF3 to ACKR3,24,120.5,TFF3,ACKR3,122,connectomedb2020
PTGS2 to CAV1,26,122.0,PTGS2,CAV1,123,connectomedb2020
GNAI2 to CAV1,26,123.5,GNAI2,CAV1,124,connectomedb2020
TGFB1 to ITGAV,26,123.5,TGFB1,ITGAV,125,connectomedb2020
COL4A3 to ITGAV,25,125.0,COL4A3,ITGAV,126,connectomedb2020
DCN to EGFR,24,126.5,DCN,EGFR,127,connectomedb2020
VCAN to CD44,19,127.0,VCAN,CD44,128,connectomedb2020
FN1 to ITGA5,24,129.0,FN1,ITGA5,129,connectomedb2020
BSG to SLC16A1,26,130.5,BSG,SLC16A1,130,connectomedb2020
CALR to ITGAV,26,131.5,CALR,ITGAV,131,connectomedb2020
SPP1 to CD44,19,133.0,SPP1,CD44,132,connectomedb2020
JAG1 to NOTCH2,26,133.5,JAG1,NOTCH2,133,connectomedb2020
HBEGF to CD9,26,134.5,HBEGF,CD9,134,connectomedb2020
C4BPA to BMPR2,22,136.0,C4BPA,BMPR2,135,connectomedb2020
AZGP1 to ITGAV,21,137.0,AZGP1,ITGAV,136,connectomedb2020
ARF1 to INSR,26,137.5,ARF1,INSR,137,connectomedb2020
SEMA3A to NRP1,26,138.5,SEMA3A,NRP1,138,connectomedb2020
DAG1 to LAMA4,26,139.0,DAG1,LAMA4,139,connectomedb2020
MFGE8 to PDGFRB,26,139.0,MFGE8,PDGFRB,140,connectomedb2020
JAG1 to CD46,26,141.5,JAG1,CD46,141,connectomedb2020
LGALS9 to CD44,23,142.0,LGALS9,CD44,142,connectomedb2020
CADM1 to CADM3,24,144.5,CADM1,CADM3,143,connectomedb2020
THBS1 to CD47,26,149.5,THBS1,CD47,144,connectomedb2020
FN1 to ITGA9,26,150.0,FN1,ITGA9,145,connectomedb2020
COL4A3 to CD47,25,152.0,COL4A3,CD47,146,connectomedb2020
CDH1 to ITGAE,26,153.0,CDH1,ITGAE,147,connectomedb2020
PLAU to PLAUR,24,153.5,PLAU,PLAUR,148,connectomedb2020
TGFB2 to ENG,26,155.0,TGFB2,ENG,149,connectomedb2020
PDGFC to PDGFRB,26,157.5,PDGFC,PDGFRB,150,connectomedb2020
TGFB1 to ENG,26,159.0,TGFB1,ENG,151,connectomedb2020
FBLN1 to ITGB1,24,159.0,FBLN1,ITGB1,152,connectomedb2020
EFNA5 to EPHA3,22,159.5,EFNA5,EPHA3,153,connectomedb2020
SPON2 to ITGA5,24,161.0,SPON2,ITGA5,154,connectomedb2020
C4A to NRP1,24,161.5,C4A,NRP1,155,connectomedb2020
CX3CL1 to ITGAV,25,162.0,CX3CL1,ITGAV,156,connectomedb2020
FBN1 to ITGAV,19,163.0,FBN1,ITGAV,157,connectomedb2020
ADAM17 to ITGA5,24,164.5,ADAM17,ITGA5,158,connectomedb2020
SPP1 to ITGAV,19,165.0,SPP1,ITGAV,159,connectomedb2020
SPP1 to ITGB1,19,166.0,SPP1,ITGB1,160,connectomedb2020
VCAN to EGFR,19,170.0,VCAN,EGFR,161,connectomedb2020
ADAM15 to ITGAV,26,172.5,ADAM15,ITGAV,162,connectomedb2020
TNFSF10 to TNFRSF10B,26,173.0,TNFSF10,TNFRSF10B,163,connectomedb2020
GNAI2 to EDNRA,23,174.0,GNAI2,EDNRA,164,connectomedb2020
NTN1 to NEO1,25,175.0,NTN1,NEO1,165,connectomedb2020
ADAM15 to ITGB1,26,175.5,ADAM15,ITGB1,166,connectomedb2020
NRG1 to ERBB4,21,178.0,NRG1,ERBB4,167,connectomedb2020
TGFB1 to VASN,26,178.5,TGFB1,VASN,168,connectomedb2020
VCAN to ITGB1,19,179.0,VCAN,ITGB1,169,connectomedb2020
DLL1 to NOTCH2,25,179.0,DLL1,NOTCH2,170,connectomedb2020
FBN1 to ITGB1,19,179.0,FBN1,ITGB1,171,connectomedb2020
BMP2 to BMPR2,26,179.5,BMP2,BMPR2,172,connectomedb2020
CD47 to SIRPA,25,182.0,CD47,SIRPA,173,connectomedb2020
TGFB1 to TGFBR1,26,182.0,TGFB1,TGFBR1,174,connectomedb2020
PLAU to IGF2R,24,182.5,PLAU,IGF2R,175,connectomedb2020
EDN1 to EDNRA,22,183.0,EDN1,EDNRA,176,connectomedb2020
ADAM10 to EPHA3,22,185.5,ADAM10,EPHA3,177,connectomedb2020
LTBP3 to ITGB5,26,186.5,LTBP3,ITGB5,178,connectomedb2020
GPC3 to CD81,26,186.5,GPC3,CD81,179,connectomedb2020
VEGFB to NRP1,25,188.0,VEGFB,NRP1,180,connectomedb2020
SPP1 to ITGB5,19,188.0,SPP1,ITGB5,181,connectomedb2020
TGFB2 to TGFBR1,26,188.5,TGFB2,TGFBR1,182,connectomedb2020
TGFA to EGFR,24,189.0,TGFA,EGFR,183,connectomedb2020
COL14A1 to CD44,21,190.0,COL14A1,CD44,184,connectomedb2020
COL1A1 to ITGA5,23,190.0,COL1A1,ITGA5,185,connectomedb2020
SDC2 to PTPRJ,25,191.0,SDC2,PTPRJ,186,connectomedb2020
SEMA3C to NRP2,21,191.0,SEMA3C,NRP2,187,connectomedb2020
AGRN to MUSK,25,192.0,AGRN,MUSK,188,connectomedb2020
FSTL1 to DIP2A,25,193.0,FSTL1,DIP2A,189,connectomedb2020
GPC3 to IGF1R,26,194.5,GPC3,IGF1R,190,connectomedb2020
APOE to LDLR,23,196.0,APOE,LDLR,191,connectomedb2020
THBS1 to PTPRJ,25,196.0,THBS1,PTPRJ,192,connectomedb2020
HRAS to CAV1,25,196.0,HRAS,CAV1,193,connectomedb2020
SEMA3A to PLXNA2,25,197.0,SEMA3A,PLXNA2,194,connectomedb2020
CD55 to ADGRE5,22,198.5,CD55,ADGRE5,195,connectomedb2020
FN1 to NT5E,23,199.0,FN1,NT5E,196,connectomedb2020
EREG to EGFR,22,200.0,EREG,EGFR,197,connectomedb2020
RTN4 to LINGO1,18,200.5,RTN4,LINGO1,198,connectomedb2020
HBEGF to ERBB4,21,202.0,HBEGF,ERBB4,199,connectomedb2020
BMP2 to BMPR1A,26,203.0,BMP2,BMPR1A,200,connectomedb2020
ADAM12 to ITGA9,26,203.5,ADAM12,ITGA9,201,connectomedb2020
FN1 to ITGB8,24,203.5,FN1,ITGB8,202,connectomedb2020
COL4A1 to ITGB8,23,204.0,COL4A1,ITGB8,203,connectomedb2020
WNT5A to ROR1,15,205.0,WNT5A,ROR1,204,connectomedb2020
EFNA1 to EPHA3,22,205.5,EFNA1,EPHA3,205,connectomedb2020
AFDN to EPHB2,23,206.0,AFDN,EPHB2,206,connectomedb2020
TGFB1 to ACVRL1,23,208.0,TGFB1,ACVRL1,207,connectomedb2020
MMP7 to ERBB4,19,210.0,MMP7,ERBB4,208,connectomedb2020
BMP2 to ACVR2A,26,211.0,BMP2,ACVR2A,209,connectomedb2020
HBEGF to CD82,23,212.0,HBEGF,CD82,210,connectomedb2020
COL18A1 to ITGA5,22,212.0,COL18A1,ITGA5,211,connectomedb2020
SEMA4B to DCBLD2,25,212.0,SEMA4B,DCBLD2,212,connectomedb2020
MMP2 to SDC2,17,212.0,MMP2,SDC2,213,connectomedb2020
WNT5A to ROR2,15,213.0,WNT5A,ROR2,214,connectomedb2020
SPINK1 to EGFR,14,213.5,SPINK1,EGFR,215,connectomedb2020
EFNB2 to EPHA3,22,214.0,EFNB2,EPHA3,216,connectomedb2020
ZP3 to EGFR,25,214.0,ZP3,EGFR,217,connectomedb2020
IL1RAPL1 to PTPRS,24,217.5,IL1RAPL1,PTPRS,218,connectomedb2020
SCGB3A1 to MARCO,19,218.0,SCGB3A1,MARCO,219,connectomedb2020
GPI to AMFR,26,219.0,GPI,AMFR,220,connectomedb2020
SCGB3A2 to MARCO,19,220.0,SCGB3A2,MARCO,221,connectomedb2020
INHBB to ACVR2A,25,220.0,INHBB,ACVR2A,222,connectomedb2020
ANGPT1 to ITGA5,14,220.0,ANGPT1,ITGA5,223,connectomedb2020
TGFB1 to ITGB8,24,221.0,TGFB1,ITGB8,224,connectomedb2020
BMP2 to ENG,26,222.5,BMP2,ENG,225,connectomedb2020
AFDN to NECTIN3,24,223.0,AFDN,NECTIN3,226,connectomedb2020
RPS19 to C5AR1,24,225.0,RPS19,C5AR1,227,connectomedb2020
CP to SLC40A1,26,226.0,CP,SLC40A1,228,connectomedb2020
HRAS to INSR,25,227.0,HRAS,INSR,229,connectomedb2020
APOD to LEPR,23,229.0,APOD,LEPR,230,connectomedb2020
CLEC11A to ITGB1,21,229.0,CLEC11A,ITGB1,231,connectomedb2020
LRPAP1 to LDLR,23,231.0,LRPAP1,LDLR,232,connectomedb2020
PDGFD to PDGFRB,15,231.0,PDGFD,PDGFRB,233,connectomedb2020
ADAM15 to ITGA9,26,235.0,ADAM15,ITGA9,234,connectomedb2020
IL1RAPL1 to PTPRD,24,235.5,IL1RAPL1,PTPRD,235,connectomedb2020
VEGFA to NRP2,20,235.5,VEGFA,NRP2,236,connectomedb2020
NECTIN3 to NECTIN2,26,236.0,NECTIN3,NECTIN2,237,connectomedb2020
ITGB2 to THY1,23,236.0,ITGB2,THY1,238,connectomedb2020
IL6 to IL6ST,21,237.0,IL6,IL6ST,239,connectomedb2020
ADAM15 to ITGA5,24,237.0,ADAM15,ITGA5,240,connectomedb2020
SEMA3B to NRP2,20,239.0,SEMA3B,NRP2,241,connectomedb2020
NRG3 to ERBB4,16,240.0,NRG3,ERBB4,242,connectomedb2020
BMP2 to BMPR1B,16,241.0,BMP2,BMPR1B,243,connectomedb2020
SFTPD to SIRPA,23,241.0,SFTPD,SIRPA,244,connectomedb2020
PSEN1 to NCSTN,24,241.5,PSEN1,NCSTN,245,connectomedb2020
PTN to PTPRS,18,243.5,PTN,PTPRS,246,connectomedb2020
EFNB2 to EPHB2,23,244.0,EFNB2,EPHB2,247,connectomedb2020
APP to GPC1,20,244.0,APP,GPC1,248,connectomedb2020
ASIP to ATRN,19,244.0,ASIP,ATRN,249,connectomedb2020
LPL to LRP1,24,245.0,LPL,LRP1,250,connectomedb2020
FBN1 to ITGA5,18,245.5,FBN1,ITGA5,251,connectomedb2020
SERPINE2 to LRP1,15,247.0,SERPINE2,LRP1,252,connectomedb2020
NLGN1 to NRXN3,23,247.0,NLGN1,NRXN3,253,connectomedb2020
NECTIN1 to CADM3,21,248.0,NECTIN1,CADM3,254,connectomedb2020
PLAT to LRP1,20,249.5,PLAT,LRP1,255,connectomedb2020
NRG4 to ERBB4,21,250.0,NRG4,ERBB4,256,connectomedb2020
EFNA5 to EPHB2,23,250.0,EFNA5,EPHB2,257,connectomedb2020
SPP1 to ITGA9,19,251.0,SPP1,ITGA9,258,connectomedb2020
HMGB1 to THBD,21,252.0,HMGB1,THBD,259,connectomedb2020
BMP7 to BMPR2,18,253.0,BMP7,BMPR2,260,connectomedb2020
SEMA6D to TYROBP,24,254.5,SEMA6D,TYROBP,261,connectomedb2020
C4BPA to CD40,18,254.5,C4BPA,CD40,262,connectomedb2020
TGM2 to SDC4,21,255.0,TGM2,SDC4,263,connectomedb2020
THBS1 to SDC4,23,256.0,THBS1,SDC4,264,connectomedb2020
FGF18 to FGFR1,17,257.0,FGF18,FGFR1,265,connectomedb2020
ADAM12 to SDC4,23,259.0,ADAM12,SDC4,266,connectomedb2020
NECTIN2 to NECTIN3,24,259.0,NECTIN2,NECTIN3,267,connectomedb2020
LAMA1 to ITGB1,25,259.0,LAMA1,ITGB1,268,connectomedb2020
GNAI2 to C5AR1,24,260.0,GNAI2,C5AR1,269,connectomedb2020
HRAS to AGTR1,17,260.0,HRAS,AGTR1,270,connectomedb2020
IL15 to IL15RA,24,261.0,IL15,IL15RA,271,connectomedb2020
IL1RN to IL1R1,17,261.0,IL1RN,IL1R1,272,connectomedb2020
FAM3C to LIFR,24,263.5,FAM3C,LIFR,273,connectomedb2020
APP to NCSTN,24,263.5,APP,NCSTN,274,connectomedb2020
NECTIN3 to CADM3,24,264.0,NECTIN3,CADM3,275,connectomedb2020
JAG2 to NOTCH2,18,264.5,JAG2,NOTCH2,276,connectomedb2020
TGFB2 to ACVR1,23,265.0,TGFB2,ACVR1,277,connectomedb2020
FGF2 to NRP1,16,265.5,FGF2,NRP1,278,connectomedb2020
MDK to SDC4,23,266.0,MDK,SDC4,279,connectomedb2020
GNAI2 to F2R,20,266.5,GNAI2,F2R,280,connectomedb2020
WNT5A to RYK,15,267.0,WNT5A,RYK,281,connectomedb2020
FGF2 to SDC2,16,267.0,FGF2,SDC2,282,connectomedb2020
BMP7 to BMPR1A,18,267.5,BMP7,BMPR1A,283,connectomedb2020
BMP7 to ACVR2A,18,267.5,BMP7,ACVR2A,284,connectomedb2020
CADM1 to NECTIN3,24,267.5,CADM1,NECTIN3,285,connectomedb2020
EDN2 to EDNRA,13,268.0,EDN2,EDNRA,286,connectomedb2020
FGF2 to CD44,16,269.5,FGF2,CD44,287,connectomedb2020
FGF2 to FGFR1,16,270.5,FGF2,FGFR1,288,connectomedb2020
INHBB to ACVR1B,23,271.0,INHBB,ACVR1B,289,connectomedb2020
SLIT2 to GPC1,20,271.0,SLIT2,GPC1,290,connectomedb2020
FN1 to ITGA2,21,272.0,FN1,ITGA2,291,connectomedb2020
LAMA1 to ITGA1,25,273.0,LAMA1,ITGA1,292,connectomedb2020
LAMA1 to RPSA,25,273.0,LAMA1,RPSA,293,connectomedb2020
LIF to LIFR,18,273.5,LIF,LIFR,294,connectomedb2020
IL16 to CD4,23,276.0,IL16,CD4,295,connectomedb2020
DCN to ERBB4,19,277.0,DCN,ERBB4,296,connectomedb2020
BMP7 to ENG,18,278.0,BMP7,ENG,297,connectomedb2020
OMG to LINGO1,18,278.0,OMG,LINGO1,298,connectomedb2020
NTN1 to UNC5D,18,279.0,NTN1,UNC5D,299,connectomedb2020
SERPINF1 to PLXDC1,14,279.0,SERPINF1,PLXDC1,300,connectomedb2020
SEMA3F to NRP1,17,281.0,SEMA3F,NRP1,301,connectomedb2020
EREG to ERBB4,18,281.5,EREG,ERBB4,302,connectomedb2020
NLGN1 to NRXN2,13,282.0,NLGN1,NRXN2,303,connectomedb2020
SEMA6A to PLXNA2,23,282.0,SEMA6A,PLXNA2,304,connectomedb2020
DKK1 to KREMEN1,14,282.5,DKK1,KREMEN1,305,connectomedb2020
IGFBP4 to LRP6,21,283.0,IGFBP4,LRP6,306,connectomedb2020
IL18 to IL1RAPL1,22,284.5,IL18,IL1RAPL1,307,connectomedb2020
SPON1 to APP,19,285.0,SPON1,APP,308,connectomedb2020
RGMA to NEO1,21,287.0,RGMA,NEO1,309,connectomedb2020
BTC to EGFR,22,287.5,BTC,EGFR,310,connectomedb2020
VEGFA to GPC1,19,289.0,VEGFA,GPC1,311,connectomedb2020
ADM to RAMP2,15,290.0,ADM,RAMP2,312,connectomedb2020
SEMA3A to PLXNA4,22,292.5,SEMA3A,PLXNA4,313,connectomedb2020
B2M to HLA-F,16,293.5,B2M,HLA-F,314,connectomedb2020
DKK1 to LRP6,13,294.0,DKK1,LRP6,315,connectomedb2020
TGFA to ERBB4,20,295.5,TGFA,ERBB4,316,connectomedb2020
AGRN to DAG1,24,298.0,AGRN,DAG1,317,connectomedb2020
BMP7 to BMPR1B,14,299.0,BMP7,BMPR1B,318,connectomedb2020
CD14 to ITGB1,17,299.0,CD14,ITGB1,319,connectomedb2020
COL1A1 to ITGA11,19,300.0,COL1A1,ITGA11,320,connectomedb2020
EFNB1 to EPHB2,17,301.0,EFNB1,EPHB2,321,connectomedb2020
F8 to LRP1,17,303.0,F8,LRP1,322,connectomedb2020
COL1A2 to ITGA11,15,305.0,COL1A2,ITGA11,323,connectomedb2020
RGMB to NEO1,17,306.0,RGMB,NEO1,324,connectomedb2020
PTDSS1 to JMJD6,20,308.5,PTDSS1,JMJD6,325,connectomedb2020
SEMA4A to PLXNB2,19,309.0,SEMA4A,PLXNB2,326,connectomedb2020
COL18A1 to GPC1,20,310.5,COL18A1,GPC1,327,connectomedb2020
PLTP to ABCA1,23,311.0,PLTP,ABCA1,328,connectomedb2020
BMP6 to BMPR1A,22,311.5,BMP6,BMPR1A,329,connectomedb2020
BMP6 to BMPR2,22,314.5,BMP6,BMPR2,330,connectomedb2020
GDF11 to ACVR2A,14,316.0,GDF11,ACVR2A,331,connectomedb2020
NCAM1 to ROBO1,14,317.0,NCAM1,ROBO1,332,connectomedb2020
NCAM1 to FGFR1,14,318.0,NCAM1,FGFR1,333,connectomedb2020
COL8A1 to ITGA2,21,318.0,COL8A1,ITGA2,334,connectomedb2020
IGSF11 to VSIR,22,318.5,IGSF11,VSIR,335,connectomedb2020
TNFSF14 to LTBR,18,319.5,TNFSF14,LTBR,336,connectomedb2020
SERTAD1 to AR,22,319.5,SERTAD1,AR,337,connectomedb2020
BMP6 to ACVR2A,22,320.5,BMP6,ACVR2A,338,connectomedb2020
NRG2 to ERBB4,21,321.0,NRG2,ERBB4,339,connectomedb2020
INHBB to ACVR1,22,322.5,INHBB,ACVR1,340,connectomedb2020
MMP13 to LRP1,14,322.5,MMP13,LRP1,341,connectomedb2020
SEMA3A to NRP2,21,323.0,SEMA3A,NRP2,342,connectomedb2020
NCAM1 to GFRA1,13,323.0,NCAM1,GFRA1,343,connectomedb2020
BTC to ERBB4,19,323.0,BTC,ERBB4,344,connectomedb2020
PLA2G10 to PLA2R1,21,324.0,PLA2G10,PLA2R1,345,connectomedb2020
GAS6 to MERTK,20,324.5,GAS6,MERTK,346,connectomedb2020
GDF11 to ACVR1B,13,325.0,GDF11,ACVR1B,347,connectomedb2020
NECTIN1 to NECTIN3,22,326.0,NECTIN1,NECTIN3,348,connectomedb2020
F8 to LDLR,16,326.5,F8,LDLR,349,connectomedb2020
BMP7 to ACVR1,17,327.0,BMP7,ACVR1,350,connectomedb2020
TNFSF10 to TNFRSF10D,17,327.0,TNFSF10,TNFRSF10D,351,connectomedb2020
LAMA2 to DAG1,24,327.0,LAMA2,DAG1,352,connectomedb2020
HSPG2 to ITGA2,21,330.0,HSPG2,ITGA2,353,connectomedb2020
GRN to SORT1,22,330.5,GRN,SORT1,354,connectomedb2020
LAMA1 to ITGB8,23,331.0,LAMA1,ITGB8,355,connectomedb2020
PIP to CD4,22,331.0,PIP,CD4,356,connectomedb2020
TNFSF12 to TNFRSF12A,13,335.0,TNFSF12,TNFRSF12A,357,connectomedb2020
COLQ to MUSK,22,336.0,COLQ,MUSK,358,connectomedb2020
PGF to NRP1,13,338.0,PGF,NRP1,359,connectomedb2020
