pair,n_donors,median_rank,ligand,receptor,overall_rank,resource
LAMB3 to ITGA9_ITGB1,26,283.0,LAMB3,ITGA9_ITGB1,257,consensus
TGFB1 to ENG,26,284.0,TGFB1,ENG,258,consensus
THBS1 to PTPRJ,25,285.0,THBS1,PTPRJ,259,consensus
CALM1 to FAS,24,285.5,CALM1,FAS,260,consensus
ADAM15 to ITGB1,26,286.0,ADAM15,ITGB1,261,consensus
PDGFC to PDGFRB,26,286.5,PDGFC,PDGFRB,262,consensus
CX3CL1 to ITGAV,25,287.0,CX3CL1,ITGAV,263,consensus
ADAM17 to ITGA5,24,290.0,ADAM17,ITGA5,264,consensus
NRG3 to EGFR,21,291.0,NRG3,EGFR,265,consensus
COL1A2 to ITGA9_ITGB1,19,295.0,COL1A2,ITGA9_ITGB1,266,consensus
VCAN to EGFR,19,295.0,VCAN,EGFR,267,consensus
ADAM15 to ITGAV,26,296.0,ADAM15,ITGAV,268,consensus
NTN1 to NEO1,25,298.0,NTN1,NEO1,269,consensus
ADAM10 to TSPAN5,20,299.5,ADAM10,TSPAN5,270,consensus
PDAP1 to PDGFRB,26,301.0,PDAP1,PDGFRB,271,consensus
SDC2 to PTPRJ,25,303.0,SDC2,PTPRJ,272,consensus
COL4A5 to ITGA9_ITGB1,26,303.5,COL4A5,ITGA9_ITGB1,273,consensus
TNFSF10 to TNFRSF10B,26,305.0,TNFSF10,TNFRSF10B,274,consensus
LAMA3 to ITGA9_ITGB1,26,305.5,LAMA3,ITGA9_ITGB1,275,consensus
LAMC2 to ITGA9_ITGB1,26,306.0,LAMC2,ITGA9_ITGB1,276,consensus
SEMA3B to NRP1_PLXNA2,24,306.0,SEMA3B,NRP1_PLXNA2,277,consensus
COL4A1 to ITGAV_ITGB8,23,307.0,COL4A1,ITGAV_ITGB8,278,consensus
DLL1 to NOTCH2,25,308.0,DLL1,NOTCH2,279,consensus
GNAS to ADCY9,26,309.0,GNAS,ADCY9,280,consensus
ADAM10 to EPHA3,22,310.0,ADAM10,EPHA3,281,consensus
PDGFA to PDGFRB,25,310.0,PDGFA,PDGFRB,282,consensus
SPP1 to ITGAV_ITGB1,19,312.0,SPP1,ITGAV_ITGB1,283,consensus
COL4A2 to ITGAV_ITGB8,23,312.0,COL4A2,ITGAV_ITGB8,284,consensus
VCAN to ITGB1,19,313.0,VCAN,ITGB1,285,consensus
BMP1 to BMPR1A,25,313.0,BMP1,BMPR1A,286,consensus
ICAM1 to EGFR,25,313.0,ICAM1,EGFR,287,consensus
PLAU to ITGB5,24,314.0,PLAU,ITGB5,288,consensus
CGN to TGFBR1,26,317.5,CGN,TGFBR1,289,consensus
COL5A1 to ITGA1_ITGB1,18,319.0,COL5A1,ITGA1_ITGB1,290,consensus
PLAU to IGF2R,24,320.0,PLAU,IGF2R,291,consensus
FBN1 to ITGB1,19,321.0,FBN1,ITGB1,292,consensus
TNC to ITGA9_ITGB1,26,321.5,TNC,ITGA9_ITGB1,293,consensus
FN1 to ITGAV_ITGB8,24,322.5,FN1,ITGAV_ITGB8,294,consensus
CALM3 to ESR1,24,324.5,CALM3,ESR1,295,consensus
SEMA4B to DCBLD2,25,325.0,SEMA4B,DCBLD2,296,consensus
LGALS9 to MRC2,23,326.0,LGALS9,MRC2,297,consensus
TGFB1 to VASN,26,326.0,TGFB1,VASN,298,consensus
OLFM2 to ROBO2,21,327.0,OLFM2,ROBO2,299,consensus
ICAM1 to CAV1,25,327.0,ICAM1,CAV1,300,consensus
LAMC1 to ITGAV_ITGB8,24,328.0,LAMC1,ITGAV_ITGB8,301,consensus
TNC to ITGA5,24,328.5,TNC,ITGA5,302,consensus
LAMA5 to ITGA9_ITGB1,26,331.5,LAMA5,ITGA9_ITGB1,303,consensus
ZP3 to EGFR,25,332.0,ZP3,EGFR,304,consensus
SPP1 to ITGAV_ITGB5,19,332.0,SPP1,ITGAV_ITGB5,305,consensus
IL1RAPL1 to PTPRS,24,332.5,IL1RAPL1,PTPRS,306,consensus
CD55 to ADGRE5,22,333.0,CD55,ADGRE5,307,consensus
ADAM17 to ERBB4,21,333.0,ADAM17,ERBB4,308,consensus
FN1 to NT5E,23,337.0,FN1,NT5E,309,consensus
GPC3 to CD81,26,338.0,GPC3,CD81,310,consensus
GPC3 to IGF1R,26,338.0,GPC3,IGF1R,311,consensus
LTBP3 to ITGB5,26,338.5,LTBP3,ITGB5,312,consensus
ADAM10 to IL6R,19,339.0,ADAM10,IL6R,313,consensus
GNAI2 to EDNRA,23,340.0,GNAI2,EDNRA,314,consensus
SPP1 to ITGA8_ITGB1,17,342.0,SPP1,ITGA8_ITGB1,315,consensus
CD47 to SIRPA,25,343.0,CD47,SIRPA,316,consensus
ADAM12 to ITGA9,26,344.5,ADAM12,ITGA9,317,consensus
CDH1 to ITGA2_ITGB1,21,346.0,CDH1,ITGA2_ITGB1,318,consensus
VEGFB to NRP1,25,346.0,VEGFB,NRP1,319,consensus
COL1A1 to ITGA9_ITGB1,24,348.0,COL1A1,ITGA9_ITGB1,320,consensus
COL17A1 to ITGA1_ITGB1,22,348.5,COL17A1,ITGA1_ITGB1,321,consensus
AGRN to MUSK,25,350.0,AGRN,MUSK,322,consensus
ARF6 to PLD1,26,350.5,ARF6,PLD1,323,consensus
VEGFA to ITGA9,25,351.0,VEGFA,ITGA9,324,consensus
SEMA3A to NRP1_PLXNA2,25,351.0,SEMA3A,NRP1_PLXNA2,325,consensus
GPC3 to UNC5C,26,353.0,GPC3,UNC5C,326,consensus
APOE to LDLR,23,353.0,APOE,LDLR,327,consensus
EDN1 to EDNRA,22,353.5,EDN1,EDNRA,328,consensus
COL14A1 to CD44,21,354.0,COL14A1,CD44,329,consensus
TGFB1 to TGFBR1_TGFBR2,26,355.0,TGFB1,TGFBR1_TGFBR2,330,consensus
COL4A3 to ITGA9_ITGB1,25,355.0,COL4A3,ITGA9_ITGB1,331,consensus
LMAN1 to MCFD2,26,356.0,LMAN1,MCFD2,332,consensus
COL4A4 to ITGAV_ITGB8,21,357.0,COL4A4,ITGAV_ITGB8,333,consensus
LAMA2 to ITGA9_ITGB1,26,357.5,LAMA2,ITGA9_ITGB1,334,consensus
COL4A4 to ITGA9_ITGB1,23,358.0,COL4A4,ITGA9_ITGB1,335,consensus
LAMB2 to ITGA9_ITGB1,25,358.0,LAMB2,ITGA9_ITGB1,336,consensus
COL1A1 to ITGA5,23,359.0,COL1A1,ITGA5,337,consensus
LGALS9 to PTPRK,23,360.0,LGALS9,PTPRK,338,consensus
COL27A1 to ITGA1_ITGB1,23,361.0,COL27A1,ITGA1_ITGB1,339,consensus
IL1RAPL1 to PTPRD,24,361.5,IL1RAPL1,PTPRD,340,consensus
LAMB3 to ITGAV_ITGB8,24,362.5,LAMB3,ITGAV_ITGB8,341,consensus
COL4A1 to ITGA11_ITGB1,20,363.0,COL4A1,ITGA11_ITGB1,342,consensus
APOD to LEPR,23,363.0,APOD,LEPR,343,consensus
COL16A1 to ITGA1_ITGB1,25,365.0,COL16A1,ITGA1_ITGB1,344,consensus
HRAS to CAV1,25,365.0,HRAS,CAV1,345,consensus
CALM3 to INSR,26,366.0,CALM3,INSR,346,consensus
ADAM17 to IL6R,19,367.0,ADAM17,IL6R,347,consensus
WNT7A to RECK,13,368.0,WNT7A,RECK,348,consensus
COL4A2 to ITGA11_ITGB1,20,368.5,COL4A2,ITGA11_ITGB1,349,consensus
LAMA3 to ITGAV_ITGB8,24,370.0,LAMA3,ITGAV_ITGB8,350,consensus
COL6A1 to ITGA9_ITGB1,20,370.0,COL6A1,ITGA9_ITGB1,351,consensus
TGFB1 to ACVRL1,23,372.0,TGFB1,ACVRL1,352,consensus
CALM3 to PDE1A,23,373.0,CALM3,PDE1A,353,consensus
TGFB2 to TGFBR1_TGFBR2,26,373.0,TGFB2,TGFBR1_TGFBR2,354,consensus
LAMB1 to ITGA9_ITGB1,21,373.0,LAMB1,ITGA9_ITGB1,355,consensus
LAMC2 to ITGAV_ITGB8,24,374.0,LAMC2,ITGAV_ITGB8,356,consensus
HBEGF to CD82,23,375.0,HBEGF,CD82,357,consensus
EFEMP2 to PLSCR4,24,375.0,EFEMP2,PLSCR4,358,consensus
VEGFA to SIRPA,24,376.0,VEGFA,SIRPA,359,consensus
COL14A1 to ITGA1_ITGB1,21,377.0,COL14A1,ITGA1_ITGB1,360,consensus
APP to GPC1,20,379.0,APP,GPC1,361,consensus
LAMC1 to ITGA2_ITGB1,21,382.0,LAMC1,ITGA2_ITGB1,362,consensus
WIF1 to RYK,23,383.0,WIF1,RYK,363,consensus
ANGPT1 to ITGA5,14,384.5,ANGPT1,ITGA5,364,consensus
PIP to NPTN,25,385.0,PIP,NPTN,365,consensus
NECTIN3 to NECTIN2,26,385.0,NECTIN3,NECTIN2,366,consensus
COL18A1 to ITGA5,22,386.0,COL18A1,ITGA5,367,consensus
COL19A1 to ITGA1_ITGB1,25,386.0,COL19A1,ITGA1_ITGB1,368,consensus
TGFB1 to ACVR1B_TGFBR2,24,386.0,TGFB1,ACVR1B_TGFBR2,369,consensus
TGFB1 to ITGB8,24,387.0,TGFB1,ITGB8,370,consensus
CP to SLC40A1,26,387.0,CP,SLC40A1,371,consensus
FN1 to ITGA2,21,387.0,FN1,ITGA2,372,consensus
TGM2 to ITGA9,24,388.0,TGM2,ITGA9,373,consensus
EFNB2 to EPHA3,22,389.5,EFNB2,EPHA3,374,consensus
GNAI2 to ADCY9,26,390.5,GNAI2,ADCY9,375,consensus
SPINK1 to EGFR,14,391.5,SPINK1,EGFR,376,consensus
